gene_id,MMGlucose_1,MMGlucose_2,MMGlucose_3,MMAAGP_1,MMAAGP_2,MMAAGP_3
BT_1378,5795,4533,6464,2055,3142,3313
BT_1379,6103,5383,6913,3760,5150,4671
BT_1380,8549,7647,9915,8739,10036,7520
BT_1381,13337,12173,15147,13629,16725,12892
BT_1382,980,831,1022,1544,1798,1371
BT_1383,786,620,748,727,839,721
BT_1384,28,41,36,36,47,39
BT_1385,446,390,428,685,884,668
BT_1386,434,367,469,600,664,489
BT_1387,804,656,839,747,1066,934
BT_1388,229,210,295,411,522,362
BT_1389,639,630,724,1169,1426,1118
BT_1390,551,517,606,945,1270,956
BT_1391,24815,18696,23601,17119,18586,14874
BT_1392,20,16,21,16,22,14
BT_1393,624,531,748,1142,1103,929
BT_1394,10,12,12,14,18,20
BT_1395,45,22,38,65,72,53
BT_1396,1029,912,1255,1852,2215,1731
BT_1397,324,211,313,665,707,515
BT_1398,204,159,223,394,450,297
BT_1399,86,83,71,121,121,94
BT_1400,71,73,81,105,93,102
BT_1401,20,18,18,25,25,17
BT_1402,12,8,17,24,28,20
BT_1403,1565,1351,1697,2258,2395,2019
BT_1404,387,339,414,585,705,552
BT_1405,66,71,80,124,142,108
BT_1406,236,196,265,415,475,379
BT_1407,3075,2502,3223,4243,4680,3813
BT_1408,3191,2691,3265,4813,5097,4557
BT_1409,429,365,481,757,865,729
BT_1410,655,586,681,1128,1433,1122
BT_1411,519,420,588,1074,1326,956
BT_1412,1020,782,1058,1633,2074,1374
BT_1413,819,666,796,1770,2061,1529
BT_1414,1506,1203,1527,4340,5025,4321
BT_1415,481,336,456,599,742,809
BT_1416,2374,1820,2405,6598,6976,6064
BT_1417,4214,3261,4039,13056,14504,11598
BT_1418,1138,950,1171,3690,4435,3263
BT_1419,553,510,590,526,584,505
BT_1420,2542,2139,2774,2430,2839,2247
BT_1421,1799,1596,2016,3974,4434,3177
BT_1422,236,203,254,600,650,525
BT_1423,109,105,120,288,373,280
BT_1424,194,175,209,335,380,297
BT_1425,850,682,935,994,1338,1109
BT_1426,2,3,5,11,5,8
BT_1427,23,16,30,61,95,55
BT_1428,12178,9940,13419,19188,22235,14076
BT_1429,515,523,654,350,399,302
BT_1430,532,467,595,734,944,739
BT_1431,407,398,458,717,807,602
BT_1432,3111,2807,3437,5774,6412,5356
BT_1433,1646,1471,1833,2512,2923,2776
BT_1434,686,596,745,1355,1647,1218
BT_1435,4385,3278,4288,10016,10116,7769
BT_1436,375,262,325,354,418,378
BT_1437,961,827,1092,1863,2176,1590
BT_1438,839,805,973,1081,1252,946
BT_1439,8703,6300,8341,3309,3743,3185
BT_1440,15127,11700,15194,5902,6625,5603
BT_1441,529,471,611,966,1150,830
BT_1442,2776,2582,3209,9056,9576,8214
BT_1443,824,761,917,3328,3178,2678
BT_1444,460,385,470,1872,1825,1605
BT_1445,481,459,523,2068,2073,1746
BT_1446,884,864,1147,3820,3907,3311
BT_1447,1692,1446,1917,3416,3966,3079
BT_1448,338,290,324,597,646,548
BT_1449,425,321,457,647,670,553
BT_1450,729,526,705,839,901,776
BT_1451,346,245,308,638,714,733
BT_1452,1185,940,1197,2728,2586,2400
BT_1453,2827,2258,2827,2216,2592,1992
BT_1454,216,204,279,225,261,215
BT_1455,209,141,263,156,209,176
BT_1456,3276,2589,3342,1453,1698,1282
BT_1457,471,408,502,614,722,621
BT_1458,439,435,542,736,912,705
BT_1459,734,689,828,1216,1555,1152
BT_1460,33,20,41,49,57,41
BT_1461,284,245,318,597,785,633
BT_1462,135,113,134,400,431,310
BT_1463,283,204,290,406,587,423
BT_1464,982,895,1049,2227,2729,1933
BT_1465,263,225,272,483,634,456
BT_1466,87,66,97,105,148,103
BT_1467,13,14,12,25,22,21
BT_1468,0,1,1,12,8,3
BT_1469,741,677,856,1768,2142,1627
BT_1470,162,141,172,359,459,292
BT_1471,1587,1356,1648,1218,1392,1092
BT_1472,2291,1960,2509,2753,3335,2386
BT_1473,226,230,281,399,477,323
BT_1474,1656,1461,1812,2407,2775,2161
BT_1475,2222,1669,2395,1807,2177,1810
BT_1476,10365,9204,11784,15113,17690,13983
BT_1477,3027,2554,3246,7132,8322,6338
BT_1478,1278,1101,1386,1496,1745,1420
BT_1479,4955,4104,5069,5677,6707,5569
BT_1480,3360,2856,3800,4572,5453,4421
BT_1481,1697,1356,1784,1556,1988,1665
BT_1482,626,554,645,985,1142,765
BT_1483,1197,1042,1285,1824,2111,1585
BT_1484,3502,3256,3945,5122,5942,4571
BT_1485,1498,1271,1587,2282,2737,2053
BT_1486,473,436,492,86630,97079,69361
BT_1487,200,166,208,19525,18954,16656
BT_1488,267,277,306,41986,47094,34196
BT_1489,838,825,941,13072,15446,12364
BT_1490,847,775,933,11696,14194,10811
BT_1491,2973,2717,3311,40038,47075,36157
BT_1492,452,397,502,1649,1646,1328
BT_1493,969,852,1051,835,937,720
BT_1494,1142,890,1226,936,1017,790
BT_1495,2777,2503,3225,4116,5159,3834
BT_1496,4142,3824,4720,5972,7421,5636
BT_1497,6142,5329,6913,10611,12608,9136
BT_1498,1436,1126,1500,1811,2313,1760
BT_1499,50437,43738,56495,91122,95651,65773
BT_1500,34701,30019,38922,55975,64169,50607
BT_1501,619,501,618,489,511,522
BT_1502,7894,7126,8123,8062,7711,7316
BT_1503,364,298,467,511,634,593
BT_1504,64,50,88,152,61,48
BT_1505,15,13,18,22,31,26
BT_1506,16,16,19,28,22,27
BT_1507,749,667,756,797,779,564
BT_1508,35,34,44,40,38,52
BT_1509,499,407,559,502,587,528
BT_1510,2278,1960,2611,4343,5143,3632
BT_1511,28,23,26,37,31,39
BT_1512,239,241,274,417,333,280
BT_1513,885,653,973,1173,1351,1210
BT_1514,170,164,228,217,288,218
BT_1515,3,0,6,14,14,9
BT_1516,10,8,16,13,13,14
BT_1517,412,327,478,391,550,444
BT_1518,87,38,76,43,61,51
BT_1519,44,30,54,27,34,18
BT_1520,8,6,7,10,14,12
BT_1521,637,579,826,888,922,727
BT_1522,1843,1665,2034,2513,2889,2199
BT_1523,1253,968,1282,1015,1179,1183
BT_1524,685,611,814,386,595,676
BT_1525,1422,1217,1570,1403,1739,1760
BT_1526,40703,36346,46304,70874,81551,65986
BT_1527,1804,1580,1855,541,709,512
BT_1528,821,749,951,1331,1569,1201
BT_1529,823,687,812,1310,1623,1166
BT_1530,452,336,454,629,758,543
BT_1531,2708,2455,3043,4504,5924,4359
BT_1532,298,194,239,357,404,276
BT_1533,286,199,255,361,410,304
BT_1534,145,105,116,170,184,166
BT_1535,170,121,144,177,190,160
BT_1536,175,151,191,161,178,180
BT_1537,5835,4600,5915,5174,6116,4580
BT_1538,1161,1055,1367,2330,2673,2038
BT_1539,1606,1423,1762,3566,4252,3082
BT_1540,1623,1400,1847,3473,3848,3016
BT_1541,702,574,672,348,506,368
BT_1542,3305,2683,3406,3296,3714,3010
BT_1543,207,212,272,394,491,368
BT_1544,1030,968,1061,1729,2057,1542
BT_1545,243,218,258,464,504,410
BT_1546,487,442,610,973,1145,857
BT_1547,2220,2031,2493,4944,5498,4311
BT_1548,26723,23771,29449,36283,38813,32643
BT_1549,3676,3249,4031,3869,4203,3981
BT_1550,1351,1066,1388,1711,2083,1572
BT_1551,5216,4455,5483,6207,6310,5601
BT_1552,5667,4857,5853,7632,7516,6336
BT_1553,2742,2339,2806,3469,3714,3084
BT_1554,375,254,360,540,589,555
BT_1555,1522,994,1693,435,467,496
BT_1556,348,249,372,280,395,319
BT_1557,671,548,769,1431,1688,1332
BT_1558,835,717,1042,1711,1888,1538
BT_1559,946,846,1083,2010,2345,1738
BT_1560,14601,13079,17274,21725,25905,19903
BT_1561,3362,3001,3889,5819,7455,5490
BT_1562,1569,1364,1749,2418,2982,2111
BT_1563,4745,4151,5068,3958,4633,3797
BT_1564,5613,5020,6558,4656,5668,4640
BT_1565,8136,7082,8647,8120,8640,6969
BT_1566,6549,5708,7125,5422,6972,5365
BT_1567,5744,4849,6034,5050,6430,4659
BT_1568,574,448,600,814,1009,761
BT_1569,974,815,1044,1294,1670,1343
BT_1570,85,67,101,96,98,68
BT_1571,19,22,14,18,38,14
BT_1572,3547,2762,3635,1538,1867,1396
BT_1573,2447,2079,2507,6902,6588,6132
BT_1574,19062,16702,21645,24335,29583,22940
BT_1575,4242,3417,4434,2350,2492,2089
BT_1576,5402,4376,5505,3643,4135,3380
BT_1577,1077,941,1210,797,854,783
BT_1578,1653,1448,1773,2067,2419,1916
BT_1579,11238,9851,11783,16357,17311,13377
BT_1580,3686,3243,3908,5194,5692,4368
BT_1581,904,790,987,1455,1828,1235
BT_1582,1402,1164,1583,2246,2813,2142
BT_1583,4476,3793,4961,8296,10379,7001
BT_1584,49,58,52,109,93,67
BT_1585,107,86,90,179,225,165
BT_1586,433,401,526,855,1004,787
BT_1587,822,703,942,1402,1618,1208
BT_1588,506,426,503,834,930,686
BT_1589,0,0,0,5,7,1
BT_1590,62,56,56,175,159,101
BT_1591,217,183,200,618,729,535
BT_1592,4930,3958,5299,4256,5556,4664
BT_1593,1940,1791,2190,3192,3783,2847
BT_1594,1988,1846,2249,3301,3842,2846
BT_1595,18155,16513,20616,25909,27052,23279
BT_1596,251,235,278,474,461,360
BT_1597,259,262,290,671,738,607
BT_1598,199,150,214,495,605,436
BT_1599,551,420,585,566,691,591
BT_1600,693,556,690,746,861,647
BT_1601,23178,21241,26528,32306,37034,29237
BT_1602,345,326,468,764,600,528
BT_1603,0,1,0,2,0,1
BT_1604,61,68,67,77,93,81
BT_1605,38,33,41,48,43,35
BT_1606,274,226,272,390,453,347
BT_1607,6098,5639,6973,10830,11584,9570
BT_1608,552,556,637,1427,1528,1210
BT_1609,745,622,862,1726,1937,1290
BT_1610,7966,7072,8874,11291,13027,10421
BT_1611,782,670,797,996,1243,994
BT_1612,543,481,622,585,773,676
BT_1613,11833,11015,13550,25675,32192,21870
BT_1614,1878,1549,2117,3147,3764,2922
BT_1615,8026,7027,8713,15349,15849,13159
BT_1616,135,124,152,261,285,231
BT_1617,389,380,436,1033,1176,925
BT_1618,180,179,206,644,825,621
BT_1619,272,194,264,637,776,569
BT_1620,209,199,270,745,756,601
BT_1621,63,73,98,166,198,162
BT_1622,308,227,329,451,534,436
BT_1623,1790,1423,1793,1670,2290,2134
BT_1624,2418,2263,2738,16357,18227,14363
BT_1625,1396,1249,1589,8546,9867,8515
BT_1626,503,404,554,2138,2284,1846
BT_1627,486,434,531,740,930,803
BT_1628,631,531,695,1180,1136,1019
BT_1629,141,125,173,231,205,196
BT_1630,119,105,128,147,163,152
BT_1631,322,293,371,489,522,462
BT_1632,157,131,196,156,201,185
BT_1633,1471,1304,1512,2343,2725,2059
BT_1634,3494,3184,3702,5706,6392,5071
BT_1635,4745,4205,5361,9248,10938,8274
BT_1636,3396,3166,3798,14402,15088,12108
BT_1637,19,12,22,20,22,14
BT_1638,444,423,563,831,1015,719
BT_1639,328,285,403,788,851,627
BT_1640,99,81,140,139,179,141
BT_1641,298,293,345,544,688,559
BT_1642,3073,2759,3369,5087,6360,5096
BT_1643,10,7,7,2,3,1
BT_1644,113,110,144,158,219,143
BT_1645,105,105,133,176,213,131
BT_1646,129,119,132,216,229,168
BT_1647,53,43,69,49,104,61
BT_1648,220,157,212,299,342,264
