gene_id,MMGlucose_1,MMGlucose_2,MMGlucose_3,MMAAGP_1,MMAAGP_2,MMAAGP_3
BT_1846,3814,3210,4069,2964,3596,3681
BT_1847,33729,30111,41090,61602,67058,49226
BT_1848,1054,926,1174,1407,1719,1329
BT_1849,5,2,3,13,6,7
BT_1850,787,674,956,1460,1565,1282
BT_1851,1412,1197,1486,2352,2813,2182
BT_1852,1098,732,1187,865,984,966
BT_1853,1564,1355,1649,1968,2275,1865
BT_1854,1020,861,1053,1687,1880,1427
BT_1855,1030,934,1236,1959,2226,1730
BT_1856,2020,1852,2000,2706,3047,2463
BT_1857,27270,31825,38025,10542,11982,9631
BT_1858,15088,16144,18692,4603,5014,4464
BT_1859,6477,6598,7498,2184,2289,1971
BT_1860,19069,19213,21825,6306,6446,5617
BT_1861,28712,26202,31331,8067,8841,7395
BT_1862,31133,27106,33584,50305,61495,37472
BT_1863,8,7,6,31,40,23
BT_1864,0,0,0,0,0,0
BT_1865,3,2,6,3,2,8
BT_1866,0,0,0,0,0,0
BT_1867,4,3,6,21,14,9
BT_1868,2,4,5,4,4,4
BT_1869,10,6,3,8,19,7
BT_1870,116,108,126,195,228,187
BT_1871,165905,146836,181695,220383,251387,206051
BT_1872,69610,58777,77070,66808,72250,56410
BT_1873,65,54,90,100,114,79
BT_1874,88,110,137,214,282,175
BT_1875,202,172,224,431,487,429
BT_1876,328,292,397,778,867,670
BT_1877,176,153,205,368,381,302
BT_1878,4498,3737,5012,7088,8371,7081
BT_1879,4786,4213,5307,7606,8812,6595
BT_1880,2025,1683,2246,3542,3902,2958
BT_1881,2649,2314,2945,4586,4923,4148
BT_1882,3104,2766,3528,5749,5836,5039
BT_1883,1641,1412,1829,2347,2868,2399
BT_1884,72,63,80,115,140,80
BT_1885,46,38,78,49,90,72
BT_1886,65,87,114,117,139,165
BT_1887,903,1046,1299,2620,3520,2616
BT_1888,756,589,881,1236,1411,1055
BT_1889,570,484,619,940,1189,899
BT_1890,36,35,35,45,56,33
BT_1891,1,0,0,1,1,1
BT_1892,0,1,2,1,1,1
BT_1893,117,70,125,251,321,210
BT_1894,420,370,444,632,736,568
BT_1895,4035,3212,4551,9221,10122,7239
BT_1896,19362,14638,19668,40125,50893,35959
BT_1897,1081,874,1136,2228,2582,1970
BT_1898,1116,987,1211,2442,2843,2163
BT_1899,1311,1182,1485,1734,2226,1550
BT_1900,15,6,22,28,43,32
BT_1901,9,7,5,7,11,4
BT_1902,18,23,21,8,15,14
BT_1903,2677,2314,3096,2506,2676,1851
BT_1904,318,229,330,332,487,379
BT_1905,226,185,227,315,398,259
BT_1906,197,187,234,334,394,302
BT_1907,958,814,1044,1971,2241,1603
BT_1908,2413,1960,2559,2415,2836,2279
BT_1909,9,5,5,11,12,11
BT_1910,750,653,898,1231,1394,1097
BT_1911,1776,1242,1659,2735,2778,2286
BT_1912,4,3,2,14,9,9
BT_1913,2300,1988,2549,2023,2500,1922
BT_1914,770,572,835,2051,2604,1842
BT_1915,1883,1492,1817,38109,40318,33609
BT_1916,454,399,448,9547,9898,8853
BT_1917,2493,2248,2673,65219,72192,56601
BT_1918,1121,929,1239,1256,1554,1473
BT_1919,2098,1725,2091,1423,1755,1346
BT_1920,94,82,109,144,155,98
BT_1921,396,350,410,824,923,620
BT_1922,1030,860,1105,855,1227,1131
BT_1923,10397,9401,11446,11981,12934,11533
BT_1924,790,649,843,1425,1511,1243
BT_1925,61,46,59,124,111,96
BT_1926,154,120,144,129,169,127
BT_1927,178,155,180,120,105,85
BT_1928,10,17,15,49,71,43
BT_1929,6,4,11,18,37,18
BT_1930,17,19,18,30,44,26
BT_1931,4738,4214,5463,8716,9979,7881
BT_1932,371,331,428,671,779,670
BT_1933,230,180,239,409,517,353
BT_1934,1495,1277,1523,2850,3014,2404
BT_1935,1769,1482,1928,3246,3556,2840
BT_1936,2095,1767,2212,3789,4006,3137
BT_1937,1192,1024,1222,1811,2200,1765
BT_1938,932,795,1006,1617,1855,1391
BT_1939,2125,1746,2171,3854,4437,3284
BT_1940,1194,1076,1397,1913,2213,1817
BT_1941,61,52,61,27,38,23
BT_1942,25,21,27,18,15,14
BT_1943,8,5,14,25,21,11
BT_1944,16,12,10,16,8,12
BT_1945,15,4,14,13,19,19
BT_1946,2,5,3,6,14,8
BT_1947,2,3,2,14,16,8
BT_1948,1,1,0,24,24,25
BT_1949,26,32,51,2963,3145,2488
BT_1950,38,28,59,3166,3455,2863
BT_1951,53,42,41,2322,2535,2213
BT_1952,111,94,107,7584,8246,6630
BT_1953,320,257,359,18597,21190,17281
BT_1954,193,196,239,16316,17030,14332
BT_1955,630,617,739,57595,56957,48786
BT_1956,629,561,639,56301,56970,50486
BT_1957,691,705,768,68627,76974,66845
BT_1958,14639,11548,14114,26969,23011,15196
BT_1959,8,3,2,17,15,11
BT_1960,6,6,3,8,10,6
BT_1961,11,21,17,29,38,17
BT_1962,829,777,892,1325,1675,1224
BT_1963,949,888,1145,1671,2008,1487
BT_1964,257,258,358,310,288,228
BT_1965,127,103,125,106,115,75
BT_1966,158,133,157,77,99,79
BT_1967,64,56,59,36,42,40
BT_1968,407,350,442,510,620,548
BT_1969,23022,20325,25367,10770,11990,11498
BT_1970,141419,137552,167758,59736,66786,54413
BT_1971,3665,3079,3838,4669,4805,4229
BT_1972,3851,3480,4410,5263,6345,4977
BT_1973,10151,8414,11858,18598,19190,14800
BT_1974,11394,10363,13146,14598,17110,13496
BT_1975,8916,7833,10059,12068,14386,10865
BT_1976,384,354,430,594,642,477
BT_1976a,1480,1278,1657,2339,2583,2005
BT_1977,5457,4841,5794,4962,6474,5787
BT_1978,2210,1807,2383,1973,2389,1911
BT_1979,35298,30748,40274,17484,19895,17868
BT_1980,909,770,1003,867,955,766
BT_1981,18,22,17,34,65,40
BT_1982,12,10,12,26,29,26
BT_1983,249,188,268,326,366,290
BT_1984,87,75,100,132,155,122
BT_1985,453,341,458,476,613,474
BT_1986,826,596,775,615,642,561
BT_1987,41,28,27,22,23,20
BT_1988,55,40,64,56,71,50
BT_1989,82,69,101,158,168,143
BT_1990,3,0,2,0,5,1
BT_1991,1,0,0,3,0,1
BT_1992,12,7,14,26,24,22
BT_1993,584,543,650,1039,1391,1039
BT_1994,82,71,88,279,297,211
BT_1995,208,161,229,766,857,610
BT_1996,2,0,2,4,12,4
BT_1997,23,17,29,115,156,106
BT_1998,10325,8600,11159,66578,68401,61947
BT_1999,101,57,99,156,223,279
BT_2000,2024,1720,2087,2817,3825,3629
BT_2001,7503,6701,8629,8806,9464,7812
BT_2002,4687,4075,5303,5647,6868,5613
BT_2003,1499,1305,1700,1772,2034,1681
BT_2004,809,694,960,775,998,832
BT_2005,3874,3112,4191,3633,4240,3607
BT_2006,2723,2252,2844,3047,3572,2990
BT_2007,3765,3258,4160,5078,6007,4863
BT_2008,7102,6233,7520,9487,10736,8426
BT_2009,3417,3093,3680,4668,5297,4483
BT_2010,533,465,606,726,804,707
BT_2011,1492,1321,1708,2111,2480,2095
BT_2012,1779,1521,1874,1987,2586,2063
BT_2013,2449,2115,2716,3312,4049,2944
BT_2014,814,818,981,1100,1230,974
BT_2015,406,339,456,516,593,470
BT_2016,8434,7329,9114,9400,11191,9259
BT_2017,6529,5830,7138,8798,10531,8405
BT_2018,1654,1426,1763,2346,2613,2189
BT_2019,629,587,693,1081,1183,1045
BT_2020,60,43,60,151,161,134
BT_2021,4,1,3,5,5,4
BT_2022,13,5,11,13,14,8
BT_2023,22,21,39,71,71,55
BT_2024,111,109,102,192,225,188
BT_2025,3,1,6,3,8,4
BT_2026,5,2,9,7,13,11
BT_2027,2,4,0,7,13,7
BT_2028,3,1,12,13,18,9
BT_2029,0,0,2,0,1,1
BT_2030,3571,2961,3865,5005,6106,4652
BT_2031,2336,2000,2591,2811,3381,2518
BT_2032,1933,1730,1978,1342,1096,987
BT_2033,989,876,1071,762,666,526
BT_2034,3490,2974,3809,5184,5682,4662
BT_2035,6734,5793,7264,5944,7533,6985
BT_2036,5336,4559,5916,9221,10643,8035
BT_2037,1761,1437,1990,2514,2841,2476
BT_2038,538,450,580,368,515,355
BT_2039,930,749,1034,633,733,648
BT_2040,424,320,468,287,325,318
BT_2041,1654,1380,1690,3928,4192,3242
BT_2042,3532,3080,3996,4434,5153,4617
BT_2043,884,783,940,1527,1726,1281
BT_2044,1647,1473,1877,3179,3427,2624
BT_2045,1801,1555,1988,3825,4068,2847
BT_2046,1928,1668,2237,2570,2997,2360
BT_2047,3843,3401,4121,5052,5803,4545
BT_2048,1441,1233,1663,1933,2143,1656
BT_2049,8261,7266,9342,9275,10481,7633
BT_2050,1893,1637,2034,2515,2756,2136
BT_2051,3077,2677,3299,4070,4909,3789
BT_2052,47814,43236,51752,68124,73497,53683
BT_2053,72988,65766,83421,98503,108363,82535
BT_2054,38882,36185,44227,50987,51857,40984
BT_2055,90830,83646,104407,117776,125560,100994
BT_2056,1465,1179,1583,1803,2216,1971
BT_2057,1986,1649,2306,3247,3889,3190
BT_2058,4746,4127,4976,8115,9541,7753
BT_2059,38392,33487,42276,53634,58988,45098
BT_2060,2705,2239,2840,3960,4629,3908
BT_2061,2556,2230,2726,3531,4214,3692
BT_2062,9602,7483,10318,5970,8125,8331
BT_2063,126,110,137,104,112,117
BT_2064,146,158,187,175,189,166
BT_2065,156,116,139,131,213,177
BT_2066,375,315,426,615,761,571
BT_2067,791,743,861,1139,1406,1142
BT_2068,451,391,472,500,638,587
BT_2069,786,778,1041,1472,1588,1235
BT_2070,12080,9992,12176,4848,4516,4253
BT_2071,8142,6469,7678,3558,3343,2779
BT_2072,15832,12538,15548,6160,5803,5751
BT_2073,2561,2234,2871,3040,3455,3023
BT_2074,74707,75127,91144,39233,44019,35405
BT_2075,6861,6459,8022,3029,3340,2910
BT_2076,7229,6660,8539,3497,3959,3297
BT_2077,22529,20232,25767,8233,9748,8544
BT_2078,26839,23358,29968,10356,11998,10264
BT_2079,8022,6291,9227,7689,10450,9489
BT_2080,1872,1416,1983,2306,2739,2293
BT_2081,1201,897,1208,694,800,672
BT_2082,1084,826,1154,1026,1241,962
BT_2083,1083,750,1109,1487,1656,1515
BT_2084,11118,9569,11986,12131,13776,11725
BT_2085,5876,4919,6438,5961,7307,6426
BT_2086,1277,976,1283,1812,2324,1911
BT_2087,568,498,640,1373,1453,1149
BT_2088,135,131,167,214,245,187
BT_2089,4357,3550,4886,3938,4691,3781
BT_2090,22399,19537,22971,12911,14073,11999
BT_2091,19885,17796,20746,12326,13468,11532
BT_2092,18926,17310,21377,22890,25260,18903
BT_2093,1247,1004,1300,1535,2364,2252
BT_2094,128,94,157,2870,3658,3013
BT_2095,174,132,159,3173,4270,3318
BT_2096,350,344,386,635,771,534
BT_2097,270,261,327,690,731,615
BT_2098,1694,1601,1970,2272,2810,2139
BT_2099,1805,1671,2186,2509,2758,2050
BT_2100,664,606,708,875,987,804
BT_2101,241,235,312,462,485,365
BT_2102,925,856,1054,1817,2084,1531
BT_2103,2724,2291,3011,5121,5810,4317
BT_2104,156,147,151,208,246,224
BT_2105,133,91,121,241,265,198
BT_2106,33,36,45,72,91,69
BT_2107,142,116,134,150,175,123
BT_2108,71,51,64,89,73,67
BT_2109,48,40,46,44,29,32
BT_2110,62,39,72,73,85,58
BT_2111,110,89,106,165,180,146
BT_2112,57,45,56,89,89,74
BT_2113,140,154,197,304,315,241
BT_2114,315,302,394,431,459,349
BT_2115,279,283,393,828,420,289
BT_2116,993,910,1101,1476,1721,1165
BT_2117,1526,1535,1548,195,215,161
BT_2118,3736,3538,3663,391,484,314
BT_2119,1192,999,1123,88,113,90
BT_2120,305,269,316,383,440,351
BT_2121,1020,793,1014,989,1158,840
BT_2122,22540,20136,25102,28967,32256,27068
BT_2123,4901,4087,5304,4690,5337,4916
BT_2124,28875,25737,32609,36485,40043,33744
BT_2125,8063,6692,8925,9997,14301,10815
BT_2126,1965,1695,2153,2469,2782,2356
BT_2127,1461,1347,1700,1396,1747,1747
BT_2128,4768,4140,5274,6244,6955,6019
BT_2129,13787,13069,16058,12144,13723,11643
BT_2130,27800,26164,32926,38616,43094,31223
BT_2131,386,325,453,3120,3172,2346
BT_2132,161,138,193,404,456,302
BT_2133,11106,9744,12357,18942,23138,16761
BT_2134,1722,1468,2018,2277,2854,2465
BT_2135,1419,1188,1658,2704,3179,2191
BT_2136,2507,2206,2697,3583,4217,3282
BT_2137,1,2,2,13,10,11
BT_2138,86,74,79,129,159,117
BT_2139,1447,1277,1604,2172,2780,2088
BT_2140,849,740,903,829,934,799
BT_2141,2169,1956,2528,3199,3687,2563
BT_2142,4048,3553,4425,5064,5786,4453
BT_2143,26832,24198,30740,38631,44815,35662
BT_2144,2882,2465,3149,6366,7513,5933
BT_2145,27720,24799,30402,66244,71723,61221
BT_2146,3836,3519,4329,7652,8204,7017
BT_2147,141,112,114,208,266,229
BT_2148,1404,1180,1501,2169,2364,1932
BT_2149,1069,1024,1301,1916,2234,1607
BT_2150,3207,2581,3395,2809,3490,3110
BT_2151,1929,1498,2108,1338,1808,1880
BT_2152,2374,1988,2461,3171,3737,3271
BT_2153,2042,1430,2158,1494,1879,1802
BT_2154,4997,4409,5397,14102,15715,13486
BT_2155,33649,29400,37024,52381,60464,39101
BT_2156,17689,16156,19293,1330,1414,1141
BT_2157,76839,69407,83690,5255,5580,4868
BT_2158,48730,43017,54192,3556,3434,3094
BT_2159,27491,23896,29959,2744,3544,2756
BT_2160,12728,12063,14764,23150,27083,21293
BT_2161,33702,31787,38921,45054,49221,38574
BT_2162,29880,27214,34526,39247,44195,36991
BT_2163,45174,40213,52231,63133,75539,60103
BT_2164,1188,1023,1283,1593,1861,1442
BT_2165,31395,27448,35222,43579,50412,36930
BT_2166,11942,9652,12348,12755,15221,12317
BT_2167,1535,1490,1748,20394,22620,19497
BT_2168,869,724,1016,1434,1789,1433
BT_2169,407,338,451,848,874,743
BT_2170,533,476,596,4836,5019,4303
BT_2171,1277,1146,1399,11082,11705,9423
BT_2172,667,554,744,6133,6280,5230
BT_2173,163,133,155,1375,1424,1255
BT_2174,297,259,306,693,776,628
BT_2175,168,139,183,304,395,281
BT_2176,467,476,572,685,798,581
BT_2177,855,832,1040,1035,1206,913
BT_2178,15611,13637,18112,1236,1389,966
BT_2179,2153,1816,2342,2562,3061,2559
BT_2180,1060,1023,1227,1868,2228,1731
BT_2181,739,660,883,1075,1243,1029
BT_2182,497,476,633,760,805,728
BT_2183,1684,1464,1933,2649,3409,2658
BT_2184,21,17,13,12,17,13
BT_2185,14,17,32,15,13,11
BT_2186,4521,3848,5277,4275,5586,4529
BT_2187,567,493,647,686,824,660
BT_2188,358,358,444,206,277,239
BT_2189,754,664,836,1210,1441,1027
BT_2190,156,111,157,196,247,191
BT_2191,333,307,341,452,518,400
BT_2192,139,123,151,155,174,145
BT_2193,161,116,157,125,150,131
BT_2194,62,46,88,36,43,46
BT_2195,99,81,116,64,107,101
BT_2196,258,191,250,312,376,288
BT_2197,231,162,250,343,400,319
BT_2198,741,701,797,1233,1420,987
BT_2199,788,649,891,1010,1139,959
BT_2200,217,182,248,287,353,285
BT_2201,140,178,175,246,315,233
BT_2202,465,419,565,805,828,671
BT_2203,193,167,175,275,345,249
BT_2204,2934,2604,3184,4324,5490,4331
BT_2205,646,579,646,713,858,744
BT_2206,1042,857,1037,1155,1518,1108
BT_2207,2314,2038,2675,2792,3142,2602
BT_2208,297,269,356,406,481,331
BT_2209,605,490,608,837,1037,821
BT_2210,679,638,844,1064,1352,1092
BT_2211,2280,2122,2738,2822,3436,2941
BT_2212,2921,2714,3403,4197,4755,4028
BT_2213,2668,2357,3062,2449,3192,2948
BT_2214,1989,1638,2207,1906,2640,2204
BT_2215,3573,3041,3976,3527,4448,3722
BT_2216,2302,2028,2537,4002,4530,3361
BT_2217,219,188,247,295,354,287
BT_2218,39,27,33,30,41,37
BT_2219,223,178,246,231,250,241
BT_2220,48,41,57,86,82,62
BT_2221,19,9,19,20,21,22
BT_2222,16,18,14,28,32,32
BT_2223,279,258,345,496,591,345
BT_2224,1211,1068,1339,1693,1925,1474
BT_2225,321,277,344,340,381,317
BT_2226,439,372,483,683,853,599
BT_2227,22,36,33,47,59,56
BT_2228,21214,18351,23603,35719,42724,30227
BT_2229,9848,8482,10564,11767,13832,11389
BT_2230,20709,17436,23077,22510,23680,21082
BT_2231,6430,5501,7296,9091,10540,8341
BT_2232,2797,2526,3124,3683,4414,3294
BT_2233,892,725,976,1001,1357,964
BT_2234,1521,1277,1630,1975,2316,1815
BT_2235,1355,1117,1553,1855,2173,1667
BT_2236,554,434,598,825,969,751
BT_2237,1224,1011,1407,1915,2221,1788
BT_2238,1323,1194,1441,2233,2529,2061
BT_2239,3629,3426,4306,7074,7983,6356
BT_2240,1585,1271,1611,2834,3274,2491
BT_2241,677,591,759,803,928,689
BT_2242,790,624,908,556,668,636
BT_2243,679,767,886,1595,1769,1451
BT_2244,729,701,893,1582,1785,1389
BT_2245,352,377,445,833,981,727
BT_2246,1356,1347,1650,2834,3296,2655
BT_2247,227,210,263,374,498,377
BT_2248,483,438,597,851,1042,749
BT_2249,14158,12374,16258,18247,21921,17529
BT_2250,2788,2383,2902,2666,3300,3123
BT_2251,752,659,791,977,1164,981
BT_2252,1876,1611,2120,2672,2953,2347
BT_2253,791,725,817,1432,1576,1267
BT_2254,166,146,212,299,323,283
BT_2255,820,734,895,1366,1436,1167
BT_2256,23665,20809,25059,32209,34934,30013
BT_2257,15902,14102,17588,9741,11430,9944
BT_2258,9947,8631,11217,11718,13620,11676
BT_2259,24409,20834,24860,15780,16155,13837
BT_2260,42865,35888,42036,27265,25608,22781
BT_2261,8324,7173,7972,4273,4413,3495
BT_2262,8548,7101,8151,3814,3535,3174
BT_2263,16279,13715,15689,6297,5726,5521
BT_2264,36940,31793,36280,14946,13805,12956
BT_2265,3,3,5,2,0,3
BT_2266,154,115,163,251,247,167
BT_2267,578,490,619,936,959,891
BT_2268,93808,80090,97407,63634,61408,53496
BT_2269,33484,28953,34966,24235,22166,19684
BT_2270,1065,944,1166,1408,1658,1290
BT_2271,817,696,870,840,923,747
BT_2272,18836,16256,21339,22077,24569,18198
BT_2273,4843,4061,5119,6573,7531,5499
BT_2274,3405,2739,3942,2364,3546,3449
BT_2275,0,0,0,0,0,0
BT_2276,1701,1432,1913,3122,3462,2683
BT_2277,77,73,94,115,136,107
BT_2278,435,334,451,676,877,770
BT_2279,541,420,645,580,624,637
BT_2280,330,292,425,507,614,530
BT_2281,1518,1298,1691,3590,4319,2890
BT_2282,3,1,3,9,12,8
BT_2283,1,1,1,2,1,1
BT_2284,3,0,3,1,5,1
BT_2285,4,4,6,10,20,18
BT_2286,10,5,11,9,3,7
BT_2287,13,14,14,12,14,14
BT_2288,7,12,13,2,8,6
BT_2289,14,15,17,4,19,8
BT_2290,14,11,13,17,14,11
BT_2291,2,2,1,1,1,2
BT_2292,5,7,2,4,4,4
BT_2293,10,8,6,3,5,4
BT_2294,17,9,24,10,20,14
BT_2295,1,0,0,0,1,1
BT_2296,2,1,5,2,2,9
BT_2297,280,253,352,357,522,328
BT_2298,22,15,27,32,19,24
BT_2299,3,5,4,2,7,1
BT_2300,3,0,1,3,0,0
BT_2301,33,21,21,56,75,51
BT_2302,5,5,4,3,4,4
BT_2303,0,0,1,3,0,2
BT_2304,3,4,5,13,14,9
BT_2305,4,3,11,10,11,7
BT_2306,6,7,7,10,15,9
BT_2307,12,3,11,8,9,4
BT_2308,5,3,7,5,12,9
BT_2309,7,8,11,18,18,18
BT_2310,12,5,6,10,8,6
BT_2311,29,33,35,17,23,15
BT_2312,3,3,6,3,3,3
BT_2313,18,5,9,6,12,13
BT_2314,3,7,12,7,8,3
BT_2315,2,9,5,7,14,7
BT_2316,69,58,64,57,97,87
BT_2317,169,113,136,195,220,179
BT_2318,29,21,29,32,42,34
BT_2319,36,28,45,42,48,41
BT_2320,112,123,142,244,210,158
BT_2321,86,68,78,121,133,87
BT_2322,356,326,361,413,453,423
BT_2323,11,7,8,12,15,7
BT_2324,33,12,28,18,25,18
BT_2325,0,2,0,3,5,4
BT_2326,38,32,43,82,93,66
BT_2327,426,384,496,671,707,548
BT_2328,757,774,912,1038,1198,987
BT_2329,814,653,931,955,1138,898
BT_2330,3461,3190,3663,5280,5567,4150
BT_2331,955,859,912,1611,1459,1151
BT_2332,18,5,17,17,15,8
BT_2333,58,46,47,30,39,42
BT_2334,13,9,5,8,10,8
BT_2335,22,28,20,35,37,30
BT_2336,2,1,0,0,0,2
BT_2337,1,0,2,1,5,1
BT_2338,267,235,308,508,549,439
BT_2339,117,105,158,155,181,146
BT_2340,145,106,136,171,199,166
BT_2341,597,536,680,899,970,859
BT_2342,223,201,251,374,333,296
BT_2343,115,112,142,230,243,208
BT_2344,31,34,39,59,71,41
BT_2345,88,97,113,152,176,151
BT_2346,49,25,43,50,63,47
BT_2347,20,8,16,29,18,20
BT_2348,6,11,6,8,13,12
BT_2349,1365,1186,1515,2386,2545,2069
BT_2350,4,2,10,1,16,7
BT_2351,0,0,0,0,0,0
BT_2352,24,25,24,31,29,20
BT_2353,4941,4362,5126,7047,7707,6159
BT_2354,10653,9359,11684,13647,15923,12827
BT_2355,3708,3252,4072,5716,5538,4219
BT_2356,136,84,120,200,257,190
BT_2357,96,83,108,149,211,148
BT_2358,47,38,52,123,113,83
BT_2359,35,32,42,57,68,70
BT_2360,1217,994,1235,1314,1954,1559
BT_2361,700,512,728,620,786,769
BT_2362,41,34,51,57,69,48
BT_2363,50,54,62,70,69,65
BT_2364,57,42,61,35,44,42
BT_2365,9,14,20,15,17,6
BT_2366,551,520,682,848,1095,806
BT_2367,3258,3111,3753,5838,5991,4663
BT_2368,869,803,1006,1287,1626,1195
BT_2369,957,658,989,987,1129,821
BT_2370,692,579,773,1589,1640,1285
BT_2371,975,814,985,1212,1734,1313
BT_2372,207,205,224,284,324,268
BT_2373,1281,1088,1426,2172,2440,2074
BT_2374,1357,1140,1497,1848,2191,1787
BT_2375,0,1,1,4,1,0
BT_2376,80,70,97,124,171,122
BT_2377,230,187,232,270,342,286
BT_2378,197,163,237,208,257,246
BT_2379,382,301,447,567,694,501
BT_2380,317,309,429,473,622,474
BT_2381,364,324,384,545,688,497
BT_2382,318,291,369,244,334,232
BT_2383,103,118,149,233,258,193
BT_2384,385,274,370,473,646,478
BT_2385,641,599,711,1053,1247,966
BT_2386,402,328,419,595,596,552
BT_2387,2362,2849,3290,412,416,401
BT_2388,3357,2848,3869,2528,2623,1994
BT_2389,14193,12317,16046,13716,16687,12081
BT_2390,3235,2791,3512,3959,4096,3180
BT_2391,1597,1419,1865,2088,2595,2040
BT_2392,15,8,12,12,13,16
BT_2393,45,41,47,82,66,74
BT_2394,38,26,26,70,64,45
BT_2395,35,34,36,116,106,77
BT_2396,2423,2170,2808,3829,3310,2520
BT_2397,884,813,1012,1045,1245,1018
BT_2398,30,34,28,35,53,39
BT_2399,4,5,6,7,6,3
BT_2400,2042,1847,2255,1600,1774,1498
BT_2401,4051,3399,4391,2681,2853,2688
BT_2402,2849,2100,2952,690,809,979
BT_2403,10284,8219,11166,4869,5441,5132
BT_2404,152,116,175,235,290,229
BT_2405,2267,1928,2437,3115,3321,2850
BT_2406,2460,2099,2563,3366,3748,3149
BT_2407,2570,2245,2776,3095,3630,3151
BT_2408,514,446,593,754,871,799
BT_2409,4550,4291,5049,7418,7651,6347
BT_2410,1057,938,1207,1839,1876,1525
BT_2411,1183,1054,1272,1241,1558,1276
BT_2412,5566,4702,5936,5443,6774,5682
BT_2413,6415,5314,6678,7760,8262,6879
BT_2414,35037,27474,35537,93644,81078,58055
BT_2415,32668,29706,36906,28161,30266,24492
BT_2416,11848,9980,12592,11874,13303,11198
BT_2417,7802,6857,8794,10941,12473,9465
BT_2418,4545,3656,4651,4170,5829,4460
BT_2419,20653,18141,22498,30446,33277,26977
BT_2420,652,602,770,1067,1284,977
BT_2421,43,36,45,45,57,46
BT_2422,13,6,10,10,17,12
BT_2423,9,4,9,17,17,19
BT_2424,21,17,19,48,80,55
BT_2425,13,19,25,49,71,44
BT_2426,19,11,12,93,105,57
BT_2427,3,3,6,2,6,2
BT_2428,1,0,3,1,1,4
BT_2429,278,237,292,727,806,534
BT_2430,1217,993,1255,713,800,739
BT_2431,718,595,755,860,941,803
BT_2432,349,278,356,275,340,274
BT_2433,2970,2576,3322,3264,3601,3047
BT_2434,28642,23123,27819,5540,5817,4999
BT_2435,3883,2894,3551,1117,1323,975
BT_2436,915,917,1111,2171,2267,1685
BT_2437,11990,9092,11979,18930,19889,18285
BT_2438,12559,9700,12241,18225,18732,16377
BT_2439,3596,2901,4015,4225,4996,3990
BT_2440,422,313,449,295,317,292
BT_2441,669,575,791,610,701,657
BT_2442,14,19,24,14,26,22
BT_2443,23,32,34,33,43,22
BT_2444,20,13,17,19,13,11
BT_2445,143,155,171,296,367,283
BT_2446,77,65,97,180,214,158
BT_2447,32,34,37,72,90,60
BT_2448,93,74,115,137,136,132
BT_2449,62,46,65,56,89,68
BT_2450,776,686,849,2058,2189,1711
BT_2451,753,632,774,2073,2342,1910
BT_2452,306,267,351,871,978,762
BT_2453,62,66,78,163,173,158
BT_2454,65,54,53,163,182,151
BT_2455,14,5,14,13,20,18
BT_2456,11,9,12,5,15,16
BT_2457,84,65,118,118,167,116
BT_2458,135,108,148,169,198,156
BT_2459,408,407,529,647,688,482
BT_2460,190,175,221,326,372,289
BT_2461,426,371,515,717,786,625
BT_2462,394,364,409,726,732,617
BT_2463,557,474,648,801,854,738
BT_2464,17,13,17,30,45,41
BT_2465,44,33,50,98,92,69
BT_2466,201,177,229,473,364,330
BT_2467,13,10,8,10,17,8
BT_2468,18,16,14,15,22,16
BT_2469,2,1,1,2,3,2
BT_2470,72,49,76,147,165,104
BT_2471,74,83,104,92,113,124
BT_2472,207,184,270,206,247,218
BT_2473,12,15,13,19,24,15
BT_2474,46,29,42,30,38,44
BT_2475,76,78,102,106,122,98
BT_2476,21,17,18,19,19,19
BT_2477,32,38,34,29,35,21
BT_2478,47,38,37,38,26,29
BT_2479,103,93,95,98,111,99
BT_2480,38,27,37,44,53,39
BT_2481,8,3,13,18,10,12
BT_2482,4,8,6,16,12,15
BT_2483,183,165,206,395,449,351
BT_2484,1867,1522,1785,3336,3488,2834
BT_2485,42,43,54,76,50,42
BT_2486,231,192,227,238,234,181
BT_2487,58,53,62,55,80,51
BT_2488,1033,780,1034,763,980,863
BT_2489,71389,63376,79423,127168,135784,93684
BT_2490,27,30,20,60,47,26
BT_2491,104,64,115,156,157,140
BT_2492,95,81,101,184,177,157
BT_2493,39707,36904,44985,64711,71279,57407
BT_2494,859,678,936,1091,1295,1098
BT_2495,803,692,842,889,1092,923
BT_2496,866,729,936,1194,1363,1051
BT_2497,1265,1160,1380,1757,1954,1654
BT_2498,1605,1533,1873,2476,2673,2173
BT_2499,6551,5335,6586,2274,2365,2039
BT_2500,343,338,422,1177,1374,897
BT_2501,720,622,770,797,994,837
BT_2502,1146,1003,1204,7702,8669,6816
BT_2503,566,509,606,4291,4753,3648
BT_2504,539,457,566,3802,4270,3269
BT_2505,2539,2203,2668,3135,3354,2700
BT_2506,353,363,373,573,515,370
BT_2507,805,773,959,1300,1379,1226
BT_2508,322,228,386,502,563,494
BT_2509,395,340,338,624,667,537
BT_2510,16907,14036,17760,12151,12703,10829
BT_2511,410,335,424,667,807,557
BT_2512,554,440,595,677,796,562
BT_2513,2220,1982,2513,3796,4273,3167
BT_2514,93,87,96,160,177,137
BT_2515,2161,1674,2440,3308,3257,2203
BT_2516,63,48,73,64,90,67
BT_2517,4416,3578,4766,4771,5015,4172
BT_2518,5634,5057,6543,8322,9340,7461
