,CF AU1054,Soil AU1054,CF HI2424,Soil HI2424,CF AU1054,Soil AU1054,CF HI2424,Soil HI2424
Bcen_0133,0,0,1,0,39,20,1,7
Bcen_0134,2,11,15,3,159,111,3,44
Bcen_0135,0,4,19,3,156,128,2,20
Bcen_0136,0,0,6,1,107,67,0,11
Bcen_0137,0,1,19,0,112,71,2,24
Bcen_0138,1,3,32,0,100,97,4,22
Bcen_0139,0,5,47,0,164,158,2,49
Bcen_0140,2,7,41,2,118,149,1,27
Bcen_0141,2,2,12,0,105,115,2,28
Bcen_0142,2,4,16,0,139,81,1,22
Bcen_0143,9,4,21,3,92,83,8,24
Bcen_0144,1,2,53,1,117,172,5,35
Bcen_0145,0,4,12,2,62,42,7,18
Bcen_0146,0,4,32,1,82,90,5,17
Bcen_0147,5,6,27,2,128,101,6,16
Bcen_0148,77,87,217,112,342,388,54,154
Bcen_0149,9,40,25,14,42,57,1,48
Bcen_0150,17,17,32,12,70,87,9,20
Bcen_0151,14,19,29,3,86,105,4,14
Bcen_0152,4,12,19,1,104,73,13,19
Bcen_0153,5,12,16,3,84,44,15,20
Bcen_0154,8,9,26,3,113,80,5,36
Bcen_0155,101,27,267,45,294,249,73,115
Bcen_0156,154,17,351,45,180,191,75,43
Bcen_0157,1,3,30,1,133,100,4,29
Bcen_0158,0,7,21,0,104,110,6,30
Bcen_0159,0,3,25,0,183,123,9,32
Bcen_0160,1,2,24,1,154,146,4,44
Bcen_0161,2,5,22,0,122,104,2,31
Bcen_0162,0,8,19,2,69,90,5,35
Bcen_0163,0,17,63,6,129,195,2,34
Bcen_0164,1,8,25,0,161,129,2,25
Bcen_0165,0,2,11,1,65,62,0,14
Bcen_0166,61,57,46,7,40,53,7,26
Bcen_0167,14,18,49,24,86,68,16,41
Bcen_0168,9,12,32,9,110,98,13,33
Bcen_0169,1,3,20,1,84,65,6,19
Bcen_0170,1,4,14,1,47,26,6,7
Bcen_0171,77,29,270,27,326,339,63,117
Bcen_0172,13,6,53,10,87,59,19,17
Bcen_0173,11,7,44,2,173,121,23,47
Bcen_0174,7,15,62,11,190,174,12,49
Bcen_0175,1,1,26,3,59,72,3,22
Bcen_0176,2,8,26,4,90,79,5,46
Bcen_0177,40,37,142,18,244,273,90,133
Bcen_0178,18,13,58,13,90,79,53,84
Bcen_0179,27,48,63,30,149,214,17,61
Bcen_0180,19,19,53,12,57,70,13,26
Bcen_0181,0,3,15,1,97,73,1,19
Bcen_0182,1,6,41,0,146,166,2,40
Bcen_0183,43,13,161,26,202,236,22,54
Bcen_0184,1,8,23,0,125,95,3,35
Bcen_0185,245,15,428,4,263,216,27,67
Bcen_0186,310,141,301,56,256,149,112,91
Bcen_0187,16,21,65,10,87,112,22,18
Bcen_0188,26,16,54,8,82,92,24,30
Bcen_0189,31,16,70,15,76,102,36,20
Bcen_0190,3,22,92,0,644,491,15,144
Bcen_0191,26,42,70,23,115,143,21,45
Bcen_0192,8,11,60,13,157,179,11,53
Bcen_0193,1,3,5,1,113,79,12,15
Bcen_0194,4,10,27,5,50,51,6,15
Bcen_0195,3,9,3,1,22,19,4,5
Bcen_0196,456,124,619,177,231,162,147,188
Bcen_0197,144,26,188,46,77,50,62,59
Bcen_0198,47,82,61,33,65,88,28,70
Bcen_0199,3,8,30,7,150,127,8,53
Bcen_0200,26,17,88,11,174,188,20,70
Bcen_0201,4,2,8,0,57,50,6,10
Bcen_0202,4,2,46,2,112,106,8,34
Bcen_0203,2,7,28,0,123,114,4,26
Bcen_0204,3,11,25,4,160,135,11,28
Bcen_0205,8,15,51,7,168,149,23,48
Bcen_0206,3,11,19,4,61,63,7,19
Bcen_0207,2,6,13,2,61,57,6,23
Bcen_0208,27,11,107,12,198,203,31,71
Bcen_0209,10,16,68,14,112,169,9,38
Bcen_0210,1,6,24,5,179,102,7,50
Bcen_0211,14,23,36,9,214,179,25,52
Bcen_0212,13,22,47,8,80,74,11,31
Bcen_0213,10,17,57,3,196,202,7,46
Bcen_0214,9,11,60,14,146,166,9,42
Bcen_0215,6,2,17,3,53,57,7,13
Bcen_0216,3,17,53,10,138,138,18,32
Bcen_0217,1,13,13,8,30,41,6,20
Bcen_0218,1,23,49,17,167,225,6,53
Bcen_0219,1,2,12,0,134,99,3,12
Bcen_0220,0,5,21,1,97,98,4,26
Bcen_0221,1,6,7,3,82,67,2,24
Bcen_0222,0,8,17,1,67,61,0,19
Bcen_0223,0,2,6,2,21,24,0,8
Bcen_0224,6,18,59,8,203,155,14,60
Bcen_0225,4,21,78,9,346,309,10,91
Bcen_0226,7,7,11,2,93,81,12,13
Bcen_0227,13,19,62,11,200,239,16,53
Bcen_0228,1,4,19,2,51,53,4,25
Bcen_0229,4,14,28,6,70,87,1,32
Bcen_0230,16,13,17,1,50,58,2,22
Bcen_0231,20,13,42,8,57,70,17,19
Bcen_0232,40,9,80,15,68,58,62,33
Bcen_0233,1,10,29,18,186,186,9,61
Bcen_0234,0,11,21,2,188,141,10,44
Bcen_0235,27,3,90,6,109,152,13,27
Bcen_0236,59,15,181,8,237,262,44,69
Bcen_0237,26,9,53,5,26,39,14,17
