,CF AU1054,Soil AU1054,CF HI2424,Soil HI2424,CF AU1054,Soil AU1054,CF HI2424,Soil HI2424
Bcen_1530,0,5,13,1,79,91,2,16
Bcen_1531,4,6,28,0,100,134,2,29
Bcen_1532,0,8,24,0,123,169,0,33
Bcen_1533,1,14,54,1,132,226,3,47
Bcen_1534,0,16,30,0,129,128,2,34
Bcen_1535,1,14,24,1,146,118,7,39
Bcen_1536,0,35,37,3,125,176,2,34
Bcen_1537,0,26,33,3,103,114,0,31
Bcen_1538,1,1,5,0,17,22,1,4
Bcen_1539,1,15,27,0,82,109,0,20
Bcen_1540,0,6,49,0,121,208,6,40
Bcen_1541,0,9,20,0,134,122,2,26
Bcen_1542,1,4,36,3,58,88,5,23
Bcen_1543,1,2,16,0,80,82,3,23
Bcen_1544,1,7,32,1,114,166,3,28
Bcen_1545,1,7,12,1,90,86,5,17
Bcen_1546,0,4,21,0,121,113,3,32
Bcen_1547,0,2,20,1,110,128,4,26
Bcen_1548,0,1,21,1,107,112,3,27
Bcen_1549,0,3,14,0,66,65,3,14
Bcen_1550,3,3,10,1,101,69,3,12
Bcen_1551,3,7,23,2,76,73,4,29
Bcen_1552,10,17,57,18,82,127,15,26
Bcen_1553,6,16,40,4,139,132,8,39
Bcen_1554,28,30,93,13,264,428,31,78
Bcen_1555,12,34,74,7,217,270,20,65
Bcen_1556,2,7,39,2,164,175,7,32
Bcen_1557,0,10,36,1,192,187,5,43
Bcen_1558,0,4,16,0,113,101,1,22
Bcen_1559,0,11,17,2,165,161,5,37
Bcen_1560,0,4,24,1,207,187,5,38
Bcen_1561,0,6,16,2,73,102,4,34
Bcen_1562,2,5,68,3,116,252,4,38
Bcen_1563,0,7,47,2,98,184,3,46
Bcen_1564,0,15,35,0,76,126,5,22
Bcen_1565,0,5,51,0,137,187,4,41
Bcen_1566,2,2,25,0,85,111,4,30
Bcen_1567,6,11,49,0,83,165,6,35
Bcen_1568,0,5,16,1,73,81,0,20
Bcen_1569,0,1,19,0,35,46,0,10
Bcen_1570,0,8,26,1,164,162,2,27
Bcen_1571,0,8,27,0,58,113,1,22
Bcen_1572,2,6,34,2,44,101,4,16
Bcen_1573,1,4,28,1,89,103,5,24
Bcen_1574,0,1,33,0,132,157,4,32
Bcen_1575,0,3,22,2,32,110,1,14
Bcen_1576,0,6,3,0,28,27,0,11
Bcen_1577,1,5,6,0,22,37,0,8
Bcen_1578,1,8,23,1,118,102,0,42
Bcen_1579,5,0,14,0,28,40,9,5
Bcen_1580,98,9,130,3,224,217,156,53
Bcen_1581,10,2,13,0,37,29,13,15
Bcen_1582,0,4,7,0,40,34,4,9
Bcen_1583,3,3,12,0,38,81,1,17
Bcen_1584,3,4,31,1,58,99,4,25
Bcen_1585,13,10,38,2,58,109,6,19
Bcen_1586,0,3,8,0,46,31,1,11
Bcen_1587,0,7,20,0,226,173,3,29
Bcen_1588,2,1,18,0,71,86,2,21
Bcen_1589,3,31,30,20,151,144,8,71
Bcen_1590,2,9,11,6,50,45,2,34
Bcen_1591,2,11,21,12,177,172,5,33
Bcen_1592,0,18,42,16,148,169,3,45
Bcen_1593,1,21,41,39,159,167,3,54
Bcen_1594,0,22,32,27,192,246,1,54
Bcen_1595,0,24,64,56,185,264,3,67
Bcen_1596,0,12,35,13,153,165,6,41
Bcen_1597,0,25,34,17,158,153,3,59
Bcen_1598,2,14,19,5,97,97,4,26
Bcen_1599,3,7,19,2,174,149,6,43
Bcen_1600,1,4,22,0,93,85,1,28
Bcen_1601,3,5,20,3,194,178,4,64
Bcen_1602,1,6,15,0,103,125,2,27
Bcen_1603,0,6,26,6,71,85,4,26
Bcen_1604,0,1,12,1,38,54,1,7
Bcen_1605,0,13,21,5,31,72,2,12
Bcen_1606,18,17,73,10,118,152,7,65
Bcen_1607,5,5,24,0,98,133,9,20
Bcen_1608,11,28,26,3,63,117,5,43
Bcen_1609,9,12,15,1,41,53,2,32
Bcen_1610,38,7,93,10,134,221,30,38
Bcen_1611,7,9,35,5,55,102,5,50
Bcen_1612,11,6,14,0,39,45,1,13
Bcen_1613,13,7,39,6,104,168,17,38
Bcen_1614,2,4,16,0,48,82,4,24
Bcen_1615,1,3,16,1,90,64,1,37
Bcen_1616,2,15,33,10,65,110,6,31
Bcen_1617,3,5,12,3,53,52,8,19
Bcen_1618,7,11,35,3,81,151,15,13
Bcen_1619,5,13,31,2,110,112,18,39
Bcen_1620,10,13,38,4,130,150,18,46
Bcen_1621,6,13,24,4,47,49,6,23
Bcen_1622,14,13,46,4,79,97,9,15
Bcen_1623,3,3,16,2,33,34,2,7
Bcen_1624,47,8,150,13,197,245,29,52
Bcen_1625,63,22,162,10,171,208,16,46
Bcen_1626,81,26,216,28,262,335,30,70
Bcen_1627,13,4,55,4,29,57,5,9
Bcen_1628,23,14,77,3,71,111,10,30
Bcen_1629,21,8,49,4,68,72,8,15
Bcen_1630,28,18,110,7,95,132,17,34
Bcen_1631,112,29,192,18,304,309,36,70
Bcen_1632,54,15,130,18,214,254,32,41
Bcen_1633,25,8,59,7,43,45,4,17
Bcen_1634,55,15,149,18,129,167,18,49
Bcen_1635,22,9,95,11,79,70,8,30
Bcen_1636,29,10,72,13,87,85,14,24
Bcen_1637,12,12,78,12,35,68,13,20
Bcen_1638,7,6,6,2,31,29,2,13
Bcen_1639,20,12,16,3,108,97,11,44
Bcen_1640,7,9,31,4,119,123,7,39
Bcen_1641,116,21,264,35,244,316,70,75
Bcen_1642,28,27,80,11,52,66,9,20
Bcen_1643,1,7,21,0,150,127,5,44
Bcen_1644,6,10,18,8,30,72,6,20
Bcen_1646,50,7,24,0,116,87,21,21
Bcen_1647,21,11,64,2,212,208,40,44
Bcen_1648,30,25,127,32,182,249,13,74
Bcen_1649,7,15,7,0,18,27,0,21
Bcen_1650,8,7,36,6,96,118,16,34
Bcen_1651,9,16,39,7,71,85,9,29
Bcen_1652,93,23,171,17,138,149,25,43
Bcen_1653,19,12,68,8,50,107,11,25
Bcen_1654,46,64,263,51,183,263,29,79
Bcen_1655,4,27,25,10,57,68,6,39
Bcen_1656,4,24,6,4,34,36,4,18
Bcen_1657,2,12,15,5,67,55,5,26
Bcen_1658,1,4,4,1,61,46,1,15
Bcen_1659,0,9,33,0,94,127,1,28
Bcen_1660,1,31,42,3,185,179,6,41
Bcen_1661,35,43,71,27,78,102,13,40
Bcen_1662,8,2,28,6,58,64,7,18
Bcen_1663,3,6,17,1,86,58,4,19
Bcen_1664,2,30,44,5,236,240,11,54
Bcen_1665,4,6,14,2,57,49,0,15
Bcen_1666,6,5,19,1,75,84,4,32
Bcen_1667,1,12,13,6,56,52,3,34
Bcen_1668,4,26,40,4,367,298,21,98
Bcen_1669,1,12,8,3,77,68,4,42
Bcen_1670,2,7,6,2,29,32,1,18
Bcen_1671,2,5,6,4,35,26,0,10
Bcen_1672,0,4,16,1,83,100,2,47
Bcen_1673,2,19,59,4,349,301,18,68
Bcen_1674,0,3,6,1,54,51,3,10
Bcen_1675,1,6,35,0,195,230,7,53
Bcen_1676,1,9,46,0,176,207,1,59
Bcen_1677,1,0,4,0,8,17,0,8
Bcen_1678,4,9,45,9,89,114,18,19
Bcen_1679,5,3,12,1,39,45,3,16
Bcen_1680,5,5,25,8,117,82,16,32
Bcen_1681,22,7,35,6,100,95,17,18
Bcen_1682,10,5,78,6,90,94,31,41
Bcen_1683,30,8,78,11,189,163,33,38
Bcen_1684,9,6,38,3,95,94,10,17
Bcen_1685,3,9,14,3,60,53,2,23
Bcen_1686,25,7,23,4,31,65,11,27
Bcen_1687,2,1,15,1,39,31,2,12
Bcen_1688,23,25,35,2,69,66,5,31
Bcen_1689,43,35,134,23,186,228,35,68
Bcen_1690,8,12,14,2,30,40,2,9
Bcen_1691,4,3,23,1,84,102,7,19
Bcen_1692,8,4,32,7,128,130,8,47
Bcen_1693,1,19,16,1,59,55,2,31
Bcen_1694,5,61,13,18,40,59,10,55
Bcen_1695,16,7,90,5,182,239,13,47
Bcen_1696,0,10,16,0,88,72,1,22
Bcen_1697,1,2,19,3,64,62,6,22
Bcen_1698,5,21,30,4,124,155,6,37
Bcen_1699,2,9,25,1,141,151,11,48
Bcen_1700,2,14,31,4,172,130,1,33
Bcen_1701,48,41,194,34,368,414,67,125
Bcen_1702,35,29,84,16,120,147,31,40
Bcen_1703,2,4,22,3,131,86,13,26
Bcen_1704,15,18,128,15,223,246,9,63
Bcen_1705,6,4,16,6,47,40,7,30
Bcen_1706,1,2,1,0,16,16,3,4
Bcen_1707,23,18,47,11,137,136,20,46
Bcen_1708,6,15,25,6,91,87,11,47
Bcen_1709,33,32,137,12,436,425,39,139
Bcen_1710,8,18,60,12,137,122,21,32
Bcen_1711,9,48,54,9,213,219,22,94
Bcen_1712,31,96,105,105,167,218,19,154
Bcen_1713,4,31,20,10,64,73,4,30
Bcen_1714,11,10,22,3,118,103,6,31
Bcen_1715,7,8,27,2,67,100,4,20
Bcen_1716,2,6,14,1,116,75,3,15
Bcen_1717,4,4,16,3,60,64,4,31
Bcen_1718,18,10,24,9,27,59,4,15
Bcen_1719,34,23,33,11,49,65,26,14
Bcen_1720,19,44,66,27,112,122,15,65
Bcen_1721,9,27,70,17,143,164,15,51
Bcen_1722,1,12,28,9,165,131,7,40
Bcen_1723,56,36,72,16,107,99,58,51
Bcen_1724,4,4,14,2,46,76,2,11
Bcen_1725,0,20,63,0,141,185,7,54
Bcen_1726,3,17,12,0,17,28,1,11
Bcen_1727,3,4,36,4,104,99,3,32
Bcen_1729,0,27,44,22,57,101,1,38
Bcen_1730,1,18,25,14,74,123,1,25
Bcen_1731,14,14,85,15,52,128,2,38
Bcen_1732,7,6,48,7,31,74,6,14
Bcen_1733,3,2,19,0,64,63,7,18
Bcen_1734,5,1,19,0,77,70,12,12
Bcen_1735,130,21,379,31,325,368,176,75
Bcen_1736,5,15,25,3,162,158,12,53
Bcen_1737,4,4,12,1,90,57,0,23
Bcen_1738,2,2,17,2,98,90,1,25
Bcen_1739,49,26,102,15,176,193,43,60
Bcen_1740,65,5,59,7,80,79,24,27
Bcen_1741,17,4,69,9,112,102,46,29
Bcen_1742,4,38,107,25,244,380,14,98
Bcen_1743,4,28,37,6,128,153,7,52
Bcen_1744,2,12,21,3,86,72,1,32
Bcen_1745,6,3,22,0,114,103,5,30
Bcen_1746,3,7,12,3,90,61,2,22
Bcen_1747,39,16,109,4,250,294,25,65
Bcen_1748,45,13,109,4,222,228,30,62
Bcen_1749,10,15,77,12,264,265,22,75
Bcen_1750,55,34,52,7,65,50,52,28
Bcen_1751,1,2,3,1,15,16,1,6
Bcen_1752,7,12,74,2,96,207,9,35
Bcen_1753,5,23,61,4,132,305,4,31
Bcen_1754,1,17,57,1,335,329,7,77
Bcen_1755,0,2,12,1,53,52,1,18
Bcen_1756,0,2,6,0,40,43,1,18
Bcen_1757,0,5,17,0,56,77,3,19
Bcen_1758,1,0,9,0,27,21,0,13
Bcen_1759,4,4,16,0,34,67,2,18
Bcen_1760,12,15,44,10,107,236,5,33
Bcen_1761,39,42,69,21,103,232,30,57
Bcen_1762,7,11,21,3,78,180,5,27
Bcen_1763,6,26,56,11,104,243,7,42
Bcen_1764,8,22,18,8,31,71,1,34
Bcen_1765,5,24,19,7,32,78,5,19
Bcen_1766,0,4,8,0,25,50,1,9
Bcen_1767,12,39,60,3,107,272,4,38
Bcen_1768,1,10,31,2,65,111,4,32
Bcen_1769,2,0,7,1,35,61,0,7
Bcen_1770,0,3,12,1,47,105,1,7
Bcen_1771,1,8,23,1,43,109,3,13
Bcen_1772,3,2,3,0,47,40,1,15
Bcen_1773,3,2,16,0,87,81,2,23
Bcen_1774,2,4,13,2,80,69,5,23
Bcen_1775,10,4,14,0,64,57,12,14
Bcen_1776,2,1,3,0,22,29,0,5
Bcen_1777,0,1,8,0,41,54,2,15
Bcen_1778,7,3,16,1,50,57,1,19
Bcen_1779,0,6,34,2,185,165,5,36
Bcen_1780,0,3,9,0,77,60,2,23
Bcen_1781,1,1,25,1,188,166,5,43
Bcen_1782,0,2,3,0,16,12,1,7
Bcen_1783,4,15,10,2,53,41,1,19
Bcen_1784,0,3,18,2,64,59,0,23
Bcen_1785,19,19,87,9,172,224,13,77
Bcen_1786,8,19,93,15,223,318,21,71
Bcen_1787,6,10,18,17,21,47,7,12
Bcen_1788,4,14,32,13,185,155,10,90
Bcen_1789,7,19,22,5,94,74,18,110
Bcen_1790,5,19,20,10,96,87,4,285
Bcen_1791,2,2,12,0,100,75,4,26
Bcen_1792,5,8,50,10,65,119,3,34
Bcen_1793,7,5,49,7,90,115,6,30
Bcen_1794,4,15,72,8,88,109,5,29
Bcen_1795,10,4,76,11,118,162,13,37
Bcen_1796,0,2,16,0,59,65,4,19
Bcen_1797,0,5,27,0,101,84,8,28
Bcen_1798,36,14,112,11,126,148,92,54
Bcen_1799,13,30,25,10,37,61,11,19
Bcen_1800,2,10,43,15,196,210,23,64
Bcen_1801,2,15,21,6,171,180,9,63
Bcen_1802,0,8,39,0,309,261,3,60
Bcen_1803,1,13,32,3,151,153,5,42
Bcen_1804,1,7,15,2,75,60,2,21
Bcen_1805,45,14,79,26,76,102,28,37
Bcen_1806,5,17,34,6,204,170,18,53
Bcen_1807,1,8,22,6,115,118,5,25
Bcen_1808,5,14,42,5,129,224,10,40
Bcen_1809,1,3,12,0,28,42,2,10
Bcen_1810,0,7,26,2,128,122,6,37
Bcen_1811,12,8,44,7,139,116,33,46
Bcen_1812,42,23,95,6,326,222,45,69
Bcen_1813,10,14,34,6,151,120,19,46
Bcen_1814,34,33,100,31,424,348,62,137
Bcen_1815,0,1,12,0,91,67,6,14
Bcen_1816,0,4,13,0,91,79,5,21
Bcen_1817,1,12,43,3,128,170,3,36
Bcen_1818,30,20,87,14,188,144,27,65
Bcen_1819,2,1,18,2,91,83,7,20
Bcen_1820,3,6,7,1,98,69,7,22
Bcen_1821,54,29,179,30,233,343,38,79
Bcen_1822,13,9,47,9,50,87,7,23
Bcen_1823,1,4,14,2,84,59,1,14
Bcen_1824,16,11,59,11,109,144,8,35
Bcen_1825,51,84,76,41,129,80,68,73
Bcen_1826,33,16,177,29,248,311,31,90
Bcen_1827,3,13,101,3,555,441,26,138
Bcen_1828,10,29,59,7,193,231,12,50
Bcen_1829,48,54,39,6,55,58,21,17
Bcen_1830,6,16,37,12,99,94,13,38
Bcen_1831,2,3,43,0,101,133,2,26
Bcen_1832,2,12,16,3,55,47,10,14
Bcen_1833,11,9,21,3,75,75,9,25
Bcen_1834,0,0,6,0,41,31,1,6
Bcen_1835,3,5,27,1,213,183,10,46
Bcen_1836,3,3,10,0,84,47,4,10
Bcen_1837,0,4,10,0,149,95,8,23
Bcen_1838,0,4,13,0,127,95,8,27
Bcen_1839,0,3,24,4,154,126,6,31
Bcen_1840,0,6,18,0,83,77,5,27
Bcen_1841,1,7,24,0,114,106,1,31
Bcen_1842,3,2,23,2,124,130,11,27
Bcen_1843,0,2,12,0,103,70,10,21
Bcen_1844,2,5,3,0,159,97,15,13
Bcen_1845,8,19,37,16,42,44,14,34
Bcen_1846,16,15,30,7,28,70,8,10
Bcen_1847,7,33,26,22,57,63,13,43
Bcen_1848,28,22,57,13,119,89,39,38
Bcen_1849,3,17,41,2,120,140,4,29
Bcen_1850,1,8,19,1,87,101,3,31
Bcen_1851,4,22,57,13,189,263,8,105
Bcen_1852,1,4,10,4,40,30,0,15
Bcen_1853,7,7,17,4,89,68,6,24
Bcen_1854,3,2,13,2,51,35,9,21
Bcen_1855,55,39,109,41,188,226,54,72
Bcen_1856,4,14,76,5,112,150,7,39
Bcen_1857,11,6,73,5,138,172,7,45
Bcen_1858,4,1,5,0,49,34,3,11
Bcen_1859,3,15,17,0,122,85,5,18
Bcen_1860,10,120,63,18,178,194,20,50
Bcen_1861,6,87,39,7,106,117,8,32
Bcen_1862,2,59,30,6,111,117,1,27
Bcen_1863,1,50,16,2,82,82,2,27
Bcen_1864,6,223,82,18,165,225,4,54
Bcen_1865,24,18,98,25,118,218,10,45
Bcen_1866,5,12,28,11,170,136,7,37
Bcen_1867,5,5,32,1,84,87,4,24
Bcen_1868,0,4,21,1,79,62,1,22
Bcen_1869,0,2,8,0,90,72,2,12
Bcen_1870,0,7,19,0,126,97,1,25
Bcen_1871,1,4,10,0,114,87,7,13
Bcen_1872,2,3,25,5,126,93,6,18
Bcen_1873,4,9,17,1,65,68,3,10
Bcen_1874,1,8,17,2,47,51,2,14
Bcen_1875,0,9,7,2,34,23,3,11
Bcen_1876,2,8,20,3,110,74,1,17
Bcen_1877,7,18,19,2,18,52,1,12
Bcen_1878,4,15,20,1,143,105,10,14
Bcen_1879,5,10,42,2,123,130,17,42
Bcen_1880,25,13,60,10,142,151,13,56
Bcen_1881,3,3,19,4,63,61,2,17
Bcen_1882,2,6,27,2,94,92,0,23
Bcen_1883,17,47,82,34,99,131,37,46
Bcen_1884,28,54,70,20,100,102,32,26
Bcen_1885,22,69,93,45,165,200,33,56
Bcen_1886,20,64,78,34,96,123,16,45
Bcen_1887,6,45,17,14,53,37,6,32
Bcen_1888,36,13,68,14,112,124,22,31
Bcen_1889,27,13,52,13,77,80,12,24
Bcen_1890,0,6,21,0,83,95,1,8
Bcen_1891,110,19,201,19,88,40,34,41
Bcen_1892,135,27,92,8,26,29,26,18
Bcen_1893,6,27,70,8,199,171,13,60
Bcen_1894,7,4,32,6,127,117,7,43
Bcen_1895,11,18,73,19,130,167,20,44
Bcen_1896,62,86,147,28,156,198,35,91
Bcen_1897,7,7,48,2,197,171,14,49
Bcen_1898,22,5,74,5,225,188,30,61
Bcen_1899,10,7,27,2,95,70,5,23
Bcen_1900,8,11,30,5,154,102,10,33
Bcen_1901,57,27,210,13,336,405,46,103
Bcen_1902,2,5,25,2,45,58,3,24
Bcen_1903,9,10,34,6,164,141,23,50
Bcen_1904,3,4,11,2,57,53,4,14
Bcen_1905,2,3,17,0,104,126,4,23
Bcen_1906,7,10,49,2,155,157,11,46
Bcen_1907,148,196,342,228,392,439,175,279
Bcen_1908,58,55,93,78,94,123,131,82
Bcen_1909,84,70,170,363,86,139,152,205
Bcen_1910,14,11,45,7,179,160,24,52
Bcen_1911,35,89,59,1,79,56,3,11
Bcen_1912,91,37,289,36,290,309,95,86
Bcen_1913,41,38,82,88,123,150,80,83
Bcen_1914,0,2,9,0,81,38,1,19
Bcen_1915,7,10,19,7,56,53,6,22
Bcen_1916,78,85,207,88,264,371,42,135
Bcen_1917,3,14,59,27,121,153,5,63
Bcen_1918,2,20,16,5,121,79,9,37
Bcen_1919,2,10,26,3,101,79,5,44
Bcen_1920,14,21,32,5,98,102,2,24
Bcen_1921,3,7,22,0,182,128,8,32
Bcen_1922,1,5,14,0,151,105,9,27
Bcen_1923,0,1,5,0,46,53,5,5
Bcen_1924,0,11,51,3,153,224,6,41
Bcen_1925,26,34,57,22,195,190,24,73
Bcen_1926,3,3,25,4,93,96,2,19
Bcen_1927,0,6,21,1,151,126,6,12
Bcen_1928,6,4,16,0,99,71,5,9
Bcen_1929,1,3,22,0,113,92,3,27
Bcen_1930,2,3,14,0,168,101,8,33
Bcen_1931,171,88,87,50,94,104,26,79
Bcen_1932,5,10,26,2,151,124,5,25
Bcen_1933,4,5,14,1,136,77,15,20
Bcen_1934,11,4,20,3,35,39,9,13
Bcen_1935,3,5,19,3,103,74,12,18
Bcen_1936,29,17,64,20,64,66,24,31
Bcen_1937,9,11,29,2,106,133,9,26
Bcen_1938,10,18,75,4,202,222,13,70
Bcen_1939,97,28,92,10,36,30,16,25
Bcen_1940,3,1,29,5,32,45,2,13
Bcen_1941,6,12,11,1,12,24,1,12
Bcen_1942,28,30,102,38,110,158,15,53
Bcen_1943,5,2,20,1,139,117,15,23
Bcen_1944,25,9,51,7,66,85,13,25
Bcen_1945,3,6,24,0,53,63,5,23
Bcen_1946,1,3,21,0,65,85,2,17
Bcen_1947,4,7,34,1,215,192,9,50
Bcen_1948,2,3,28,3,154,124,9,41
Bcen_1949,3,9,15,2,60,51,5,18
Bcen_1950,12,20,32,5,155,122,10,36
Bcen_1951,4,7,13,4,43,40,5,26
Bcen_1952,25,19,81,6,199,168,22,54
Bcen_1953,4,6,12,4,114,111,6,29
Bcen_1954,1,13,31,4,137,86,10,37
Bcen_1955,26,12,39,9,116,91,23,24
Bcen_1956,12,11,45,5,123,118,23,38
Bcen_1957,28,24,20,11,71,66,8,27
Bcen_1958,56,38,109,60,197,232,72,65
Bcen_1959,11,21,35,13,153,114,23,62
Bcen_1960,14,15,46,7,92,76,10,30
Bcen_1961,2,15,5,3,39,34,4,19
Bcen_1962,3,27,39,13,167,179,14,43
Bcen_1963,0,2,11,2,120,72,5,20
Bcen_1964,6,13,23,9,69,76,6,27
Bcen_1965,7,28,32,12,42,86,4,27
Bcen_1966,4,8,17,1,82,83,5,23
Bcen_1967,4,7,43,4,197,164,10,56
Bcen_1968,1,6,26,3,105,124,2,30
Bcen_1969,0,2,23,0,221,165,7,43
Bcen_1970,0,3,22,0,128,79,3,19
Bcen_1971,0,9,31,0,189,158,5,43
Bcen_1974,2,4,21,0,100,119,4,38
Bcen_1975,3,12,38,3,189,157,1,45
Bcen_1976,6,7,25,2,251,160,10,39
Bcen_1977,1,8,27,3,130,107,5,42
Bcen_1978,0,7,11,0,188,140,6,32
Bcen_1979,1,6,17,0,182,104,7,26
Bcen_1980,2,3,31,0,137,138,3,34
Bcen_1981,0,1,39,3,167,187,8,39
Bcen_1982,0,2,9,0,85,65,1,15
Bcen_1983,1,3,55,2,108,177,4,24
Bcen_1984,1,6,39,2,92,126,6,17
Bcen_1985,1,12,55,2,145,186,6,31
Bcen_1986,0,8,22,0,181,120,3,44
Bcen_1987,0,3,13,1,146,115,3,25
Bcen_1988,1,17,20,6,113,104,6,38
Bcen_1989,3,6,16,3,50,48,0,20
Bcen_1990,0,7,30,2,121,107,5,31
Bcen_1991,0,10,26,2,118,121,5,29
Bcen_1992,1,2,17,1,141,164,5,24
Bcen_1993,4,7,19,2,122,89,7,29
Bcen_1994,26,12,59,4,149,139,20,47
Bcen_1995,0,2,7,1,204,116,14,24
Bcen_1996,1,28,65,9,140,167,2,54
Bcen_1997,45,22,146,30,353,322,119,79
Bcen_1998,83,32,480,73,472,702,127,141
Bcen_1999,34,21,106,20,193,219,28,60
Bcen_2000,5,5,42,5,88,94,9,28
Bcen_2001,0,3,12,3,75,66,1,20
Bcen_2002,1,9,29,2,155,119,9,37
Bcen_2003,2,9,24,4,108,88,9,30
Bcen_2004,5,16,18,7,34,48,2,27
Bcen_2005,9,4,15,8,50,50,13,40
Bcen_2006,38,12,100,7,163,163,44,140
Bcen_2007,4,3,20,6,215,144,14,55
Bcen_2008,2,5,48,1,174,195,6,61
Bcen_2009,15,20,47,2,118,120,2,30
Bcen_2010,13,26,45,3,187,187,34,51
Bcen_2011,2,5,27,5,156,107,10,31
Bcen_2012,10,5,33,5,198,154,11,39
Bcen_2013,20,7,24,6,79,50,5,17
Bcen_2014,44,21,75,17,106,124,6,39
Bcen_2015,87,48,166,66,157,143,44,66
Bcen_2016,26,9,96,19,143,168,28,48
Bcen_2017,25,15,82,9,202,167,27,39
Bcen_2018,2,1,7,0,46,29,3,8
Bcen_2019,6,30,33,5,65,96,4,30
Bcen_2020,66,20,108,30,157,154,41,51
Bcen_2021,33,6,6,0,25,14,5,7
Bcen_2022,11,9,40,1,127,106,9,37
Bcen_2023,14,14,60,7,71,85,16,25
Bcen_2024,7,21,53,3,113,105,22,32
Bcen_2025,3,1,11,1,100,61,7,19
Bcen_2026,6,9,26,1,251,171,12,39
Bcen_2027,2,10,14,1,64,43,2,20
Bcen_2028,48,48,144,29,361,423,55,126
Bcen_2029,35,37,103,16,159,260,23,37
Bcen_2030,27,22,83,14,131,188,24,44
Bcen_2031,2,15,76,4,120,175,2,35
Bcen_2032,1,14,31,2,171,125,8,50
Bcen_2033,5,25,14,2,72,53,2,21
Bcen_2034,2,6,65,1,264,225,11,45
Bcen_2035,0,1,3,0,66,37,3,20
Bcen_2036,3,5,28,2,89,86,4,32
Bcen_2037,251,51,169,43,143,98,77,51
Bcen_2038,232,55,458,84,232,192,100,62
Bcen_2039,20,33,140,23,73,86,17,45
Bcen_2040,7,11,29,5,98,95,6,47
Bcen_2041,45,56,135,54,140,177,38,80
Bcen_2042,9,31,60,20,72,89,11,40
Bcen_2043,1,7,31,1,222,179,9,44
Bcen_2044,4,62,67,11,154,280,6,75
Bcen_2045,3,22,54,7,137,164,9,65
Bcen_2046,0,2,25,1,140,111,4,34
Bcen_2047,3,6,20,1,103,86,3,23
Bcen_2048,1,3,9,3,33,52,8,15
Bcen_2049,1,3,16,3,34,42,3,18
Bcen_2050,2,5,46,2,90,123,2,29
Bcen_2051,5,26,97,2,419,342,12,117
Bcen_2052,6,9,15,2,44,66,3,11
Bcen_2053,2,5,13,2,36,45,1,3
Bcen_2054,1,3,24,2,88,70,7,28
Bcen_2055,7,9,36,0,118,153,13,35
Bcen_2056,2,4,19,0,124,92,12,19
Bcen_2057,57,32,62,19,138,98,32,54
Bcen_2058,70,30,145,34,191,187,20,43
Bcen_2059,20,14,58,3,203,190,10,35
Bcen_2060,1,4,11,3,84,50,2,16
Bcen_2061,23,20,55,16,100,111,21,37
Bcen_2062,20,36,61,12,218,192,15,57
Bcen_2063,3,8,40,2,79,118,2,32
Bcen_2064,1,14,14,0,31,40,2,16
Bcen_2065,0,3,4,0,42,30,0,11
Bcen_2066,4,29,49,6,170,177,4,55
Bcen_2067,3,32,54,3,170,217,23,48
Bcen_2068,0,4,27,2,126,123,6,18
Bcen_2069,0,10,30,0,176,166,2,29
Bcen_2070,0,1,10,0,39,57,2,10
Bcen_2071,1,6,37,1,157,176,2,33
Bcen_2072,5,4,24,0,137,84,4,19
Bcen_2073,0,6,18,0,163,128,5,26
Bcen_2074,2,4,21,0,115,98,9,23
Bcen_2075,1,7,19,0,149,135,5,27
Bcen_2076,2,14,39,4,100,96,9,32
Bcen_2077,4,12,25,2,85,70,6,25
Bcen_2078,0,4,13,0,86,76,6,30
Bcen_2079,0,6,21,0,169,147,8,28
Bcen_2080,4,7,30,0,89,121,2,22
Bcen_2081,37,18,108,8,174,203,19,45
Bcen_2082,12,12,47,3,169,147,7,39
Bcen_2083,10,26,61,15,123,109,22,49
Bcen_2084,3,7,23,4,89,85,11,29
Bcen_2085,0,1,4,2,42,23,2,7
Bcen_2086,23,40,110,21,131,153,20,44
Bcen_2087,7,12,76,7,237,224,8,55
Bcen_2088,2,10,31,6,253,195,13,56
Bcen_2089,80,11,130,11,164,138,40,42
Bcen_2090,75,19,169,11,314,262,71,53
Bcen_2091,12,2,31,4,71,65,7,13
Bcen_2092,12,7,62,4,97,123,7,31
Bcen_2093,4,10,33,3,114,104,8,36
Bcen_2094,8,3,39,11,45,66,0,16
Bcen_2095,1,3,21,1,132,106,6,25
Bcen_2096,4,1,29,0,86,69,10,29
Bcen_2097,10,10,45,5,141,126,26,38
Bcen_2098,46,26,102,25,222,165,44,58
Bcen_2099,52,25,187,17,282,258,56,70
Bcen_2100,15,16,55,10,135,130,15,49
Bcen_2101,6,6,13,2,83,84,11,20
Bcen_2102,4,14,100,5,259,316,4,68
Bcen_2103,2,10,16,2,54,58,4,32
Bcen_2104,0,15,18,3,75,49,14,21
Bcen_2105,5,9,17,2,119,121,4,33
Bcen_2106,1,14,25,2,110,92,4,22
Bcen_2107,6,34,59,10,185,135,22,51
Bcen_2108,16,62,139,18,338,332,35,104
Bcen_2109,43,81,179,21,236,291,29,61
Bcen_2110,15,27,67,12,120,110,9,27
Bcen_2111,3,10,42,0,133,130,7,37
Bcen_2112,7,20,23,1,86,69,6,25
Bcen_2113,67,18,259,22,223,219,62,78
