,WT_3,WT_2,WT_3,BvrS_1,BvrS_2,BvrS_3,BvrR_2,BvrR_1,BvrR_3,BvrSR_1,BvrSR_2,BvrSR_3
atpA (BPs_C1 6707704..6709705),8428,7070,10733,6994,7370,7493,4006,7232,4476,6680,5997,5573
atpB,2938,2292,3972,3284,1283,2400,1027,944,1380,2745,1242,1828
atpC,1155,976,2105,2350,549,1117,497,1837,745,1573,636,869
atpD (BPs_C1 4034642..4036037),12315,10965,17270,20497,5483,10181,4779,11700,6683,10546,5742,7208
atpD (BPs_C1 6712637..6714173),10833,9767,14364,10960,9516,7340,4422,13874,4006,8768,7265,6527
atpE (BPs_C1 4039791..4040067),2783,2447,3768,4350,1417,2508,1368,1802,1982,3580,1179,2030
atpE (BPs_C1 6710451..6710700),642,621,929,564,587,575,333,730,342,604,522,462
atpF,2822,2356,4254,3881,1362,2285,969,1776,1736,3412,1235,1933
atpG (BPs_C1 4036116..4036992),5064,4304,7780,8198,2365,4465,2021,5120,3059,5916,2570,3625
atpG (BPs_C1 6706859..6707708),3145,2999,3406,2439,2442,2507,1553,2067,1587,1995,2077,1764
atpH,2124,1610,3638,2843,906,2108,798,1624,1100,2738,1074,1577
bapB,419,578,303,239,261,456,270,122,485,69,282,135
bapC,566,785,400,282,451,699,368,206,654,106,427,211
bcsA,334,206,818,302,84,213,42,103,115,477,189,246
bcsB,1541,922,3274,656,361,1053,185,196,419,1987,835,1116
bcsZ,820,511,1615,468,168,564,120,158,231,939,469,554
benA,170,184,110,76,55,82,68,22,40,32,76,69
benB,43,35,27,23,18,28,16,6,14,5,17,9
benC,67,68,52,23,19,37,20,10,12,8,23,23
benD,103,89,87,73,56,65,20,43,27,19,55,47
betA,9338,9028,11660,6774,4191,6565,4182,3659,3901,5138,3635,3897
betB,12194,11093,15088,8663,5409,8533,5261,4738,5276,7566,4781,5023
betI,666,757,1045,456,366,603,270,413,254,744,417,371
bfr,4230,4240,3356,3029,1892,2662,2210,865,1931,1589,1606,1846
bglB,403,410,266,340,164,302,150,134,158,110,193,128
bicA,1962,3389,1455,1207,2757,3519,1797,1038,3151,439,2014,1064
bicP,897,1339,448,377,526,772,478,182,626,94,550,273
bioA,1006,587,1264,577,247,568,194,263,259,961,383,571
bioB,1067,718,1394,996,327,693,241,756,386,1034,453,678
bioD,224,99,302,117,55,111,32,75,59,237,85,112
bioF,562,293,875,353,135,324,76,181,168,681,240,357
bipB,13536,22156,7987,7794,13136,18198,10351,5661,20072,2160,10445,5166
bipC,19072,27314,14155,12658,17832,23356,17178,8073,32134,1956,11266,6479
bipD,10130,14677,6385,5669,8068,11090,7719,3346,12849,1423,5319,3181
bkdA1,4375,5473,1923,4260,2399,2376,2094,1790,999,665,2282,1447
bkdA2,2158,2748,1176,2207,1271,1289,1056,1068,525,382,1294,854
bkdB,1752,2223,1180,1654,1020,1331,735,946,465,422,1437,763
bopA,3711,5855,2234,1477,2823,3867,2071,877,2426,479,2917,1539
bopE,6044,8113,4146,2664,3866,4967,3698,1722,5647,826,3088,2116
bpeA,3656,3194,4585,13359,4885,8903,3454,5466,5811,2892,1682,2011
bpeB,6003,5115,8369,26150,8697,16492,5705,13773,9698,5992,2930,3938
bpeR,294,324,230,774,313,487,238,350,313,165,137,114
bprA,2149,3009,1414,1208,1785,2332,1763,843,2818,344,1266,720
BPSL0001,4228,4285,3830,3039,2073,4214,2139,866,2308,1256,1678,1680
BPSL0002,3606,3854,3646,2639,1472,3444,1641,839,1833,1199,1531,1511
BPSL0005,1547,1309,1701,1598,716,1532,708,776,956,975,699,744
BPSL0006,1325,1272,1411,997,699,1105,603,412,558,678,630,732
BPSL0019,809,669,889,743,370,726,341,390,482,470,426,439
BPSL0020,84,90,90,98,58,76,45,46,38,56,57,53
BPSL0021,222,276,240,349,162,190,92,145,142,112,126,140
BPSL0022,251,324,296,333,173,205,132,182,150,159,142,155
BPSL0023,654,615,1015,738,441,673,337,424,358,516,365,433
BPSL0024,41,26,52,51,17,53,16,22,25,65,26,40
BPSL0025,374,282,740,531,206,360,151,199,261,470,177,225
BPSL0033,345,349,357,323,205,299,154,163,129,168,218,148
BPSL0034,104,104,122,162,65,117,42,58,64,48,48,42
BPSL0035,47,41,66,52,24,50,20,25,25,22,34,18
BPSL0036,175,168,143,147,82,117,65,73,86,48,87,69
BPSL0037,31,31,56,29,21,29,10,19,17,22,23,10
BPSL0038,30,38,36,34,19,21,19,20,13,24,15,18
BPSL0039,104,101,133,92,49,87,39,64,50,77,62,50
BPSL0040,24,17,28,31,7,17,6,20,9,18,10,10
BPSL0041,9,13,12,16,9,5,5,4,7,10,2,12
BPSL0042,452,293,659,505,201,392,189,357,272,578,203,296
BPSL0043,440,368,628,561,217,419,177,531,258,560,203,288
BPSL0044,15,10,20,9,6,14,4,5,6,10,8,6
BPSL0045,92,66,76,56,20,53,32,25,19,21,38,27
BPSL0046,21,17,14,21,9,15,7,7,3,6,15,9
BPSL0047,22,26,21,18,10,12,10,14,11,10,15,10
BPSL0048,22,11,20,11,6,18,3,6,4,4,8,10
BPSL0049,16,27,12,10,12,24,6,8,8,10,14,6
BPSL0050,63,56,44,36,25,35,18,15,15,24,38,16
BPSL0051,284,264,231,236,83,232,96,109,102,98,106,115
BPSL0052,85,75,66,68,27,74,34,34,32,34,42,32
BPSL0053,269,238,246,264,120,227,110,95,108,108,126,110
BPSL0054,159,136,123,134,51,114,45,55,72,75,73,88
BPSL0055,305,271,340,247,156,229,114,141,119,141,122,130
BPSL0056,55,62,72,47,34,35,22,24,30,49,29,42
BPSL0057,367,316,419,405,188,383,130,254,152,259,197,254
BPSL0058,371,314,253,232,119,218,83,104,99,135,138,126
BPSL0059,510,461,437,439,176,366,151,201,176,213,217,268
BPSL0060,362,277,365,245,136,283,102,148,151,175,193,150
BPSL0061,331,612,182,307,117,219,104,98,104,65,370,116
BPSL0062,205,316,122,182,71,166,66,42,86,49,217,70
BPSL0063,355,514,246,340,170,309,115,102,135,89,349,131
BPSL0064,392,378,531,488,263,513,170,229,203,248,319,241
BPSL0065,463,414,568,677,335,538,277,329,321,330,278,219
BPSL0066,14,10,13,15,9,14,1,9,7,6,4,4
BPSL0067,837,667,961,5034,1921,4201,1378,1663,2411,450,351,369
BPSL0068,494,428,532,2881,1106,2441,840,999,1486,257,206,220
BPSL0069,141,158,154,234,161,303,117,124,135,71,95,76
BPSL0070,103,103,100,150,63,179,88,79,90,50,50,46
BPSL0071,36,45,69,78,57,90,39,56,56,27,30,38
BPSL0072,9,3,5,13,15,24,8,9,9,10,6,11
BPSL0077,135,106,172,118,53,137,51,46,59,133,55,76
BPSL0078,2767,2403,3831,2977,1469,3015,1195,1441,1634,2688,1392,1678
BPSL0079,2668,2763,3479,2355,1799,2339,1404,1004,1202,1722,1386,1521
BPSL0082,467,462,458,381,202,349,169,169,199,212,242,213
BPSL0083,39,55,57,32,20,34,19,14,14,25,18,31
BPSL0084,49,36,37,23,14,19,21,13,12,28,16,20
BPSL0085,7,3,4,5,2,3,6,3,3,8,5,2
BPSL0086,183,191,189,137,56,133,67,56,52,103,85,90
BPSL0087,510,560,603,387,285,501,255,211,220,394,230,335
BPSL0088,754,735,843,709,446,813,434,425,389,423,325,420
BPSL0089,587,517,504,522,243,396,236,227,191,281,195,214
BPSL0090,93,91,70,54,42,72,35,13,21,26,33,52
BPSL0091,0,0,0,0,0,0,0,0,0,0,0,0
BPSL0092,245,299,129,174,106,179,88,25,62,38,112,111
BPSL0093,195,175,144,130,93,174,144,147,187,64,89,76
BPSL0094,1,2,9,1,2,7,0,2,2,0,4,2
BPSL0095,211,313,130,141,124,170,94,46,115,50,120,117
BPSL0097,1368,1893,671,1047,686,1244,592,237,529,174,846,567
BPSL0098,394,408,424,387,163,392,158,137,218,218,209,187
BPSL0099,612,670,554,654,403,627,320,231,320,226,342,251
BPSL0100,523,524,498,686,329,635,301,277,319,187,308,230
BPSL0101,405,372,372,379,175,400,160,202,206,140,201,166
BPSL0102,3607,3030,4250,3504,1725,3372,1477,1860,1747,1852,1729,1619
BPSL0103,3348,3903,5035,1366,2195,1401,887,3054,681,2421,2524,1813
BPSL0104,1634,1311,1730,1369,986,981,680,1124,565,865,804,926
BPSL0105,0,0,0,0,0,0,0,0,0,0,0,0
BPSL0106,9281,9625,9651,5541,8614,5702,5550,6869,3012,3513,5299,6257
BPSL0107,1062,988,1023,550,342,526,357,334,278,321,480,428
BPSL0108,221,294,240,138,98,128,65,69,76,93,122,106
BPSL0109,2203,2159,1688,1478,805,1312,701,507,710,547,942,773
BPSL0110,4442,4221,3121,2953,1762,2607,1595,1055,1290,954,1806,1556
