,WT_3,WT_2,WT_3,BvrS_1,BvrS_2,BvrS_3,BvrR_2,BvrR_1,BvrR_3,BvrSR_1,BvrSR_2,BvrSR_3
BPSL0853,34222,36061,28120,22037,13040,17766,11136,5652,9794,5751,14919,13247
BPSL0855,1382,1302,1758,875,606,1000,471,525,523,760,673,747
BPSL0856,7054,9348,10533,4383,4958,4430,2648,5827,2526,4689,4979,3356
BPSL0857,1010,910,983,888,430,887,443,481,504,521,479,443
BPSL0858,251,214,320,457,190,421,172,285,198,199,130,155
BPSL0859,3512,3040,3848,3979,2466,4733,2309,1985,2615,2199,1712,1792
BPSL0860,975,835,1042,1002,528,1149,481,486,551,656,548,541
BPSL0861,1272,1303,1538,1090,569,1074,374,431,529,629,739,628
BPSL0862,1378,1355,1443,1223,677,1179,585,586,554,617,671,617
BPSL0864,1448,1255,1535,1405,890,1603,829,1018,852,1266,767,710
BPSL0865,279,226,270,187,119,196,110,129,122,221,129,135
BPSL0866,706,697,865,627,409,593,287,352,331,567,322,398
BPSL0867,3112,3190,3092,2523,1756,2118,1411,1116,1413,1330,1431,1507
BPSL0870,457,533,684,455,263,445,213,138,228,369,265,291
BPSL0872,493,306,691,509,246,598,249,217,354,444,205,290
BPSL0873,1295,973,1300,1348,622,1345,549,665,715,692,547,562
BPSL0874,1552,1857,1565,1383,873,1248,675,637,644,775,1003,782
BPSL0877,280,281,229,254,113,212,118,93,131,137,94,109
BPSL0878,500,424,600,482,317,632,201,276,306,386,258,274
BPSL0881,348,291,378,291,180,361,144,165,147,221,176,178
BPSL0882,169,111,216,169,74,195,79,86,98,99,78,87
BPSL0883,455,466,423,418,259,478,214,231,265,204,242,212
BPSL0884,177,129,137,158,60,135,57,58,71,78,89,69
BPSL0885,173,155,172,90,76,121,51,42,71,81,104,67
BPSL0886,748,663,826,705,427,846,315,281,417,409,494,350
BPSL0887,5338,5259,4975,4401,2912,4401,2086,2167,2127,2247,2277,2407
BPSL0888,477,408,524,456,309,542,238,269,294,374,236,259
BPSL0889,98,79,78,41,57,67,41,21,22,41,46,45
BPSL0890,413,330,375,247,179,370,144,141,187,198,241,171
BPSL0891,687,652,805,909,393,718,399,473,430,397,274,325
BPSL0892,1281,1236,1151,1315,701,1069,617,668,589,486,665,583
BPSL0894,532,458,583,610,331,620,291,360,373,354,206,268
BPSL0895,79,65,119,59,39,84,24,26,42,59,43,45
BPSL0897,3369,2783,3564,3289,2006,3786,1561,1934,1855,1770,1839,1800
BPSL0898,3565,3890,2231,3584,2784,4143,2156,1568,2074,2742,1760,2011
BPSL0900,507,456,721,491,251,477,258,297,278,611,291,285
BPSL0901,237,193,301,186,127,207,98,109,93,253,144,137
BPSL0902,115,111,175,129,54,130,43,59,58,122,60,66
BPSL0909,2977,2674,3994,2656,1606,3240,1291,1474,1698,2145,1584,1582
BPSL0910,855,664,1285,893,471,936,350,516,549,806,418,463
BPSL0911,11238,10468,14067,15476,7730,13731,6294,5374,8069,6810,5072,5849
BPSL0918,2484,2207,2883,2136,1181,2118,913,966,1016,1556,1168,1350
BPSL0919A,225,206,217,283,212,322,104,137,102,137,134,114
BPSL0920,414,339,430,702,341,641,319,315,338,337,239,236
BPSL0921,566,512,497,727,382,703,330,425,350,415,265,305
BPSL0922,498,367,445,626,302,533,274,295,256,302,240,273
BPSL0923,456,388,402,525,284,491,223,289,224,256,191,230
BPSL0924,1937,2327,1117,1851,938,1404,871,453,765,352,860,688
BPSL0925,419,411,381,377,204,414,134,190,240,192,237,224
BPSL0927,3068,2504,4060,2430,1173,2406,938,942,1270,1960,1316,1536
BPSL0928,1648,1411,2026,1259,800,1556,527,676,667,999,1026,926
BPSL0929,232,248,193,124,111,121,72,42,76,60,119,129
BPSL0930,278,230,352,263,144,239,117,127,153,235,128,142
BPSL0931,289,231,309,318,124,266,111,123,153,178,146,125
BPSL0932,1931,1551,1806,2322,1208,2294,818,619,1031,739,711,912
BPSL0933,192,176,261,150,87,162,83,92,78,117,103,100
BPSL0934,348,296,323,337,165,327,152,109,156,124,181,147
BPSL0935,221,328,177,147,67,143,63,85,83,51,86,58
BPSL0936,320,448,193,159,102,191,94,114,103,52,104,81
BPSL0937,403,611,238,182,132,204,126,139,148,69,115,114
BPSL0938,770,886,840,589,368,544,328,204,328,362,401,363
BPSL0938A,80,65,133,60,66,89,31,24,41,50,63,51
BPSL0939,5365,6017,4791,3130,2891,3767,1931,951,1448,2446,2736,2852
BPSL0940,191,219,133,89,85,130,66,20,52,53,94,98
BPSL0941,16335,17261,13629,7768,8912,13141,6717,1988,5072,7096,8098,8949
BPSL0942,51056,53367,48556,22620,21325,32231,16975,6581,12949,23805,23865,27705
BPSL0943,3643,3938,2848,1421,1065,1852,981,367,729,1452,1390,1580
BPSL0944,1205,1271,1343,1511,2496,2513,804,992,860,807,1025,1090
BPSL0945,11068,11878,7560,4829,3432,5654,3100,1650,2573,4102,4440,4549
BPSL0946,2618,2755,1898,1439,907,1565,878,529,710,1144,1030,1102
BPSL0947,2694,2739,1617,1333,844,1481,868,405,663,947,910,1018
BPSL0948,2371,2183,1924,1352,948,1751,996,587,842,1164,941,1097
BPSL0949,176,277,144,65,49,87,47,9,36,35,98,86
BPSL0950,0,0,0,0,0,0,0,0,0,0,0,0
BPSL0952,404,535,364,229,166,294,203,115,145,221,211,199
BPSL0953,2,2,2,3,2,4,0,1,2,1,3,4
BPSL0954,149,149,157,126,75,116,60,56,53,49,82,67
BPSL0955,1215,1360,1305,1115,643,842,481,460,477,524,587,554
BPSL0957,126,114,155,109,42,91,35,75,38,84,41,67
BPSL0961,916,843,1332,759,482,935,311,411,355,619,611,516
BPSL0962,133,102,196,160,81,156,51,92,100,135,92,93
BPSL0963,527,405,679,583,301,630,236,296,353,563,220,297
BPSL0964,772,636,999,753,455,785,424,382,548,740,353,457
BPSL0966,739,507,846,652,257,574,250,339,323,429,318,337
BPSL0967,703,481,959,586,329,672,237,383,368,485,405,405
BPSL0968,475,434,603,485,326,506,252,225,290,337,266,285
BPSL0972,13814,12621,14924,10879,8828,14589,6398,5038,8068,3451,5444,5119
BPSL0973,1035,876,912,985,470,862,354,214,394,358,403,466
BPSL0974,437,436,536,346,193,388,203,157,220,258,204,248
BPSL0975,927,814,998,705,397,691,389,374,462,632,374,476
BPSL0976,812,714,949,776,457,740,367,518,435,561,426,453
BPSL0977,339,233,446,296,130,312,113,221,161,303,198,153
BPSL0978,194,167,268,166,108,235,83,141,113,185,145,151
BPSL0981,114,77,121,74,37,86,39,46,59,60,46,56
BPSL0982,1217,1146,945,475,329,539,362,180,333,237,524,448
BPSL0986,319,266,362,231,132,226,101,165,146,176,157,155
BPSL0988,86,64,81,74,35,65,38,35,28,42,35,32
BPSL0989,2815,2446,2736,2866,1499,2545,1278,1216,1304,1136,1336,1438
BPSL0992,3139,2705,3399,3123,1209,2300,1131,1171,1316,1923,1212,1408
BPSL0993,384,366,380,321,173,327,168,128,163,215,186,201
BPSL0994,1373,1238,2176,1455,1440,2813,789,868,982,1236,1027,1056
BPSL0995,1487,1209,2198,1920,1111,2384,957,1466,1494,1609,796,946
BPSL0996,382,345,328,279,178,275,107,83,139,150,199,187
BPSL0997,364,301,311,234,173,311,105,69,139,135,204,190
BPSL0999,13112,12809,9736,11015,6752,10132,4358,3733,4904,2409,6426,5382
BPSL1000,1309,1070,1485,1323,670,1218,470,518,652,878,598,651
BPSL1001,948,806,1006,871,401,930,320,318,390,554,468,376
BPSL1003,3073,2179,4422,4380,1908,4312,1700,2981,2541,3120,1339,2024
BPSL1004,277,243,458,411,193,424,133,306,223,381,164,201
BPSL1005,723,514,1007,697,299,739,280,435,358,569,414,367
BPSL1007,852,675,672,449,251,541,238,209,261,347,349,325
BPSL1008,960,760,1018,698,419,570,265,472,229,663,344,380
BPSL1009,1827,1629,1686,1519,920,833,584,1042,429,1472,612,797
BPSL1010,1850,2117,1567,1595,880,1356,686,384,759,655,975,770
BPSL1011,661,654,653,477,326,673,240,197,265,240,408,310
BPSL1012,214,196,222,187,108,179,95,79,82,105,132,90
BPSL1013,5110,4056,6710,7663,3083,5798,2544,3807,3503,3426,2270,2594
BPSL1014,70,62,73,81,37,66,17,36,27,49,32,35
BPSL1016,4561,3761,6447,3977,2053,3978,1688,2431,2100,3575,2424,2498
BPSL1017,2740,2192,3916,2480,1271,2485,1083,1734,1461,2167,1456,1448
BPSL1018,676,727,598,527,310,389,280,247,184,311,377,306
BPSL1020,2786,2454,2683,2322,1321,2315,1035,961,1138,1140,1570,1295
BPSL1022,282,252,383,256,133,272,128,143,159,206,172,168
BPSL1025,483,406,487,526,240,432,192,178,220,206,282,195
BPSL1029,4596,5011,3240,5027,3001,3874,2300,1838,1613,1210,2185,1722
BPSL1034,73,79,92,79,44,75,46,50,50,50,41,35
BPSL1035,191,185,203,183,93,172,137,116,96,103,115,90
BPSL1036,829,747,871,762,336,653,314,435,385,503,453,432
BPSL1037,2104,1866,2604,1732,1032,2028,804,885,1054,1201,1064,968
BPSL1038,2291,2350,2845,2199,1455,2202,1084,944,1104,1215,1195,1252
BPSL1038a,248,171,260,153,99,208,79,44,76,146,97,116
BPSL1039,2714,2422,3057,2393,1304,2331,1160,1071,1322,1808,1225,1474
BPSL1040,4288,3714,4658,3890,1991,3715,1736,1845,2038,2492,1962,2028
BPSL1041,28,22,29,18,19,19,7,10,12,22,13,8
BPSL1042,125,100,149,122,83,115,66,77,89,100,72,81
BPSL1043,269,227,275,269,132,253,153,184,205,141,153,119
BPSL1045,1316,1257,908,1008,757,1474,650,361,743,226,625,449
BPSL1046,732,1012,559,633,611,972,473,238,473,152,441,336
BPSL1047,48,52,42,21,29,43,23,13,16,13,31,16
BPSL1048,567,404,629,334,255,480,196,235,258,375,236,273
BPSL1049,3243,2810,3423,2884,1729,2660,1237,1175,1389,1316,1148,1221
BPSL1050,267,239,264,224,146,223,131,141,105,100,134,118
BPSL1053,74,85,69,82,71,98,117,81,111,27,49,45
BPSL1055,1149,1020,1830,1226,674,1213,546,837,640,816,565,616
BPSL1057,6873,7617,7691,4418,6948,12203,5122,2627,4365,2369,4511,4540
BPSL1059,516,517,646,236,231,472,187,77,229,239,279,311
BPSL1060,227,217,300,99,105,249,75,42,75,145,139,148
BPSL1061,86,67,83,34,30,43,26,9,34,46,39,31
BPSL1063,234,160,263,77,92,188,94,38,91,159,97,120
BPSL1064,448,414,531,214,156,289,156,97,158,281,207,225
BPSL1065,184,177,186,80,55,82,49,44,58,128,93,101
BPSL1067,11111,12003,9582,36650,10242,16042,10116,12306,10587,3148,5354,4625
BPSL1068,2492,1922,3484,3428,1409,2917,1278,2278,1891,2239,1077,1340
BPSL1071,342,253,417,454,237,609,264,162,363,222,179,176
BPSL1072,163,144,155,116,69,136,79,54,71,96,63,74
BPSL1073,331,392,245,80,104,162,49,21,57,113,141,187
BPSL1074,222,287,199,251,181,208,185,164,142,112,141,125
BPSL1075,37,38,51,51,40,49,54,106,22,37,37,20
BPSL1076,72,56,82,58,51,66,74,119,46,44,30,37
BPSL1078,218,203,198,147,134,174,147,159,95,113,112,124
BPSL1079,1541,1363,1535,1028,717,996,553,469,467,656,828,816
BPSL1080,1258,1039,1320,840,541,984,462,425,532,760,505,640
BPSL1081,2244,1580,3221,2747,1186,2322,834,2276,1234,1689,1126,1232
BPSL1082,1835,1570,2562,2788,1116,1801,884,1822,1140,1314,845,942
BPSL1083,3911,3442,4793,4475,1980,3612,1748,3124,2033,2801,1941,2070
BPSL1084,286,225,394,198,120,259,107,97,113,267,138,153
BPSL1085,579,533,613,306,227,448,181,178,190,313,323,259
BPSL1086,1967,1718,2200,1407,922,1915,823,747,1004,1035,980,859
BPSL1088,1695,1298,3585,970,1069,1876,519,1365,820,1683,1059,1045
BPSL1089,846,744,1667,501,551,813,311,628,448,885,473,515
BPSL1091,283,237,506,247,120,252,112,171,168,422,143,171
BPSL1092,12,8,23,4,5,5,3,6,6,12,8,5
BPSL1093,62,64,84,51,28,43,16,27,34,46,28,27
BPSL1094,901,1058,766,1551,689,792,462,445,488,333,429,382
BPSL1096,468,387,676,413,198,462,191,283,258,400,229,275
BPSL1097,1906,1822,2008,1498,853,1585,690,679,796,938,953,941
BPSL1098,4512,4064,4231,3585,1777,3240,1564,1429,1671,1851,1783,1905
BPSL1099,1969,1450,2033,1854,911,1501,790,641,868,1305,710,998
BPSL1100,1649,1257,1923,1750,874,1561,760,739,957,1449,630,938
BPSL1101,386,294,352,398,192,350,167,161,211,181,140,145
BPSL1102,275,215,401,308,138,363,128,198,194,258,156,160
BPSL1104,1132,899,1348,945,560,1005,402,461,419,733,535,626
BPSL1105,4016,3978,3594,3947,2047,3122,1638,1188,1505,1376,1839,1889
BPSL1106,5516,4630,5704,5174,2747,4659,2397,1756,2601,2937,2220,2655
BPSL1107,3128,3147,2640,2406,1574,2713,1281,1151,1291,857,1652,1441
BPSL1108,2655,2494,2368,2404,1446,2407,1223,1047,1186,1162,1315,1310
BPSL1110,787,600,1036,729,501,943,440,448,573,563,308,396
BPSL1112,61,37,73,129,64,180,52,60,59,46,37,37
BPSL1113,202,135,215,463,202,503,128,283,243,184,94,134
BPSL1115,441,320,560,413,238,435,124,221,215,367,274,246
BPSL1116,1023,911,1114,974,423,798,389,391,430,586,410,483
BPSL1118,1838,1473,2397,2004,941,1823,805,1153,984,1621,819,1102
BPSL1119,1161,922,1519,1229,614,1106,536,626,591,853,515,623
BPSL1120,1543,1239,2610,1365,652,1245,584,855,814,1636,826,970
BPSL1121,515,346,913,446,206,480,241,304,297,786,278,391
BPSL1122,544,418,996,578,251,561,235,462,325,821,290,397
BPSL1123,844,603,1230,758,309,656,303,407,385,703,439,457
BPSL1123b,68,43,69,43,32,55,25,28,36,45,35,34
BPSL1124,514,424,589,564,275,497,239,230,276,304,209,265
BPSL1125,9987,9064,7909,6332,4915,7025,3770,1874,3639,2537,4778,4374
BPSL1126,962,828,897,636,524,697,337,243,367,378,339,468
BPSL1127,695,536,852,660,394,729,324,410,388,472,369,389
BPSL1128,444,395,576,396,222,447,162,209,212,266,209,193
BPSL1129,16,16,16,10,3,10,6,5,8,6,8,2
BPSL1130,91,95,141,105,54,106,36,47,42,56,85,59
BPSL1132,32,42,29,33,21,23,11,5,9,9,20,17
BPSL1133,14,16,14,11,8,11,4,2,5,8,6,10
BPSL1134,294,293,124,108,50,104,47,17,38,43,153,111
BPSL1135,705,848,416,265,177,375,176,53,147,138,398,318
BPSL1136,607,511,612,298,214,410,171,161,209,332,246,288
BPSL1137,24312,27657,19394,9672,7632,12322,9583,1165,6670,5333,8721,9180
BPSL1138,12729,14486,9554,4636,3639,5631,4628,444,3313,2457,4466,4564
BPSL1139,106,119,165,26,35,62,25,6,28,48,63,66
BPSL1140,255,263,239,91,83,173,87,56,97,105,146,146
BPSL1141,5,8,4,4,5,6,1,2,1,1,4,2
BPSL1142,258,264,185,116,131,214,151,121,151,107,133,123
BPSL1143,173,194,154,80,83,99,58,56,68,92,79,80
BPSL1144,102,80,64,34,22,48,26,17,20,29,45,34
BPSL1145,31,46,37,20,19,24,12,9,14,11,18,17
BPSL1146,48,57,52,32,10,50,16,15,23,25,18,36
BPSL1147,11,12,4,5,3,3,2,3,3,2,4,3
BPSL1148,15,10,18,10,10,11,9,4,4,8,4,6
BPSL1149,40,35,16,17,13,19,12,5,12,12,15,14
BPSL1150,21,19,18,12,12,17,8,6,10,8,17,8
BPSL1151,4,11,8,4,3,4,5,1,2,3,4,2
BPSL1152,14,11,7,3,1,3,3,5,1,2,4,9
BPSL1153,10,7,10,7,2,4,0,1,1,5,1,4
BPSL1153A,61,37,73,70,38,79,16,18,14,33,48,35
BPSL1154,33,18,19,22,4,10,10,9,15,17,9,12
BPSL1155,36,29,37,19,13,16,19,6,10,15,15,19
BPSL1156,1064,1101,749,443,253,433,363,163,269,337,338,358
BPSL1157,1106,1037,1181,868,506,840,492,487,516,676,443,618
BPSL1160,173,129,204,179,53,152,62,117,83,132,64,80
BPSL1161,437,349,565,497,193,398,192,358,282,365,172,225
BPSL1162,525,436,781,484,221,521,178,278,253,459,266,282
BPSL1165,2644,2241,4133,2536,1308,2206,980,1248,1367,2492,1338,1654
BPSL1167,878,823,1164,1469,599,1188,461,853,636,489,493,485
BPSL1170,0,0,0,0,0,0,0,0,0,0,0,0
BPSL1176,1268,1493,956,1219,755,974,609,390,560,362,645,589
BPSL1178,846,807,839,870,516,797,373,319,413,359,490,444
BPSL1179,1208,1033,1466,1102,562,1243,400,530,632,721,718,567
BPSL1180,325,244,356,325,138,293,141,142,143,202,122,150
BPSL1181,1398,1180,1190,1595,690,1321,708,658,866,611,614,602
BPSL1182,870,851,843,1130,555,1133,480,492,588,404,558,467
BPSL1183,1372,1336,1248,1838,741,1532,670,511,843,476,806,652
BPSL1184,349,354,316,741,304,670,238,308,359,139,197,144
BPSL1185,370,392,591,5704,2490,6167,1943,3575,3439,463,236,188
BPSL1186,210,186,369,246,138,239,94,126,148,236,129,159
BPSL1187,1928,1665,2307,1824,985,1560,876,998,862,1136,871,945
BPSL1188,4092,3863,3952,3383,2074,2714,1875,1514,1815,2192,1603,1779
BPSL1189,221,193,173,169,86,156,77,78,68,88,89,91
BPSL1190,608,578,620,503,317,529,230,309,254,298,360,284
BPSL1191,30,34,28,22,13,22,19,6,9,24,16,17
BPSL1192,75,52,85,68,20,70,35,34,39,65,31,44
BPSL1193,230,172,249,282,117,267,110,181,118,223,83,128
BPSL1194,46,34,56,55,25,70,18,38,32,58,34,60
BPSL1195,537,423,669,530,269,567,260,212,263,418,237,280
BPSL1199,1446,1070,1818,1575,679,1439,682,953,872,1032,655,771
BPSL1200,1347,1105,1823,1534,723,1517,767,1080,900,1301,641,857
BPSL1202,946,891,938,1455,704,1206,1396,2271,1366,643,464,483
BPSL1203,199,232,224,287,182,288,352,492,360,124,118,90
BPSL1204,452,366,547,424,283,404,248,233,244,329,221,296
BPSL1205,260,185,417,357,163,309,143,211,200,331,104,190
BPSL1208,1396,1025,2136,2117,825,1723,580,1162,1034,1335,778,940
BPSL1215,1522,1219,2040,1875,920,1541,626,846,891,1657,733,1017
BPSL1217,7937,6437,10669,11407,4834,8868,3542,5997,5131,7953,3799,5088
BPSL1219,1429,1131,1463,2053,778,1547,699,1045,852,1194,588,730
BPSL1225,218,188,342,406,146,266,96,267,131,289,116,156
BPSL1226,848,702,1012,1120,441,704,378,473,368,512,400,417
BPSL1227,776,777,804,878,467,881,341,333,397,417,454,370
BPSL1228,935,1053,814,1144,549,772,368,399,433,281,516,383
BPSL1229,938,1051,1002,1365,732,1092,430,563,548,488,660,441
BPSL1230,745,987,828,1338,652,789,409,479,426,291,411,382
BPSL1231,569,590,568,808,408,572,243,277,251,204,289,247
BPSL1233,595,735,797,863,498,750,328,372,328,327,421,328
BPSL1234,2305,2380,2132,2346,1392,2101,1067,824,1049,708,1288,1115
BPSL1235,3202,3166,2816,3406,1737,2926,1362,1253,1379,1086,1558,1419
BPSL1236,2564,2186,2237,2645,1378,2227,1117,1046,1039,866,1136,979
BPSL1237,3065,2852,2585,2717,1442,2523,1133,1147,1070,1075,1324,1111
BPSL1238,10868,11880,8777,8498,4524,6491,4307,2600,3822,2281,4594,4295
BPSL1239,3224,2987,3422,2819,1364,2368,1199,916,1278,1096,1359,1342
BPSL1240,416,303,402,283,157,312,133,144,168,196,200,160
BPSL1241,599,442,874,574,259,575,232,297,357,553,261,348
BPSL1242,1647,1333,2471,1942,849,1654,826,1162,1065,1511,820,1043
BPSL1243,1464,1110,1788,1530,910,1676,777,953,1101,1113,575,817
BPSL1244,1370,1431,1318,1126,639,1286,509,478,652,584,612,673
BPSL1245,1210,1174,1092,976,611,927,360,328,454,490,600,531
BPSL1246,4015,3265,3607,2876,1413,2912,1332,1133,1661,1714,1253,1605
BPSL1247,1747,1804,1487,853,726,992,469,423,471,794,974,907
BPSL1248,215,211,245,117,84,139,67,32,76,133,113,110
BPSL1249,768,729,699,624,375,507,337,309,239,326,303,361
BPSL1251,420,301,700,335,164,340,110,135,169,587,299,338
BPSL1252,365,279,407,229,133,218,113,116,115,290,177,202
BPSL1253,1241,1238,1198,883,500,826,467,326,393,531,735,587
BPSL1254,584,504,750,1794,707,1640,583,1064,1052,532,286,284
BPSL1255,0,2,3,1,1,0,0,0,0,0,1,0
BPSL1256,1910,717,5318,1535,2402,1784,731,787,736,4979,499,1687
BPSL1257,4087,1671,12472,3588,5134,4627,1876,1548,2077,11851,1193,3934
BPSL1258,204,70,616,136,247,214,68,61,101,557,65,207
BPSL1259,1897,797,5880,1712,2402,1963,772,671,825,5789,561,1869
BPSL1260,5075,2286,14062,4517,5189,5610,1906,1615,2470,13380,1585,5007
BPSL1261,1489,712,4456,1464,1640,1875,484,553,763,4281,629,1683
BPSL1262,4229,4500,5335,6523,2942,4085,2246,1202,2040,2794,2230,2025
BPSL1263,5677,6647,6453,9510,5012,6039,3313,1441,2673,3488,2843,2628
BPSL1264,474,397,421,465,236,568,224,253,288,169,197,208
BPSL1265,1604,1462,1621,1814,963,1498,834,791,902,731,796,750
BPSL1266,698,647,857,648,367,688,277,311,360,509,368,417
BPSL1267,879,742,1017,702,382,740,357,372,393,679,440,461
BPSL1268,682,600,714,587,307,501,272,277,297,443,309,349
BPSL1269,444,352,466,387,376,558,342,122,274,275,144,199
BPSL1270,50,58,85,90,32,48,36,28,38,44,40,33
BPSL1271,357,312,554,325,255,550,174,238,250,291,229,248
BPSL1272,507,472,583,433,243,524,173,189,272,329,267,302
BPSL1273,2496,2339,2648,1029,697,1656,642,427,678,508,1065,987
BPSL1274,160,167,144,101,97,171,57,53,75,61,98,60
BPSL1275,464,500,300,394,259,294,173,167,163,120,232,202
BPSL1276,243,209,375,294,126,251,90,231,131,242,140,130
BPSL1277,343,304,595,409,189,362,129,437,216,428,200,206
BPSL1278,794,539,1309,1015,347,609,264,925,414,889,302,457
BPSL1279,69,66,74,108,43,91,44,35,65,63,33,36
BPSL1280,383,395,565,584,285,579,251,353,309,457,174,273
BPSL1281,867,739,1073,1281,647,1278,611,892,772,714,372,476
BPSL1282,3253,2624,3500,2399,1200,2505,1101,1668,1335,1929,1699,1532
BPSL1283,4329,3700,4490,3379,1679,3218,1523,1954,1678,2216,2208,2017
BPSL1284,2540,2138,2894,2004,1241,2275,873,1220,1136,1393,1530,1333
BPSL1285,394,358,365,313,183,291,143,143,157,152,183,179
BPSL1286,599,543,590,482,271,471,205,208,207,247,271,267
BPSL1287,465,346,513,453,203,484,210,217,293,264,185,207
BPSL1288,6,3,2,4,1,7,7,10,7,3,2,2
BPSL1290a,21,14,14,14,11,18,11,9,7,11,9,12
BPSL1291,63,81,51,60,52,49,32,22,25,34,27,25
BPSL1292,31,17,35,16,16,24,7,15,17,9,22,14
BPSL1293,47,41,38,48,19,49,26,25,33,25,24,23
BPSL1294,88,89,101,107,46,89,47,46,49,57,52,39
BPSL1295,399,280,436,542,255,444,219,357,258,418,189,235
BPSL1296,256,200,387,274,152,312,115,181,159,305,142,150
BPSL1297,86,59,56,62,42,54,18,36,25,32,39,33
BPSL1298,396,386,300,326,232,275,167,167,146,152,204,187
BPSL1299,911,889,990,767,473,740,328,313,381,450,513,458
BPSL1300,153,158,179,131,85,116,62,53,63,93,100,87
BPSL1301,130,129,146,86,61,67,38,39,53,51,62,58
BPSL1302,280,279,369,123,100,137,80,57,61,182,178,162
BPSL1303,96,87,113,145,67,85,65,31,56,75,41,61
BPSL1304,62,83,72,76,57,81,47,34,27,37,39,35
BPSL1304A,40,26,45,25,13,29,10,9,8,12,23,9
BPSL1304B,96,83,73,102,62,79,48,27,36,32,26,48
BPSL1305,695,635,598,1342,552,812,457,173,395,339,371,289
BPSL1306,1397,1368,638,1118,529,807,435,198,376,198,686,532
BPSL1307,297,279,208,219,185,316,130,90,123,79,162,133
BPSL1308,162,131,151,113,74,149,64,60,70,66,67,71
BPSL1309,232,208,162,233,148,211,110,100,138,106,108,128
BPSL1310,432,452,406,389,285,388,188,199,193,151,280,227
BPSL1311,337,292,249,279,162,228,160,147,138,134,157,138
BPSL1313,400,350,376,419,207,376,172,215,184,171,208,177
BPSL1314,155,155,178,169,108,221,71,102,74,108,95,105
BPSL1315,198,158,213,134,86,166,89,70,105,112,78,81
BPSL1316,270,321,266,227,163,309,142,112,157,83,160,129
BPSL1317,278,254,335,218,132,304,95,103,119,218,150,154
BPSL1318,111,104,137,79,61,90,37,46,48,62,61,59
BPSL1319,783,716,931,521,373,563,254,283,285,372,454,399
BPSL1320,25,24,11,17,14,14,7,4,6,6,17,9
BPSL1321,1468,1228,2045,552,724,807,454,628,410,1027,678,638
BPSL1322,6810,9479,15548,1999,5697,2844,2138,5736,1295,6494,5624,3600
BPSL1323,5317,7560,11128,1782,4215,2059,1661,4946,1068,5197,4126,2928
BPSL1323a,10,11,7,7,4,7,3,2,1,2,3,3
BPSL1325,1384,1409,1504,1039,783,1341,637,526,601,530,841,671
BPSL1326,220,228,241,191,89,171,98,90,96,110,128,98
BPSL1327,34,27,27,29,18,26,17,16,11,6,18,22
BPSL1328,49,43,48,36,21,41,15,22,19,16,26,28
BPSL1329,1238,1078,1272,1392,654,1164,527,658,640,626,605,639
BPSL1330,68,53,64,83,30,59,31,36,32,33,39,39
BPSL1331,618,501,558,642,330,638,303,355,313,284,302,275
BPSL1332,520,465,495,599,354,619,244,287,319,218,277,257
BPSL1333,342,312,339,348,206,356,138,182,172,138,203,177
BPSL1334,79,75,96,85,50,117,38,63,37,42,90,42
BPSL1335,217,158,203,231,101,192,59,82,95,92,114,91
BPSL1336,132,86,203,100,69,145,48,82,68,163,74,102
BPSL1337,1159,890,1027,719,407,765,360,313,378,383,523,432
BPSL1338,1089,850,1137,968,382,773,472,420,485,537,446,452
BPSL1339,889,671,1427,558,375,984,328,251,607,789,389,503
BPSL1340,79,83,68,60,31,60,23,26,39,25,41,39
BPSL1343,879,751,870,794,365,742,344,315,338,492,344,419
BPSL1344,1054,1047,1205,1070,527,1042,403,531,490,510,634,486
BPSL1345,2751,2154,2396,2791,1409,2676,1231,1129,1587,1632,1133,1344
BPSL1346,206,151,270,160,69,161,84,61,115,161,91,112
BPSL1347,85,78,85,66,51,79,42,30,34,48,44,38
BPSL1348,466,514,365,459,234,424,155,165,184,159,283,214
BPSL1350,297,241,482,286,182,450,110,201,223,418,156,211
BPSL1353,1575,1065,2200,1422,665,1690,584,710,919,1001,651,784
BPSL1354,479,352,552,381,197,393,155,208,208,327,180,237
BPSL1355,1128,1064,1367,951,609,1022,431,528,502,680,628,581
BPSL1363,571,577,388,381,186,361,169,114,197,138,282,194
BPSL1365,1362,1231,1305,1008,624,978,493,524,492,649,645,600
BPSL1367,4112,3521,3476,4033,2040,3273,1633,1748,1613,1520,1725,1723
BPSL1368,380,343,351,645,224,514,204,286,270,189,184,180
BPSL1369,436,373,496,343,181,349,155,201,170,240,216,225
BPSL1370,810,839,700,708,447,615,340,418,286,345,409,410
BPSL1371A,6758,7071,5004,6895,6045,4156,3905,6635,2169,3720,4167,3972
BPSL1372,238,227,156,143,94,121,72,72,60,72,88,101
BPSL1373,600,631,615,446,459,687,243,255,181,298,392,416
BPSL1374,2378,2125,2043,1049,624,1073,472,255,507,405,1164,816
BPSL1375,13560,12805,11219,13874,6535,10742,5279,3756,5278,3164,5859,5390
BPSL1376,158,149,159,167,126,203,54,47,59,57,100,83
BPSL1377,80,67,70,86,49,69,33,27,51,35,33,37
BPSL1378,559,402,698,677,284,634,216,289,291,404,270,324
BPSL1379,281,261,297,261,154,277,150,124,164,170,130,155
BPSL1380,898,920,750,539,331,522,257,207,245,289,427,404
BPSL1381,644,469,885,504,263,501,230,278,304,504,287,323
BPSL1382,344,297,337,344,167,347,138,129,187,145,134,150
