gene,control-0,control-1,control-2,sample-0,sample-1,sample-2
BCAM2414,11,2,5,37,41,2
BCAL2615,131,9,21,174,226,25
BCAM1588,1947,220,447,3833,3458,549
BCAL3057,34,0,5,29,22,7
BCAS0735,30,2,13,67,65,6
BCAL2118,3232,321,920,6901,4458,948
"BCAL0059,BCAL0060",35,4,20,81,88,14
BCAL1975,21,0,11,53,43,1
BCAM2095,84,2,19,108,118,12
BCAL2707,44,5,23,78,142,13
"BCAL1525a,BCAL1526",216,27,85,455,502,66
BCAL1980,45,3,10,60,77,9
BCAM0131,26,1,12,41,34,9
BCAM1087,21,0,3,11,5,6
BCAM2053,12,2,3,24,17,5
BCAL0540,459,38,161,746,798,129
BCAM1160,20,2,6,31,28,7
BCAL2808,9,1,4,25,17,2
BCAM1097,93,27,65,322,327,50
"BCAM2131,BCAM2132",21,3,5,23,24,2
"BCAL3325,BCAL3326",89,9,28,137,160,22
BCAL2304,52,6,24,91,109,19
BCAL0287,1193,102,370,1762,1853,334
BCAL0765,24,3,7,48,36,7
BCAL2182,57,1,7,46,47,9
BCAM0628,10,2,6,12,12,9
BCAS0240,31,4,9,41,47,12
BCAM1423,44,3,26,110,57,14
BCAM1536,55,4,27,89,85,19
BCAM0546,20,0,10,26,26,5
BCAL3405,13,1,5,19,25,3
BCAL2028,50,5,26,118,107,11
BCAL1804,50,3,14,72,71,9
"BCAL2705,BCAL2706",128,14,58,166,297,38
BCAL2193,25,4,8,45,59,6
BCAM0679,63,4,20,109,77,12
BCAM2316,31,3,8,32,33,11
BCAM2096,80,2,15,89,59,12
"BCAM0698,BCAM0699",26,1,11,40,25,7
BCAL3061,30,0,2,9,14,5
BCAM0031,113,9,21,161,137,17
BCAM2106,44,7,23,84,79,18
BCAM2117,16,1,9,27,28,4
BCAL3210,30,2,14,39,37,10
"BCAL3043,BCAL3044",59,2,19,58,60,9
BCAS0721,29,4,12,54,58,7
BCAM1762,54,5,19,76,106,9
BCAL3282,133,12,45,233,80,42
BCAL0781,18,3,19,41,57,9
"BCAM2097,BCAM2098",76,14,25,113,127,16
BCAL0916,32,3,8,44,49,5
