gene,control-0,control-1,control-2,sample-0,sample-1,sample-2
BCAL0369,165,22,53,31,35,4
BCAS0678,164,41,73,40,54,6
BCAL1262,610,52,163,86,89,15
BCAL2955,266,36,64,52,40,7
BCAL2949,311,57,189,87,91,10
"BCAL1060,BCAL1061",330,9,55,15,24,9
"BCAL3128,BCAL3129",1034,159,487,200,241,36
BCAM2434,150,6,32,10,9,5
BCAL0880,651,62,206,97,107,17
"BCAL0964,BCAL0965",126,8,24,16,14,2
BCAL1366,227,28,103,42,35,9
BCAM0504,737,120,258,164,118,25
BCAL0874,1597,113,320,220,193,30
BCAL1514,324,27,95,57,61,4
BCAL3301,188,30,60,45,51,2
BCAL2446,125,9,25,23,18,1
BCAL3232,41,8,41,13,14,2
BCAL2645,981,39,125,98,78,17
BCAL0893,79,18,34,25,27,1
BCAL1507,1184,133,455,180,179,42
BCAL0259,889,104,303,144,136,28
"BCAM2461,BCAM2462",58,6,16,7,7,2
BCAM1573,532,34,110,72,76,7
BCAL0934,416,65,184,69,88,16
BCAL0879,79,14,26,22,13,2
BCAL3280,130,7,38,24,20,1
BCAL3079,90,15,53,21,36,1
BCAL2085,118,13,29,24,23,1
BCAM1803,105,8,50,14,20,3
BCAL1515,3184,435,1293,590,617,94
"BCAL1964,BCAL1965",66,6,13,9,6,3
pBCA087,484,83,189,108,75,18
BCAL3422,109,9,20,11,23,1
BCAL2063,988,102,308,138,157,26
BCAM2253,194,32,75,52,45,3
BCAL0231,2247,386,1082,464,449,87
"BCAL0318,BCAL0319,BCAL0320",229,22,51,27,44,3
BCAL2822,94,7,23,17,7,2
BCAL0754,619,55,168,119,68,12
BCAL3261,856,61,225,159,118,9
BCAM0961,4715,456,1289,690,666,106
BCAL2228,132,12,37,24,13,3
BCAL0146,290,24,103,36,36,9
BCAL2213,987,84,234,115,107,26
BCAL1899,552,34,110,64,53,11
BCAL2022,117,13,37,20,22,2
BCAL0409,378,42,97,71,51,7
BCAL3361,706,81,189,112,85,19
BCAM2762,141,31,56,39,42,2
BCAL1359,387,60,132,78,62,11
"BCAL2076,BCAL2077,BCAL2078",160,8,33,14,21,2
BCAL0244,313,54,77,71,60,5
BCAL2719,2265,310,613,371,346,57
BCAS0260,61,8,35,9,15,2
BCAL2447,174,5,41,23,23,1
BCAL0129,835,60,232,115,115,14
BCAL2268,77,12,45,20,17,2
BCAL3311,174,26,39,33,36,2
BCAL0503,573,66,199,99,97,12
BCAM0387,254,19,62,33,41,3
BCAL0260,911,137,343,144,198,23
BCAM1496,83,8,22,8,13,2
BCAL2454,174,17,59,18,33,4
BCAM1572,168,17,55,18,24,5
"BCAL0350,BCAL0351",401,33,122,72,132,15
BCAL0809,241,18,53,36,24,4
BCAL2190,233,12,67,38,37,1
BCAM0970,1014,131,436,175,172,29
BCAL0413,215,34,100,59,41,4
BCAL0671,86,6,30,14,14,1
BCAL0264,433,45,122,74,63,7
"BCAM1029,BCAM1030,BCAM1031,BCAM1032,BCAM1033,BCAM1034,BCAM1035,BCAM1036",72,7,19,12,20,1
BCAL0868,103,12,32,12,15,3
"BCAL0310,BCAL0311",85,5,14,8,13,1
BCAL2013,14800,1826,6582,2586,2255,433
BCAL2175,128,10,28,17,21,1
BCAM0969,1972,239,650,248,379,42
BCAL1883,329,45,107,57,73,4
BCAL3296,80,5,17,7,12,1
BCAM0998,745,83,205,105,112,14
BCAL2017,381,24,92,38,48,6
BCAL3433,614,41,113,65,60,10
BCAL3370,159,7,34,15,18,2
BCAL1486,176,25,76,33,32,4
BCAM2076,289,28,43,33,25,6
BCAL0479,95,12,32,12,18,2
BCAL0258,663,55,219,99,87,11
BCAL0808,234,27,65,41,35,3
"BCAS0258,BCAS0259",233,30,70,38,38,2
BCAL0246,595,88,223,111,95,13
BCAL1884,223,28,53,30,33,4
BCAL0255,236,50,123,35,46,10
BCAL2079,221,22,76,24,33,5
BCAM0505,413,31,81,50,34,7
BCAL0304,160,7,50,26,18,1
BCAL0130,730,98,341,112,126,19
BCAL2081,148,20,46,25,32,1
BCAL2954,83,3,28,6,7,2
BCAL1843,249,46,76,50,33,6
BCAL3173,167,16,10,15,18,2
BCAL3452,173,13,30,17,27,1
BCAL1982,113,17,18,18,25,0
BCAL0755,73,9,15,3,4,3
BCAL2443,192,13,51,15,14,5
BCAL0911,144,11,44,11,19,3
BCAL0484,87,14,27,18,21,0
BCAL0312,87,3,20,8,8,1
BCAM2417,479,60,211,90,63,10
BCAL0612,198,8,29,18,9,3
BCAL2457,205,26,97,27,42,4
BCAL3011,231,19,36,45,17,1
BCAL0825,484,43,107,49,48,9
BCAL0131,517,20,122,39,45,8
BCAL0752,644,62,202,57,67,17
BCAL0807,163,6,50,20,14,2
BCAL3204,2398,227,789,260,300,49
"BCAL3450,BCAL3451",200,17,64,24,39,2
BCAL2638,162,11,36,21,13,2
BCAL3178,593,19,93,44,54,5
BCAL3435,60,9,14,10,7,1
"BCAL2330,BCAL2331",634,63,232,73,62,8
BCAL3389,1632,103,302,141,116,27
BCAL0033,214,17,51,29,29,1
BCAL1058,132,18,47,19,22,2
BCAL2169,625,55,169,63,54,13
BCAL0390,234,20,46,29,26,2
BCAL2410,227,19,63,29,30,2
BCAL2342,470,40,158,52,56,8
BCAL3179,261,17,44,25,28,2
"BCAL1127,BCAL1128",345,41,166,67,56,6
BCAM0916,109,11,34,8,10,3
BCAL0247,295,53,139,49,55,6
BCAL1881,228,21,56,19,37,2
BCAL2780,304,11,72,29,18,4
BCAL0468,564,45,105,58,42,8
BCAL0756,63,5,17,5,7,1
BCAL2107,177,19,51,17,22,3
BCAL3336,261,23,71,40,26,2
BCAL3205,1440,126,402,146,185,16
BCAM0908,726,79,191,94,74,10
BCAL0511,859,80,318,97,116,12
BCAL0233,204,21,66,19,23,4
"BCAL0705,BCAL0706",1099,105,353,153,142,24
BCAL1516,889,114,361,104,116,19
BCAL3124,2720,465,1319,368,461,63
BCAL2176,142,13,19,14,15,1
BCAL0248,384,60,163,58,56,7
BCAL0249,748,141,351,87,97,25
BCAL0611,233,20,52,24,26,2
BCAL0232,1103,170,624,171,181,23
BCAL0613,76,7,32,5,8,2
BCAL2782,330,24,74,24,22,6
BCAM0805,78,20,17,11,11,2
BCAM0046,124,6,35,8,16,1
BCAL2634a,65,5,20,5,7,1
BCAL0135,256,20,70,28,17,4
BCAL2080,145,22,61,12,32,2
BCAL1831,199,17,72,20,22,3
BCAL3425,318,27,104,38,37,3
BCAL0034,2912,327,1047,273,323,59
BCAM2755,95,7,17,6,10,1
BCAM2761,421,71,292,83,68,9
BCAL0226,3404,416,1219,364,353,68
BCAL2335,344,36,95,29,40,5
BCAL1517,849,99,404,92,111,17
BCAM0888,181,5,31,8,6,3
BCAL1987,316,36,108,26,30,7
BCAL1368,542,49,145,45,51,8
BCAL3372,56,11,28,13,12,0
BCAL0145,2471,210,695,228,219,34
BCAL1448,1273,141,280,114,115,19
BCAM2564,743,79,258,99,74,9
BCAL2329,236,21,53,16,31,2
BCAM2710,211,6,35,15,16,1
BCAL3306,143,10,46,21,17,0
BCAM1490,60,6,18,7,4,1
BCAL0032,285,22,73,26,33,2
BCAL0223,1065,164,362,103,135,21
BCAL2612,48,4,29,3,14,0
"BCAL2820,BCAL2821",745,90,313,61,78,20
BCAL1898,108,7,20,8,15,0
BCAL0251,687,113,311,66,80,19
BCAL2823,88,6,17,10,3,1
BCAL0348,77,6,27,12,9,0
BCAL2209,2041,228,597,151,225,32
BCAL1467,187,18,49,27,22,0
BCAL0254,1459,313,988,226,220,42
BCAL1412,84,1,23,3,6,1
pBCA054,1175,188,513,160,108,26
"BCAL2786,BCAL2787",142,29,20,9,20,2
BCAL2334,204,43,92,29,29,4
BCAL3117,117,9,36,14,15,0
BCAL0787,3831,453,1224,415,273,65
BCAL3304,50,5,16,2,11,0
BCAM0287,164,19,65,12,24,2
BCAM0843,663,33,89,36,32,7
BCAL2333,1165,127,388,111,108,16
"BCAS0253,BCAS0254",42,5,34,5,5,1
BCAL2014,754,73,228,53,49,14
BCAM2831,165,15,50,24,17,0
BCAL0043,1359,167,539,150,150,17
BCAM1352,165,6,22,10,9,1
BCAL2332,583,85,315,92,71,7
BCAM1503,120,7,37,15,5,1
BCAL0222,695,121,333,98,87,10
BCAL0758,57,3,14,6,5,0
BCAL0433,235,23,70,29,16,2
BCAM2194,884,77,209,47,62,13
BCAL0690,985,127,326,124,84,10
BCAL3388,2690,305,790,250,200,36
"BCAL1055,BCAL1056",136,16,34,17,10,1
BCAL1057,172,33,56,22,27,1
BCAM1669,86,7,10,4,5,1
BCAM2195,329,36,108,29,42,2
BCAL2343,382,17,50,14,31,2
BCAL2908,440,40,101,34,35,4
BCAM1744,213,16,77,13,24,2
BCAL1956,1198,69,221,52,69,14
BCAL0035,898,97,302,65,79,13
BCAL2341,1068,129,423,92,92,17
BCAL0388,96,4,13,6,8,0
BCAL1411,191,13,47,9,15,2
BCAL3111,232,26,65,21,21,2
BCAM1931,17499,2092,6217,1587,1322,258
BCAL0500,975,112,255,70,62,15
BCAL0037,304,38,80,17,18,6
BCAM0003,391,38,111,31,31,4
BCAL3424,196,12,32,9,17,1
BCAM0088,71,5,20,6,2,1
BCAL0147,187,25,66,20,11,3
BCAL1269,66,5,13,3,9,0
BCAL0501,137,9,30,5,7,2
BCAL2952,115,8,30,10,12,0
BCAS0739,693,33,149,29,32,8
BCAL0250,189,27,66,16,21,2
BCAL2925,478,71,255,49,59,6
BCAL3299,1958,195,524,156,148,16
BCAS0677,39,11,10,6,7,0
BCAM2167,576,37,153,48,37,3
BCAL2244,439,43,128,28,31,5
BCAL3307,142,23,74,10,20,2
BCAL2929,102,3,11,8,4,0
BCAL0499,218,18,71,21,23,0
BCAL0799,546,116,310,47,77,10
BCAL0036,3466,444,1369,317,290,39
BCAL1062,112,9,24,5,8,1
BCAM0844,130,7,21,14,5,0
BCAL0461,848,45,164,46,34,7
"BCAL2339,BCAL2340",1629,165,554,118,139,11
BCAM0776,44,4,30,6,6,0
BCAM2433,1045,83,300,80,39,11
BCAL0762,148,16,55,11,14,1
"BCAM1493,BCAM1494",150,18,67,20,17,1
BCAL0225,531,82,470,57,60,10
BCAL0224,671,129,465,71,84,10
"BCAM2191,BCAM2192,BCAM2193",291,13,54,9,15,2
BCAM2196,828,58,221,40,50,7
BCAM1502,69,4,16,4,0,1
BCAL3269,560,65,252,50,50,4
BCAL3271,176,11,60,9,8,2
BCAL1510,45,8,16,7,4,0
BCAM2463,121,8,30,6,6,1
BCAM1871,562,51,162,32,22,7
BCAL0534,215,27,52,17,23,0
BCAL0349,140,14,42,9,10,1
BCAM0942,646,59,124,40,29,5
BCAL0253,523,56,219,44,38,4
BCAM0004,847,88,251,62,31,9
BCAM2683,211,9,24,12,4,1
BCAL2207,548,74,223,38,46,5
BCAL1065,432,57,103,26,26,4
"BCAL1675,BCAL1676",620,55,158,33,33,6
BCAL2337,531,73,192,35,54,3
BCAL2951,78,7,18,7,5,0
BCAL2336,267,47,149,29,21,3
BCAL2442,1302,163,423,76,62,16
BCAM0011,941,78,237,69,38,5
BCAM1870,421,30,114,28,19,2
BCAL2338,1170,124,373,70,57,11
BCAL0073,598,38,162,33,42,1
"BCAM2817,BCAM2818",71,4,30,2,3,1
BCAM1777A,150,9,27,11,7,0
BCAL0128,97,4,19,9,2,0
BCAL1865,51,8,7,3,5,0
BCAM2159,77,5,23,2,2,1
BCAL3297,749,66,159,34,21,7
BCAM2674,41,8,17,4,5,0
BCAS0737,527,33,87,20,19,3
BCAL2669,193,12,38,12,10,0
BCAM0048,79,7,19,2,2,1
BCAL3426,84,6,18,5,5,0
BCAL1063,188,13,24,3,16,0
pBCA055,2370,311,1023,142,119,23
BCAL2208,686,86,345,39,50,5
BCAS0293,3243,219,522,112,114,16
"BCAL2974,BCAL2975",1438,83,279,32,26,1
BCAS0409,4734,311,832,181,123,26
BCAM0010,1570,143,314,73,36,11
BCAS0738,147,7,31,6,8,0
BCAL0227,5588,592,1657,310,253,27
BCAL2783,4810,491,1291,238,171,30
BCAL3359,1603,131,465,74,43,11
BCAL1722,1034,49,153,33,19,5
BCAM0811,41,6,30,4,4,0
BCAS0771,99,5,22,6,3,0
BCAM1114,108,13,58,12,5,0
BCAM1113,405,38,98,8,4,5
BCAL2792,151,18,65,9,6,1
"BCAL0234,BCAL0235a,BCAL0236",1882,326,823,116,94,17
BCAL3270,7747,868,2121,320,250,48
BCAL0650,603,33,107,23,6,3
BCAL1674,127,6,34,6,5,0
BCAM1351,216,10,40,3,7,1
BCAM0045,48,10,12,5,2,0
BCAM2432,393,33,125,20,15,1
BCAL0209,1274,104,307,47,23,8
BCAM0286,429,21,97,4,5,4
BCAM2815,234,9,32,5,4,1
BCAM0810,93,18,49,6,3,1
BCAM1804,324,20,82,7,8,2
BCAL1033,128,13,41,3,4,1
BCAL1059,1162,65,120,35,30,1
BCAM1112,1408,85,232,24,22,8
BCAM0050,288,13,49,3,9,1
BCAL1819,239,16,34,8,1,1
BCAM1500,699,24,85,7,16,2
BCAM1927,2956,340,798,100,57,15
BCAM0524,2252,305,578,69,48,13
BCAL3272,640,40,120,19,8,2
BCAL1125,902,129,278,33,13,6
BCAM0318,176,8,30,3,0,1
BCAL0784,1474,121,361,37,30,5
BCAM0283,168,14,35,10,1,0
BCAM0319,298,29,112,3,2,3
BCAL0406,114,8,26,3,4,0
BCAM1742,505,17,76,0,4,3
"BCAL0242,BCAL0243",755,152,529,25,20,7
BCAL3147,1009,69,264,19,11,5
BCAL0238,403,91,215,18,11,3
pBCA001,1706,270,683,60,45,8
BCAL0075,203,22,61,3,5,1
BCAL0237,1146,160,370,39,33,3
BCAL0239a,699,160,390,25,20,5
"BCAL0785,BCAL0786",4668,567,1399,121,116,21
BCAL0241,870,149,517,29,32,4
BCAM1491,872,47,126,17,13,1
BCAL1215,350,19,68,4,5,1
pBCA002,1746,221,647,56,28,6
BCAL0407,268,30,77,5,5,1
BCAL2973,204,13,75,5,0,1
BCAL0240,1446,308,932,46,34,10
BCAM0384,732,52,175,13,8,2
BCAM2430,154,13,33,4,3,0
BCAM0281,700,29,139,8,4,2
BCAM0895,192,22,63,3,1,1
BCAM0309,1036,57,287,9,6,4
BCAL1212,697,46,170,6,13,1
BCAL1796,963,99,624,14,13,5
BCAL3146,20359,2766,8966,399,304,70
BCAL1249,355,9,55,5,4,0
BCAL1919,7887,691,1623,124,76,14
BCAM0049,2214,155,408,18,14,5
BCAM0293,350,15,59,2,0,1
"BCAS0002,BCAS0003",5212,593,825,65,52,8
BCAL3094,799,19,110,6,3,1
BCAS0650,93,10,29,37,37,8
BCAM0317,320,14,71,0,1,1
"BCAM0312,BCAM0313",271,21,69,1,1,1
BCAM0276,393,39,176,8,6,0
BCAL1213,864,63,215,9,13,0
BCAM1111,3330,268,672,33,21,4
BCAL0216,1155,108,214,11,11,1
BCAS0637,1863,212,567,21,22,2
BCAL0212,1271,118,360,10,10,2
BCAL0214,496,34,81,5,4,0
BCAL2144,313,50,131,5,5,0
BCAL0408,687,52,147,8,5,0
BCAL1214,1025,70,217,10,8,0
BCAM0307,633,34,106,2,1,1
BCAM0316,362,36,127,1,0,1
BCAM0279,986,59,195,4,4,1
BCAM0294,789,55,175,4,1,1
BCAM0280A,1019,73,275,17,0,0
BCAM0278,7168,893,2658,65,29,6
BCAL1830,708,32,98,3,4,0
BCAM0300,1641,117,414,12,3,1
BCAL1829,2706,297,1113,14,4,4
"BCAL2142,BCAL2143",1482,219,601,13,12,1
"BCAM0295,BCAM0296,BCAM0297,BCAM0298,BCAM0299",9901,656,2453,43,35,7
BCAM0280,2239,132,400,7,4,1
BCAL2933,1257,53,226,1,1,1
BCAS0426,1,0,0,68,142,11
BCAS0425,1,0,0,39,98,16
BCAL0729,0,0,2,302,734,41
BCAM2368,3,0,0,176,270,27
BCAL3098,8,0,1,276,1054,57
BCAL1619,7,0,0,186,454,52
BCAM2039,5,1,0,608,626,111
BCAM1234,2,0,0,51,154,6
BCAL2051,2,0,1,119,322,27
BCAM1685,1,0,0,22,75,3
BCAS0319,1,0,0,37,37,6
BCAL0730,2,1,1,395,882,55
BCAS0321,3,0,0,74,103,11
BCAL1107,5,0,1,121,173,57
"BCAM2528,BCAM2529",1,0,0,16,31,4
BCAL1668,4,0,1,132,275,19
BCAL1524,8,0,2,434,351,42
BCAM2346,1,0,0,21,32,3
BCAM2323,1,0,0,13,25,5
BCAM2345,1,0,0,27,20,2
BCAM2319,4,0,0,32,104,15
"BCAL1620,BCAL1621",5,0,2,141,304,29
BCAL1106,4,0,0,78,71,10
BCAM0552,1,0,0,14,25,2
BCAL1523,7,0,2,291,203,22
BCAM1118,1,0,0,7,26,2
BCAM2363,12,0,1,210,208,39
"BCAM1147,BCAM1148",2,0,0,3,10,1
BCAM0543,2,0,0,21,32,5
BCAM1233,2,0,3,103,276,14
BCAL3102,2,0,0,12,44,3
BCAL3104,1,0,0,11,20,1
BCAM1235,1,0,0,10,14,2
"BCAM2334,BCAM2335,BCAM2336",4,0,0,49,65,9
BCAM2530,4,0,0,25,66,7
"BCAL2052,BCAL2053",1,0,1,33,64,5
BCAM0954,5,0,0,53,82,4
BCAM0153,1,0,0,7,4,3
BCAM0018,2,0,1,91,16,7
BCAM2366,1,0,0,14,8,1
BCAS0269,1,0,0,4,15,1
BCAL1084,1,0,1,24,46,5
BCAS0275,1,0,0,2,4,3
BCAM2347,0,0,1,25,45,1
BCAS0732,2,0,1,42,52,5
BCAL0652,8,0,1,77,117,12
BCAM0610,2,0,1,29,56,6
BCAL0065,7,0,1,102,94,8
"BCAM2337,BCAM2338",7,0,1,80,87,9
BCAL3106,9,0,1,40,161,12
BCAS0246,3,0,1,42,43,8
BCAM2369,0,0,2,33,43,8
BCAL1718,3,0,0,47,9,1
BCAS0138,1,0,0,10,4,1
BCAM1236,7,0,2,87,138,6
BCAM0874,3,0,0,25,28,1
BCAM1154,2,0,0,12,20,1
BCAL1433,1,0,1,29,30,3
BCAL3404,2,0,0,2,9,4
BCAL2121,1,0,1,16,22,5
BCAL3499,1,0,0,9,2,1
BCAM1697,2,0,0,5,10,3
"BCAS0416,BCAS0417",1,0,0,5,14,1
BCAL3099,3,0,0,8,26,2
BCAM1771,1,0,1,21,23,3
BCAL0914,2,0,0,12,19,0
BCAM2325,2,0,3,42,67,10
"BCAM0606,BCAM0607,BCAM0608,BCAM0609",10,0,2,45,76,10
BCAM1683,1,0,2,24,32,8
BCAM2372,6,0,0,26,25,5
BCAM2327,1,0,1,16,26,2
BCAS0418,2,0,0,5,9,2
BCAM1526,2,0,0,10,10,1
BCAM2728,1,0,1,4,11,6
BCAM1169,1,0,0,4,9,0
BCAL1117,1,0,0,0,0,2
BCAL1429,0,0,1,15,15,1
"BCAL2805,BCAL2806,BCAL2807",5,0,0,20,16,4
BCAL2297,8,0,0,25,32,6
BCAS0113,2,0,2,16,40,6
BCAM0484,2,0,0,10,7,1
"BCAL1653,BCAL1654",17,0,1,61,102,10
BCAS0352,4,0,3,38,90,3
BCAS0734,0,0,1,13,15,1
BCAS0400,1,0,0,5,0,1
"BCAL1771,BCAL1772,BCAL1773,BCAL1774",2,0,0,0,2,3
BCAM0769,1,0,0,8,3,0
"BCAM2268,BCAM2269,BCAM2270",2,0,0,1,2,3
BCAM0770,5,0,0,13,28,2
BCAM1562,2,0,2,14,46,4
BCAS0245A,3,0,1,34,31,0
BCAM1316b,2,0,0,10,11,0
BCAM1122,3,0,1,13,37,2
"BCAL3100,BCAL3101",0,0,4,30,70,1
BCAM2586,0,0,1,3,3,4
BCAM0773,1,0,0,4,0,1
BCAM1603,1,0,0,3,1,1
BCAS0318,4,0,0,11,9,3
"BCAS0270,BCAS0271",2,0,0,1,13,1
BCAL3154,7,0,1,37,35,4
"BCAL3107,BCAL3108",0,0,1,12,18,0
BCAM1488,3,0,1,16,17,4
BCAM1121,2,0,1,3,38,1
BCAM2326,1,0,3,15,36,7
BCAL2120,6,0,0,14,17,4
BCAM1289,1,0,0,2,1,1
BCAM2329,3,0,0,2,13,2
BCAL2290,2,0,3,52,41,2
BCAL0452,2,0,0,5,13,0
BCAS0136,2,0,0,5,6,1
BCAS0112,0,0,2,10,17,4
BCAL0606,2,0,0,8,9,0
BCAM0717,1,0,0,0,2,1
"BCAM2223,BCAM2224",1,0,0,1,1,1
BCAL0727,1,0,0,1,1,1
BCAM1124,1,0,0,1,1,1
BCAM2666,1,0,0,2,0,1
BCAL1434,0,0,1,7,18,0
BCAM1390,1,0,0,0,8,0
BCAL0294,9,0,1,29,44,4
"BCAM2320,BCAM2321",2,0,0,3,0,2
"BCAM2370,BCAM2371",3,0,0,2,3,3
BCAL2803,1,0,0,3,5,0
BCAL0587,0,0,1,7,11,1
BCAM2294,1,0,0,4,4,0
BCAM2339,5,1,0,50,29,6
BCAL3501,2,0,0,3,6,1
BCAL0782,2,0,0,7,8,0
BCAM0542,2,1,1,23,68,3
BCAM1265,2,0,0,2,0,2
BCAM0711,1,0,0,1,0,1
BCAM2811,1,0,0,0,1,1
BCAM0438,1,0,0,0,1,1
BCAL1238,1,0,0,1,0,1
BCAM1854,1,0,0,1,0,1
BCAM2295,3,0,0,6,9,1
BCAL3403,0,0,1,6,3,2
BCAS0243,2,0,0,5,3,1
BCAL1437,3,0,3,26,31,4
BCAM0603,7,0,0,13,9,4
BCAM0597,2,0,0,6,1,1
BCAM0782,3,0,0,5,2,2
"BCAM2501,BCAM2502",3,0,2,19,11,3
BCAM2783,4,0,0,7,6,2
pBCA063,1,0,0,0,0,1
BCAM0495,0,0,2,17,16,1
BCAM1658,1,0,0,0,0,1
BCAM2310,2,0,0,0,0,2
BCAL1338,2,0,0,0,0,2
BCAM2296,1,0,0,0,0,1
BCAM1463,1,0,0,0,0,1
BCAM2539,0,2,1,35,46,10
BCAM1600,2,0,0,0,0,2
BCAM0557,1,0,0,1,5,0
BCAL3155,1,0,0,2,4,0
BCAM1606,1,0,0,2,4,0
"BCAM2409,BCAM2410",5,1,0,14,40,7
BCAL1435,1,0,2,12,18,2
"BCAM2526,BCAM2527",7,0,2,10,27,5
"BCAL1669,BCAL1670",0,0,1,3,15,0
BCAM1564,0,0,1,5,13,0
BCAL1239,2,0,0,7,5,0
BCAS0245,1,1,0,20,17,4
BCAM0017,1,0,0,5,1,0
BCAM0955,5,0,1,23,24,0
BCAM2002,2,0,0,0,5,1
BCAL0597,1,0,1,7,16,0
BCAM0638,2,0,0,3,2,1
BCAM2185,0,0,1,3,1,2
BCAM2318,5,0,1,13,18,2
BCAL3491,1,0,0,6,0,0
BCAM1326,2,0,1,6,2,3
BCAM2100,5,0,0,8,6,2
BCAL1157,3,0,0,0,3,2
BCAM2317,4,0,2,13,27,2
BCAS0115,2,0,2,6,17,3
BCAM2202,2,0,0,2,2,1
BCAS0577,4,0,2,12,27,2
BCAM1173,1,0,0,0,5,0
BCAM1922,1,0,0,1,4,0
BCAM1391,0,0,1,3,12,0
"BCAS0272,BCAS0273",0,0,1,4,11,0
BCAS0102,1,0,0,4,1,0
BCAM1400,1,0,0,3,2,0
"BCAM1773,BCAM1774",8,0,0,10,17,2
BCAL3020,3,0,2,8,11,4
BCAL0063,2,1,0,22,23,2
BCAL3109,3,0,4,20,33,3
BCAM1969,2,0,0,1,2,1
BCAM2344,2,0,0,3,0,1
BCAM0950,3,0,2,15,27,0
BCAL0333,1,0,0,4,1,0
BCAL1689,0,0,3,12,11,3
BCAM2540,2,0,0,2,7,0
BCAM2407,2,0,4,11,28,4
BCAM2093,6,0,1,15,13,2
BCAL1744,1,0,1,7,11,0
BCAM0800,2,0,0,4,5,0
BCAL3021,3,0,0,2,5,1
"BCAS0344,BCAS0345",5,0,1,7,21,1
BCAM2500,7,1,0,35,19,3
BCAM1117,1,0,1,5,6,1
BCAM1208,1,0,1,7,4,1
BCAM2798,3,0,0,0,0,2
BCAM1485,3,0,0,0,0,2
"BCAM0667,BCAM0668,BCAM0669,BCAM0670,BCAM0671",5,0,0,3,6,1
BCAM2604,2,0,0,0,2,1
BCAM1749,3,0,0,0,0,2
BCAL0915,6,0,1,12,19,1
BCAL1086,1,0,1,3,1,2
BCAM2552,1,0,0,0,4,0
BCAL2026,1,0,0,0,4,0
BCAS0404,2,0,1,6,2,2
BCAM2313,10,0,2,31,16,3
"BCAL2809,BCAL2810",1,0,0,1,3,0
BCAS0082,1,0,0,1,3,0
BCAM2800,1,0,0,1,3,0
BCAM1393,1,0,0,1,3,0
"BCAL3149,BCAL3150,BCAL3151,BCAL3152",7,0,1,5,3,3
BCAM0493,1,0,0,1,3,0
BCAS0317,1,0,0,2,2,0
BCAM1971,1,0,0,2,2,0
BCAM1467,5,0,1,5,8,3
BCAM1069,5,0,0,1,0,3
"BCAM1888,BCAM1889",3,0,0,5,6,0
BCAM2613,1,0,0,2,2,0
BCAM1731,1,0,0,2,2,0
BCAS0037,1,0,0,3,1,0
BCAS0095,8,0,0,1,5,4
BCAM0453,1,0,0,2,2,0
BCAM1769,0,0,1,5,7,0
BCAS0412,1,0,0,2,2,0
BCAM2111,1,0,0,2,2,0
BCAL2813,4,0,0,2,7,1
BCAL1372,1,0,0,4,0,0
"BCAM2054,BCAM2055,BCAM2056,BCAM2057",7,0,2,14,14,1
"BCAL0653,BCAL0654",9,0,3,20,24,4
BCAM0569,2,0,1,2,17,0
BCAM2305,2,0,2,7,5,3
BCAM1618,8,0,0,21,11,0
"BCAM1851,BCAM1852",3,0,0,1,10,0
BCAL1320,3,0,0,2,9,0
BCAM0466,8,0,0,10,7,2
BCAL0357,2,0,0,0,1,1
BCAM0558,2,0,0,1,0,1
BCAL2036,2,0,0,1,0,1
BCAL1626,2,0,0,0,7,0
BCAM1892,1,0,1,0,2,2
BCAM0639,1,0,2,4,9,2
BCAS0127,2,0,0,1,0,1
BCAL1720,7,0,2,31,10,1
BCAL1436,1,0,2,6,19,0
BCAM1995,1,0,2,5,1,3
BCAM1168,2,0,0,2,5,0
BCAL1225,1,0,1,3,11,0
BCAM0105,4,0,1,7,5,2
BCAM1818,1,0,1,7,1,1
BCAS0346,1,0,1,5,9,0
BCAM0634,8,0,0,10,4,2
"BCAM0642,BCAM0643",1,0,0,3,1,0
BCAL2437,3,0,1,2,6,2
BCAM2511,4,0,3,14,12,3
BCAM1741,6,1,0,13,22,3
BCAM0763,7,0,0,4,7,2
BCAM2699,0,0,1,2,2,1
BCAM1382,5,0,0,9,8,0
BCAM0605,7,0,0,5,6,2
"BCAL1200,BCAL1201",3,0,1,7,7,1
BCAS0750,3,0,0,5,5,0
BCAM1162,3,0,0,8,2,0
BCAM0734,5,0,0,5,5,1
BCAL1799,4,0,1,1,3,3
BCAM1672,1,0,1,5,2,1
BCAM2091,2,0,1,4,6,1
BCAM0632,7,0,1,3,4,4
"BCAM1325,BCAM1325A",5,2,0,1,1,0
BCAM2333,8,1,0,10,9,6
BCAM0063,8,0,0,8,11,1
BCAM1831,7,0,2,23,19,0
BCAL2191,9,0,0,15,7,1
BCAL1043,6,0,1,6,3,3
BCAS0320,3,0,0,0,9,0
BCAL3156,2,0,0,0,6,0
BCAL2267,1,0,0,0,3,0
BCAL2982A,1,0,0,0,3,0
BCAS0035,1,0,0,0,3,0
BCAL1739,1,0,1,1,5,1
BCAL1442,10,0,1,20,8,2
BCAL1694,11,0,1,10,20,2
BCAM1448,2,0,0,1,5,0
BCAM0363,1,0,0,1,2,0
BCAL0062,1,0,0,1,2,0
BCAS0355,1,0,0,1,2,0
BCAM0619,1,0,0,1,2,0
BCAM1394,1,0,0,1,2,0
BCAM0847,2,0,0,2,4,0
BCAM0225A,4,0,0,4,2,1
BCAL1383,7,0,2,7,13,3
BCAM1176,1,0,0,2,1,0
BCAL2247,1,0,0,2,1,0
