Replicate,Medium 
1,Galactose-Supplemented
2,Galactose-Supplemented
1,Glucose-Supplemented
2,Glucose-Supplemented
1,N-acetylglucosamine-Supplemented
2,N-acetylglucosamine-Supplemented
1,Fructose-Supplemented
2,Fructose-Supplemented
