,SN148_R1 TPM,SN148_R2 TPM,SN148-w-Ca_R1 TPM,SN148-w-Ca_R2 TPM,crz1_R1 TPM,crz1_R2 TPM,crz1-w-Ca_R1 TPM,crz1-w-Ca_R2 TPM
C1_00010W_A,17.0934,11.7352,18.0261,12.3408,2.95195,0,10.5144,7.61781
C1_00010W_B,29.6965,15.5332,18.0261,12.3408,18.3097,10.4085,28.3566,18.9962
C1_00020C_A,356.732,339.252,287.039,251.34,204.007,204.183,116.102,114.892
C1_00020C_B,566.776,539.503,627.964,605.792,499.621,420.966,522.55,475.987
C1_00030C_A,41.2834,39.4099,43.8678,39.5561,62.0708,64.1475,92.5245,83.6557
C1_00030C_B,41.2834,39.4099,43.8678,39.5561,62.0708,64.1475,92.5245,83.6557
C1_00040W_A,1.5166,1.02716,13.1674,8.04266,21.0789,3.48117,4.5401,4.34701
C1_00040W_B,190.649,184.453,168.423,176.619,177.544,194.124,225.674,220.081
C1_00050C_A,15.0423,15.6217,22.3082,21.8017,10.171,9.95839,4.69099,4.58495
C1_00050C_B,15.0423,15.6217,22.3082,21.8017,10.171,9.95839,4.69099,4.58495
C1_00060W_A,142.842,139.961,167.056,163.263,165.669,162.205,149.045,146.296
C1_00060W_B,142.842,139.961,167.056,163.263,165.669,162.205,149.045,146.296
C1_00070W_A,140.985,145.764,97.5387,100.52,108.262,110.464,79.8503,79.9127
C1_00070W_B,140.985,145.764,97.5387,100.52,108.262,110.464,79.8503,79.9127
C1_00080C_A,47.5968,35.754,38.4858,29.3462,53.0443,45.8461,31.7244,28.9381
C1_00080C_B,47.5968,35.754,38.4858,29.3462,53.0443,45.8461,31.7244,28.9381
C1_00090W_A,11.3575,11.6961,11.0706,10.8192,14.4805,15.9402,10.6164,10.699
C1_00090W_B,11.3575,11.6961,11.0706,10.8192,14.4805,15.9402,10.6164,10.699
C1_00100C_A,33.5979,33.4328,27.8957,26.5346,31.1673,30.5157,35.6975,34.1058
C1_00100C_B,33.5979,33.4328,27.8957,26.5346,31.1673,30.5157,35.6975,34.1058
C1_00110W_A,80.2948,78.58,62.6039,61.1827,68.8716,65.838,70.7805,67.7225
C1_00110W_B,80.2948,78.58,62.6039,61.1827,68.8716,65.838,70.7805,67.7225
C1_00120C_A,53.8987,51.4022,50.2619,47.5198,43.8014,46.4239,49.776,51.2404
C1_00120C_B,53.8987,51.4022,50.2619,47.5198,43.8014,46.4239,49.776,51.2404
C1_00130C_A,17.6267,17.0572,13.511,13.2042,22.6122,21.5427,16.3548,15.7667
C1_00130C_B,17.6267,17.0572,13.511,13.2042,22.6122,21.5427,16.3548,15.7667
C1_00140W_A,21.59,21.0122,16.1383,15.7719,15.222,14.9037,15.9144,15.4094
C1_00140W_B,21.59,21.0122,16.1383,15.7719,15.222,14.9037,15.9144,15.4094
C1_00150C_A,13.9804,13.6172,47.3564,46.0508,11.0111,10.4412,46.2264,45.1814
C1_00150C_B,13.9804,13.6172,47.3564,46.0508,11.0111,10.4412,46.2264,45.1814
C1_00160C_A,203.17,198.126,32.7474,32.004,143.431,139.867,33.6146,32.8547
C1_00160C_B,203.17,198.126,32.7474,32.004,143.431,139.867,33.6146,32.8547
C1_00170W_A,5.87978,5.76118,6.77037,6.61667,7.70062,7.17147,9.50509,9.29023
C1_00170W_B,5.87978,5.76118,6.77037,6.61667,7.70062,7.17147,9.50509,9.29023
C1_00180W_A,1211.28,1236.98,770.717,795.267,1060.1,1070.31,664.404,681.329
C1_00180W_B,1211.28,1236.98,770.717,795.267,1060.1,1070.31,664.404,681.329
C1_00190C_A,0.718073,0.70359,0,0,3.00685,2.94399,0,0
C1_00190C_B,0.718073,0.70359,0,0,3.00685,2.94399,0,0
C1_00200C_A,17.7452,10.325,24.8735,14.2804,29.0342,21.0397,18.5206,15.3985
C1_00200C_B,17.7452,10.325,24.8735,14.2804,29.0342,21.0397,18.5206,15.3985
C1_00210C_A,153.849,151.881,155.591,153.671,168.172,165.843,97.0633,94.8692
C1_00210C_B,153.849,151.881,155.591,153.671,168.172,165.843,97.0633,94.8692
C1_00220W_A,178.498,174.615,622.396,607.194,151.835,148.266,126.406,122.682
C1_00220W_B,178.498,174.615,622.396,607.194,151.835,148.266,126.406,122.682
C1_00230C_A,12.7962,12.6627,11.4384,11.8868,12.5595,12.2969,12.7234,12.8175
C1_00230C_B,12.7962,12.6627,11.4384,11.8868,12.5595,12.2969,12.7234,12.8175
C1_00270W_A,7.97466,7.58018,15.6827,17.0159,3.95162,2.21179,1.2071,1.34536
C1_00270W_B,3.01278,3.18564,5.47423,4.76054,10.6123,8.80685,7.04373,6.71895
C1_00280C_A,0,0,0,0,0,0,0,0
C1_00280C_B,0,0,0,0,0,0,0,0
C1_00290W_A,3.58998,3.56867,11.2125,9.87706,2.13322,2.05816,1.57227,1.54116
C1_00290W_B,24.0091,24.5497,20.4732,22.3983,24.0935,28.1221,16.6927,15.8402
C1_00310W_A,16.8265,16.4871,18.6039,17.898,29.493,28.4586,31.9471,30.9192
C1_00310W_B,16.8265,16.4871,18.6039,17.898,29.493,28.4586,31.9471,30.9192
C1_00320W_A,27.7574,24.6529,42.7349,38.4799,38.132,39.2707,30.8557,28.033
C1_00320W_B,27.7574,24.6529,42.7349,38.4799,38.132,39.2707,30.8557,28.033
C1_00330C_A,53.9776,56.775,39.6357,44.2542,61.6107,55.4445,51.2578,53.6693
C1_00330C_B,53.9776,56.775,39.6357,44.2542,61.6107,55.4445,51.2578,53.6693
C1_00340W_A,65.8878,65.0545,33.4847,32.7246,58.7756,57.5468,26.7848,27.6972
C1_00340W_B,65.8878,65.0545,33.4847,32.7246,58.7756,57.5468,26.7848,27.6972
C1_00350C_A,79.3481,76.9456,88.4218,86.9839,36.6338,35.0289,38.7945,37.3035
C1_00350C_B,79.3481,76.9456,88.4218,86.9839,36.6338,35.0289,38.7945,37.3035
C1_00360W_A,6.97388,6.83322,8.1538,7.96869,3.38555,3.31477,6.19342,6.05342
C1_00360W_B,6.97388,6.83322,8.1538,7.96869,3.38555,3.31477,6.19342,6.05342
C1_00370W_A,53.1572,48.2335,31.9727,31.2469,19.587,35.2931,26.4277,33.6934
C1_00370W_B,53.1572,48.2335,31.9727,31.2469,19.587,35.2931,26.4277,33.6934
C1_00380C_A,18.2835,18.1141,16.8994,16.3269,18.6022,17.3788,15.7212,14.9586
C1_00380C_B,18.2835,18.1141,16.8994,16.3269,18.6022,17.3788,15.7212,14.9586
C1_00390W_A,14.3792,13.8637,36.749,35.6586,14.9191,14.4185,34.5355,32.9262
C1_00390W_B,14.3792,13.8637,36.749,35.6586,14.9191,14.4185,34.5355,32.9262
C1_00400W_A,61.2548,60.8761,45.7712,45.1377,35.5779,36.0291,24.7417,24.1824
C1_00400W_B,61.2548,60.8761,45.7712,45.1377,35.5779,36.0291,24.7417,24.1824
C1_00410C_A,11.9279,11.4977,14.675,14.3418,11.4508,11.2114,10.4748,9.94762
C1_00410C_B,11.9279,11.4977,14.675,14.3418,11.4508,11.2114,10.4748,9.94762
C1_00420W_A,64.8513,63.5432,103.537,101.187,114.75,112.351,75.8782,74.163
C1_00420W_B,64.8513,63.5432,103.537,101.187,114.75,112.351,75.8782,74.163
C1_00430W_A,12.9536,12.784,14.7567,14.4217,13.0764,12.803,13.3236,13.0224
C1_00430W_B,12.9536,12.784,14.7567,14.4217,13.0764,12.803,13.3236,13.0224
C1_00440W_A,79.3623,77.652,80.1787,78.0473,85.6108,83.8209,90.9095,88.8545
C1_00440W_B,79.3623,77.652,80.1787,78.0473,85.6108,83.8209,90.9095,88.8545
C1_00450C_A,105.501,107.124,135.333,136.826,109.71,118.627,150.952,154.103
C1_00450C_B,105.501,107.124,135.333,136.826,109.71,118.627,150.952,154.103
C1_00460W_A,370.225,362.757,253.742,247.982,346.707,339.459,328.53,321.104
C1_00460W_B,370.225,362.757,253.742,247.982,346.707,339.459,328.53,321.104
C1_00470C_A,18.7492,18.4913,22.2604,21.7551,27.0793,26.5132,22.8698,22.3528
C1_00470C_B,18.7492,18.4913,22.2604,21.7551,27.0793,26.5132,22.8698,22.3528
C1_00480C_A,38.2348,37.5295,29.5885,28.7297,35.065,34.3319,29.4244,28.961
C1_00480C_B,38.2348,37.5295,29.5885,28.7297,35.065,34.3319,29.4244,28.961
C1_00490C_A,486.373,476.563,618.864,607.161,553.442,545.329,775.992,760.981
C1_00490C_B,486.373,476.563,618.864,607.161,553.442,545.329,775.992,760.981
C1_00500C_A,105.291,103.004,86.9669,84.5283,104.84,101.28,128.086,125.691
C1_00500C_B,105.291,103.004,86.9669,84.5283,104.84,101.28,128.086,125.691
C1_00510W_A,31.2393,30.4235,17.1899,16.2724,34.8015,34.0739,26.0965,25.5066
C1_00510W_B,31.2393,30.4235,17.1899,16.2724,34.8015,34.0739,26.0965,25.5066
C1_00520W_A,36.9796,36.2337,31.367,30.6549,26.3619,25.8107,42.8772,41.9079
C1_00520W_B,36.9796,36.2337,31.367,30.6549,26.3619,25.8107,42.8772,41.9079
C1_00530C_A,10.539,10.2056,19.1208,18.5151,17.0146,16.1532,15.693,15.1532
C1_00530C_B,10.539,10.2056,19.1208,18.5151,17.0146,16.1532,15.693,15.1532
C1_00540C_A,12.4538,12.1338,9.66566,9.44623,8.03916,7.87109,7.18749,6.81429
C1_00540C_B,12.4538,12.1338,9.66566,9.44623,8.03916,7.87109,7.18749,6.81429
C1_00550W_A,12.5486,11.9211,14.6896,16.0699,18.1873,19.9263,13.9911,22.0246
C1_00550W_B,5.36433,5.63057,8.70061,6.7893,10.7962,8.4513,31.0769,22.0246
C1_00560W_A,19.6652,18.5721,14.3059,12.7944,8.53897,8.36045,14.5516,12.9431
C1_00560W_B,19.6652,18.5721,14.3059,12.7944,8.53897,8.36045,14.5516,12.9431
C1_00570C_A,9.2368,8.10723,8.69089,10.3686,5.10916,4.27693,11.3401,8.69107
C1_00570C_B,8.07356,9.47404,17.5338,15.6129,10.1383,10.6518,4.50123,8.69107
C1_00580W_A,15.3221,15.0131,23.1249,22.0726,12.5844,12.3213,14.4618,14.1349
C1_00580W_B,15.3221,15.0131,23.1249,22.0726,12.5844,12.3213,14.4618,14.1349
C1_00590W_A,189.292,184.972,85.8117,83.8636,120.304,118.313,127.085,124.596
C1_00590W_B,189.292,184.972,85.8117,83.8636,120.304,118.313,127.085,124.596
C1_00600W_A,6.35361,6.34055,7.87637,8.69746,5.79833,6.04165,4.50198,5.19665
C1_00600W_B,4.63785,4.42921,6.09437,4.95613,7.39235,6.87326,6.1317,5.19665
C1_00610W_A,54.7284,53.5384,75.481,74.012,73.088,71.1995,64.1101,62.6609
C1_00610W_B,54.7284,53.5384,75.481,74.012,73.088,71.1995,64.1101,62.6609
C1_00620W_A,22.1628,21.7157,38.6879,38.3284,24.8895,24.3692,29.1218,28.4635
C1_00620W_B,22.1628,21.7157,38.6879,38.3284,24.8895,24.3692,29.1218,28.4635
C1_00630W_A,1.92238,1.88361,7.5112,7.34068,3.92975,3.84759,13.3159,13.0149
C1_00630W_B,1.92238,1.88361,7.5112,7.34068,3.92975,3.84759,13.3159,13.0149
C1_00640C_A,26.1727,27.4263,8.82429,8.00084,13.4186,13.9594,12.5179,10.9577
C1_00640C_B,28.4752,26.1926,11.5467,11.6999,10.5983,9.55536,10.1337,10.9577
C1_00650C_A,63.1042,60.1402,69.9204,64.3305,75.1209,68.8327,68.3222,61.5986
C1_00650C_B,63.1042,60.1402,69.9204,64.3305,75.1209,68.8327,68.3222,61.5986
C1_00660C_A,22.2649,21.8159,32.9145,31.6944,27.0585,26.4928,20.8813,20.4093
C1_00660C_B,22.2649,21.8159,32.9145,31.6944,27.0585,26.4928,20.8813,20.4093
C1_00670C_A,6.37104,6.24254,10.2759,10.0426,9.88861,9.68186,11.0794,10.5616
C1_00670C_B,6.37104,6.24254,10.2759,10.0426,9.88861,9.68186,11.0794,10.5616
C1_00680W_A,4.9768,5.13828,8.18353,7.96486,3.16226,2.71053,6.72316,6.19128
C1_00680W_B,4.9768,4.47373,3.78696,2.93391,8.42291,8.63243,5.742,5.1295
C1_00690W_A,5.55031,6.26221,5.01366,3.55621,6.08507,5.95785,4.70262,5.14636
C1_00690W_B,5.55031,4.61452,9.13939,10.2755,11.0617,10.8305,7.27114,6.55674
C1_00700W_A,146.77,146.21,134.237,133.462,183.734,189.937,177.323,178.216
C1_00700W_B,146.77,146.21,134.237,133.462,183.734,189.937,177.323,178.216
C1_00710C_A,92.6834,91.7566,101.938,100.293,109.124,107.335,76.3122,75.6697
C1_00710C_B,92.6834,91.7566,101.938,100.293,109.124,107.335,76.3122,75.6697
C1_00730C_A,24.3002,21.5441,52.0281,49.617,18.6095,21.043,25.6569,27.734
C1_00730C_B,25.1862,25.7803,38.6333,38.0419,32.3035,28.8056,22.6087,20.4588
C1_00740C_A,65.1391,63.5877,53.9711,50.3384,44.8938,51.9579,27.5621,32.4135
C1_00740C_B,50.2595,45.7131,50.9777,50.3384,26.9895,15.6387,42.5108,34.7171
C1_00750C_A,20.5161,19.0844,23.3938,20.4106,30.7134,29.7713,12.7561,12.3713
C1_00750C_B,21.2211,21.6945,31.1267,32.5414,21.5864,20.4601,20.4776,20.1112
C1_00760W_A,41.4272,41.9639,100.266,105.298,53.0885,51.2137,47.4168,44.5479
C1_00760W_B,33.751,31.7069,91.553,82.2143,35.667,35.6812,28.7197,29.8559
C1_00770C_A,24.7175,23.7279,36.622,36.0396,17.3432,15.489,13.4127,13.2285
C1_00770C_B,26.3342,24.4339,34.4146,26.7808,23.529,26.4745,19.4669,20.3319
C1_00780C_A,2.40883,2.63215,7.3063,6.13219,3.2627,2.71791,5.69426,4.54637
C1_00780C_B,2.8089,2.10364,6.0909,7.67408,2.48762,1.86141,2.84918,3.41943
C1_00790W_A,8.98248,8.07969,7.08183,7.45303,1.73054,3.90332,4.69346,3.85673
C1_00790W_B,4.89538,4.61577,5.33345,4.6804,8.81401,6.42078,5.86492,6.46298
C1_00800C_A,48.479,53.5758,27.3549,30.9338,42.7312,49.634,14.5347,18.9382
C1_00800C_B,55.3394,48.7459,42.6088,40.8343,26.9752,23.6136,6.6276,1.74566
C1_00810W_A,4.41449,5.31917,5.06159,4.94668,7.44369,8.11965,3.58925,4.72536
C1_00810W_B,4.41449,5.31917,5.06159,4.94668,7.44369,8.11965,3.58925,4.72536
C1_00820W_A,5.56759,6.09532,7.01837,6.85904,6.21853,6.08852,4.05779,3.96606
C1_00820W_B,5.56759,6.09532,7.01837,6.85904,6.21853,6.08852,4.05779,3.96606
C1_00830W_A,10.6652,10.4808,10.2373,8.97375,5.28378,5.17331,7.54913,7.59209
C1_00830W_B,8.62525,8.25115,10.2373,11.517,5.28378,5.17331,2.85178,2.5737
C1_00840C_A,16.3795,17.1575,17.7722,17.5951,12.2759,12.5451,4.9375,4.82588
C1_00840C_B,19.6905,18.1829,16.9595,15.8441,6.99585,7.80689,4.19859,4.10368
C1_00850W_A,1.27332,1.16731,46.7251,48.4721,4.46308,4.36977,10.3486,14.0375
C1_00850W_B,8.58808,8.49518,63.456,59.2077,7.17469,7.02468,33.9028,29.2137
C1_00860W_A,7.08879,6.61193,7.86665,7.68806,4.40225,4.31021,18.0744,12.7995
C1_00860W_B,10.1595,10.2884,16.6913,16.3124,11.4918,11.2516,3.10898,7.905
C1_00870W_A,15.2291,14.9637,19.3322,17.88,14.9736,12.8748,13.3811,12.6121
C1_00870W_B,20.9538,20.4894,31.8059,31.6915,26.0456,27.2868,18.93,18.9685
C1_00880W_A,2.00034,1.91131,3.31579,3.24052,2.94486,2.88329,3.90349,3.81525
C1_00880W_B,1.53966,1.55729,2.34587,2.29262,2.94486,2.88329,1.60542,1.56913
C1_00890W_A,8.31727,8.51762,10.1751,10.3553,13.0557,12.2227,7.98823,8.26321
C1_00890W_B,10.8616,10.4133,6.09124,5.14729,10.8659,11.1987,7.37407,6.75182
C1_00900W_A,105.341,100.132,39.3717,40.1409,30.8199,36.4229,13.5221,13.2164
C1_00900W_B,97.4329,98.5511,25.1759,22.9414,72.4233,61.947,35.7446,34.9365
C1_00910W_A,8.29571,8.12839,13.7548,13.4425,7.79151,7.62861,4.1927,4.09793
C1_00910W_B,8.29571,8.12839,13.7548,13.4425,7.79151,7.62861,4.1927,4.09793
C1_00920W_A,5.61388,5.50065,8.62418,8.4284,5.67877,5.56004,7.19777,6.921
C1_00920W_B,5.61388,5.50065,8.62418,8.4284,5.67877,5.56004,7.19777,6.921
C1_00930C_A,19.8605,19.652,18.4593,18.033,19.9633,19.4264,15.4678,16.3778
C1_00930C_B,19.3616,18.7118,15.9673,15.4214,25.5012,25.3685,12.6062,10.856
C1_00940W_A,115.086,112.764,92.596,90.4939,97.0339,95.0053,63.9667,62.5207
C1_00940W_B,115.086,112.764,92.596,90.4939,97.0339,95.0053,63.9667,62.5207
C1_00950C_A,28.0109,27.369,33.9485,33.3962,19.035,18.6371,5.76398,5.63368
C1_00950C_B,28.0109,27.369,33.9485,33.3962,19.035,18.6371,5.76398,5.63368
C1_00960C_A,8.66804,8.67859,10.4041,10.2995,10.1506,9.93833,8.45842,8.26722
C1_00960C_B,8.66804,8.67859,10.4041,10.2995,10.1506,9.93833,8.45842,8.26722
C1_00970W_A,13.8484,14.0927,5.96082,5.8255,15.4783,17.3453,12.9883,14.298
C1_00970W_B,13.8484,14.0927,5.96082,5.8255,15.4783,17.3453,12.9883,14.298
C1_00980W_A,140.27,138.849,92.2948,90.1995,69.4913,68.0384,108.341,110.207
C1_00980W_B,140.27,138.849,92.2948,90.1995,69.4913,68.0384,108.341,110.207
C1_00990C_A,25.8868,25.5133,11.789,11.5214,15.2195,15.316,11.9345,11.6647
C1_00990C_B,25.8868,25.5133,11.789,11.5214,15.2195,15.316,11.9345,11.6647
C1_01000C_A,10.5725,10.3593,10.2359,10.0036,8.56027,8.3813,8.18009,8.46045
C1_01000C_B,10.5725,10.3593,10.2359,10.0036,8.56027,8.3813,8.18009,8.46045
C1_01010W_A,159.102,162.894,175.991,172.66,163.276,186.685,180.805,199.968
C1_01010W_B,163.637,153.336,155.423,151.23,251.391,219.313,270.603,238.17
C1_01030W_A,121.19,120.714,30.0756,30.0438,88.9126,92.6641,44.6549,36.7218
C1_01030W_B,96.422,93.1703,24.7165,23.5045,73.6006,63.6852,21.6712,27.0927
C1_01040W_A,78.954,49.1583,127.495,94.3,86.2243,64.0517,130.236,121.627
C1_01040W_B,61.5078,54.032,52.9267,44.1663,65.1665,56.284,106.061,75.3089
C1_01050C_A,51.675,64.5903,66.0175,62.1236,69.8317,72.8139,62.5267,79.4312
C1_01050C_B,57.2185,52.0107,44.7104,58.5914,28.7357,32.9017,45.3659,37.2555
C1_01060W_A,510.259,510.403,442.994,413.895,527.843,519.519,672.96,642.416
C1_01060W_B,488.565,479.927,523.298,539.485,549.163,534.97,667.587,687.291
C1_01070C_A,8.49361,8.4382,7.66653,7.80664,8.29985,6.57646,3.06724,2.99791
C1_01070C_B,7.72916,7.67859,7.66653,7.80664,1.95835,3.46728,2.37408,2.32042
C1_01080W_A,9.21363,9.02779,7.54123,7.07537,7.54311,7.38541,8.78103,8.58253
C1_01080W_B,9.21363,9.02779,7.54123,7.07537,7.54311,7.38541,8.78103,8.58253
C1_01090C_A,131.925,128.156,121.172,118.421,97.6681,95.6261,85.4973,83.5646
C1_01090C_B,131.925,128.156,121.172,118.421,97.6681,95.6261,85.4973,83.5646
C1_01100W_A,7.4773,8.21865,34.1746,31.0316,11.613,10.1333,6.21793,6.09009
C1_01100W_B,8.21316,7.11406,29.8101,31.0316,9.99729,11.0251,12.2117,11.923
C1_01110C_A,48.3625,58.7888,11.5642,11.3017,55.9262,54.7655,14.3836,14.0585
C1_01110C_B,61.4505,48.198,11.5642,11.3017,14.6601,14.3451,14.3836,14.0585
C1_01130W_A,24.2439,22.9297,24.4815,19.9479,15.8144,15.8423,11.5039,14.1549
C1_01130W_B,18.7833,18.8248,13.3281,17.0034,10.3773,9.2371,11.5039,7.91946
C1_01140C_A,35.329,35.0436,50.1116,48.1651,50.5709,48.6199,24.8071,24.6824
C1_01140C_B,35.329,35.0436,50.1116,48.1651,50.5709,48.6199,24.8071,24.6824
C1_01150C_A,9.67892,7.362,8.03032,7.84801,7.78428,7.62153,5.07606,3.90588
C1_01150C_B,15.1873,16.4231,8.03032,7.84801,7.78428,7.62153,8.15413,8.58148
C1_01160C_A,40.3795,35.9688,8.90348,8.85985,17.2174,17.5923,12.6429,11.2588
C1_01160C_B,23.9968,27.109,12.4642,10.7667,12.3164,11.324,10.3955,11.2588
C1_01170C_A,9.84537,8.54797,11.6431,10.1935,8.16243,9.72659,4.44654,5.15871
C1_01170C_B,8.72393,9.64679,9.21755,10.1935,8.16243,6.25697,2.89187,2.01381
C1_01180C_A,0.395773,0.387791,0,1.10133,1.65726,1.62261,1.47643,1.44305
C1_01180C_B,0.395773,0.387791,0,1.10133,1.65726,1.62261,1.47643,1.44305
C1_01190C_A,20.2784,19.8694,21.0711,20.5927,20.2995,19.8751,23.4309,22.9013
C1_01190C_B,20.2784,19.8694,21.0711,20.5927,20.2995,19.8751,23.4309,22.9013
C1_01200W_A,5.38656,6.15259,7.64745,6.55068,9.69401,9.49134,11.741,13.5015
C1_01200W_B,9.51624,8.60688,13.7627,14.3734,9.69401,9.49134,8.38655,6.17103
C1_01210W_A,24.2156,23.7272,21.229,20.747,30.6672,30.026,31.8019,31.083
C1_01210W_B,24.2156,23.7272,21.229,20.747,30.6672,30.026,31.8019,31.083
C1_01220C_A,8.63298,8.21371,22.4441,21.9345,11.0064,10.7763,18.8224,17.6462
C1_01220C_B,8.63298,8.21371,22.4441,21.9345,11.0064,10.7763,18.8224,17.6462
C1_01240W_A,3.75894,3.68312,6.99636,6.83753,7.56344,7.40531,9.54165,9.32596
C1_01240W_B,3.75894,3.68312,6.99636,6.83753,7.56344,7.40531,9.54165,9.32596
C1_01250W_A,31.6418,30.4897,24.8378,26.1318,22.9114,25.1349,32.8108,33.009
C1_01250W_B,26.4362,25.6081,29.58,26.1318,37.0665,32.9121,24.3412,22.3557
C1_01260C_A,19.6485,20.1124,41.2944,44.9568,28.7961,28.194,16.6321,17.8972
C1_01260C_B,14.1568,17.2981,14.4733,15.6324,7.41508,7.26005,16.6321,17.8972
C1_01270W_A,13.574,11.603,16.3711,19.299,25.4128,23.1998,12.7676,11.7022
C1_01270W_B,15.66,15.2912,19.6427,14.4771,25.4128,25.5171,11.1782,11.7022
C1_01280C_A,30.1215,30.722,25.7657,26.8159,17.7163,17.3459,10.2228,9.99174
C1_01280C_B,14.3784,14.6459,13.72,16.7875,10.171,9.95839,10.2228,9.99174
C1_01290C_A,3.51146,3.18976,8.07707,8.88492,8.41624,8.54971,6.04089,4.71079
C1_01290C_B,5.76211,5.63546,8.07707,6.9025,3.61507,3.23006,3.59859,4.71079
C1_01300W_A,54.3531,54.2267,75.5037,78.7846,60.7373,53.8405,60.0497,59.4476
C1_01300W_B,52.1999,50.8686,71.1539,64.5437,52.9883,57.5075,78.5758,73.9266
C1_01310W_A,1.48842,1.4584,4.23806,4.14185,0,0,0,7.08097
C1_01310W_B,1.48842,1.4584,4.23806,4.14185,0,0,0,7.08097
C1_01320W_A,62.4146,63.9049,104.757,109.376,66.3251,67.7063,105.315,95.3364
C1_01320W_B,69.5302,65.5827,91.711,80.3127,59.3996,57.0988,100.756,104.826
C1_01330C_A,161.029,173.201,203.784,183.595,130.686,112.198,85.3224,81.657
C1_01330C_B,166.209,149.374,176.175,187.738,154.83,167.348,130.075,128.871
C1_01340C_A,17.3039,13.8797,11.1915,9.77353,7.7771,12.5284,10.018,4.85495
C1_01340C_B,9.13288,12.0238,15.6592,16.4676,17.8147,12.5284,10.018,15.9729
C1_01350C_A,403.561,395.967,259.654,252.985,332.911,325.951,206.911,201.816
C1_01350C_B,403.561,395.967,259.654,252.985,332.911,325.951,206.911,201.816
C1_01360C_A,42.8975,41.3284,35.0152,35.8612,70.0889,56.105,46.8013,61.3013
C1_01360C_B,28.9123,28.729,31.2172,28.8675,55.8917,70.4214,55.0852,42.0054
C1_01370C_A,3071.38,3200.36,2108.78,1985.08,2320.43,2500.27,1341.05,1355.44
C1_01370C_B,3199.89,3032.18,1491.63,1566.82,2711.88,2500.27,1285.18,1265.17
C1_01380C_A,18.3694,16.6059,10.3694,9.33276,7.37273,8.2987,6.6915,5.78866
C1_01380C_B,13.982,14.9069,8.72974,9.33276,9.57908,8.2987,5.15359,5.78866
C1_01390C_A,5.69246,4.97653,5.4004,5.94336,5.18764,5.52369,3.23597,4.25353
C1_01390C_B,4.8061,4.97653,8.97594,8.5805,3.11861,3.3071,5.46784,4.25353
C1_01400C_A,21.2874,21.2677,53.4454,49.052,21.7021,18.6409,38.4797,35.0346
C1_01400C_B,12.5166,11.6421,23.0567,25.7133,16.3759,18.6409,19.3823,21.5195
C1_01420C_A,18.9088,19.0059,27.5472,23.9768,22.3175,27.9445,9.59787,7.97227
C1_01420C_B,22.2349,21.6303,24.9788,26.4414,27.3809,20.7149,16.7403,16.7836
C1_01440C_A,1.24283,1.21776,17.4116,14.415,0,0,3.81546,0
C1_01440C_B,1.24283,1.21776,9.34762,7.88979,0,0,3.81546,0
C1_01450W_A,24.6747,24.5232,36.2728,34.1901,14.5352,16.7126,61.227,62.5926
C1_01450W_B,21.2795,21.4068,39.4874,41.9011,21.2667,19.8516,49.8715,47.1003
C1_01460W_A,8.62467,8.84058,17.447,17.3534,8.32486,7.45863,9.46377,9.83772
C1_01460W_B,9.6807,9.09557,19.6581,19.4632,8.32486,8.843,9.46377,8.66196
C1_01470W_A,50.6272,50.9548,27.6479,27.6142,34.7983,32.0894,33.0562,31.4998
C1_01470W_B,58.7994,57.0065,51.1043,49.3502,72.5623,73.0265,29.3849,29.5298
C1_01480C_A,939.152,915.265,497.884,538.214,888.726,854.029,416.735,381.163
C1_01480C_B,877.819,857.169,615.905,546.09,641.796,636.243,424.263,439.315
C1_01490W_A,85.5798,83.5171,178.163,173.163,148.409,143.899,348.125,337.164
C1_01490W_B,85.5798,83.5171,178.163,173.163,148.409,143.899,348.125,337.164
C1_01500W_A,0,0,0,0,0,0,0,0
C1_01500W_B,0,0,0,0,0,0,0,0
C1_01510W_A,0.503295,0.520839,3.40575,3.21139,1.57288,1.54,1.15316,1.12709
C1_01510W_B,1.8048,1.87937,3.9722,3.21139,1.57288,1.54,1.15316,1.12709
C1_01520C_A,141.197,128.885,216.912,226.453,68.4597,62.8803,231.739,305.481
C1_01520C_B,113.837,124.763,105.147,95.9193,173.413,178.429,283.73,204.912
C1_01530C_A,96.6835,94.285,58.9263,59.5374,77.1898,73.4785,54.3783,53.7336
C1_01530C_B,87.372,86.5451,34.843,33.0253,68.3419,69.0106,35.0222,32.6515
C1_01540W_A,18.7103,18.3881,19.0497,17.8956,24.0357,24.872,17.9777,18.0508
C1_01540W_B,23.788,22.9247,21.3505,21.5875,16.4388,14.0695,15.8104,14.9735
C1_01550W_A,16.8215,14.9093,20.0123,16.8525,14.9537,10.0964,24.9288,21.8038
C1_01550W_B,8.62372,10.0227,20.0123,22.2634,14.9537,19.1857,8.86012,11.2214
C1_01560W_A,14.5689,13.9163,13.8625,13.1143,9.11294,9.55438,7.84479,6.68548
C1_01560W_B,10.9941,11.2532,13.8625,13.1143,10.005,9.16386,8.84948,9.63142
C1_01570C_A,47.6062,46.7749,19.1303,15.624,30.7113,48.063,14.6205,11.7603
C1_01570C_B,52.1683,46.7749,25.0442,25.1551,52.2543,29.643,27.7288,21.892
C1_01580W_A,97.1892,96.9836,42.9033,35.6732,64.7047,65.5885,71.3465,62.9007
C1_01580W_B,93.5617,89.9199,52.5056,57.5697,47.5871,44.3555,49.4964,55.2105
