,SN148_R1 TPM,SN148_R2 TPM,SN148-w-Ca_R1 TPM,SN148-w-Ca_R2 TPM,crz1_R1 TPM,crz1_R2 TPM,crz1-w-Ca_R1 TPM,crz1-w-Ca_R2 TPM
C1_11210C_A,6.97318,7.55053,6.82853,3.74935,9.45981,9.26203,7.42225,6.30803
C1_11210C_B,6.45909,5.6108,8.32504,11.0602,7.39163,7.23709,7.42225,8.20091
C1_11220C_A,107.281,104.076,60.8631,48.7593,87.7822,83.0459,55.2515,65.8702
C1_11220C_B,85.8337,86.2631,53.5726,64.9868,42.2222,47.9892,41.4649,29.3458
C1_11230W_A,15.8543,16.7931,2.8154,10.7166,4.98053,4.8764,2.09468,2.04733
C1_11230W_B,10.0998,8.63753,19.1158,10.7166,4.98053,4.8764,9.8777,9.65441
C1_11240C_A,40.3715,42.9825,186.799,185.19,30.192,28.7004,51.4389,54.9032
C1_11240C_B,49.3256,46.6488,129.397,130.017,23.1623,25.3623,83.2713,79.4314
C1_11250W_A,18.4165,17.8506,36.0504,35.232,18.9431,18.5471,14.4975,12.9787
C1_11250W_B,18.4165,17.8506,36.0504,35.232,18.9431,18.5471,14.4975,12.9787
C1_11260C_A,4.10346,4.02069,158.192,172.499,17.1828,16.8236,12.5976,12.3128
C1_11260C_B,4.10346,4.02069,158.192,172.499,17.1828,16.8236,12.5976,12.3128
C1_11270W_A,107.178,109.543,1429.98,1400.28,71.6252,67.8053,52.6922,52.9672
C1_11270W_B,98.5214,93.2432,1139.3,1110.67,87.503,82.8267,62.0374,57.2773
C1_11280W_A,11.3478,11.1189,15.0925,14.3184,11.1574,10.9242,21.5089,19.1616
C1_11280W_B,11.3478,11.1189,15.0925,14.3184,11.1574,10.9242,21.5089,19.1616
C1_11290W_A,5.15581,3.80193,6.15401,4.32251,3.95868,3.25277,5.23535,2.29061
C1_11290W_B,7.07029,5.19908,6.15401,4.32251,3.95868,3.25277,5.23535,5.20704
C1_11300C_A,9.94358,10.725,6.54376,7.48494,12.3813,11.5486,8.60862,9.99196
C1_11300C_B,6.06589,6.5391,8.47864,9.18767,10.4601,11.5486,12.5311,12.2803
C1_11310C_A,24.2194,24.8493,28.715,30.7984,25.7726,23.5345,22.7325,24.3026
C1_11310C_B,24.2194,23.6604,29.5916,26.6098,35.0219,34.7361,21.37,20.1784
C1_11320C_A,71.7282,59.2756,59.7333,43.1387,136.321,169.279,529.609,513.273
C1_11320C_B,120.492,136.248,28.5483,43.1387,54.8785,32.9444,341.716,371.339
C1_11330C_A,800.5,779.92,723.518,707.093,751.378,740.307,578.657,562.182
C1_11330C_B,800.5,779.92,723.518,707.093,751.378,740.307,578.657,562.182
C1_11340W_A,0.784603,0.768778,1.64985,1.61239,1.98923,1.94764,3.14484,3.07376
C1_11340W_B,0.992542,0.972522,1.05544,1.03148,0,0,6.37338,6.22931
C1_11350C_A,39.9848,38.3271,52.9728,49.1522,49.4594,52.4249,26.3452,24.0953
C1_11350C_B,39.1539,39.4272,36.8999,38.6802,58.2601,51.2693,22.7546,23.2457
C1_11360W_A,3591.44,3717.16,1867.94,1872.9,3040.03,3098.21,1703.9,1819.78
C1_11360W_B,3346.17,3465,1697.31,1752.82,2865.08,2880.2,1377.45,1395.21
C1_11370C_A,6.17683,6.46265,7.5203,8.034,4.34932,3.61588,5.61075,4.91745
C1_11370C_B,5.32106,4.80332,8.92096,8.034,5.21537,5.74884,6.11595,6.54417
C1_11380W_A,55.6247,51.3886,35.8038,37.8522,32.9122,32.6023,44.621,41.8462
C1_11380W_B,49.5575,50.7744,23.6855,20.2866,27.7189,24.8831,26.5514,27.7173
C1_11390W_A,0,0.879283,0,0,0,0,0,0
C1_11390W_B,0.897384,0,0,0,0,0,0,0
C1_11400C_A,21.3481,20.6825,22.1792,21.2399,10.6326,10.1062,10.8166,11.3103
C1_11400C_B,19.4551,18.8753,24.6737,24.5494,8.64578,9.06358,8.60931,7.461
C1_11410C_A,13.1236,11.6366,12.2497,11.9716,0,0,7.67907,7.50548
C1_11410C_B,6.79017,7.8755,1.99466,1.94937,0,0,7.67907,7.50548
C1_11420W_A,62.9937,61.1321,24.2987,34.69,38.4769,39.9635,19.3507,23.2108
C1_11420W_B,90.3512,89.4289,22.5423,11.9653,51.5413,48.1727,12.754,8.16821
C1_11430W_A,6.27318,6.14665,4.73459,4.6271,3.2793,3.21074,2.96389,3.40035
C1_11430W_B,3.99988,3.9192,7.83869,7.66074,3.2793,3.21074,6.7045,5.57449
C1_11440C_A,11.8692,12.0171,16.3249,16.8852,8.32489,8.47461,9.1297,8.19974
C1_11440C_B,13.5785,12.6849,18.6018,17.6873,8.33478,8.48395,9.14208,9.89656
C1_11450C_A,146.688,139.258,66.161,63.9529,116.594,115.881,35.5435,34.5693
C1_11450C_B,138.682,140.638,71.3988,71.2875,113.514,109.415,37.4246,36.7493
