,ribo_30C_1,ribo_30C_2,ribo_30C_3,ribo_37C_1,ribo_37C_2,ribo_37C_3,rna_30C_1,rna_30C_2,rna_30C_3,rna_37C_1,rna_37C_2,rna_37C_3
C1_00010W,0,0,0,0,1,0,0,0,0,0,0,0
C1_00020C,0,0,0,0,76,1,0,24,5,272,99,138
C1_00030C,0,0,0,0,0,0,0,0,0,0,0,0
C1_00040W,17,7,0,18,93,5,26,20,23,200,183,591
C1_00050C,0,0,0,0,4,0,4,2,0,2,2,0
C1_00060W,2321,3766,3800,3639,37950,3426,8333,6097,7074,16725,13273,23618
C1_00070W,7,8,3,63,288,3,0,88,203,174,156,182
C1_00080C,200,295,151,425,1666,288,698,487,580,2492,1134,3987
C1_00090W,4,30,3,2,189,0,98,30,47,125,153,140
C1_00100C,117,174,2,65,461,44,109,250,223,452,425,510
C1_00110W,2434,3038,2892,2112,18685,2511,7191,5908,5453,13473,9963,12501
C1_00120C,349,166,39,175,2941,120,567,752,544,1894,894,1067
C1_00130C,187,171,56,200,3639,39,732,885,756,3085,1518,2229
C1_00140W,709,1016,1115,1101,14445,1115,5254,3113,3068,9758,6454,7112
C1_00150C,93,208,73,205,834,73,581,441,389,1923,666,874
C1_00160C,10384,11480,5930,1626,26564,2907,36220,18049,14827,14063,12942,18213
C1_00170W,114,298,99,387,4268,168,452,523,348,2406,1339,1599
C1_00180W,16068,18142,13824,5691,113280,4469,96253,42701,31293,48032,45027,27559
C1_00190C,0,0,0,0,4,0,0,2,0,13,3,0
C1_00200C,5,7,0,0,66,47,1109,112,33,147,52,0
C1_00210C,1065,1402,466,1292,6969,1273,4853,2927,1533,11311,3761,6327
C1_00220W,1968,3279,2158,1206,12843,758,9650,8130,5859,9483,4826,5539
C1_00230C,68,155,108,120,3074,34,546,633,294,1389,657,585
C1_00270W,0,0,0,0,4,0,0,0,0,0,1,0
C1_00280C,0,0,0,0,0,0,0,0,0,0,0,0
C1_00290W,0,5,0,0,7,0,0,3,0,0,6,0
C1_00310W,63,61,57,94,360,32,681,354,229,519,321,592
C1_00320W,132,135,158,199,1316,26,510,271,326,960,422,1035
C1_00330C,207,231,116,77,980,295,806,848,519,1178,821,648
C1_00340W,617,526,620,138,6174,323,2952,1005,652,2088,1103,1128
C1_00350C,139,175,40,346,2150,99,909,464,263,2870,1181,1702
C1_00360W,4,80,26,86,332,85,183,174,102,760,316,226
C1_00370W,28,93,3,17,140,1,492,124,75,224,147,15
C1_00380C,179,276,94,136,2917,22,3568,1228,745,1937,1333,947
C1_00390W,157,183,93,30,1969,116,546,868,647,1038,1270,909
C1_00400W,777,1406,1238,568,6562,624,6174,3254,2132,4089,3055,1884
C1_00410C,324,353,223,112,4311,45,1515,933,614,1193,1138,681
C1_00420W,175,319,213,617,1445,531,1390,589,432,2780,932,1876
C1_00430W,133,163,73,142,2357,108,738,492,529,1561,778,741
C1_00440W,57,26,27,9,66,2,0,20,21,48,40,0
C1_00450C,304,290,127,85,3173,11,3944,892,696,1380,880,324
C1_00460W,274,271,249,114,2289,52,2688,1318,898,1289,859,445
C1_00470C,214,169,142,100,1173,97,2225,670,357,1424,725,1193
C1_00480C,740,1056,934,363,7054,432,6473,3023,2252,5564,3969,1941
C1_00490C,1249,757,407,422,4107,629,4568,3022,1223,2675,1456,2243
C1_00500C,751,902,564,662,7851,536,5145,3523,1783,6667,3381,2249
C1_00510W,134,179,127,69,888,2,1754,905,629,1327,709,404
C1_00520W,136,51,14,57,565,129,409,443,195,1190,428,483
C1_00530C,146,115,41,222,1134,172,1313,628,468,2928,1021,1932
C1_00540C,197,310,189,172,2265,340,1839,893,594,1622,1311,577
C1_00550W,40,66,95,44,1020,115,170,241,183,650,390,303
C1_00560W,435,597,350,105,2916,143,2652,994,502,1044,951,769
C1_00570C,50,49,19,30,814,4,493,409,326,1561,776,847
C1_00580W,45,48,0,33,496,5,269,235,109,413,176,150
C1_00590W,6656,9448,8362,5049,67850,4859,33658,23310,17119,35637,26457,23533
C1_00600W,70,152,122,107,2960,51,1828,1213,872,3333,2144,1129
C1_00610W,436,702,579,532,5187,417,3066,2191,1820,5031,2306,2321
C1_00620W,99,181,204,180,3023,111,961,600,402,729,764,717
C1_00630W,14,24,2,44,346,0,116,126,83,591,263,283
C1_00640C,2403,3073,2212,870,24601,1427,24771,10394,7565,13014,10972,6063
C1_00650C,212,166,71,157,2421,29,2385,709,592,2447,1001,704
C1_00660C,162,157,188,275,2533,41,2254,614,520,1111,643,381
C1_00670C,16,3,1,33,313,38,616,159,140,544,273,75
C1_00680W,0,10,3,37,363,6,355,196,139,733,333,108
C1_00690W,63,110,15,61,2282,21,2326,666,400,1803,791,221
C1_00700W,292,265,102,164,4683,202,6624,905,343,1199,690,80
C1_00710C,1886,3148,2193,1838,34970,2011,19958,9557,5728,17100,12701,8215
C1_00730C,444,488,534,223,8553,227,5801,1443,1091,3148,2015,1199
C1_00740C,103,119,172,54,5142,15,18277,5983,2763,5745,3799,905
C1_00750C,112,194,193,256,2956,328,3372,873,778,3405,1422,2834
C1_00760W,122,103,61,98,3151,77,1056,483,249,1616,739,468
C1_00770C,185,373,343,73,694,27,4613,1394,666,1128,626,202
C1_00780C,26,24,124,186,2691,50,825,84,45,3128,2347,722
C1_00790W,38,42,1,15,1371,3,457,121,95,132,105,105
C1_00800C,258,288,376,259,4010,77,3639,1089,746,1220,960,219
C1_00810W,45,73,2,18,133,17,270,141,140,339,159,252
C1_00820W,53,20,105,16,474,1,1075,239,132,175,144,0
C1_00830W,48,20,3,26,334,2,159,174,115,544,241,612
C1_00840C,216,328,356,87,2364,90,2878,718,492,772,893,82
C1_00850W,29,87,22,119,1440,29,446,131,69,632,308,654
C1_00860W,62,26,27,20,119,61,184,94,65,315,135,221
C1_00870W,213,345,162,190,3096,116,2177,1003,708,2299,1411,484
C1_00880W,5,4,0,23,82,1,24,44,35,276,65,1
C1_00890W,73,84,17,31,1878,125,1210,391,362,1091,540,389
C1_00900W,591,557,287,39,2474,56,5275,1030,589,784,849,323
C1_00910W,0,0,0,0,6,0,0,3,1,27,5,0
C1_00920W,69,143,57,114,1598,27,1780,875,729,2963,1598,824
C1_00930C,940,1294,661,780,20769,711,11102,5704,4368,16582,7763,6356
C1_00940W,13,23,9,4,262,0,119,98,65,90,73,4
C1_00950C,489,1107,734,172,4795,233,3652,2446,1512,2550,2061,1218
C1_00960C,175,141,354,106,1711,49,1550,812,616,2091,1209,654
C1_00970W,0,0,0,0,18,0,0,14,5,0,7,0
C1_00980W,70,213,178,62,2068,45,4424,1207,934,2073,948,1002
C1_00990C,816,819,847,188,6940,96,5176,3650,2410,4123,3821,2745
C1_01000C,84,72,16,56,473,105,335,252,245,626,409,534
C1_01010W,680,656,115,283,3190,353,4140,1723,1239,2763,1924,1985
C1_01030W,1114,1225,1152,309,6183,255,8283,2976,2401,2623,2736,981
C1_01040W,109,90,54,105,774,252,569,256,160,725,342,307
C1_01050C,369,591,471,190,4305,92,3572,1619,663,1665,1278,518
C1_01060W,1878,1163,879,958,14504,417,15669,4686,4723,11235,7975,8269
C1_01070C,75,53,217,12,1703,4,1479,396,322,736,397,515
C1_01080W,20,75,2,49,300,32,68,205,120,434,277,177
C1_01090C,355,165,135,38,1325,74,5330,1106,782,1719,997,818
C1_01100W,194,345,272,187,5756,238,4726,2339,1595,8976,4223,3077
C1_01110C,1172,1367,1050,397,9335,379,14390,4122,2481,3744,3431,1431
C1_01130W,115,126,215,81,1226,27,1308,865,809,1332,1092,576
C1_01140C,36,79,245,108,2597,78,1254,747,988,4012,1786,2013
C1_01150C,162,276,97,107,1929,167,3472,1350,753,1112,1112,520
C1_01160C,247,173,110,35,2925,41,1914,555,352,386,601,261
C1_01170C,134,123,80,118,1009,97,2257,1198,782,1306,843,616
C1_01180C,0,0,0,0,18,0,0,10,0,0,19,0
C1_01190C,111,228,20,122,1600,177,875,408,288,1688,712,1323
C1_01200W,78,77,75,63,881,8,685,517,346,1161,864,628
C1_01210W,126,251,28,145,2466,98,1065,560,413,1725,958,1140
C1_01220C,3,3,0,16,30,0,0,3,7,73,25,64
C1_01240W,40,64,5,6,687,41,166,139,96,153,152,36
C1_01250W,908,1128,738,532,8201,874,8463,3113,2286,4007,3192,876
C1_01260C,14,44,48,50,218,38,607,95,104,192,229,79
C1_01270W,101,104,12,87,868,25,1119,443,326,1600,548,483
C1_01280C,15,13,3,19,77,1,489,50,39,125,78,0
C1_01290C,22,26,4,23,361,78,519,157,169,844,326,554
C1_01300W,293,441,321,234,4263,175,3272,1621,1319,3321,1626,1183
C1_01310W,0,91,0,0,21,0,62,7,9,6,22,0
C1_01320W,1282,1009,672,405,10973,266,8165,3718,2605,7390,3994,2884
C1_01330C,333,277,183,222,1961,211,1689,863,537,1397,979,1120
C1_01340C,0,25,30,25,264,1,16,103,67,237,141,99
C1_01350C,11960,17936,10069,6205,107574,9078,49445,32401,18506,35576,28965,27886
C1_01360C,69,206,362,527,1823,436,931,863,951,8835,1349,4255
C1_01370C,4231,5920,3377,1841,38623,2365,34282,27973,11249,27136,16628,15694
C1_01380C,181,407,133,32,2820,38,3633,1155,685,1220,869,250
C1_01390C,93,218,75,166,2529,33,1831,565,535,1844,1018,544
C1_01400C,135,139,45,127,943,73,966,644,442,1386,841,838
C1_01420C,80,130,66,77,376,103,780,312,217,809,363,583
C1_01440C,0,0,0,0,5,0,0,5,3,52,5,0
C1_01450W,756,801,685,260,5310,244,4834,2937,1961,3255,3020,2702
C1_01460W,85,112,49,62,1378,40,1259,939,557,2452,1247,1208
C1_01470W,610,545,468,208,3299,227,4013,1754,1429,2015,1875,1190
C1_01480C,11004,16643,15192,5716,104352,4272,91743,77472,53462,82249,57308,49592
C1_01490W,675,1139,954,439,5838,368,7382,3047,2019,2274,1974,1942
C1_01500W,0,4,0,0,0,0,0,0,0,0,0,0
C1_01510W,0,4,1,0,219,2,1,9,12,248,199,6
C1_01520C,683,894,762,415,7765,459,3656,1591,1249,1498,1668,1656
C1_01530C,3688,3328,3630,921,20537,885,22205,8234,5499,9545,8474,4381
C1_01540W,237,208,215,153,2916,136,2152,714,455,1941,905,817
C1_01550W,203,199,166,148,1052,102,1807,734,376,1842,1053,604
C1_01560W,264,288,331,320,7493,275,3955,1984,1724,7926,4383,3128
C1_01570C,145,157,177,46,820,2,1527,645,536,1069,555,225
C1_01580W,413,528,333,232,5013,269,8508,2216,1570,3022,1888,1605
C1_01590C,1581,1901,1261,775,16245,976,16318,9432,6790,18937,10598,9328
C1_01600W,764,780,898,315,5688,111,9657,3398,1750,3385,2188,740
C1_01610C,11,7,0,0,26,0,85,28,17,50,30,0
C1_01620C,54,63,170,51,1031,30,1904,539,231,243,266,177
C1_01630W,99,88,5,30,914,3,729,652,337,492,386,513
C1_01640W,32,10,3,0,153,0,550,105,178,100,85,20
C1_01650W,154,169,149,216,5082,178,1836,646,546,2701,1314,1083
C1_01670C,93,114,116,56,2741,37,4563,1398,809,2152,1497,280
C1_01680C,393,319,108,138,1625,72,3145,957,626,778,722,913
C1_01690C,1972,3561,4059,2726,34553,1563,12860,7405,7359,13535,13945,11506
C1_01700W,304,352,197,250,6953,171,6568,1607,1350,3709,2158,1040
C1_01710W,39,116,152,106,2058,54,1742,482,660,2761,1976,1092
C1_01740W,10,16,0,0,46,0,71,26,37,15,26,0
C1_01750W,71,113,35,147,1080,171,246,223,193,522,258,548
C1_01760W,59,89,2,82,1096,205,445,335,188,1240,559,757
C1_01770W,31,50,84,9,187,2,686,200,127,235,186,123
C1_01780C,106,156,24,97,3025,94,1097,531,399,1148,706,499
C1_01790W,0,0,0,7,35,0,44,35,9,137,50,136
C1_01800W,187,382,224,149,1388,170,2370,602,379,1369,724,275
C1_01810C,31,129,114,64,695,186,240,321,143,1360,564,672
C1_01820C,158,176,98,98,1824,4,1725,501,259,845,580,509
C1_01830C,125,174,76,131,467,76,657,422,338,1211,388,919
C1_01840C,14,20,1,7,146,8,98,86,74,656,114,151
C1_01850C,97,171,33,42,1021,68,1436,398,316,789,452,230
C1_01860W,659,614,445,229,7517,169,3608,1793,1166,2543,1824,2146
C1_01870C,1986,2943,1900,1150,17202,1495,13035,5996,4171,8395,5873,3272
C1_01880C,15,54,5,27,737,10,710,348,194,685,342,305
C1_01890C,198,207,21,172,1391,241,803,488,392,1459,752,1141
C1_01900C,138,156,142,77,4090,103,902,487,285,1057,616,456
C1_01910W,705,492,179,183,3742,280,7749,2457,1617,1991,2027,962
C1_01920W,222,245,252,41,1424,15,4954,1467,818,1459,1238,184
C1_01930W,0,0,0,0,2,0,64,2,2,0,1,0
C1_01940C,311,231,164,85,1339,99,2669,465,322,500,510,202
C1_01950C,68,118,161,76,1334,3,1415,470,205,1000,291,647
C1_01970W,0,0,0,0,0,0,0,0,0,0,2,0
C1_01980W,350,360,560,935,9737,460,2035,1532,773,6410,4909,1501
C1_01990W,0,47,0,0,5,5,0,3,0,4,4,0
C1_02000W,111,133,52,132,2365,105,704,411,450,742,536,628
C1_02010C,51,48,71,32,246,49,406,173,120,714,218,68
C1_02020W,21,37,5,57,155,14,416,79,65,443,146,13
C1_02030C,24,21,2,21,117,0,167,81,65,102,121,50
C1_02040C,142,144,262,74,2708,82,1904,693,566,1623,718,556
C1_02050C,327,364,134,267,5259,273,3398,1425,1224,5369,2429,2144
C1_02060W,0,0,0,0,7,0,0,10,2,13,13,0
C1_02070W,0,6,0,0,15,0,0,8,12,35,12,0
C1_02080W,57,107,64,19,444,1,902,338,238,489,371,14
C1_02090C,97,131,173,44,402,6,1139,454,242,435,363,68
C1_02100W,29,61,40,77,1033,31,918,128,116,569,298,77
C1_02110C,0,2,9,0,721,0,69,40,31,205,122,23
C1_02120C,3858,4355,5508,1530,62815,1300,46817,10818,13207,10674,19523,4820
C1_02130C,439,476,769,769,7143,345,4984,2603,1987,5148,3518,2948
C1_02140C,0,0,0,0,6,0,0,2,0,0,8,0
C1_02150W,200,310,332,711,6212,366,3733,1685,1777,6794,3565,2926
C1_02160W,71,105,87,34,162,72,347,151,94,115,150,200
C1_02170C,22,19,50,0,126,0,177,94,92,10,126,78
C1_02180W,834,720,600,115,7478,96,12251,3249,3485,1283,2567,458
C1_02190W,217,136,49,36,2754,8,3022,645,337,377,504,141
C1_02200C,14,11,12,6,106,0,225,71,37,261,92,116
C1_02210W,30,74,53,22,607,53,760,302,235,715,480,78
C1_02220C,35,37,29,62,288,31,694,275,179,275,272,154
C1_02230W,564,765,655,433,6408,368,8532,2457,1834,6501,3325,1749
C1_02240W,1058,1031,1364,684,12743,439,10558,4425,2860,8007,5336,2184
C1_02250W,33,51,45,3,2890,24,1977,590,281,630,404,31
C1_02260C,404,439,374,211,2781,206,5280,1590,950,2877,1738,1636
C1_02270C,0,2,0,0,35,0,0,30,1,38,14,0
C1_02280C,60,101,62,12,1475,7,2371,698,360,1362,579,86
C1_02290C,297,338,235,141,3528,121,6112,1290,713,1157,1005,197
C1_02300W,82,115,25,14,1298,3,2646,384,172,405,198,105
C1_02310C,68,109,71,17,188,16,261,201,124,325,165,93
C1_02320C,178,151,82,95,2720,56,4875,1238,788,1748,1432,401
C1_02330C,4564,2760,1953,703,24147,731,98625,22536,11132,14771,11129,2536
C1_02350W,340,297,231,140,4993,85,3376,672,442,1007,697,461
C1_02360C,20,1,8,4,7,1,58,24,13,4,16,0
C1_02370C,307,329,165,109,5979,234,4760,1326,795,2277,1323,647
C1_02380C,9,0,10,5,43,0,25,31,8,96,52,95
C1_02390W,16,16,14,13,441,13,837,244,176,837,281,63
C1_02400C,191,236,164,51,1808,29,5879,944,489,751,610,92
C1_02410C,149,199,50,143,1213,172,3592,769,482,1469,543,34
C1_02420C,4491,5988,4133,3088,77475,3008,49772,29034,19724,46619,37143,20257
C1_02430C,860,1260,543,334,8764,348,12382,4213,2977,3446,3240,1657
C1_02440C,89,44,77,19,262,5,837,238,127,307,245,390
C1_02450C,367,414,255,64,693,85,7880,1027,447,551,563,258
C1_02460W,14637,17182,11850,5961,114119,5646,108435,69810,41342,66929,45138,52520
C1_02470W,40,6,3,9,68,0,277,58,77,163,98,66
C1_02480W,566,893,838,530,10954,548,16462,4007,1946,5179,3244,1217
C1_02490C,200,182,235,158,3315,126,5788,1245,653,1950,994,525
C1_02500W,19,75,2,26,1444,3,2018,236,148,241,240,2
C1_02510W,141,172,64,87,517,108,1492,332,223,886,460,350
C1_02520W,0,1,0,0,5,0,0,5,0,0,7,0
C1_02530C,827,934,675,364,5577,215,4996,3195,1977,3431,2299,903
C1_02560W,0,0,0,0,0,0,0,0,0,0,0,0
C1_02570C,0,0,1,0,17,0,54,19,7,19,12,0
C1_02580W,0,1,0,6,7,0,2,3,1,1,11,1
C1_02590C,467,498,398,1808,26202,2019,2695,1328,874,31263,13824,9767
C1_02600W,159,181,14,307,3150,230,1494,544,265,3506,1375,1216
C1_02610W,129,215,34,99,1681,169,2622,1461,883,3359,1581,1524
C1_02620C,1590,1681,1374,835,23813,1071,10455,6817,3186,12355,8842,5441
C1_02630C,57,161,28,142,4377,228,992,426,331,2727,1239,1063
C1_02640C,870,807,686,378,7239,327,12797,3611,2124,4166,3312,1593
C1_02650W,475,668,655,299,3856,347,4461,2025,1728,1817,1880,1693
C1_02660C,216,259,181,137,3627,118,2361,983,681,1902,961,680
C1_02670C,0,8,0,0,12,0,0,8,5,17,17,0
C1_02680C,0,3,9,0,421,0,195,163,126,1003,397,200
C1_02690C,0,0,0,0,0,0,0,3,0,0,0,0
C1_02700C,29,52,22,35,563,23,32,154,64,95,106,49
C1_02710W,1523,1972,1318,877,17041,713,15213,4920,4078,9295,7199,4187
C1_02720W,105,241,186,109,1876,21,1686,494,277,1004,529,453
C1_02730W,11,50,28,8,36,0,1,48,28,24,32,0
C1_02740C,12,13,1,9,249,0,228,84,49,185,121,22
C1_02750C,433,570,426,365,7139,190,5068,2778,2311,4257,3099,2149
C1_02760W,1462,1267,507,729,10906,898,7186,4870,2538,9853,5135,4473
C1_02770W,6,16,6,3,468,3,839,324,202,1467,404,647
C1_02780W,242,313,192,326,2892,375,1681,917,470,2476,943,1734
C1_02790W,2224,2572,2092,1258,10882,700,8753,5042,3798,6758,5291,5666
C1_02800W,17,0,0,0,21,0,122,10,2,10,14,0
C1_02810W,145,186,87,575,2745,525,651,544,499,7605,1312,4236
C1_02820W,620,1113,682,658,13382,527,3892,3389,2681,6374,5168,3421
C1_02830W,34,75,24,50,2187,81,1664,455,369,912,644,305
C1_02840W,92,139,110,156,2515,162,2053,526,593,2349,1616,437
C1_02850W,258,405,398,107,3232,219,2490,1145,966,1669,1192,391
C1_02860C,214,223,91,116,3744,59,2636,884,550,2781,894,679
C1_02870W,13,47,94,58,402,4,831,322,242,634,395,529
C1_02880C,789,1267,475,502,5903,505,8918,3196,2536,4913,3503,3302
C1_02890C,63,55,107,20,1114,5,521,141,132,57,181,64
C1_02900C,37,75,70,37,643,37,1410,581,416,953,540,368
C1_02910C,25,40,0,19,177,0,60,115,96,363,174,161
C1_02920W,263,321,131,181,2503,129,1685,1055,865,2555,1154,2203
C1_02930C,163,287,141,229,2396,246,1986,1182,734,2415,1409,1562
C1_02940C,138,144,231,62,611,54,1143,287,361,713,441,874
C1_02950W,9,0,19,0,64,16,35,43,22,34,45,0
C1_02960C,80,149,119,118,3258,72,1889,1094,717,2090,1068,1816
C1_02970W,270,667,124,326,4786,508,2359,1657,846,4201,2654,1865
C1_02980W,32,33,29,59,374,16,307,101,127,720,353,444
C1_02990C,206,211,228,213,2699,125,1139,661,442,1069,941,756
C1_03000W,0,3,1,1,149,1,27,162,52,351,147,82
C1_03010W,2612,5253,3660,1380,44342,1480,43383,28672,20833,39974,27639,30212
C1_03020C,18693,23680,20570,7294,142415,4173,105695,52290,42109,73322,55940,51876
C1_03030W,27,47,82,39,781,6,2232,1304,467,1508,1408,302
C1_03040W,16,52,68,24,242,2,499,219,96,343,196,110
C1_03050W,161,193,116,76,1017,99,1470,738,567,1840,937,774
C1_03060C,374,362,309,57,4518,49,2732,1116,690,889,919,339
C1_03070C,252,239,169,192,3253,168,2521,1452,954,3562,1754,1512
C1_03080C,30,47,95,41,970,1,957,274,141,480,195,24
C1_03090W,17647,22358,17271,6123,145860,5318,180497,80953,48669,78317,60527,33844
C1_03100W,0,0,0,0,15,0,120,26,22,102,36,62
C1_03110W,86,105,108,36,1021,126,2621,955,1263,1196,624,875
C1_03120W,132,109,98,96,821,124,795,445,309,2107,701,745
C1_03130C,548,585,333,527,9751,258,4385,1936,1423,4762,2466,2958
C1_03140W,16,12,24,16,175,13,121,87,78,203,140,58
C1_03150C,51,42,3,16,119,40,231,143,101,116,104,54
C1_03160C,144,243,383,148,863,244,1689,849,471,1428,825,674
C1_03170C,41,48,84,29,165,0,505,113,79,267,147,108
C1_03180W,37,24,2,2,1491,6,668,220,129,737,225,768
C1_03190C,6592,10844,5603,7476,76136,6334,32768,28997,18330,52411,36159,33706
C1_03200C,70,107,73,74,1486,14,1322,549,380,1337,766,820
C1_03210C,782,889,576,912,8776,533,7033,2190,1655,7142,3485,3086
C1_03220C,3615,5373,3164,3578,38054,3908,19682,13376,9584,33398,18225,23407
C1_03230C,1441,2221,1008,283,10368,469,10060,4933,3811,2526,3811,1918
C1_03240W,114,78,90,54,616,136,1479,752,452,898,518,1167
C1_03250C,63,129,52,76,1097,5,337,433,268,1135,536,474
C1_03260W,24,32,130,14,466,25,555,245,196,704,347,442
C1_03270W,0,0,0,0,0,0,0,1,0,0,3,1
C1_03280W,1007,991,693,490,9130,227,7845,2945,2679,5674,3739,3567
C1_03290W,343,375,364,192,1202,61,1380,844,559,1969,1154,882
C1_03300C,529,749,658,381,8195,562,5247,2229,1487,3859,2543,2910
C1_03310W,382,566,220,247,4298,113,3339,1592,1301,2165,1555,1432
C1_03320C,34,21,1,51,327,13,167,141,71,417,297,151
C1_03330C,37,40,1,59,1038,53,179,120,108,612,306,172
C1_03340C,282,357,124,296,4356,178,1748,972,685,2961,1876,1788
C1_03350C,2523,3141,1605,765,24218,785,16184,9570,4882,6827,7527,4091
C1_03360W,500,690,524,490,9934,242,5430,3805,3002,11494,5962,6494
C1_03370W,12758,16655,12351,4824,91989,4402,97580,44572,28674,35262,31468,23762
C1_03380W,330,454,429,1253,7161,1382,3734,2364,2584,19832,5977,11097
C1_03390W,402,664,274,160,1485,43,2407,1359,1295,1906,1353,687
C1_03400W,35,71,197,103,1434,8,1393,870,743,2137,1312,947
C1_03410W,73,44,2,0,173,0,942,225,120,274,167,42
C1_03430W,38,58,5,29,290,58,396,218,177,313,239,103
C1_03440C,312,522,289,295,3230,142,2782,1218,1021,2038,1475,1042
C1_03450C,137,119,104,91,4216,44,1616,1356,985,4552,2008,1651
C1_03460C,93,92,80,5,218,4,768,383,280,302,180,331
C1_03470C,0,11,0,0,19,0,1,2,14,22,22,0
C1_03480C,170,208,345,126,3483,149,1501,866,767,3281,1391,1600
C1_03490W,150,175,8,391,1717,545,831,1112,672,3676,947,2152
C1_03500W,598,909,835,558,9785,506,5097,2355,1620,3615,2301,1221
C1_03510C,311,409,189,809,6095,449,1847,1014,822,4673,2134,3620
C1_03520W,742,1025,668,628,8281,564,5403,2886,2268,5976,3706,2856
C1_03530W,0,0,1,0,21,0,114,59,30,33,27,1
C1_03540C,128,94,93,132,2626,127,848,290,201,555,369,932
C1_03550C,401,508,350,465,5391,326,2744,1848,1149,4886,2599,3801
C1_03560C,177,202,54,94,3606,49,3109,2425,1932,4745,2680,2888
C1_03580W,0,0,0,0,0,0,11,5,0,0,0,0
C1_03600W,248,334,299,302,2327,182,3632,983,688,2705,1482,805
C1_03610C,48,56,254,61,458,2,602,294,207,478,338,95
C1_03620C,655,943,884,261,2687,563,6640,2473,1835,1912,1802,343
C1_03630W,102,148,105,90,2270,122,2454,933,572,1614,915,315
C1_03640C,143,142,79,91,515,57,1204,425,320,686,466,176
C1_03650C,777,711,232,238,2672,312,5367,2214,1428,2377,1642,1500
C1_03660W,29,8,40,20,75,1,4,63,52,146,62,107
C1_03670C,64,124,98,48,1075,10,727,545,467,659,421,92
C1_03680W,375,696,417,95,3304,94,1954,1695,1164,1367,1229,1042
C1_03690W,194,258,388,262,3061,178,1550,689,734,1510,1183,1848
C1_03710C,145,186,135,234,4080,134,1514,935,1003,2376,1861,854
C1_03720C,29,55,9,37,901,52,955,350,197,1716,516,493
C1_03730C,284,330,100,347,7747,119,3262,1274,854,3991,2049,961
C1_03740W,121,96,72,67,1559,2,700,536,471,636,774,309
C1_03750W,21,43,2,136,254,218,580,157,85,1231,213,700
C1_03760C,276,301,125,131,4277,87,3593,1243,725,2647,1184,453
C1_03770W,0,15,0,0,1,0,0,5,5,27,1,0
C1_03780C,858,1073,993,668,15186,419,15128,5525,4474,8237,6207,4936
C1_03790C,3709,3115,2019,573,18292,940,31765,9462,6144,9983,7477,5374
C1_03800W,30,82,9,39,212,40,963,236,88,206,183,3
C1_03810C,48,25,9,6,133,69,809,181,123,355,164,0
C1_03820W,117,119,127,34,1401,45,823,360,204,247,327,176
C1_03830C,135,128,131,27,742,13,2233,534,469,353,366,25
C1_03840W,29,36,83,36,91,56,498,113,75,110,86,2
C1_03860C,223,372,463,270,6038,578,5058,1869,1498,5665,3320,1702
C1_03870C,133,50,38,87,4243,49,2256,418,376,1099,1506,447
C1_03880C,0,6,0,0,0,0,1,0,0,0,4,0
C1_03890W,0,1,0,0,0,0,0,0,0,0,2,0
C1_03900W,57,48,133,7,898,3,1130,135,70,77,94,1
C1_03910C,11,52,15,46,469,0,1155,348,219,1024,454,14
C1_03920C,21,25,0,29,791,2,600,148,119,216,160,9
C1_03930W,130,167,251,103,2296,87,2376,587,357,975,647,927
C1_03940W,699,752,1193,357,11181,470,7978,2824,1870,1515,1501,481
C1_03950C,23,35,14,27,689,0,429,110,63,138,83,0
C1_03960C,132,131,76,77,1453,60,3181,693,386,1723,656,319
C1_03970W,0,0,0,0,5,0,54,5,0,8,7,0
C1_03980W,0,35,19,12,74,0,1051,129,44,131,75,12
C1_03990W,30,55,43,44,287,1,1588,322,191,463,238,75
C1_04000C,79,182,132,23,1479,8,2115,574,276,843,409,271
C1_04010C,24,26,0,0,61,24,113,62,37,95,59,155
C1_04020C,148,222,239,301,3851,324,280,334,287,2284,1502,1176
C1_04030W,223,205,112,158,1756,27,2115,804,623,2645,1166,1367
C1_04040C,969,1160,652,177,6027,355,10503,3274,1712,1754,2269,1017
C1_04050C,0,0,0,0,0,0,0,0,0,0,1,0
C1_04060W,0,13,0,0,13,0,37,4,0,3,17,0
C1_04070C,46,26,25,11,891,5,1540,283,150,351,229,7
C1_04080W,12,16,35,28,126,4,811,149,67,297,122,9
C1_04090C,43,71,57,15,314,4,2326,382,254,430,218,138
C1_04100C,2477,3047,3002,2993,44160,3016,18664,11840,9120,19641,18857,14985
C1_04110W,21,19,8,17,142,0,1236,240,75,376,111,2
C1_04120C,119,60,11,6,340,21,1491,376,133,718,298,175
C1_04130W,1297,1633,1465,332,13454,357,16818,5578,3026,4109,4101,1881
C1_04140W,30,3,0,0,35,0,74,29,22,77,30,65
C1_04150C,34,14,1,56,74,58,313,133,49,186,84,80
C1_04160C,19,11,2,2,138,3,559,103,42,200,104,70
C1_04170C,3514,3324,2576,1703,21756,601,21055,11467,7588,10245,8756,6739
C1_04180W,3214,5649,3888,1832,35675,1588,20477,10425,6163,8672,8808,4159
C1_04190C,93,74,176,52,665,35,1504,626,413,1619,640,443
C1_04200C,179,303,488,304,4996,165,4073,1254,598,1490,1211,440
C1_04210C,664,824,478,738,17442,325,10046,3185,1953,12738,6045,3697
C1_04220C,132,89,54,59,1109,3,160,232,195,815,334,288
C1_04230W,145,233,136,86,1525,9,3159,893,421,2054,873,373
