,ribo_30C_1,ribo_30C_2,ribo_30C_3,ribo_37C_1,ribo_37C_2,ribo_37C_3,rna_30C_1,rna_30C_2,rna_30C_3,rna_37C_1,rna_37C_2,rna_37C_3
C2_00810C,144,121,37,35,2976,22,657,365,227,402,352,71
C2_00820W,83,123,9,16,793,83,1898,743,322,901,538,229
C2_00830C,503,643,863,351,4125,221,2691,1257,1122,2213,1657,882
C2_00840W,244,166,215,50,2265,12,1221,718,435,1468,858,598
C2_00850W,363,514,298,314,3302,130,3051,2181,1300,4031,2068,2405
C2_00860C,0,0,0,0,7,0,78,12,12,39,10,0
C2_00870W,55,51,37,15,224,5,789,247,176,334,184,6
C2_00880W,69,130,28,83,440,16,593,537,281,664,446,592
C2_00890W,0,0,0,0,53,0,224,47,6,54,35,103
C2_00900W,0,0,0,0,3,0,0,0,0,0,4,0
C2_00910W,0,53,0,0,1,0,0,0,0,1,8,0
C2_00920W,0,1,0,0,0,0,0,4,0,0,5,0
C2_00930C,81,167,24,81,609,82,724,165,110,359,190,332
C2_00940W,25,65,32,53,529,32,218,131,205,248,197,181
C2_00950C,157,236,124,161,1295,204,1981,831,586,1330,885,1239
C2_00960C,249,331,347,162,3686,210,838,683,546,811,817,532
C2_00970C,133,199,134,132,2109,102,1974,1019,821,2608,1715,936
C2_00980W,0,0,0,0,2,0,0,6,0,6,3,0
C2_00990W,0,8,0,0,11,0,0,7,0,18,4,0
C2_01000W,10158,14230,19201,29794,262630,31746,75250,45258,44066,145398,90480,110273
C2_01010W,1765,2112,1332,539,4091,474,6758,5258,3785,4492,2567,2618
C2_01020W,319,654,737,6459,33995,5776,2683,1302,1811,43524,13404,27291
C2_01030W,482,829,537,326,5059,283,5828,1949,1453,3271,1752,1746
C2_01040W,0,5,0,0,57,0,39,27,10,79,33,0
C2_01050W,0,0,0,0,0,0,0,1,0,11,6,0
C2_01060C,18,16,3,0,141,1,409,113,40,88,129,14
C2_01070W,745,855,574,216,5921,54,12167,3306,2710,2809,2892,1202
C2_01090C,124,135,76,140,3040,64,2034,559,324,1452,562,254
C2_01110C,752,1474,1143,896,6782,723,4382,1647,1468,4085,3428,3145
C2_01120W,6307,9662,5071,8606,125965,5472,47359,26860,17824,86371,53857,41665
C2_01130W,0,0,0,7,13,0,165,16,14,22,13,1
C2_01140C,0,0,0,0,0,0,0,0,0,0,2,0
