,0min_1RP,0min_2RP,0min_3RP,30min_1RP,30min_2RP,30min_3RP,60min_1RP,60min_2RP,60min_3RP
orf19.3348,46,32,14,236,240,232,320,306,340
orf19.3349,262,150,124,980,1013,787,1445,1020,1304
orf19.3350,90,52,38,310,414,292,437,392,544
orf19.3351,46,12,14,2,0,0,10,0,4
orf19.3352,75,30,44,82,58,18,214,107,148
orf19.3353,299,190,204,295,199,57,435,275,116
orf19.3354,47,34,38,625,677,544,820,815,768
orf19.3355,296,148,148,108,102,62,121,74,82
tS(UGA)1,0,0,0,2,0,0,0,0,0
orf19.3356,6,2,2,26,32,24,90,88,116
orf19.3357,25,6,10,184,205,193,191,171,298
orf19.3358,157,78,84,370,475,303,1065,724,950
orf19.3359,160,66,84,136,160,112,284,204,215
orf19.3360,423,178,266,142,204,102,167,131,233
snR5a,12,5,2,55,94,50,125,98,132
tA(AGC)3,0,0,0,0,0,0,0,0,0
orf19.4551,180,116,157,2832,2013,847,6099,3103,3241
orf19.4550,0,0,4,178,150,90,182,102,175
orf19.4549,40,14,28,58,44,23,173,84,90
orf19.4548,8,4,2,12,20,8,46,30,24
orf19.4546,98,63,86,239,254,152,725,366,385
orf19.4545,12,12,0,524,460,288,756,578,632
orf19.4544,18,2,12,42,36,30,79,70,100
orf19.4543,212,142,116,20,26,8,128,32,94
orf19.4542,22,8,22,54,44,78,54,48,74
orf19.4540,113,66,93,48,48,23,196,65,75
orf19.4539,164,88,91,249,172,88,524,316,308
orf19.4538,108,50,48,112,114,80,118,88,124
orf19.4537,40,34,31,242,241,235,279,242,333
orf19.4536,130,62,43,582,774,574,1014,875,1137
orf19.4535,23,8,12,68,44,20,63,30,52
orf19.4534,532,260,314,180,163,98,268,151,196
orf19.4533,62,27,36,54,90,58,97,60,104
orf19.4532,90,42,34,444,506,456,492,498,518
orf19.4531,92,54,60,120,161,124,184,168,252
orf19.4530.1,294,90,178,26,14,8,90,62,26
orf19.4529,2,4,2,42,86,66,52,58,82
orf19.4528,12,6,10,43,84,40,73,81,78
orf19.4528.1,0,0,0,0,0,1,0,0,0
orf19.4527,962,472,518,5643,5483,3450,1357,1482,1358
orf19.4526,34,38,28,0,0,0,0,2,0
orf19.4525,38,16,40,94,90,58,166,82,104
orf19.4524,36,30,30,102,100,56,162,76,88
orf19.4523,8,0,4,20,26,16,37,30,31
orf19.4522,12,2,4,35,30,32,31,44,54
orf19.3661,76,36,58,176,149,98,392,197,214
orf19.3663,233,152,148,208,309,180,534,226,407
orf19.3663.1,50,35,25,10,5,5,45,17,33
orf19.3664,1,4,4,0,0,2,2,2,4
orf19.3665,48,24,17,60,151,130,35,67,205
orf19.3666,19,8,12,37,60,66,47,50,112
orf19.3667,0,4,2,16,11,8,80,34,44
orf19.3668,1239,654,624,22585,24988,15478,10777,14718,16965
orf19.3669,392,162,224,98,272,204,564,280,946
orf19.3670,139,77,95,2190,2538,1785,590,701,893
orf19.3671,0,0,0,0,0,0,0,0,0
orf19.3672,769,413,492,1186,1365,854,427,458,690
orf19.3673,12,0,5,8,18,10,9,21,20
orf19.3674,185,74,111,78,134,64,64,67,99
orf19.3675,600,326,303,619,1093,886,393,432,752
orf19.3676,22,6,6,64,82,110,66,83,100
orf19.3677,20,2,10,14,5,10,30,16,8
orf19.3678,140,49,90,60,47,25,126,73,65
orf19.3679,74,21,42,19,20,8,82,45,85
orf19.3680,12,4,16,177,170,143,341,309,336
orf19.3681,82,57,53,234,351,260,341,248,406
orf19.3682,10,10,8,32,34,26,42,34,41
orf19.3683,54,16,30,154,184,110,220,169,203
orf19.3684,262,154,128,1302,1499,542,1850,778,1468
orf19.3685,4,2,2,53,54,47,102,56,116
orf19.3686,8,8,8,90,104,80,110,86,138
orf19.3687,0,0,2,14,28,10,60,32,38
orf19.3688,6,2,6,12,22,20,28,46,22
orf19.3689,103,60,58,271,271,140,412,286,414
orf19.3690.2,263,141,162,1322,1870,1293,2520,2181,2850
tR(CCG)1,4,2,0,4,4,2,0,4,2
orf19.3691,39,8,10,71,146,93,137,99,162
orf19.3693,6,2,0,14,10,6,8,10,6
orf19.3694,6,4,6,28,62,34,134,70,178
orf19.2925,0,2,2,2,8,6,8,8,10
orf19.2926,67,14,38,52,83,58,92,64,132
orf19.2927,27,14,16,33,62,24,62,27,87
orf19.2928,18,10,13,32,35,28,95,85,116
orf19.2929,186,105,141,1472,2091,1034,2949,1762,2555
orf19.2930,47,34,26,318,426,296,499,422,584
orf19.2933,18,8,12,16,16,14,14,42,36
orf19.2934,113,28,46,62,187,134,95,109,222
orf19.2935,1114,634,597,5471,6642,5108,9665,8552,10546
orf19.2936,0,0,1,16,20,8,12,4,42
orf19.2937,8,8,8,230,280,228,302,261,335
orf19.2938,26,16,18,80,91,82,166,86,140
orf19.2939,16,6,20,38,40,10,78,26,30
orf19.2940,6,8,14,37,44,20,56,50,60
orf19.2941,80,50,48,1608,1389,367,3323,2047,2025
orf19.2942,828,510,502,3515,3715,2313,4615,4033,3523
tR(UCU)4,0,0,0,0,0,0,0,0,0
orf19.2943.5,4,0,0,2,6,2,12,6,5
orf19.2945,2,0,3,16,23,10,37,42,30
orf19.2946,10,6,8,8,10,0,34,14,12
orf19.2947,48,58,22,60,52,44,322,122,202
orf19.2948,46,18,28,28,34,26,152,52,76
orf19.2949,54,32,30,96,116,66,258,210,250
orf19.2951,38,24,8,598,610,506,600,316,694
orf19.2952,6,6,12,18,34,28,28,22,22
orf19.2953,64,20,22,434,506,397,564,474,619
orf19.2954,204,80,140,595,743,559,1068,796,1161
orf19.2956,4,4,14,86,136,80,221,152,172
orf19.2957,4,4,0,4,0,0,2,2,0
orf19.2958,24,11,12,36,20,16,43,39,30
orf19.2959,0,0,0,0,0,0,0,0,0
orf19.2959.1,688,140,343,6,4,8,63,6,54
orf19.2960,68,28,36,772,864,590,988,794,934
orf19.2961,24,4,21,90,75,38,144,83,74
orf19.2962,4,2,8,4,11,3,22,7,14
orf19.2963,17,2,2,10,11,6,54,20,21
orf19.2964,84,48,66,257,238,261,470,380,448
orf19.2965,72,38,40,392,452,346,420,330,403
orf19.2965.1,37,15,25,98,108,76,145,134,173
orf19.2966,74,28,38,22,10,4,75,26,60
orf19.2967,202,94,136,1173,1293,1058,1497,1307,1666
orf19.2968,38,12,24,0,4,0,2,2,2
orf19.2969,204,112,86,338,368,288,494,306,512
orf19.2970,36,26,26,1537,1956,1203,3217,1901,2829
orf19.2971,30,8,22,76,94,48,108,78,96
orf19.2972,326,165,174,62,182,134,107,93,377
orf19.2973,256,112,146,122,352,190,236,226,442
orf19.2974,68,22,48,106,139,84,108,75,121
orf19.2975,6,2,10,24,32,16,50,48,54
orf19.2977,64,32,21,512,565,412,767,608,702
orf19.2978,10,2,8,148,110,79,204,164,144
orf19.2980,32,24,24,90,110,80,108,102,184
orf19.2982,4,4,4,16,22,12,66,26,38
orf19.2983,26,12,16,146,153,159,304,236,269
orf19.2984,30,26,12,124,110,104,162,138,199
orf19.2985,46,22,40,64,48,32,94,79,66
orf19.2986,11,6,5,2,6,0,8,0,14
orf19.2987,129,96,89,104,178,122,269,166,193
orf19.2988,36,30,22,84,130,88,280,170,270
orf19.2989,22,8,12,93,90,72,474,211,256
orf19.2990,14,8,10,68,89,24,41,28,48
orf19.2991,6,0,4,108,45,29,285,128,64
orf19.2992,362,268,195,2335,2590,2005,3894,3460,4548
orf19.2994,938,539,470,4431,5647,4296,7623,6970,8514
orf19.2994.1,638,327,449,3367,4211,3157,5891,5379,6722
orf19.2995,44,33,18,52,80,86,48,38,60
orf19.2996,134,80,78,138,173,110,180,146,234
orf19.2998,58,34,14,240,362,324,240,258,316
orf19.3000,92,62,70,164,170,126,248,240,262
orf19.3001,0,2,2,22,20,4,60,46,64
orf19.3002,1455,772,796,7847,9036,6461,13604,11654,14119
orf19.3003,457,260,303,65,82,12,583,272,471
orf19.3003.1,878,465,556,4468,5418,4016,7526,7386,8524
orf19.3004,384,232,247,108,108,52,170,97,106
orf19.3006,179,76,148,259,281,162,446,300,465
orf19.3007,28,4,20,6,11,6,20,20,20
orf19.3007.2,74,32,38,4,6,4,40,26,12
orf19.3008,32,22,22,74,76,38,118,77,106
orf19.3009,24,6,12,30,36,14,53,46,44
orf19.3010,4,2,0,30,34,22,46,40,42
orf19.3010.1,429,210,195,1624,1883,1149,3676,2590,3232
orf19.3012,32,8,14,34,30,16,90,69,106
orf19.3013,42,22,32,371,399,218,634,522,628
orf19.3014,638,324,325,1382,1621,970,2470,1748,2249
orf19.3015,198,99,96,793,999,862,756,723,909
orf19.3016,12,7,6,23,43,25,50,33,34
orf19.3018,8,16,15,46,48,36,82,58,54
orf19.3019,34,20,12,26,62,36,42,70,75
orf19.3021,122,68,56,14,20,2,41,18,22
orf19.3022,114,62,84,486,479,350,644,534,760
orf19.3023,70,42,38,110,90,76,176,161,204
orf19.3026,70,36,58,234,294,178,382,317,326
orf19.3027,159,69,94,129,128,77,268,166,194
orf19.3029,150,68,90,444,366,131,1214,396,556
orf19.3030,54,18,44,74,67,29,109,43,73
orf19.3031,20,8,14,380,428,396,246,178,288
orf19.3034,345,188,222,763,1213,1012,753,928,1455
orf19.3035,172,102,130,371,434,332,599,395,608
orf19.3037,959,549,512,6034,7288,5803,7377,7113,8459
orf19.3038,1397,785,809,177,146,60,464,205,297
orf19.3040,41,28,30,234,376,426,314,238,276
orf19.3041,124,52,105,64,88,36,155,99,132
orf19.3042,0,0,0,8,12,20,60,25,69
tN(GUU)3,0,0,0,2,4,0,2,0,0
orf19.3043,101,20,53,39,15,20,58,34,32
orf19.3045,36,34,16,200,257,162,349,202,343
orf19.3047,486,264,250,144,152,48,404,170,231
orf19.3048,9,8,4,98,132,78,389,276,352
orf19.3049,0,0,0,0,0,0,0,0,4
orf19.3050,80,54,44,44,54,36,136,108,88
orf19.3051,78,36,34,168,212,115,553,314,554
orf19.3052,397,185,207,517,566,383,716,422,523
orf19.3053,196,114,116,46,50,16,248,71,210
orf19.3054,170,100,108,508,492,338,637,422,546
orf19.3055,16,28,14,82,102,48,119,110,112
orf19.3057,6,2,2,37,44,10,90,52,86
orf19.3058,98,50,62,88,148,80,221,141,209
orf19.3059,551,313,323,406,526,425,471,352,467
tL(UAA)3,0,0,0,0,0,0,0,0,0
orf19.3059.1,0,0,0,0,0,0,0,0,0
orf19.3060,24,10,18,129,135,78,176,116,153
orf19.3061,8,4,4,16,14,32,32,22,28
orf19.3061.1,147,66,61,392,586,350,632,511,749
orf19.3062,54,36,38,106,145,118,172,122,152
orf19.3063,2,0,4,36,30,14,79,42,80
orf19.3064,73,30,50,204,236,212,288,258,398
orf19.3064.1,10,2,14,18,8,4,16,12,10
orf19.3065,103,78,68,285,233,151,625,319,478
orf19.3066,76,50,34,80,90,64,118,84,94
orf19.71,133,64,83,126,145,100,313,205,227
tT(CGU)1,0,0,0,0,0,0,0,0,0
orf19.1133,2,4,6,156,159,93,465,314,373
orf19.1037,26,16,24,158,96,34,385,212,326
orf19.1036,34,4,20,212,194,116,253,164,232
orf19.1035,81,56,40,149,198,188,127,86,122
orf19.1034,22,14,22,10,16,8,22,29,42
orf19.1033,42,24,50,178,248,192,332,176,312
orf19.1032,48,20,32,94,112,141,163,143,163
orf19.1031,78,36,32,730,793,547,1026,1029,1077
orf19.1030,200,150,118,880,1026,1095,924,906,1043
orf19.1029,16,4,14,18,48,42,28,18,66
orf19.1028,44,12,34,12,16,20,12,12,46
orf19.1027,56,14,14,14,36,38,34,10,63
orf19.1026,80,36,30,82,148,118,72,82,180
orf19.1026.1,1,4,0,23,19,12,16,15,22
orf19.4457,26,14,12,380,396,210,512,370,459
orf19.4459,2,2,0,407,390,154,514,403,471
orf19.4461,0,0,0,4,2,2,0,2,2
orf19.4463,0,0,0,0,0,0,2,0,0
orf19.4464,10,2,6,12,12,4,4,12,24
orf19.4465,8,6,0,48,68,42,100,75,66
orf19.4466,12,4,2,20,16,10,32,26,14
orf19.4467,12,4,10,50,69,34,91,75,98
orf19.4468,108,36,70,329,404,288,670,521,655
orf19.4470,2,2,2,10,11,5,8,4,8
orf19.4471,30,12,20,60,50,30,139,60,69
orf19.4472,0,0,0,0,2,0,4,2,4
orf19.4473,10,0,0,12,8,14,24,20,24
orf19.4474,16,0,6,24,38,26,33,20,18
orf19.4475,32,2,8,52,76,56,148,66,140
orf19.4476,78,46,36,24,32,20,38,56,37
orf19.4477,266,133,142,18,22,5,26,19,34
orf19.4478,14,6,10,122,128,92,199,164,216
orf19.4479,128,88,56,358,529,406,360,308,410
orf19.4481,0,0,0,0,0,0,0,0,0
orf19.4482,24,4,8,22,22,4,52,30,42
orf19.1039,4,4,4,4,16,18,34,20,18
orf19.1040,4,2,0,10,8,7,48,20,16
orf19.1041,4,0,0,14,28,20,38,52,42
