,0min_1RP,0min_2RP,0min_3RP,30min_1RP,30min_2RP,30min_3RP,60min_1RP,60min_2RP,60min_3RP
orf19.1167,4,4,2,0,0,0,2,0,4
orf19.1166,363,210,187,395,412,230,1253,818,1134
orf19.1164,237,102,122,1650,1857,1738,1891,2119,2065
orf19.1163,26,12,17,40,72,32,38,40,50
orf19.1162.1,0,2,4,3,12,0,7,8,13
orf19.1162,59,31,55,83,58,34,95,55,65
orf19.1161,258,186,158,700,697,400,1196,692,833
orf19.1160,52,28,20,62,86,52,140,96,116
orf19.1159,20,8,28,54,51,34,270,236,145
orf19.1158,2,0,2,16,6,0,30,32,20
orf19.1156,2,2,0,2,0,0,16,6,6
orf19.1155,12,4,6,106,80,46,195,136,144
orf19.1154,74,72,59,1123,1309,1035,1981,1728,2266
orf19.1153,835,432,437,2,12,6,20,8,36
orf19.1152,2180,1063,1274,32,37,40,176,44,84
orf19.1150.1,3,10,3,4,7,10,21,14,16
orf19.1150,74,26,36,195,155,94,348,228,229
orf19.1149,87,58,66,4,6,8,23,22,14
orf19.1148,0,0,0,0,0,0,0,0,2
orf19.1146,4,5,0,2,5,4,23,10,15
orf19.1144,30,12,18,92,130,108,311,216,252
orf19.1143,2,4,2,60,60,40,74,66,76
orf19.1142,42,22,34,56,57,40,244,115,116
orf19.1140,52,14,22,138,178,82,266,168,258
orf19.1139,200,60,134,447,679,385,602,502,727
snR8a,2,0,0,8,4,10,11,20,9
orf19.1137,6,2,2,61,55,47,127,136,141
orf19.1136,8,2,3,8,14,2,30,6,17
orf19.1135,24,12,16,36,12,18,94,88,82
tY(GUA)1,0,0,0,0,0,0,0,0,0
tY(GUA)4,0,0,0,0,0,0,0,0,0
orf19.5282,228,131,158,1885,1640,942,1906,1329,1039
orf19.5281,46,18,30,1895,2004,1285,1526,1331,1621
orf19.5280,740,422,484,460,1005,658,731,1219,1935
orf19.5279,37,10,34,135,174,140,154,173,207
orf19.5278,36,10,10,141,143,56,204,157,199
orf19.5277,32,10,14,32,40,30,44,48,72
orf19.5276,6,4,4,6,2,8,12,14,22
orf19.5275,36,16,20,2,8,0,48,26,22
orf19.5274,56,42,55,230,174,140,601,348,474
orf19.5271,2,0,4,16,29,11,70,41,68
orf19.5270,4,2,2,40,32,8,117,71,81
orf19.5269.1,12,2,8,33,37,24,66,38,57
orf19.5269,5,0,7,37,44,28,61,51,57
orf19.5268,9,2,4,8,12,0,20,18,20
orf19.5267,14,0,0,10,4,4,10,10,6
orf19.5266,0,0,2,0,0,0,2,0,2
orf19.5265,8,14,4,41,64,38,140,107,155
orf19.5264,0,0,0,0,0,0,0,0,2
orf19.5263,54,32,26,458,670,523,1068,806,986
orf19.5262,0,0,0,0,0,0,0,0,2
orf19.5260,210,150,136,802,784,540,1009,698,888
orf19.5259,0,0,2,20,9,6,46,21,28
orf19.5258,0,0,0,30,33,22,51,25,46
orf19.5257,2,2,6,93,66,42,152,58,72
orf19.5256,2,0,0,0,0,0,0,0,0
orf19.5255,64,54,44,600,428,284,758,436,464
orf19.5254,1,0,0,6,6,11,10,8,3
orf19.5253,5,6,3,68,52,40,78,58,68
orf19.5251,80,32,63,107,118,91,138,96,164
orf19.5250,20,4,8,107,86,51,179,106,156
orf19.5249,8,2,0,25,18,0,39,32,6
orf19.5248,79,16,44,259,235,118,424,277,184
orf19.5247,46,10,16,37,45,30,86,45,60
orf19.5246,38,18,28,20,4,4,38,26,34
orf19.5245,94,22,50,18,12,2,26,18,22
orf19.5244,0,2,0,88,140,50,118,84,186
orf19.5243,14,14,20,246,292,216,294,296,438
orf19.5242,9,6,12,29,40,42,101,40,68
orf19.5241,298,140,212,377,478,349,588,464,745
orf19.5239,16,18,22,72,64,48,132,82,112
orf19.5238,58,28,23,142,137,98,396,255,326
orf19.5237,15,8,6,11,20,10,40,22,32
orf19.5236,17,8,6,35,34,24,79,35,35
orf19.5235,4,4,6,28,53,20,42,50,64
orf19.5234,48,25,38,202,224,114,331,258,287
orf19.5233,0,0,0,0,0,0,0,0,0
orf19.5232,56,32,46,162,282,232,162,179,236
orf19.5231.2,104,35,25,612,706,471,1192,903,1191
orf19.5231,2,0,0,2,0,0,4,2,0
orf19.5230,52,40,28,272,367,244,434,356,458
orf19.5229,110,60,46,346,504,318,370,306,442
orf19.5228,155,80,53,186,183,86,201,168,211
orf19.5227,30,20,16,65,50,12,77,38,51
orf19.5226,38,20,30,365,408,296,390,349,471
orf19.5225.2,749,412,448,3644,4119,3273,6225,5705,6719
orf19.5225,45,16,29,28,36,20,87,59,65
orf19.5224,221,84,118,151,126,44,251,170,255
orf19.5223,4,2,1,0,2,0,0,2,7
orf19.5221,38,28,24,58,51,40,129,76,90
orf19.5220,10,6,2,34,68,62,12,45,82
orf19.5219,46,24,40,282,365,183,363,304,448
orf19.69.2,1,0,1,0,1,0,2,0,2
orf19.69,10,6,10,2,2,4,4,2,4
orf19.68.2,4,6,0,0,6,6,4,4,2
orf19.3767,146,62,66,200,210,129,397,242,319
tW(CCA)1,0,0,0,2,0,0,0,0,0
orf19.3765,30,4,22,191,242,102,228,178,260
orf19.3764,2,4,6,40,25,16,94,39,62
orf19.3763,10,2,8,12,20,10,67,45,61
orf19.3762,10,0,2,30,34,22,48,32,42
orf19.3761,2,4,0,254,260,286,368,244,451
orf19.3760,0,0,0,0,2,0,0,0,2
orf19.3759,210,122,108,26,104,64,40,54,134
orf19.3758,222,122,120,66,64,48,186,106,144
orf19.3757,124,58,50,442,632,370,666,498,823
orf19.3756,146,90,78,110,182,246,110,124,316
orf19.3755,62,46,53,213,260,185,205,223,347
orf19.6362,156,74,102,701,933,737,1313,986,1394
orf19.6360,42,12,14,18,28,20,32,30,38
orf19.6359,8,6,4,9,18,8,10,10,6
orf19.6358,27,18,28,40,74,30,54,41,67
orf19.6357,20,12,10,34,44,22,60,32,50
orf19.6356,10,0,4,20,46,34,36,17,36
orf19.6355,228,92,112,466,720,624,432,466,656
orf19.6354,0,0,0,4,8,0,10,3,18
orf19.6353,10,14,4,28,14,6,50,24,40
orf19.6351,54,16,44,54,98,52,136,116,96
orf19.6350,2,0,10,0,0,0,0,0,0
orf19.6349,70,26,55,6,5,0,14,9,18
orf19.6348,32,14,20,102,78,48,212,114,122
orf19.6347,18,4,8,22,70,36,28,24,54
orf19.6346,38,22,30,84,162,104,130,109,144
orf19.6345,196,100,108,978,1379,966,1302,1020,1446
orf19.6344,72,22,38,148,187,98,358,202,210
orf19.6343,222,74,109,132,293,182,466,416,697
orf19.6342,2,0,2,8,8,6,14,17,18
orf19.6341,10,6,2,30,52,36,76,42,89
orf19.6340,52,38,47,115,158,137,115,120,172
orf19.4913,50,30,34,116,124,54,308,146,194
orf19.4914,9,4,12,35,18,8,58,36,37
orf19.4914.1,1783,843,1074,470,366,108,1299,488,630
orf19.4916,6,8,14,26,16,4,62,28,26
orf19.4917,6,0,4,4,8,8,8,6,4
orf19.4918,44,20,32,50,50,2,256,104,118
orf19.4919,39,12,17,10,7,9,36,17,20
orf19.4921,14,14,6,62,36,14,180,88,69
orf19.4921.1,132,122,86,111,134,96,1372,383,651
orf19.4922,28,6,6,10,32,22,68,42,38
orf19.4923,0,0,0,4,0,4,12,4,2
orf19.4923.1,0,0,0,2,0,0,2,0,0
orf19.4924,20,8,16,78,94,54,136,94,98
orf19.4927,79,35,52,326,310,208,590,436,620
orf19.4928,124,80,110,65,97,42,267,160,231
snR41b,7,1,2,8,3,5,12,5,0
snR41,30,20,14,16,28,30,21,32,25
snR70,17,15,11,18,39,19,11,8,26
orf19.4929,40,18,44,230,292,206,202,176,314
orf19.4930,20,6,14,56,92,56,98,46,77
orf19.4931,60,48,52,680,794,594,775,646,753
snR87,8,14,6,4,10,0,2,8,2
orf19.4931.1,632,358,391,2867,3645,2598,4959,4779,5560
orf19.4932,118,82,66,1661,1982,1436,2187,1769,2446
orf19.4933,32,20,24,1122,1320,796,1594,1194,1420
orf19.4934,1182,673,832,10637,11582,3114,23580,17209,22473
orf19.4936,0,2,8,6,4,4,10,0,8
orf19.4936.1,802,185,437,562,855,521,799,480,653
orf19.4937,230,149,166,837,1098,728,1463,1240,1414
orf19.4939,18,8,12,53,58,25,179,92,110
orf19.4940,60,35,26,28,38,48,6,18,18
orf19.4941,688,246,400,4,16,4,20,6,22
orf19.4942,0,0,0,0,0,0,0,0,0
orf19.4943,308,162,150,0,0,0,2,2,10
orf19.4945,4,2,2,234,246,190,726,637,844
orf19.4946,0,4,0,0,0,0,2,2,6
orf19.4947,497,209,238,153,312,82,254,164,288
orf19.4948,2,6,2,33,58,41,32,41,68
orf19.4949,6,6,2,10,0,12,6,16,4
orf19.4950,44,12,16,68,80,52,184,132,154
orf19.4951,107,58,48,12,49,29,56,26,30
orf19.4952,623,344,323,480,625,386,863,582,864
orf19.4952.1,38,19,16,80,142,61,160,137,192
orf19.4953,78,22,30,20,14,12,48,22,42
orf19.4954,74,50,42,89,181,130,279,200,292
orf19.4955,0,0,4,0,2,0,0,0,0
orf19.4956,437,232,226,904,856,603,1147,715,1037
orf19.4958,18,8,12,22,38,20,50,34,40
orf19.4959,66,52,46,119,131,100,340,224,250
orf19.4960,200,104,110,95,140,122,105,136,179
orf19.4961,694,257,369,506,603,351,598,652,741
orf19.4962,22,4,6,0,14,12,10,10,20
orf19.4963,40,6,20,38,76,74,26,56,74
orf19.4964,50,14,36,12,26,32,20,22,42
orf19.4965,10,4,8,10,26,8,14,8,22
orf19.4966,192,140,120,458,474,242,1563,607,950
orf19.4967,20,6,4,87,96,64,205,135,141
orf19.4969,243,102,138,509,476,264,838,487,645
orf19.4970,135,54,57,6,5,0,6,6,6
orf19.4972,0,0,0,0,0,0,0,0,0
orf19.4975,8,4,8,8,8,8,30,4,18
orf19.4976,2,0,0,2,4,0,0,1,4
orf19.4979,38,24,35,45,49,14,56,34,34
orf19.4980,6785,3778,4044,37,116,8,92,24,63
orf19.4981,12,8,10,44,64,33,88,56,79
snR3a,4,0,0,9,14,2,13,12,13
orf19.4982,32,16,20,52,38,18,101,56,64
orf19.4983,22,10,16,34,52,44,83,42,84
orf19.4984,122,70,88,96,106,64,172,129,145
orf19.4985,16,4,2,80,66,40,103,70,82
orf19.4987,78,28,44,132,164,96,251,170,260
orf19.4988,50,20,22,30,34,34,50,73,54
orf19.4991,10,4,8,139,133,88,143,92,146
orf19.4993,122,60,52,336,332,195,280,153,213
orf19.4995,2,0,2,0,0,0,2,0,0
orf19.4996,0,4,0,0,0,0,2,0,0
orf19.4997,132,54,44,89,59,46,155,92,68
orf19.4998,187,54,88,244,341,101,568,311,172
orf19.5000,82,28,50,104,88,26,634,276,508
orf19.5001,125,60,56,142,208,150,206,160,246
orf19.5003,14,14,14,24,22,14,36,24,30
orf19.5004,0,0,0,24,18,18,110,80,112
orf19.5005,196,106,130,120,130,20,510,224,336
orf19.5006,188,94,114,208,298,212,503,341,508
orf19.5006.1,185,106,116,147,177,124,285,165,262
orf19.5007,746,412,443,3414,3842,2357,5094,3220,4796
orf19.5008.1,0,2,4,0,10,4,10,6,16
orf19.5009,60,34,14,144,206,192,188,178,276
orf19.5010,74,42,30,78,164,112,60,86,120
orf19.5011,14,6,6,10,18,8,38,28,42
orf19.5012,0,0,0,22,27,18,27,24,38
orf19.5013,4,2,4,89,102,58,163,114,118
orf19.5014,4,0,2,15,14,6,60,30,30
orf19.5015,10,10,8,862,913,669,1105,943,1133
orf19.5016,22,2,22,34,32,28,52,34,38
orf19.5017,24,18,11,14,10,6,22,8,10
orf19.5019,59,22,36,76,52,64,92,70,58
orf19.5020,154,72,72,66,149,171,58,110,215
orf19.5021,498,242,324,106,158,86,341,206,266
orf19.5022,193,132,90,148,186,129,573,254,439
orf19.5023,14,0,0,20,8,4,38,12,23
orf19.5024,1520,908,874,392,460,236,1644,664,1014
orf19.5025,0,2,0,42,64,32,489,249,356
orf19.5026,161,102,111,850,746,490,1276,834,1095
tA(AGC)7,0,0,0,0,2,2,0,2,0
orf19.5027,32,30,22,304,302,257,509,415,514
orf19.5029,8,16,6,18,16,10,100,34,45
orf19.5030,177,92,94,60,52,44,245,100,138
orf19.5031,377,189,192,349,426,195,476,389,427
orf19.5032,552,385,336,3576,4628,3626,3896,3116,4732
orf19.5033,4,0,2,4,4,1,4,2,0
orf19.5034,36,22,14,64,77,48,133,97,116
orf19.5035,24,10,10,80,88,100,128,102,98
orf19.7205,52,20,30,42,50,20,65,50,35
orf19.7206,4,0,6,18,20,16,40,26,32
orf19.7207,32,8,26,78,38,28,136,55,70
orf19.7208,0,0,0,2,0,0,4,0,0
orf19.7209,0,2,8,18,42,6,128,36,136
orf19.7210,24,8,8,26,27,8,25,8,28
orf19.7212,45,28,35,88,62,60,171,120,92
orf19.7213,42,18,20,105,114,56,177,138,162
orf19.7214,210,112,126,10,12,2,54,24,54
orf19.7215,56,48,46,774,1084,762,780,592,722
orf19.7215.3,22,14,16,233,292,184,525,364,622
orf19.7216,40,26,33,72,100,64,113,84,104
orf19.7217,1062,648,630,5584,6341,5162,8896,8412,10300
orf19.7218,4,4,2,24,10,4,22,20,20
orf19.7219,38,14,8,760,753,926,584,716,955
orf19.7221,52,52,40,240,222,172,458,274,292
orf19.7222,108,54,58,201,250,222,255,254,324
orf19.7223,6,8,12,90,148,94,138,130,156
orf19.7224,92,34,48,358,401,256,516,378,492
orf19.7225,60,24,20,31,8,4,36,6,12
orf19.7227,36,18,20,10,6,0,17,10,12
orf19.7228,62,28,26,64,50,26,74,62,49
orf19.7229,148,108,78,264,238,110,700,432,401
orf19.7231,25,14,17,278,371,330,420,497,560
orf19.7232,4,0,2,108,118,84,332,277,390
orf19.7234,36,4,18,240,228,170,362,291,378
orf19.7235,368,182,240,108,94,66,224,114,146
orf19.7236,136,80,68,744,895,765,892,854,1002
orf19.7237,11,2,2,42,28,28,30,30,55
orf19.7238,284,146,172,2091,2035,1826,2014,1931,2100
orf19.7239,760,393,488,408,465,282,1253,905,921
orf19.7242,262,142,156,104,82,22,266,198,258
orf19.7243,34,14,16,71,104,62,185,194,235
orf19.7244,14,4,6,80,114,46,291,166,264
orf19.7245,24,2,12,34,100,80,74,60,114
orf19.7247,748,245,426,1047,1304,877,1541,1233,1709
orf19.7250,36,20,20,94,100,70,170,128,109
orf19.7251,42,14,24,32,28,22,80,30,56
orf19.7252,0,0,0,2,2,2,2,0,2
orf19.7254,82,30,32,88,124,92,88,114,191
orf19.7255,23,9,23,98,137,137,140,109,158
orf19.7257,48,36,36,91,126,94,94,102,125
orf19.7256,36,16,4,158,166,155,211,220,211
orf19.7258,94,39,58,236,264,207,228,150,239
orf19.7260,58,12,34,62,58,53,111,107,115
orf19.7261,316,170,176,826,736,538,1088,656,1013
orf19.7263,186,96,114,816,774,696,852,746,811
orf19.7264,214,110,153,584,635,480,720,429,640
orf19.7265,82,52,51,190,160,149,285,210,250
orf19.7266,26,13,19,51,40,37,75,68,45
orf19.7267,43,23,12,62,81,66,80,61,84
orf19.7269,176,92,98,642,690,462,910,725,806
orf19.7270,120,59,66,476,527,322,621,619,680
orf19.7271,22,17,13,59,66,53,39,55,49
orf19.7272,9,6,4,13,16,4,21,24,9
orf19.7274,42,30,25,47,41,36,81,51,64
orf19.7275,38,22,28,53,34,34,71,48,52
orf19.7277,69,26,16,36,23,24,70,64,62
orf19.7276.1,6,2,2,27,11,10,14,15,22
orf19.7278,0,0,0,0,0,0,2,0,2
orf19.1925,14,14,8,18,20,8,12,5,8
orf19.1923,124,62,82,300,420,424,232,292,550
tV(CAC)1,0,0,0,0,2,0,0,0,0
orf19.1920,0,0,0,0,0,0,0,0,0
orf19.1917,105,70,68,413,418,310,550,452,636
orf19.1915,275,152,168,692,862,892,625,585,755
orf19.1914,8,2,0,22,36,22,50,52,62
orf19.1913,18,16,12,40,48,39,73,70,106
orf19.1911,144,68,116,561,560,478,485,326,569
orf19.1910,20,6,14,75,60,58,81,81,88
orf19.1907,382,186,235,597,590,521,513,456,698
orf19.1906,4,2,4,7,4,2,8,10,11
orf19.2119,630,270,375,580,938,791,648,728,1380
orf19.2117,96,38,52,600,580,436,877,619,566
orf19.2116,231,130,133,371,436,376,683,556,737
orf19.2115,112,78,62,596,864,821,602,676,805
orf19.2114,38,34,30,30,26,32,90,45,124
orf19.2113,283,148,160,166,188,100,349,227,268
orf19.2112,136,54,82,90,82,86,158,134,150
orf19.2111.2,241,134,99,1287,1604,1234,2095,2039,2412
orf19.2111,157,72,108,146,146,82,160,102,171
orf19.2110,69,48,63,35,45,24,80,47,59
orf19.2108,119,64,61,21,10,14,28,29,18
orf19.2107.1,4496,1986,2488,100,94,30,646,268,374
orf19.2107,20,14,14,64,50,26,175,82,166
orf19.2106,33,18,18,22,58,31,56,33,74
orf19.2105,28,12,20,18,28,25,38,29,28
orf19.2104,6,6,0,42,51,42,64,46,53
orf19.2102,31,19,24,47,60,60,79,77,89
orf19.2103,0,0,0,0,0,0,0,0,0
orf19.2101,30,16,32,80,80,98,142,123,113
orf19.2099,116,56,88,168,148,64,336,207,205
orf19.2098,22,16,18,238,238,188,766,368,510
orf19.2097,26,4,8,104,130,68,238,138,210
orf19.2095,634,340,344,329,334,250,522,292,433
orf19.2094,284,120,134,38,28,24,98,75,72
orf19.2093,64,24,24,276,328,252,950,851,1208
orf19.2092,102,40,60,120,80,72,290,114,202
orf19.2091,146,62,52,451,546,382,793,555,803
orf19.2090,142,80,84,346,678,578,332,404,634
orf19.2089,70,40,36,38,70,60,94,68,96
orf19.2088,4,2,5,126,84,59,192,165,188
orf19.2087,6,0,0,44,50,26,60,42,48
orf19.2084,56,32,40,84,82,52,134,84,84
orf19.2082,22,6,4,6,6,4,2,12,14
orf19.2081,52,24,34,310,370,224,556,398,556
orf19.2079,39,16,32,32,32,25,41,32,46
orf19.2078,66,36,40,89,76,80,156,92,124
orf19.2077,66,32,34,82,72,50,149,72,108
orf19.2076,22,4,10,14,16,10,44,25,36
orf19.2075,71,32,43,166,206,142,310,210,256
orf19.2074,2,3,6,0,0,2,0,0,2
orf19.2073,299,169,177,242,237,185,259,189,212
orf19.2072,6,4,8,20,10,4,36,10,28
orf19.2071,0,0,2,0,0,0,0,0,0
orf19.2070,58,30,34,232,272,158,404,364,310
orf19.2069,32,20,22,184,159,142,257,172,224
orf19.2068,50,18,24,112,118,76,230,196,182
orf19.2067,178,104,124,144,124,66,236,152,168
orf19.2066.1,135,80,98,467,582,307,979,708,979
orf19.2066,10,14,2,54,54,50,54,52,60
orf19.2065,4,8,2,34,40,22,62,38,56
orf19.2064,58,16,32,44,24,10,62,38,34
orf19.2063,26,6,8,184,246,190,186,190,216
orf19.2062,0,4,0,0,4,2,28,16,22
orf19.2061,0,0,0,0,2,0,0,0,0
orf19.2060,2,4,0,2,5,0,18,8,6
orf19.2059,12,6,2,19,28,34,58,46,38
orf19.2057,96,56,70,536,574,377,685,479,645
orf19.2055,76,38,46,252,296,231,460,344,360
orf19.2054,88,42,36,116,120,57,152,94,138
orf19.2051,14,6,12,134,140,100,190,142,170
orf19.2050,504,234,262,36,48,10,236,96,106
orf19.2049,8,4,6,4,2,0,0,2,2
orf19.2048,190,90,106,2,2,2,4,0,8
orf19.2047,108,52,48,4,2,2,10,4,4
orf19.2046,26,28,14,20,14,14,68,22,50
orf19.2045,62,46,32,72,138,166,106,114,203
orf19.2044,18,0,10,14,12,10,12,36,22
orf19.2043,15,10,20,28,42,34,56,36,44
orf19.2042,28,18,20,62,88,80,66,64,114
orf19.2041,62,28,44,122,142,132,349,285,330
orf19.2040,38,23,30,55,109,70,150,92,170
orf19.2039,30,30,20,192,225,102,370,220,293
orf19.2038,0,2,2,0,0,0,2,2,2
orf19.2037,14,2,0,20,47,21,96,30,50
orf19.2036,46,26,22,55,80,26,188,123,152
orf19.2035,4,0,0,12,6,10,32,15,14
orf19.2034,0,0,0,0,0,0,0,0,0
orf19.2033,0,2,0,0,0,0,2,2,0
orf19.2032,81,30,51,22,24,14,22,25,31
orf19.2031,174,57,105,45,30,15,97,47,80
orf19.2030,377,193,211,56,85,42,89,48,76
orf19.2029,28,10,20,114,98,88,176,140,244
orf19.2028,35,12,12,58,60,46,233,168,176
orf19.2026,126,54,68,144,116,78,277,150,184
orf19.2025,0,0,0,0,0,0,0,0,0
orf19.2024,0,0,0,0,0,0,0,0,2
orf19.2023,2970,1644,1711,2397,6489,6233,212,243,986
orf19.2021,2244,1087,1230,35,117,52,58,37,117
orf19.2020,1918,971,990,24,24,25,42,19,24
orf19.2019,68,34,40,290,364,306,458,464,533
orf19.2018.1,12,4,6,0,4,5,9,10,11
orf19.2018.2,22,12,16,13,16,19,14,13,35
orf19.2018,31,14,17,12,27,46,11,17,35
orf19.2017,144,102,74,300,456,368,284,300,396
tL(CAA)2,0,0,0,0,4,0,0,2,2
orf19.2016,7,2,6,16,24,18,54,59,78
orf19.2014,488,218,269,738,694,440,938,614,808
orf19.2013,934,534,588,8830,10041,7373,3904,2758,4332
orf19.2012,128,65,84,546,576,482,577,449,712
orf19.2010,0,0,0,4,0,2,6,0,0
orf19.2009,150,42,80,228,164,92,366,236,236
orf19.2008,6,10,14,70,98,76,102,74,116
orf19.2007,28,18,21,126,134,74,276,174,213
orf19.2006.1,16,12,14,56,79,51,78,32,76
orf19.2006,22,12,15,21,12,13,34,26,38
orf19.2005,592,308,298,420,417,262,831,430,641
orf19.2003,191,112,90,1541,1543,1004,1460,1139,1504
orf19.2002,124,58,36,170,243,164,324,246,350
orf19.2001,14,4,6,28,14,22,22,14,21
orf19.2000,2,8,2,44,64,70,56,74,110
orf19.1999,4,0,2,16,8,16,33,26,42
orf19.1998,4,4,0,8,20,20,72,46,64
orf19.1996,172,62,68,0,0,0,0,0,2
tL(UAA)1,0,0,0,0,0,0,0,0,0
orf19.1995,90,54,40,2,4,6,14,6,24
orf19.1994,42,12,22,44,38,22,90,60,72
orf19.1993,46,4,26,74,90,54,114,48,93
orf19.1992,42,20,24,106,130,76,92,139,126
orf19.1991,216,110,150,304,342,204,398,292,366
orf19.1990,44,14,26,54,38,25,74,40,48
orf19.1989,74,72,48,289,354,230,615,455,596
orf19.1441,146,87,84,189,352,259,266,215,348
orf19.1442,18,14,8,28,40,25,76,40,48
orf19.1444,110,36,57,245,192,106,371,267,243
orf19.1445,0,0,0,50,46,38,134,92,120
orf19.1446,26,12,16,57,67,54,251,207,287
orf19.1447,6,0,0,14,41,33,59,59,109
orf19.1448,4,10,8,176,214,210,224,198,290
orf19.1448.1,6,0,4,19,39,34,58,36,58
orf19.1449,38,24,26,12,28,10,41,26,56
orf19.1450,0,0,0,0,0,0,2,0,0
orf19.1451,40,8,28,178,120,80,260,150,208
orf19.1453,558,271,348,911,784,604,1279,840,990
orf19.1457,32,22,17,61,71,64,72,66,88
orf19.1456,0,2,0,4,4,2,3,2,3
orf19.1458,18,4,6,45,52,34,44,25,38
orf19.1459,14,2,10,46,27,20,58,56,60
orf19.1460,166,70,102,128,132,92,298,190,222
orf19.1461,34,18,38,6,12,2,16,2,8
orf19.1462,154,114,94,142,120,72,378,244,274
orf19.1464,133,36,82,38,64,24,108,54,59
orf19.1465,4,0,0,12,8,2,2,2,10
orf19.1466,32,34,34,110,148,142,150,86,152
orf19.1467,669,390,374,890,987,680,1539,1025,1442
orf19.1468,227,86,106,178,179,69,434,201,244
orf19.1470,507,252,301,3085,3488,2474,5539,4871,5748
orf19.1471,492,261,267,1015,1135,754,1678,1304,1587
orf19.1473,2,0,0,0,12,0,18,16,44
orf19.1474,242,76,114,312,300,164,588,310,504
orf19.1476,2,4,1,0,2,2,4,4,1
orf19.1477,74,42,28,54,44,18,90,48,67
orf19.1478,46,32,12,323,338,194,326,228,329
orf19.1479,82,16,98,81,130,81,193,126,142
orf19.1480,168,60,102,528,564,374,988,690,1069
orf19.1481,171,30,94,182,176,101,280,194,180
orf19.1482,36,8,8,6,8,4,32,18,26
orf19.1483,24,8,16,68,70,50,53,46,96
orf19.1484,2,2,0,2,4,2,18,6,5
orf19.1485,26,8,14,209,206,196,249,260,325
orf19.1486,54,22,49,62,148,114,113,95,227
orf19.1488,12,8,10,12,16,8,42,14,17
tL(CAA)1,0,0,0,4,0,0,2,2,0
orf19.1490,99,70,62,304,369,262,415,292,380
orf19.1490.1,0,0,0,6,2,10,5,4,11
orf19.1491,34,12,26,30,48,30,42,24,46
orf19.1492,34,10,0,26,36,48,38,36,46
orf19.1493,68,30,46,106,98,78,174,114,110
orf19.1494,210,100,98,707,824,557,799,598,802
orf19.1495,8,0,4,42,32,14,50,43,58
orf19.1496,16,4,2,102,94,26,144,74,96
orf19.1497,14,8,4,64,48,36,87,43,55
orf19.1499,22,4,6,502,470,296,498,445,307
orf19.1500,52,14,22,38,45,20,66,48,50
orf19.1502,18,7,4,4,15,2,30,19,12
orf19.1504,148,70,48,22,22,4,82,40,14
orf19.1505,61,26,26,70,75,31,72,40,56
orf19.1506,0,0,0,0,0,0,0,0,0
orf19.1507,8,0,2,4,14,7,6,10,10
orf19.1508,2,1,2,0,0,2,2,4,4
orf19.1509,146,76,80,44,248,152,90,94,306
orf19.1510,10,2,0,98,66,48,292,179,191
orf19.1513,60,36,52,90,112,62,264,186,306
orf19.1514,113,54,54,304,305,248,487,330,371
orf19.1515,8,0,0,24,16,8,46,26,24
orf19.1516,66,28,34,212,236,132,394,236,266
orf19.1517,48,26,24,782,946,710,1382,954,1208
orf19.1519,102,30,54,116,138,90,216,128,162
orf19.1522,4,12,6,28,34,30,207,117,121
orf19.1523,82,48,57,118,124,17,1665,618,2776
orf19.1524,0,0,0,0,0,0,0,0,4
snR48,2,0,2,6,6,6,4,0,2
orf19.1525,30,28,22,50,83,52,110,66,75
orf19.1526,120,52,66,471,416,286,826,718,860
orf19.1527,23,8,16,26,18,4,10,7,10
orf19.1528,114,62,60,140,262,196,192,166,248
orf19.1529,0,0,0,0,2,2,4,6,6
orf19.1530,0,0,0,0,2,0,0,0,0
orf19.1531,140,44,64,164,180,114,226,168,248
orf19.1532,16,4,6,10,24,16,26,26,18
orf19.1533,78,10,31,224,283,203,214,223,318
orf19.1534,17,12,24,18,14,8,39,15,32
orf19.1535,4,0,0,4,22,8,37,18,12
orf19.1536,50,20,42,188,196,142,271,162,268
orf19.1538,10,14,4,28,32,8,41,32,28
orf19.1539,2,0,0,0,2,0,6,0,16
orf19.1541,194,80,128,1785,1602,441,2665,1766,2082
orf19.1542,196,106,82,178,190,102,276,188,250
orf19.1543,144,60,100,143,150,56,216,154,152
orf19.1544,60,2,32,78,78,56,154,80,88
orf19.1545,38,16,22,114,158,124,126,202,206
orf19.1546,45,32,30,213,223,159,358,292,362
orf19.1547,24,4,4,34,20,18,50,18,40
orf19.1548,40,8,22,50,56,44,52,36,42
orf19.1549,83,78,58,373,469,315,655,516,677
orf19.1552,41,49,28,232,242,134,336,211,393
orf19.1551,0,0,0,0,0,0,0,0,4
orf19.1553,571,265,324,1431,1510,1140,1506,1115,1417
orf19.1555,70,23,48,205,243,149,329,244,327
orf19.1557,10,16,8,14,16,12,38,28,44
orf19.1559,48,34,28,746,836,752,882,631,895
orf19.1560,128,46,70,290,310,178,478,428,542
orf19.1562,539,132,317,6,10,2,23,8,6
orf19.1563,46,22,24,84,94,82,132,88,142
orf19.1564,255,130,138,34,64,17,68,37,114
orf19.1565,94,62,63,466,631,506,385,374,459
orf19.1566,236,136,114,468,871,700,342,500,850
orf19.1567,112,30,48,64,48,58,172,96,102
orf19.1569,232,117,118,570,1021,750,583,817,1269
orf19.1570,78,48,44,176,170,100,402,244,404
orf19.1571,2,0,0,0,0,0,0,0,0
tV(AAC)1,0,0,0,0,0,0,0,0,0
orf19.1573,150,84,108,224,364,188,299,230,327
orf19.1574,66,40,28,50,42,56,190,118,116
