Gene,CanAlb_plus_plus_1,CanAlb_plus_plus_2
C1_02330C_A-T,17746,14179
C1_02350W_A-T,361,346
C1_02360C_A-T,10,13
C1_02370C_A-T,259,276
C1_02380C_A-T,27,20
C1_02390W_A-T,14,10
C1_02400C_A-T,275,275
C1_02410C_A-T,149,167
C1_02420C_A-T,4432,4099
C1_02430C_A-T,1970,1557
C1_02440C_A-T,129,111
C1_02450C_A-T,539,469
C1_02460W_A-T,24421,19377
C1_02470W_A-T,29,33
C1_02480W_A-T,2747,2231
C1_02490C_A-T,301,234
C1_02500W_A-T,105,93
C1_02510W_A-T,140,136
C1_02520W_A-T,1,0
C1_02530C_A-T,1042,883
C1_02570C_A-T,2,0
C1_02590C_A-T,1478,1150
C1_02600W_A-T,225,205
C1_02610W_A-T,101,106
C1_02620C_A-T,3362,2708
C1_02630C_A-T,97,82
C1_02640C_A-T,1168,1095
C1_02650W_A-T,1228,1004
C1_02660C_A-T,283,209
C1_02680C_A-T,0,1
C1_02690C_A-T,3,0
C1_02700C_A-T,265,244
C1_02710W_A-T,2481,1999
C1_02720W_A-T,218,206
C1_02730W_A-T,16,10
C1_02740C_A-T,19,25
C1_02750C_A-T,1041,819
C1_02760W_A-T,1340,1055
C1_02770W_A-T,90,58
C1_02780W_A-T,263,238
C1_02790W_A-T,2607,2347
C1_02800W_A-T,2,0
C1_02810W_A-T,148,137
C1_02820W_A-T,2137,1608
C1_02830W_A-T,80,63
C1_02840W_A-T,171,160
C1_02850W_A-T,373,397
C1_02860C_A-T,546,419
C1_02870W_A-T,30,49
C1_02880C_A-T,1229,949
C1_02890C_A-T,100,67
C1_02900C_A-T,58,70
C1_02910C_A-T,19,22
C1_02920W_A-T,469,450
C1_02930C_A-T,166,164
C1_02940C_A-T,164,145
C1_02950W_A-T,30,16
C1_02960C_A-T,65,43
C1_02970W_A-T,677,616
C1_02980W_A-T,185,179
C1_02990C_A-T,164,168
C1_03000W_A-T,8,6
C1_03010W_A-T,16846,12669
C1_03020C_A-T,23662,17062
C1_03030W_A-T,20533,16065
C1_03040W_A-T,46,48
C1_03050W_A-T,70,68
C1_03060C_A-T,472,387
C1_03070C_A-T,266,208
C1_03080C_A-T,145,115
C1_03090W_A-T,28950,20939
C1_03100W_A-T,779,667
C1_03110W_A-T,19374,15737
C1_03120W_A-T,140,110
C1_03130C_A-T,898,758
C1_03140W_A-T,26,34
C1_03150C_A-T,118,114
C1_03160C_A-T,230,248
C1_03170C_A-T,14,13
C1_03180W_A-T,81,68
C1_03190C_A-T,11017,7955
C1_03200C_A-T,116,118
C1_03210C_A-T,958,794
C1_03220C_A-T,7901,6160
C1_03230C_A-T,1640,1430
C1_03240W_A-T,334,278
C1_03250C_A-T,107,82
C1_03260W_A-T,42,36
C1_03270W_A-T,6,5
C1_03280W_A-T,1109,1020
C1_03290W_A-T,236,151
C1_03300C_A-T,596,552
C1_03310W_A-T,309,334
C1_03320C_A-T,42,35
C1_03330C_A-T,36,44
C1_03340C_A-T,473,362
C1_03350C_A-T,2566,2127
C1_03360W_A-T,712,555
C1_03370W_A-T,19168,14653
C1_03380W_A-T,413,379
C1_03390W_A-T,389,310
C1_03400W_A-T,75,51
C1_03410W_A-T,56,41
C1_03430W_A-T,69,61
C1_03440C_A-T,443,409
C1_03450C_A-T,110,88
C1_03460C_A-T,144,124
C1_03480C_A-T,145,139
C1_03490W_A-T,195,209
C1_03500W_A-T,1255,1139
C1_03510C_A-T,1167,845
C1_03520W_A-T,1048,847
C1_03530W_A-T,194,167
C1_03540C_A-T,135,128
C1_03550C_A-T,504,391
C1_03560C_A-T,279,251
C1_03600W_A-T,582,575
C1_03610C_A-T,63,59
C1_03620C_A-T,2593,2232
C1_03630W_A-T,95,74
C1_03640C_A-T,149,156
C1_03650C_A-T,879,780
C1_03660W_A-T,40,25
C1_03670C_A-T,168,142
C1_03680W_A-T,565,570
C1_03690W_A-T,284,263
C1_03710C_A-T,171,156
C1_03720C_A-T,123,101
C1_03730C_A-T,294,280
C1_03740W_A-T,97,78
C1_03750W_A-T,84,53
C1_03760C_A-T,343,310
C1_03770W_A-T,198,156
C1_03780C_A-T,1372,1367
C1_03790C_A-T,3806,2949
C1_03800W_A-T,90,74
C1_03810C_A-T,75,49
C1_03820W_A-T,157,135
C1_03830C_A-T,315,290
C1_03840W_A-T,109,64
C1_03860C_A-T,416,359
C1_03870C_A-T,145,138
C1_03900W_A-T,109,81
C1_03910C_A-T,18,23
C1_03920C_A-T,45,45
C1_03930W_A-T,195,156
C1_03940W_A-T,2113,2015
C1_03950C_A-T,51,75
C1_03960C_A-T,100,102
C1_03970W_A-T,0,1
C1_03980W_A-T,68,72
C1_03990W_A-T,219,194
C1_04000C_A-T,211,169
C1_04010C_A-T,23,18
C1_04020C_A-T,125,93
C1_04030W_A-T,133,113
C1_04040C_A-T,797,678
C1_04060W_A-T,3,1
C1_04070C_A-T,114,101
C1_04080W_A-T,56,53
C1_04090C_A-T,141,109
C1_04100C_A-T,11159,8225
C1_04110W_A-T,124,111
C1_04120C_A-T,115,104
C1_04130W_A-T,2630,2148
C1_04140W_A-T,12,19
C1_04150C_A-T,66,59
C1_04160C_A-T,22,26
C1_04170C_A-T,6446,5715
C1_04180W_A-T,8661,6572
C1_04190C_A-T,120,112
C1_04200C_A-T,680,550
C1_04210C_A-T,1010,798
C1_04220C_A-T,143,133
C1_04230W_A-T,648,525
C1_04240C_A-T,3186,2567
C1_04250C_A-T,3,4
C1_04260W_A-T,4036,3925
C1_04280C_A-T,58,53
C1_04290C_A-T,10290,8306
C1_04300C_A-T,35104,26054
C1_04310C_A-T,41,45
C1_04320W_A-T,102,106
C1_04330W_A-T,381,362
C1_04340C_A-T,35,41
C1_04350C_A-T,19,18
C1_04360C_A-T,2677,2002
C1_04370C_A-T,829,727
C1_04380W_A-T,378,301
C1_04390C_A-T,1347,1064
C1_04400C_A-T,7151,5590
C1_04410C_A-T,410,416
C1_04420C_A-T,711,588
C1_04430C_A-T,172,140
C1_04450C_A-T,1749,1311
C1_04460C_A-T,38,27
C1_04470C_A-T,13,15
C1_04480C_A-T,135,99
C1_04490W_A-T,375,309
C1_04500W_A-T,121,44
C1_04510W_A-T,22,13
C1_04520C_A-T,375,366
C1_04530C_A-T,141,112
C1_04540C_A-T,106,104
C1_04550W_A-T,89,53
C1_04560W_A-T,32,35
C1_04570C_A-T,37,32
C1_04580C_A-T,46,29
C1_04590W_A-T,228,228
C1_04600C_A-T,1105,858
C1_04610W_A-T,32752,24315
C1_04620W_A-T,399,298
C1_04630C_A-T,150,127
C1_04640W_A-T,146,136
C1_04650W_A-T,0,2
C1_04660W_A-T,16,10
C1_04670W_A-T,336,270
C1_04680W_A-T,4943,3666
C1_04700C_A-T,24,19
C1_04710C_A-T,298,246
C1_04720W_A-T,17,33
C1_04730C_A-T,1058,848
C1_04740W_A-T,106,64
C1_04750W_A-T,15,25
C1_04760C_A-T,60,48
C1_04770C_A-T,750,648
C1_04780C_A-T,164,139
C1_04790W_A-T,397,322
C1_04800C_A-T,0,1
C1_04810W_A-T,158,148
C1_04820C_A-T,360,409
C1_04830W_A-T,1438,1145
C1_04840C_A-T,31,30
C1_04850C_A-T,31,27
C1_04860W_A-T,215,195
C1_04870W_A-T,21,12
C1_04880C_A-T,408,325
C1_04890W_A-T,4117,3234
C1_04900W_A-T,35,25
C1_04910C_A-T,192,171
C1_04930C_A-T,5,9
C1_04940C_A-T,1,0
C1_04950C_A-T,254,230
C1_04960C_A-T,75,82
C1_04970W_A-T,2574,2005
C1_04980C_A-T,181,208
C1_04990C_A-T,88,69
C1_05000W_A-T,452,404
C1_05010C_A-T,181,204
C1_05020C_A-T,126,100
C1_05030C_A-T,78,59
C1_05050C_A-T,439,385
C1_05060W_A-T,616,510
C1_05070C_A-T,137,133
C1_05080W_A-T,4,0
C1_05090W_A-T,211,158
C1_05100W_A-T,51,59
C1_05110C_A-T,4821,4213
C1_05120W_A-T,45,43
C1_05140W_A-T,6,7
C1_05160C_A-T,33,22
C1_05170C_A-T,481,417
C1_05180C_A-T,694,567
C1_05190C_A-T,731,658
C1_05200C_A-T,151,132
C1_05210C_A-T,447,380
C1_05220C_A-T,50,42
C1_05230W_A-T,203,150
C1_05240C_A-T,1384,1225
C1_05260C_A-T,137,125
C1_05270C_A-T,645,509
C1_05280W_A-T,59,53
C1_05290W_A-T,3287,2608
C1_05300C_A-T,547,488
C1_05320C_A-T,52,56
C1_05330C_A-T,58,48
C1_05340C_A-T,179,152
C1_05350W_A-T,38,30
C1_05360C_A-T,292,235
C1_05370C_A-T,44,34
C1_05380C_A-T,93,77
C1_05390C_A-T,210,202
C1_05400C_A-T,45,38
C1_05410C_A-T,625,532
C1_05420W_A-T,198,181
C1_05430W_A-T,176,142
C1_05440C_A-T,20,12
C1_05460W_A-T,140,149
C1_05470W_A-T,158,119
C1_05480C_A-T,2,4
C1_05490C_A-T,466,451
C1_05500W_A-T,346,287
C1_05510C_A-T,440,418
C1_05520W_A-T,21,19
C1_05530C_A-T,1202,1031
C1_05540C_A-T,39,34
C1_05560W_A-T,722,499
C1_05600W_A-T,4,2
C1_05610W_A-T,118,108
C1_05630C_A-T,6352,5026
C1_05640C_A-T,251,216
C1_05650W_A-T,199,143
C1_05660C_A-T,913,763
C1_05670W_A-T,381,282
C1_05680C_A-T,1254,1007
C1_05700W_A-T,111,92
C1_05710C_A-T,4,1
C1_05720W_A-T,24474,17265
C1_05740C_A-T,29,43
C1_05750C_A-T,129,116
C1_05760C_A-T,229,199
C1_05770C_A-T,216,204
C1_05780W_A-T,319,314
C1_05790W_A-T,563,464
C1_05800C_A-T,89,54
C1_05810W_A-T,343,295
C1_05820C_A-T,85,61
C1_05830W_A-T,3,2
C1_05840W_A-T,25,24
C1_05850W_A-T,186,168
C1_05860W_A-T,11,17
C1_05870W_A-T,6,6
C1_05880W_A-T,122,102
C1_05890W_A-T,0,3
C1_05900W_A-T,86,76
C1_05910W_A-T,51,68
C1_05920W_A-T,7,2
C1_05930C_A-T,126,132
C1_05940W_A-T,1163,1112
C1_05950C_A-T,506,448
C1_05960W_A-T,1325,1298
C1_05980W_A-T,37,41
C1_05990C_A-T,175,150
C1_06010W_A-T,342,302
C1_06020W_A-T,246,233
C1_06030C_A-T,72,72
C1_06040W_A-T,87,72
C1_06050C_A-T,2220,1828
C1_06060C_A-T,1385,1240
C1_06070W_A-T,541,482
C1_06080C_A-T,424,451
C1_06090C_A-T,214,185
C1_06100C_A-T,10243,8000
C1_06110C_A-T,435,411
C1_06120C_A-T,31,33
C1_06130C_A-T,148,126
C1_06140C_A-T,0,1
C1_06180W_A-T,17,14
C1_06190C_A-T,155,129
C1_06200W_A-T,83,82
C1_06210W_A-T,95,100
C1_06220C_A-T,1,1
C1_06230C_A-T,118,82
C1_06270W_A-T,81,85
C1_06280C_A-T,7,9
C1_06320W_A-T,162,191
C1_06340W_A-T,6,11
C1_06350W_A-T,161,163
C1_06360W_A-T,57,60
C1_06380C_A-T,55,59
C1_06390W_A-T,170,146
C1_06400C_A-T,331,300
C1_06410W_A-T,79,61
C1_06420C_A-T,98,87
C1_06440C_A-T,148,119
C1_06450C_A-T,14641,11539
C1_06460C_A-T,14893,12409
C1_06470W_A-T,9276,6485
C1_06480C_A-T,746,682
C1_06500W_A-T,253,190
C1_06510C_A-T,122,92
C1_06520C_A-T,65,44
C1_06530C_A-T,372,322
C1_06540C_A-T,240,205
C1_06550W_A-T,1777,1590
C1_06560W_A-T,101,91
C1_06570W_A-T,46,40
C1_06580W_A-T,25390,21157
C1_06590C_A-T,629,534
C1_06600W_A-T,904,879
C1_06610C_A-T,1,2
C1_06630W_A-T,252,236
C1_06640C_A-T,1024,1087
C1_06650W_A-T,192,193
C1_06660W_A-T,237,189
C1_06670W_A-T,119,101
C1_06680W_A-T,56,58
C1_06690W_A-T,274,217
C1_06700W_A-T,203,175
C1_06710W_A-T,120,106
C1_06720C_A-T,91,71
C1_06730W_A-T,364,404
C1_06740C_A-T,392,274
C1_06750W_A-T,42,35
C1_06760C_A-T,628,516
C1_06770W_A-T,232,193
C1_06780W_A-T,214,181
C1_06790C_A-T,701,547
C1_06800W_A-T,305,276
C1_06810W_A-T,965,703
C1_06820W_A-T,339,355
C1_06840C_A-T,119,151
C1_06850W_A-T,150,137
C1_06860W_A-T,0,1
C1_06870C_A-T,110,90
C1_06880C_A-T,2,0
C1_06890C_A-T,14428,13820
C1_06900C_A-T,1474,1349
C1_06910C_A-T,77,88
C1_06920C_A-T,48,40
C1_06930W_A-T,1584,1465
C1_06940C_A-T,15,11
C1_06960W_A-T,1997,1541
C1_06970C_A-T,184,143
C1_06980C_A-T,303,261
C1_07000W_A-T,299,251
C1_07010W_A-T,147,134
C1_07020C_A-T,173,133
C1_07030C_A-T,237,164
C1_07050C_A-T,44,53
C1_07060C_A-T,206,163
C1_07070C_A-T,1879,1761
C1_07080W_A-T,19,14
C1_07090C_A-T,313,243
C1_07100C_A-T,34,31
C1_07110W_A-T,168,186
C1_07120W_A-T,2226,1981
C1_07130C_A-T,107,104
C1_07140C_A-T,553,558
C1_07150W_A-T,85,85
C1_07160C_A-T,2,6
C1_07170C_A-T,52,52
C1_07180W_A-T,413,312
C1_07190W_A-T,221,166
C1_07200W_A-T,624,554
C1_07210C_A-T,147,125
C1_07220W_A-T,8,8
C1_07230W_A-T,281,245
C1_07240W_A-T,235,204
C1_07250C_A-T,131,147
C1_07260C_A-T,104,76
C1_07270W_A-T,209,182
C1_07280C_A-T,95,90
C1_07330W_A-T,29,37
C1_07340W_A-T,914,772
C1_07350C_A-T,63,68
C1_07360W_A-T,315,280
C1_07370C_A-T,54,49
C1_07380C_A-T,185,171
C1_07390W_A-T,288,283
C1_07400C_A-T,125,102
C1_07410C_A-T,1521,1062
C1_07420C_A-T,170,113
C1_07430W_A-T,21,5
C1_07440W_A-T,152,151
C1_07460C_A-T,171,166
C1_07470C_A-T,42,45
C1_07480C_A-T,4,4
C1_07490C_A-T,284,248
C1_07500C_A-T,2048,1362
C1_07510W_A-T,329,292
C1_07520C_A-T,661,570
C1_07540C_A-T,334,217
C1_07550W_A-T,99,75
C1_07560W_A-T,50,44
C1_07570C_A-T,24,26
C1_07590C_A-T,161,153
C1_07600W_A-T,5777,4277
C1_07610C_A-T,27,27
C1_07620C_A-T,0,1
C1_07630W_A-T,1055,889
C1_07640C_A-T,10,6
C1_07660W_A-T,282,240
C1_07680W_A-T,172,145
C1_07690C_A-T,1075,918
C1_07700C_A-T,1791,1669
C1_07710C_A-T,1528,1415
C1_07770W_A-T,0,1
C1_07780W_A-T,106,71
C1_07790C_A-T,323,266
C1_07800W_A-T,178,149
C1_07810C_A-T,53,47
C1_07820W_A-T,129,106
C1_07830C_A-T,30,22
C1_07840W_A-T,432,327
C1_07850C_A-T,77,48
C1_07860W_A-T,35,38
C1_07870C_A-T,790,712
C1_07880C_A-T,298,266
C1_07890C_A-T,3302,2978
C1_07900W_A-T,509,474
C1_07910C_A-T,858,798
C1_07920W_A-T,906,822
C1_07930C_A-T,93,115
C1_07950C_A-T,300,233
C1_07960W_A-T,152,172
C1_07970C_A-T,153,123
C1_07980C_A-T,5,10
C1_07990C_A-T,30,30
C1_08000W_A-T,296,253
C1_08010W_A-T,983,757
C1_08020W_A-T,327,292
C1_08030W_A-T,1637,1433
C1_08040W_A-T,6,5
C1_08050W_A-T,1129,985
C1_08060W_A-T,361,335
C1_08070W_A-T,19,20
C1_08080C_A-T,1071,767
C1_08090C_A-T,5010,4158
C1_08100W_A-T,1266,1095
C1_08110W_A-T,1887,1690
C1_08120W_A-T,138,171
C1_08130C_A-T,16,16
C1_08140W_A-T,56,49
C1_08150C_A-T,31,20
C1_08160W_A-T,326,272
C1_08170C_A-T,180,110
C1_08180C_A-T,742,644
C1_08190C_A-T,67,47
C1_08200W_A-T,53,33
C1_08210C_A-T,1597,1374
C1_08220W_A-T,432,428
C1_08230C_A-T,37,22
C1_08240C_A-T,28,24
C1_08260C_A-T,470,378
C1_08270C_A-T,305,238
C1_08290C_A-T,1061,880
C1_08300W_A-T,713,577
C1_08310W_A-T,78,70
C1_08320W_A-T,10168,8269
C1_08330C_A-T,490,328
C1_08340C_A-T,79,66
C1_08350C_A-T,421,541
C1_08360C_A-T,5500,5023
C1_08370W_A-T,527,470
C1_08380W_A-T,2795,2713
C1_08390C_A-T,136,151
C1_08400C_A-T,1603,1466
C1_08410C_A-T,1506,1318
C1_08420W_A-T,858,712
C1_08430W_A-T,179,159
C1_08440C_A-T,91,75
C1_08450C_A-T,710,762
C1_08460C_A-T,133,95
C1_08470W_A-T,175,190
C1_08480C_A-T,103,70
C1_08490W_A-T,318,279
C1_08500C_A-T,32666,26344
C1_08510W_A-T,82,68
C1_08520C_A-T,623,521
C1_08530W_A-T,5,7
C1_08540C_A-T,452,388
C1_08550C_A-T,855,623
C1_08560W_A-T,1357,1179
C1_08570C_A-T,108,125
C1_08580C_A-T,417,351
C1_08590C_A-T,1029,860
C1_08600C_A-T,777,648
C1_08610C_A-T,485,405
C1_08620W_A-T,109,91
C1_08630W_A-T,252,237
C1_08640W_A-T,232,181
C1_08650C_A-T,144,95
C1_08660C_A-T,104,77
C1_08670W_A-T,203,218
C1_08680C_A-T,193,169
C1_08690W_A-T,412,292
C1_08700W_A-T,330,288
C1_08710W_A-T,111,68
C1_08730W_A-T,87,82
C1_08740C_A-T,1961,1612
C1_08750W_A-T,47,60
C1_08760W_A-T,67,77
C1_08770W_A-T,104,70
C1_08780W_A-T,162,165
C1_08790W_A-T,120,139
C1_08800W_A-T,66,56
C1_08810C_A-T,1382,1212
C1_08820C_A-T,31,26
C1_08850C_A-T,17,21
C1_08860C_A-T,86,67
C1_08870C_A-T,359,358
C1_08880W_A-T,138,97
C1_08890C_A-T,55,54
C1_08900W_A-T,167,171
C1_08910C_A-T,39,50
C1_08920W_A-T,785,671
C1_08930C_A-T,807,657
C1_08940C_A-T,54,51
C1_08950W_A-T,231,193
C1_08980C_A-T,1827,1497
C1_08990C_A-T,263,251
C1_09000W_A-T,58,37
C1_09010W_A-T,192,184
C1_09020W_A-T,1073,964
C1_09030C_A-T,5192,4305
C1_09040C_A-T,246,247
C1_09050W_A-T,139,126
C1_09060C_A-T,76,55
C1_09070W_A-T,133,121
C1_09080C_A-T,2508,2384
C1_09090C_A-T,106,100
C1_09100W_A-T,27,16
C1_09110W_A-T,10,3
C1_09120W_A-T,111,148
C1_09130W_A-T,98,103
C1_09140C_A-T,203,247
C1_09150W_A-T,1,1
C1_09160W_A-T,3,2
C1_09170W_A-T,228,200
C1_09180W_A-T,24,19
C1_09190C_A-T,412,492
C1_09200W_A-T,26,26
C1_09210C_A-T,113,105
C1_09220W_A-T,93,112
C1_09230C_A-T,143,144
C1_09240C_A-T,1,2
C1_09250W_A-T,77,72
C1_09260C_A-T,170,156
C1_09270W_A-T,1,1
C1_09280W_A-T,156,156
C1_09290C_A-T,322,280
C1_09300C_A-T,1,0
C1_09310C_A-T,3,1
C1_09320C_A-T,43,42
C1_09330W_A-T,255,253
C1_09340C_A-T,15,16
C1_09350W_A-T,1457,1160
C1_09360C_A-T,310,286
C1_09370W_A-T,189,143
C1_09380W_A-T,75,71
C1_09390W_A-T,84,51
C1_09400C_A-T,2,5
C1_09430W_A-T,259,226
C1_09440W_A-T,76,75
C1_09450C_A-T,568,481
C1_09460W_A-T,735,660
C1_09470C_A-T,418,398
C1_09480W_A-T,51,33
C1_09490C_A-T,5773,4517
C1_09500W_A-T,1,2
C1_09510W_A-T,959,812
C1_09520C_A-T,58,72
C1_09530W_A-T,95,110
C1_09540W_A-T,89,70
C1_09570W_A-T,182,164
C1_09600C_A-T,0,1
C1_09610W_A-T,79,98
C1_09620C_A-T,369,269
C1_09630W_A-T,7951,6664
C1_09640W_A-T,2114,1649
C1_09650W_A-T,8,9
C1_09660W_A-T,665,545
C1_09670C_A-T,301,300
C1_09680W_A-T,3393,2811
C1_09690W_A-T,263,167
C1_09710C_A-T,413,399
C1_09720W_A-T,580,498
C1_09730W_A-T,72,74
C1_09740C_A-T,16,20
C1_09750W_A-T,343,316
C1_09760C_A-T,161,134
C1_09770W_A-T,12,7
C1_09780C_A-T,44,23
C1_09790C_A-T,291,240
C1_09800C_A-T,253,254
C1_09810W_A-T,317,278
C1_09830W_A-T,545,453
C1_09840C_A-T,244,231
C1_09850C_A-T,351,264
C1_09860C_A-T,163,180
C1_09870W_A-T,138,118
C1_09880C_A-T,132,96
C1_09910C_A-T,64,74
C1_09920W_A-T,62,74
C1_09930W_A-T,5,0
C1_09940W_A-T,2,0
C1_09950C_A-T,118,97
C1_09960W_A-T,268,237
C1_09970C_A-T,144,99
C1_09980C_A-T,265,201
C1_09990W_A-T,589,555
C1_10000C_A-T,104,109
C1_10010C_A-T,192,187
C1_10020W_A-T,190,183
C1_10030W_A-T,831,720
C1_10040W_A-T,566,508
C1_10060C_A-T,3,0
C1_10070C_A-T,298,298
C1_10080W_A-T,97,89
C1_10090C_A-T,225,193
C1_10100C_A-T,2208,1774
C1_10110W_A-T,11,16
C1_10120C_A-T,214,209
C1_10140C_A-T,23,25
C1_10150W_A-T,1,3
C1_10160W_A-T,10488,8922
C1_10170W_A-T,1,0
C1_10180C_A-T,27,41
C1_10190W_A-T,533,483
C1_10200C_A-T,260,230
C1_10210C_A-T,393,369
