,Untreated_1,Untreated_2,Untreated_3,SH9051_3,SH9051_2,SH9051_1,SH1009_1,SH1009_2,SH1009_3
CAALFM_CR06040WA,1523.949736,1498.872046,1617.132989,3275.20791,3168.109181,3380.931243,1992.603355,1772.494593,1761.201254
ADP1,1584.157595,1596.994082,1662.921976,1704.634652,1632.366266,1888.77707,1619.399441,1408.164546,1718.384368
CAALFM_CR05960WA,237.8703927,322.952843,207.7256464,280.8439409,253.4942043,201.8617814,218.247903,253.488895,175.0734904
CAALFM_CR05970CA,2347.119477,1996.435757,2290.566133,2050.062914,1999.535002,2274.241778,2873.233644,2248.629628,2749.795583
CAALFM_CR05980WA,1248.572808,1291.811372,1293.25967,1307.343223,1131.061584,1417.089993,1173.082479,1072.749582,1176.037142
SFL1,1475.586046,1427.791516,1428.39302,2692.970472,2740.692944,2645.505155,2243.588443,2551.274164,2501.457643
SOK1,1927.638494,2001.844058,2059.387591,4732.269332,5035.781727,5024.228156,3118.762534,3459.207773,3750.759235
CAALFM_CR06010WA,346.4419413,398.6690598,339.5085834,233.8735257,275.0923652,223.1637784,247.71137,207.2247621,289.2518537
CAALFM_CR06020WA,143.1170413,206.28806,149.6518098,91.98372978,105.7173139,112.59627,108.032712,113.7326601,145.5774132
CAALFM_CR06030CA,220.1041393,190.0631564,187.6231645,190.8173118,229.6225528,231.2788249,173.5070829,196.622565,214.0844312
CAALFM_CR06060WA,830.0788394,943.3622519,816.3841265,777.9475018,774.1235566,727.3110414,590.3605777,854.9226231,604.1938392
CAALFM_CR06070WA,2343.171421,2508.679142,2538.496743,2243.815876,2191.644959,2166.717412,1983.873439,2038.513357,2056.162026
SIS1,5313.096781,5837.102222,5384.114738,4087.404673,3744.439054,4089.983429,4004.849021,4287.142985,4178.928097
CAALFM_CR06090WA,1071.897288,1060.027035,1079.95,1018.67088,925.310683,1049.884139,919.9149113,893.4760672,929.6021746
CAALFM_CR06100CA,41.45459127,31.67719273,35.73774562,50.88461647,39.78608588,29.41704352,85.11668219,56.86633006,75.16742251
RFX1,139.168985,137.5253733,149.6518098,275.9511893,284.1863277,302.2854816,259.7150046,234.212173,286.3973946
RPL7,6208.318549,5580.594222,5831.953363,6187.373653,6713.617805,5930.07022,7051.589747,8271.641434,7279.822148
CAALFM_CR06140WA,4267.848872,4835.793886,4397.97632,4137.310739,4278.70935,3939.855069,3171.142031,3976.78776,3667.028435
ADE13,16703.23924,16248.08203,15840.75575,16516.9508,16003.10048,15390.18566,14226.48956,15746.19041,14759.45643
DAD3,533.9746161,546.238421,548.3510343,485.3609571,427.4162368,455.4569841,403.7586206,466.4966737,383.4490035
