Gene_name,R1_T36_1,R1_T36_2,R1_T36_3,R1_Ctl_1,R1_Ctl_2,R1_Ctl_3
NOG2,406,1164,564,266,292,699
NOP1,2348,3356,3410,4482,3839,3913
NOP10,254,146,106,156,128,195
NOP13,279,402,572,59,76,446
NOP14,143,476,247,70,67,250
NOP15,136,185,169,35,31,165
NOP4,398,1109,922,225,277,757
NOP5,1857,3080,3151,2095,2306,3995
NOP6,74,181,136,27,34,98
NOP8,66,183,158,22,27,103
NOT3,1096,1112,719,274,305,610
NOT4,1728,1206,1168,285,293,727
NOT5,866,929,529,182,213,344
NPL3,4155,5093,4480,2221,2367,4235
NPL4,509,431,543,82,131,219
NPL6,529,497,386,66,66,164
NPR 1.00,1831,1192,1382,814,857,944
NPR 2.00,112,202,197,98,91,145
NPT1,2414,1391,1977,478,519,800
NRG1,3929,3557,1674,1215,1546,1320
NRG2,5,0,0,0,0,0
NRM1,520,397,244,162,183,264
NRP1,302,413,301,200,213,245
NSA1,282,561,473,169,215,608
NSA2,0,0,0,0,0,0
NSP1,2495,2849,2033,639,640,1589
NTF2,4340,4940,7479,4157,4579,8288
NTG1,125,197,127,93,70,103
NTH1,2566,2266,3602,863,1048,1321
NUC2,2574,3920,2297,2718,2973,2667
NUF2,166,61,77,14,14,39
NUP,8,8,5,8,8,20
NUP159,1691,1599,1064,547,586,917
NUP188,867,1206,1533,632,689,1665
NUP49,582,645,447,115,106,236
NUP60,343,471,277,70,133,260
NUP82,1304,1049,1107,267,322,804
NUP84,339,310,260,54,52,152
NUP85,1291,992,1004,489,499,1025
OAC1,9,61,22,126,155,34
OBPA,1586,1308,1289,298,305,595
OCA1,141,110,88,27,28,59
OCA6,207,133,108,61,51,71
OCH1,699,583,1095,90,112,364
OFD1,629,691,499,82,95,428
OFR1,816,885,909,425,413,863
OGG1,72,85,73,26,31,93
OLE1,159223,146851,152264,152059,160838,137980
OLE2,582,718,530,442,531,852
OP4,0,1,9,2,2,13
OPI1,679,253,447,77,78,191
OPI3,343,299,413,450,431,359
OPT1,210,231,265,265,315,320
OPT2,15,27,30,103,107,109
OPT3,105,225,281,242,369,374
OPT4,33,29,63,100,75,187
OPT5,0,1,1,0,1,7
OPT6,193,253,373,182,174,145
OPT7,153,514,635,517,696,560
OPT8,137,374,157,472,511,255
OPY2,1165,1554,847,801,1046,540
ORC1,1111,875,748,111,120,319
ORC3,867,535,676,171,236,434
ORC4,634,520,464,166,180,370
orf19.100,47,134,102,62,68,107
orf19.1002,274,306,485,122,81,232
orf19.1005,3,4,13,8,6,19
orf19.1008,0,0,0,0,0,0
orf19.1009,1,0,0,0,0,1
orf19.1012,125,77,122,30,10,36
orf19.102,218,265,256,53,68,210
orf19.1026,156,271,187,69,53,204
orf19.1026.1,0,0,1,0,0,0
orf19.1030,469,1012,1096,248,254,1025
orf19.1034,639,387,410,189,206,286
orf19.1037,388,524,523,168,216,266
orf19.104,14,9,17,8,3,13
orf19.1041,257,186,211,57,41,90
orf19.1043,58,81,77,77,42,27
orf19.1045,99,147,97,22,16,75
orf19.1049,27,23,42,2,4,14
orf19.1050,35,39,30,4,4,14
orf19.1052,3983,2187,1964,1506,1406,2498
orf19.1053,489,309,468,132,140,311
orf19.1054,88,76,110,49,26,23
orf19.1057,426,233,200,76,71,153
orf19.1058,704,385,454,84,82,226
orf19.1060,1,0,0,4,2,2
orf19.1062,7,3,6,7,5,10
orf19.1063,77,65,91,34,20,14
orf19.107,152,449,263,66,92,356
orf19.1070,61,118,101,23,42,33
orf19.1075,30,23,34,23,20,52
orf19.1080,18,19,19,12,25,25
orf19.1082,9,10,11,1,2,8
orf19.1082.1,2708,2601,1777,2412,2192,2940
orf19.1083,135,134,162,34,31,130
orf19.1085,1699,1288,1549,649,705,997
orf19.1086,799,855,696,342,369,448
orf19.1087,36,67,41,9,11,26
orf19.109,391,430,449,119,126,352
orf19.1090,6,17,8,5,1,7
orf19.1092,114,140,162,90,64,63
orf19.1096,179,251,186,95,112,145
orf19.11,61,6,37,5,3,7
orf19.1105,5,2,2,2,3,3
orf19.1105.3,1,0,0,0,0,0
orf19.1106,6,7,7,0,4,3
orf19.1107,132,189,127,37,45,76
orf19.1109,29,22,49,8,3,33
orf19.1110,58,60,58,21,21,37
orf19.1111,218,189,166,40,30,96
orf19.1113,40,57,47,21,29,24
orf19.1114,169,198,105,52,46,115
orf19.1116,392,235,289,145,155,186
orf19.1117,63,10,41,14,12,40
orf19.1121,47,45,63,25,21,40
orf19.1122,7,1,31,1,0,5
orf19.1123,0,0,0,1,0,3
orf19.1124,16,34,32,17,15,40
orf19.1124.2,111,187,222,117,110,192
orf19.1136,14,7,10,8,1,7
orf19.1137,83,56,48,34,26,76
orf19.1139,2301,2373,1920,757,771,1241
orf19.114,30,34,25,2,4,16
orf19.1140,305,231,221,92,66,149
orf19.1143,339,174,150,25,32,86
orf19.1144,1429,889,680,159,197,313
orf19.1146,49,29,19,5,5,2
orf19.1148,0,0,0,2,1,1
orf19.115,20,27,26,3,2,11
orf19.1150,38,109,44,32,42,26
orf19.1150.1,14,22,9,4,8,7
orf19.1152,886,1300,1211,858,916,1827
orf19.1158,57,94,89,91,90,47
orf19.1159,249,400,489,250,270,159
orf19.1160,430,714,517,570,654,421
orf19.1162,617,484,869,178,190,639
orf19.1162.1,27,33,44,12,14,40
orf19.1163,214,348,272,115,115,232
orf19.1167,68,63,101,74,90,140
orf19.1169,188,192,197,55,81,94
orf19.117,1012,627,833,53,67,133
orf19.1177,1072,856,483,278,283,349
orf19.1178,171,117,102,107,105,69
orf19.1179,2625,2286,2670,2000,2023,2770
orf19.1180,1573,1996,1713,1074,1084,1126
orf19.1181,70,85,65,83,91,120
orf19.1182,251,183,158,51,70,117
orf19.1183,355,529,411,299,306,332
orf19.1185,2470,1722,1921,1137,1275,1197
orf19.1186,1488,1009,1320,589,677,953
orf19.1189,3888,2522,1853,637,694,1264
orf19.119,33,39,42,15,18,32
orf19.1191,2747,1807,2444,432,488,852
orf19.1195,739,1023,1197,336,325,475
orf19.1198,96,122,101,21,26,72
orf19.120,10,23,7,23,31,17
orf19.1200,155,140,145,38,61,137
orf19.1201,642,622,588,82,94,329
orf19.1202,348,153,227,25,25,73
orf19.1203.1,1236,989,2088,467,301,1041
orf19.1204,374,293,291,75,70,159
orf19.1207,0,0,0,0,0,0
orf19.1208,159,139,155,108,121,99
orf19.1210,635,790,696,720,862,450
orf19.1212,7141,7937,7715,10488,10417,8247
orf19.1214,1298,1076,1364,172,198,804
orf19.1215,8,15,10,11,9,6
orf19.1217,235,241,270,92,92,208
orf19.1219,97,87,95,22,22,134
orf19.1229,315,357,337,109,92,247
orf19.1239,0,0,4,0,1,10
orf19.1240,388,396,350,147,190,374
orf19.1246,2548,3491,2031,727,801,1149
orf19.1247,236,158,210,78,67,143
orf19.1248,1901,1303,1328,619,680,953
orf19.1249,186,205,182,67,55,108
orf19.1250,243,346,281,100,105,273
orf19.1257,6,0,2,0,1,0
orf19.1258,15,16,9,2,4,7
orf19.1259,865,966,958,274,315,698
orf19.1265,1117,836,954,264,284,422
orf19.1266,102,67,147,29,22,55
orf19.1267,1215,1252,998,100,140,387
orf19.1267.1,26,11,15,4,2,16
orf19.1268,5,0,6,8,9,3
orf19.1272,166,257,172,54,61,183
orf19.1273,225,167,126,30,25,130
orf19.1274,7,8,6,2,0,10
orf19.1276,5,7,3,0,0,0
orf19.1277,6402,2349,4706,2235,2484,4283
orf19.1281,136,138,123,23,21,60
orf19.1285,1543,1651,1938,296,357,571
orf19.1286,0,0,1,0,0,0
orf19.1287,52,229,31,58,50,56
orf19.1296,43,75,82,17,13,44
orf19.1297,95,143,119,24,29,31
orf19.1300,143,165,266,16,9,120
orf19.1301,61,60,65,21,18,26
orf19.1302,3,1,3,0,0,1
orf19.1303,226,301,242,70,81,141
orf19.1304,173,197,189,56,66,162
orf19.1305,60,133,130,53,61,112
orf19.1306,68,313,316,116,144,520
orf19.1307,57,58,73,8,15,15
orf19.1308,313,877,451,777,920,1022
orf19.1309,113,51,76,12,18,49
orf19.131,56,60,23,30,37,40
orf19.131.2,1452,1088,1719,932,1117,2310
orf19.1310,73,88,84,27,29,113
orf19.1314,146,85,102,14,14,44
orf19.1318,49,59,41,9,24,20
orf19.132,817,634,827,71,75,283
orf19.1323,614,477,633,136,127,330
orf19.1326,128,114,291,88,78,279
orf19.133,10,3,6,3,2,5
orf19.1330,29,29,55,18,18,21
orf19.1334,82,88,34,65,103,54
orf19.1335,406,714,660,221,241,714
orf19.1336.2,68,65,61,9,12,33
orf19.1338,931,619,534,72,73,214
orf19.134,22,8,21,9,8,15
orf19.1340,158,121,94,42,36,49
orf19.1344,318,286,468,123,103,173
orf19.1348,0,0,1,0,0,1
orf19.1349,2,2,3,3,2,6
orf19.1350,192,315,395,38,60,72
orf19.1351,37,30,9,19,11,14
orf19.1353,154,17,34,10,2,6
orf19.1355,1461,1317,1418,350,435,771
orf19.1356,46,53,53,7,4,15
orf19.1359,200,258,183,43,55,88
orf19.1360,23,63,32,23,14,47
orf19.1360.1,0,3,0,3,0,0
orf19.1363,224,361,636,310,382,334
orf19.1364,250,482,254,314,295,283
orf19.1365,99,129,166,40,25,91
orf19.1366,3,8,7,9,6,1
orf19.1367.1,10,2,7,7,0,6
orf19.1368,584,432,497,354,398,502
orf19.1369,1065,530,940,224,268,226
orf19.137,517,342,328,81,90,123
orf19.1370,0,0,2,2,0,2
orf19.1371,117,77,159,11,11,87
orf19.1372,2646,2902,3846,1764,1876,1687
orf19.1374,169,147,188,50,49,106
orf19.1376,1882,1752,2077,1156,1316,1351
orf19.1381,956,816,451,136,145,287
orf19.1383,330,257,333,59,51,132
orf19.1386,629,339,409,64,63,116
orf19.1387,1957,1531,2109,1060,1203,972
orf19.1388,170,252,228,51,55,199
orf19.1389,1121,980,1142,345,317,728
orf19.1391,465,152,392,52,51,150
orf19.1392,1103,633,825,195,233,278
orf19.1393,419,458,256,530,590,292
orf19.1394,251,146,196,66,72,124
orf19.1395,1270,356,819,527,649,1225
orf19.1396,1041,916,647,173,193,346
orf19.1397,32,83,37,78,63,42
orf19.1400,344,245,271,51,50,109
orf19.1403,1153,1121,774,720,741,789
orf19.1404,446,787,676,258,285,701
orf19.1406,115,78,83,20,17,39
orf19.1409.1,7214,6516,7802,3217,3783,14605
orf19.1409.2,281,184,416,97,97,189
orf19.1409.3,0,0,0,0,0,0
orf19.1411,11,29,27,12,29,22
orf19.1412,429,381,225,60,63,247
orf19.1414,2072,2458,1476,653,586,795
orf19.1417,21,10,11,3,2,11
orf19.1420,271,131,211,26,23,78
orf19.1421,94,76,115,39,28,64
orf19.1424,132,198,207,244,325,228
orf19.1426,1841,2026,1450,920,1069,1310
orf19.1427,157,136,181,92,102,148
orf19.1430,42,56,46,7,5,19
orf19.1433,1029,540,772,199,205,539
orf19.1433.1,0,0,0,0,0,0
orf19.1434,289,157,127,62,65,186
orf19.1438,14,15,10,7,10,3
orf19.1440,158,128,147,20,19,49
orf19.1440.1,0,0,0,0,0,0
orf19.1440.2,3,0,3,0,2,2
orf19.1441,395,447,489,76,61,246
orf19.1444,981,917,619,96,113,276
orf19.1447,134,102,62,17,15,56
orf19.1448.1,82,49,200,18,13,109
orf19.1449,10,36,15,10,8,16
orf19.1450,2,0,1,1,2,1
orf19.1456,123,115,69,42,40,54
orf19.1457,699,655,549,199,224,339
orf19.1458,81,90,104,18,20,69
orf19.1460,4510,2922,3730,1449,1692,2676
orf19.1461,1984,1230,1681,1214,1332,1253
orf19.1465,80,63,64,41,43,59
orf19.1473,40,16,23,21,18,28
orf19.1476,22,19,67,8,7,8
orf19.1477,97,91,178,66,47,128
orf19.1479,853,592,574,176,184,327
orf19.1480,1193,1144,1116,862,874,1541
orf19.1483,35,26,26,4,4,19
orf19.1484,42,23,14,3,2,7
orf19.1485,26,15,26,8,2,11
orf19.1486,680,843,654,790,746,478
orf19.1488,27,32,27,13,14,21
orf19.149,18,3,8,5,1,3
orf19.1490.1,4,5,14,6,2,2
orf19.1491,136,118,91,26,13,44
orf19.1495,16,33,31,3,2,8
orf19.1496,51,88,67,42,57,53
orf19.1500,509,329,386,32,47,87
orf19.1502,59,27,39,3,2,9
orf19.1504,1467,901,1307,157,145,558
orf19.1505,415,234,391,98,79,155
orf19.1506,0,0,0,0,0,0
orf19.1508,24,32,9,3,1,2
orf19.1514,2069,1395,2062,635,705,1060
orf19.1516,1707,1154,1562,197,247,563
orf19.1519,840,503,408,106,117,314
orf19.1522,233,206,79,44,49,58
orf19.1525,204,289,225,52,57,86
orf19.1527,72,53,135,23,17,37
orf19.1528,271,435,524,83,91,371
orf19.1529,9,17,10,9,7,8
orf19.1530,0,0,0,0,0,0
orf19.1531,223,252,180,53,57,122
orf19.1533,408,310,284,47,46,204
orf19.1534,276,225,280,58,72,152
orf19.1535,57,38,29,17,13,39
orf19.1536,644,667,788,936,970,817
orf19.1539,2,5,3,1,1,1
orf19.154,19,90,36,9,8,33
orf19.1541,2,5,14,3,2,26
orf19.1544,615,386,506,76,78,201
orf19.1545,165,156,195,38,43,126
orf19.1546,260,282,346,46,50,151
orf19.1547,99,52,86,11,14,51
orf19.1548,38,39,33,1,1,22
orf19.1549,366,393,337,114,126,266
orf19.1551,346,360,594,207,240,614
orf19.1557,219,223,463,140,123,270
orf19.1562,690,513,912,396,440,323
orf19.1564,1023,1640,1731,914,1007,926
orf19.1565,634,709,785,239,268,666
orf19.1567,336,357,381,91,96,219
orf19.1573,629,1020,942,619,781,1225
orf19.1574,310,296,210,30,42,49
orf19.1576,239,236,231,48,61,94
orf19.1577,1,1,5,0,3,3
orf19.1578,374,500,733,169,177,795
orf19.158,154,165,233,52,34,124
orf19.1580,10,39,32,35,29,25
orf19.1581,0,0,0,0,0,0
orf19.1582,261,112,143,44,39,88
orf19.1584,1031,384,369,917,974,439
orf19.1588,926,723,590,310,224,337
orf19.1589,119,205,210,79,104,215
orf19.1589.1,360,390,283,221,246,136
orf19.1590,103,81,105,21,16,48
orf19.1592,402,392,503,293,323,461
orf19.1595,126,115,98,20,15,37
orf19.1599,2,0,4,4,2,8
orf19.1600,583,601,486,971,1059,902
orf19.1604,1358,820,628,252,252,896
orf19.1606,47,45,48,9,5,22
orf19.1608,21,42,29,17,9,30
orf19.1609,198,471,343,62,70,210
orf19.1610,16,17,13,1,3,6
orf19.1611,6,7,6,2,0,5
orf19.1617,135,93,78,10,9,21
orf19.1618.1,1,2,3,2,1,2
orf19.1619,867,563,517,168,159,276
orf19.1620,0,0,0,1,2,3
orf19.1624,391,402,453,105,112,232
orf19.1624.1,3,2,3,0,0,7
orf19.1625,244,265,175,53,67,135
orf19.1626,568,655,840,270,264,905
orf19.1630,1586,1737,1481,544,567,781
orf19.1632,148,270,206,25,31,49
orf19.1634,447,438,221,75,58,99
orf19.1637,1309,1232,1082,947,912,691
orf19.1638,445,383,441,89,102,201
orf19.1639,27,34,34,14,40,34
orf19.164,1772,655,1847,265,331,1131
orf19.1641,23,23,62,15,18,43
orf19.1642,152,300,202,53,47,233
orf19.1643,946,1457,1291,1185,1298,1598
orf19.1646,499,912,943,199,240,758
orf19.1647,23,23,34,20,14,38
orf19.1651,0,3,3,0,0,2
orf19.1653,1698,985,1597,1487,1526,1887
orf19.1654,1996,1629,2860,2292,2517,3065
orf19.1655.3,27,15,22,14,4,13
orf19.1656,125,120,93,36,45,161
orf19.1658,1152,1470,1031,286,276,363
orf19.1662,206,320,312,47,73,262
orf19.1664,880,472,710,210,221,380
orf19.1666,1431,933,874,375,389,471
orf19.1667,257,238,220,60,36,111
orf19.1667.1,45,41,18,10,5,33
orf19.1668,222,131,111,31,29,101
orf19.1671.1,0,0,0,0,0,0
orf19.1672,6960,5610,8428,1925,2243,2815
orf19.1675,1335,1397,1387,1455,1602,1283
orf19.1676,135,207,225,120,113,210
orf19.1677,1043,904,1378,847,916,1166
orf19.1678,244,216,241,196,180,216
orf19.1679,5,2,9,0,3,3
orf19.168,205,312,379,74,72,170
orf19.1681,71,53,71,15,16,24
orf19.1682,3386,2906,3097,1062,1241,2331
orf19.1684,227,207,203,71,53,95
orf19.1686,157,181,122,47,35,111
orf19.1687,413,1035,784,443,511,1143
orf19.1691,3488,2941,5329,1456,1143,3792
orf19.1697,459,328,301,63,40,301
orf19.1698,864,699,751,273,344,418
orf19.1707,2,0,2,1,1,2
orf19.1708,12,31,32,2,7,13
orf19.1709,46,60,120,31,28,113
orf19.1717,1,31,7,11,15,8
orf19.1720,90,101,97,19,22,44
orf19.1722,11,2,8,5,5,5
orf19.1723,1198,706,980,705,773,631
orf19.1724,67,20,101,42,52,117
orf19.1725,940,1091,748,1286,1396,779
orf19.1728,10,8,12,5,5,5
orf19.1729,26,36,33,16,12,16
orf19.173,432,457,346,44,31,111
orf19.1730,644,503,523,59,73,262
orf19.1734,783,628,828,86,80,318
orf19.1735,12,7,3,4,3,2
orf19.1736,105,52,59,29,24,34
orf19.1737,4,1,3,2,4,2
orf19.1738.1,150,78,133,19,17,92
orf19.1745,34,21,23,37,25,25
orf19.1746,46,30,20,12,26,8
orf19.1748,6,25,12,9,8,13
orf19.175,173,82,57,29,31,52
orf19.1757,126,178,124,32,38,95
orf19.1761,189,91,224,44,24,37
orf19.1764,352,363,354,91,104,168
orf19.1765,343,803,1790,305,367,629
orf19.1766,9,10,35,1,2,11
orf19.1767,56,73,35,29,16,21
orf19.1768,23,59,54,22,13,34
orf19.1769,56,73,45,28,16,34
orf19.177,81,102,107,138,144,135
orf19.1772,36,169,78,19,19,52
orf19.1774,301,15,96,20,36,99
orf19.1776,19,22,29,3,5,5
orf19.1777,705,614,761,80,65,275
orf19.1778,0,0,0,1,2,2
orf19.178,150,133,135,15,23,50
orf19.1780,5,4,13,6,1,2
orf19.1782,2093,2562,3022,1742,1843,1864
orf19.1782.1,3,11,10,10,23,8
orf19.1785,1024,1231,1160,635,680,793
orf19.1789,19,41,44,8,2,17
orf19.1791,258,402,371,113,98,336
orf19.1792,432,284,270,38,23,78
orf19.1793,278,216,217,52,76,100
orf19.1794,38,44,33,6,4,24
orf19.1795.1,4,3,7,0,0,0
orf19.1796,1634,661,1404,299,322,770
orf19.1797,166,147,303,83,98,122
orf19.1800,1160,629,1422,667,763,674
orf19.1804,293,390,380,177,151,273
orf19.1806,11,14,8,12,8,8
orf19.1815,2950,3050,4315,5013,5796,5212
orf19.182,301,432,371,93,78,328
orf19.1821,0,0,0,0,0,0
orf19.1823,619,340,545,142,172,199
orf19.1825,70,72,60,30,27,84
orf19.1827,0,2,1,1,0,1
orf19.1830,10,74,30,35,39,9
orf19.1831,0,0,0,0,0,0
orf19.1833,972,1127,1393,380,424,1671
orf19.1834,187,170,149,24,25,67
orf19.1840,3444,3627,3589,1981,2136,3401
orf19.1841,17,9,6,0,0,0
orf19.1844,3,17,9,2,2,7
orf19.1848.1,116,60,209,40,9,107
orf19.1849,275,382,283,41,69,224
orf19.185,271,408,296,91,83,278
orf19.1852,135,315,177,196,181,156
orf19.1855,25,77,36,54,48,115
orf19.1856,382,228,205,51,45,100
orf19.1857,836,468,403,290,324,384
orf19.1860.1,1444,1166,1203,515,624,809
orf19.1861,663,270,380,89,79,179
orf19.1862,155,162,259,20,19,163
orf19.1863,9,3,3,0,3,2
orf19.1864,1150,935,967,203,219,432
orf19.1867,25,44,31,16,15,24
orf19.1871,764,783,559,253,264,372
orf19.1872,2393,2609,1976,1172,1257,1818
orf19.1873,232,305,239,177,185,301
orf19.1874,1,4,6,2,1,3
orf19.1876,611,637,434,127,143,302
orf19.1877,123,77,84,21,17,48
orf19.188,443,497,388,23,36,86
orf19.1887,445,198,158,140,154,177
orf19.1888,242,287,346,133,157,256
orf19.1889,2799,2441,2896,379,371,906
orf19.1890,118,372,243,383,377,397
orf19.1893,467,643,392,124,136,215
orf19.1897,316,272,123,126,141,128
orf19.190,54,69,62,4,9,8
orf19.1900,231,337,186,64,92,146
orf19.1906,8,4,5,2,2,12
orf19.1910,557,629,557,254,238,406
orf19.1913,285,400,322,192,149,267
orf19.1917,2694,3646,2312,3197,2849,1250
orf19.192,328,412,444,110,145,97
orf19.1920,1,1,1,6,1,0
orf19.193,8,5,4,0,0,1
orf19.1933,562,493,746,61,90,227
orf19.1935,0,0,0,0,0,0
orf19.1938,91,73,80,18,23,42
orf19.1939,188,186,505,264,311,281
orf19.194,54,60,44,7,9,26
orf19.1940,1789,1220,1328,791,807,903
orf19.1943,11,4,15,5,5,7
orf19.1946,4662,3398,6343,1904,2092,2683
orf19.1948,453,242,116,135,126,133
orf19.1950,189,207,375,64,74,114
orf19.1953,547,748,695,249,285,593
orf19.1955,62,67,60,15,23,32
orf19.1956,563,935,619,190,209,564
orf19.1958,0,0,0,0,1,1
orf19.1959,307,366,315,92,117,328
orf19.1961,467,478,423,121,125,391
orf19.1964,10509,8949,14157,14748,14951,18613
orf19.1967,337,335,416,42,50,288
orf19.1968,175,124,217,43,49,102
orf19.1968.1,16,21,30,8,6,65
orf19.1970,797,544,579,145,154,297
orf19.1972,541,581,685,171,223,513
orf19.1975,29,21,27,8,2,35
orf19.1985,42,122,90,68,67,107
orf19.199,324,667,590,557,540,349
orf19.1991,783,942,898,732,802,1003
orf19.1993,130,115,125,44,28,39
orf19.1994,238,289,218,64,80,101
orf19.1998,253,201,271,87,89,264
orf19.1999,468,442,428,246,208,381
orf19.200,939,612,449,85,64,251
orf19.2000,48,102,56,24,30,66
orf19.2001,57,79,148,20,13,55
orf19.2002,689,636,518,107,96,415
orf19.2006,87,95,123,28,28,47
orf19.2007,859,736,591,255,267,349
orf19.2008,182,298,306,96,74,213
orf19.201,279,120,310,96,79,118
orf19.2010,0,0,0,0,0,0
orf19.2017,527,588,830,271,297,957
orf19.2018,74,140,72,59,64,139
orf19.2018.1,4,2,15,0,0,7
orf19.2018.2,15,23,13,13,3,11
orf19.2019,824,774,750,210,210,558
orf19.2024,1,0,0,3,0,0
orf19.2025,1,0,0,0,0,0
orf19.2030,1116,1710,2093,663,714,426
orf19.2032,40,48,47,12,15,15
orf19.2034,0,0,1,1,1,0
orf19.2035,15,25,22,5,11,13
orf19.2036,161,212,267,34,42,127
orf19.2037,98,79,80,20,27,62
orf19.2038,0,6,7,3,2,9
orf19.204,161,147,99,89,75,143
orf19.2040,361,562,379,220,179,299
orf19.2041,1225,843,864,178,187,521
orf19.2042,300,395,287,114,116,280
orf19.2043,278,231,263,91,66,200
orf19.2045,1546,1520,1384,2183,2412,1826
orf19.2047,759,247,531,123,115,265
orf19.2048,368,144,489,16,30,93
orf19.2049,44,40,173,27,17,24
orf19.2050,974,594,963,165,156,404
orf19.2051,806,536,614,136,135,339
orf19.2057,1947,1823,2180,609,643,1316
orf19.2059,223,422,294,155,204,229
orf19.206,1226,1040,1205,625,696,784
orf19.2061,0,0,0,2,0,0
orf19.2063,238,370,302,154,138,306
orf19.2064,523,638,679,734,866,582
orf19.2065,558,531,360,224,240,218
orf19.2066,108,171,147,70,78,229
orf19.2067,297,240,205,67,36,160
orf19.2068,304,197,239,22,25,139
orf19.2070,1456,1224,1034,235,237,636
orf19.2071,2,2,2,1,0,0
orf19.2072,88,71,65,25,23,49
orf19.2073,936,1040,826,1317,1450,753
orf19.2074,6,0,1,0,0,1
orf19.2076,139,359,227,79,98,103
orf19.2078,897,534,667,102,104,226
orf19.2089,217,198,239,52,54,122
orf19.2090,327,765,586,159,174,593
orf19.2091,919,866,634,153,150,677
orf19.2092,780,729,759,510,601,529
orf19.2095,3725,2288,2898,722,864,1501
orf19.2097,353,283,379,113,118,257
orf19.21,101,55,53,11,21,74
orf19.210,454,271,239,55,64,127
orf19.2101,919,997,1340,736,811,1006
orf19.2103,0,0,0,0,0,0
orf19.2104,150,143,101,32,35,64
orf19.2105,175,178,154,79,72,115
orf19.2106,434,286,264,121,145,214
orf19.211,349,121,208,71,73,120
orf19.2110,486,454,419,310,343,371
orf19.2111,747,555,495,121,159,276
orf19.2112,202,216,146,61,58,163
orf19.2113,711,863,921,433,466,781
orf19.2114,133,182,218,48,75,152
orf19.2115,1332,1262,1332,927,893,1974
orf19.2123,22,27,23,24,8,18
orf19.2124,2573,3393,2488,1948,2178,1576
orf19.2125,18316,24327,29599,2814,2781,3381
orf19.2128,622,569,589,170,166,404
orf19.2129,443,394,297,130,121,223
orf19.213,614,406,859,105,78,518
orf19.2131,1996,1144,1832,842,878,972
orf19.2132,1987,916,1067,217,255,414
orf19.2137,235,418,363,185,211,341
orf19.2143,645,1758,1090,1205,1294,2388
orf19.2149,1071,1738,1098,1106,1075,737
orf19.215,684,1636,538,369,468,321
orf19.2150,6342,6770,5439,7661,7755,5524
orf19.216,327,602,340,105,130,135
orf19.216.1,146,62,96,37,32,83
orf19.2163,2043,2195,2620,2114,2202,1715
orf19.2165,84,72,90,32,23,52
orf19.2167,198,360,306,58,59,231
orf19.2168,4,10,11,5,7,9
orf19.2168.3,683,1611,2162,957,780,1321
orf19.2169,0,0,0,1,0,0
orf19.217,130,169,221,407,526,178
orf19.2175,502,417,845,440,541,1227
orf19.2177,17,53,41,51,56,55
orf19.2178.1,39,32,57,18,14,22
orf19.2180,410,599,316,283,287,308
orf19.2181,31,55,24,23,32,20
orf19.2184,730,714,590,223,233,383
orf19.2191,334,455,430,422,477,686
orf19.2191.1,41,14,35,7,6,34
orf19.2195,0,0,0,0,0,0
orf19.2196,219,144,225,23,18,81
orf19.2197,0,0,1,0,1,1
orf19.22,444,228,318,721,806,521
orf19.2200,650,743,866,233,234,541
orf19.2201,17,23,37,3,3,39
orf19.2202,21,12,33,14,5,15
orf19.2203,0,0,0,0,0,0
orf19.2203.1,11,2,2,1,0,2
orf19.2204,459,435,624,353,373,560
orf19.2208,2653,2804,2853,1391,1429,1590
orf19.2210,1803,1700,2432,2014,2212,3031
orf19.2211,4,4,10,22,26,9
orf19.2212,21,18,15,19,15,10
orf19.2213,117,77,63,18,17,39
orf19.2214,673,859,812,381,401,1169
orf19.2220,0,0,1,0,1,0
orf19.2222,265,285,184,62,68,125
orf19.2227,20,24,10,8,8,10
orf19.2228,77,95,55,16,6,11
orf19.2229,133,111,125,28,18,60
orf19.223,3222,2223,2685,347,392,1232
orf19.2230,11,9,20,4,5,9
orf19.2231,56,92,58,24,34,50
orf19.2237.1,30,71,77,16,2,65
orf19.2244,879,705,1188,379,456,619
orf19.2246,608,465,396,135,123,239
orf19.2247,7,10,4,3,6,12
orf19.2249,349,272,293,76,67,264
orf19.225,1164,1002,1390,419,427,855
orf19.2252,0,0,0,0,0,0
orf19.2253,22,31,39,39,52,34
orf19.2256,233,306,182,94,70,142
orf19.2257,2546,2570,3257,560,698,2569
orf19.2258,114,113,98,27,24,91
orf19.2259,448,431,402,97,98,311
orf19.2260,392,297,367,59,52,149
orf19.2261,449,221,192,48,51,139
orf19.2262,233,485,660,551,670,999
orf19.2263,105,54,179,3,9,69
orf19.2265,1833,1158,1075,265,306,777
orf19.2266,522,503,507,81,89,276
orf19.2269,2908,1781,2841,1037,1083,1659
orf19.2274,94,61,51,37,44,37
orf19.2275,631,557,399,191,147,341
orf19.2276,236,168,215,84,99,135
orf19.2278,3423,2558,5818,2432,2497,2999
orf19.2281,110,190,228,125,145,194
orf19.2282,44,55,45,41,30,42
orf19.2284,423,362,409,154,175,185
orf19.2285,16,25,24,13,26,31
orf19.2286,3519,2999,2850,2125,2311,3789
orf19.229,344,212,190,51,55,100
orf19.2296,1787,5898,3909,3780,3994,7317
orf19.2299,319,227,352,96,93,178
orf19.230,35,29,38,10,5,14
orf19.2301,666,346,561,168,167,205
orf19.2302,781,495,845,618,636,746
orf19.2304,3023,2354,2749,823,960,1622
orf19.2305,45,16,18,3,0,12
orf19.2306,49,28,78,13,10,61
