,WT_YPD.30C_1,WT_YPD.30C_2,WT_YPD.30C_3,WT_YPDserum.37C_1,WT_YPDserum.37C_2,WT_YPDserum.37C_3,WT_LI_1,WT_LI_2,WT_LI_3,WT_LI_4,WT_LI_5,ume6_YPD.30C_1,ume6_YPD.30C_2,ume6_YPD.30C_3,ume6_YPDserum.37C_1,ume6_YPDserum.37C_2,ume6_YPDserum.37C_3,ume6_LI_1,ume6_LI_2,ume6_LI_3,ume6_LI_4,ume6_LI_5
orf19.1260,4.21377,4.45993,11.1947,9.54364,14.1846,16.9086,40.6296,24.5056,13.6552,35.0765,52.7716,4.6894,6.91815,9.48599,9.28568,12.0209,7.7214,34.2645,50.9638,56.856,32.3955,41.202
orf19.1261,14.9554,18.8952,29.6555,15.6128,25.7772,15.9923,28.6627,27.3676,25.9027,23.4513,41.9532,14.4203,30.7666,31.7248,20.5118,22.5006,13.7261,27.2647,34.6409,33.0151,27.6988,33.3475
orf19.1263,1.40021,1.26815,1.82732,4.29102,16.2681,13.7673,5.36191,5.49924,5.27832,3.53325,6.54855,1,1.41062,1.49406,10.4431,9.63827,5.23961,4.63374,4.65348,5.8135,4.49472,4.13896
orf19.1264,1.0731,1.09414,2.10093,19.7386,43.0045,51.3019,1,1.97376,1,1,1,1.64245,2.06176,2.41021,61.4538,55.5578,49.4571,1,1,1,1,1
orf19.1265,4.1557,3.26112,6.55671,4.87469,8.76102,7.36288,9.89655,12.1198,8.21541,13.8963,10.0737,2.45297,5.26932,6.15741,4.96568,4.50566,2.1534,5.97042,7.40664,5.1821,5.28231,6.76119
orf19.1266,4.68175,5.37785,4.88174,1.79016,1.69664,2.81463,24.2,9.40693,3.63684,7.67036,16.3018,1,1.21379,4.2848,2.71126,3.03709,1.13256,12.2637,23.6024,13.6354,14.2276,8.58853
orf19.1267,37.4663,36.5549,56.9884,28.0661,43.3386,44.3694,221.801,74.4972,131.703,112.208,94.3923,29.01,56.4733,55.1425,31.1405,32.4113,23.837,129.529,112.931,145.825,199.827,171.815
orf19.1267.1,9.12752,3.02169,10.1172,1.70892,18.649,20.9427,1,37.201,45.8994,26.3021,47.9136,1,1,1,5.948,9.42879,6.96235,63.0389,47.3986,66.6782,51.1687,1
orf19.1272,11.9016,10.6155,25.0412,18.3827,25.3896,31.1349,45.0937,18.3787,33.6599,30.1275,38.1121,17.7916,22.1962,22.5403,23.6451,22.1887,14.1903,34.2219,32.652,57.3662,42.7726,52.0644
orf19.1273,70.2577,59.1937,66.5019,59.9069,109.727,84.4719,123.029,119.69,114.703,160.575,145.99,37.7953,77.1672,68.721,57.7671,67.3219,41.0451,109.72,117.947,171.113,150.712,116.058
orf19.1275,10.2658,14.4642,11.414,3.22671,4.04841,3.39268,1.59293,1,1,1,1,5.28134,12.9195,13.332,2.6855,2.16114,1.60543,1,1,1,1,1.06422
orf19.1276,2.19927,5.58223,11.7528,2.92723,12.972,6.86302,6.91802,10.7533,14.0343,13.7475,9.47434,5.32625,12.2536,8.14362,3.86156,2.80743,3.09935,9.05204,5.83927,10.0547,11.4213,6.69463
orf19.1277,33.8486,38.7866,41.7991,88.1641,78.7894,61.6877,252.865,249.138,139.324,102.069,175.764,32.9596,45.4693,44.2356,96.0852,94.1904,69.6738,116.345,146.655,64.6677,128.247,124.445
orf19.1279,11.9862,13.0325,23.8346,15.3941,31.8155,28.3409,147.399,68.4491,115.62,95.7656,68.8039,12.0228,26.2513,21.4219,14.8836,18.2674,12.308,142.464,179.463,184.685,201.948,186.441
orf19.1280,76.8129,65.2724,146.151,73.2606,166.26,169.705,640.355,529.624,511.025,572.231,618.416,58.7796,94.6926,110.129,99.6808,149.045,82.7371,633.168,922.362,938.692,729.004,648.99
orf19.1281,6.5784,5.21549,9.19525,11.0668,18.5692,14.4852,85.5042,54.5733,64.7184,43.6122,69.4083,6.03494,8.46577,7.2568,13.9369,14.3069,13.3965,55.3568,82.8819,95.2555,77.5653,70.359
orf19.1282,23.6523,4.12715,22.6467,14.3604,50.7249,33.0872,129.653,150.658,61.589,178.999,125,13.6465,17.7818,8.04484,24.3164,24.9518,12.9419,129.065,189.755,135.508,151.083,124.026
orf19.1283,3.82392,2.75475,4.71303,2.37032,4.92774,5.09475,10.3451,10.383,8.11728,10.0063,10.204,2.26261,3.1396,4.02381,3.45377,3.24874,2.00001,9.68386,10.0067,8.09887,8.58625,11.1918
orf19.1285,14.4845,16.8277,14.728,17.6249,18.4952,15.857,47.6994,25.3881,32.2298,21.2325,34.117,7.5794,13.2313,14.0817,12.0392,9.35055,7.40056,29.9544,28.4714,37.1915,45.212,41.6289
orf19.1287,1.04459,1.81937,1.89371,1,1.02881,3.82681,60.9501,9.91513,44.3729,22.7763,31.7138,1,2.11211,2.34703,1.50761,1.78263,1,72.6673,83.429,177.35,138.468,135.545
orf19.1288,16.8746,15.4719,41.7328,16.9793,18.0658,27.1733,85.8915,116.607,62.0452,36.5441,46.7484,39.3473,38.4589,43.2502,18.3968,16.7587,19.1214,44.691,39.2968,27.747,45.7365,61.6886
orf19.1289,27.6959,34.7243,48.221,31.8396,41.3251,32.3884,46.679,62.5063,48.5242,36.4528,51.7351,19.7513,44.5679,45.9847,23.7949,24.5726,15.2441,46.1815,42.973,38.6531,42.8087,49.7064
orf19.1290,45.9341,62.5983,49.5493,45.3803,63.8169,53.6979,296.311,266.504,224.357,173.571,223.677,34.1908,53.7845,49.416,41.1905,38.4903,34.2271,365.094,288.928,319.345,289.398,271.031
orf19.1291,9.27646,7.14613,14.8909,6.69296,13.8883,14.1662,17.9264,13.8781,22.2322,21.7338,23.4493,6.0926,11.7873,13.1427,10.994,12.0459,7.13745,22.5478,19.8263,35.9799,22.6331,30.5776
orf19.1295,116.762,110.488,187.814,139.077,154.717,140.707,85.1152,71.4622,85.5214,82.8333,96.887,96.7452,178.055,188.466,147.753,130.976,95.332,106.914,91.7834,113.312,76.0308,108.259
orf19.1296,1.57336,1.91706,2.58703,1,2.43044,4.11518,9.90415,7.50834,9.06237,10.1839,10.9227,1.85111,1.9637,1.95531,1.82621,2.38366,1.28481,11.1833,11.7592,22.0917,12.6134,12.1469
orf19.1297,5.27526,5.19885,7.80599,5.2125,9.04226,6.36443,13.4318,15.2144,11.5547,16.3949,14.8648,3.55364,8.46046,8.38353,4.05639,4.74767,4.331,14.5546,12.4371,11.1484,13.8764,15.7085
orf19.1298,5.7452,5.02231,10.545,3.86557,10.8294,10.2186,21.5203,18.4152,20.728,24.1975,27.7553,4.84728,9.15901,9.59688,7.15586,7.77622,3.8299,27.6982,26.2051,34.8627,21.2921,28.5894
orf19.1299,25.4915,14.826,30.4008,25.1148,35.8361,36.1112,133.259,113.794,90.1429,104.481,127.12,16.3798,20.972,27.582,17.6072,17.4081,14.4001,122.208,114.08,125.613,109.158,104.956
