,WT_YPD.30C_1,WT_YPD.30C_2,WT_YPD.30C_3,WT_YPDserum.37C_1,WT_YPDserum.37C_2,WT_YPDserum.37C_3,WT_LI_1,WT_LI_2,WT_LI_3,WT_LI_4,WT_LI_5,ume6_YPD.30C_1,ume6_YPD.30C_2,ume6_YPD.30C_3,ume6_YPDserum.37C_1,ume6_YPDserum.37C_2,ume6_YPDserum.37C_3,ume6_LI_1,ume6_LI_2,ume6_LI_3,ume6_LI_4,ume6_LI_5
orf19.2711,13.7218,10.0689,24.774,17.7657,28.7104,24.5324,17.5145,13.0065,22.6387,21.1794,23.3688,16.7579,19.9823,24.1058,34.6163,32.7829,24.1731,18.7147,21.8764,37.6539,17.6828,21.8982
orf19.2711.1,7.58069,6.71517,9.78515,6.55378,19.3183,13.3693,29.407,27.0206,26.5567,40.8293,36.9889,4.08092,10.7885,8.08033,8.58822,8.39625,4.29843,29.5058,34.0407,33.4713,29.1978,39.4871
orf19.2712,8.66603,5.3114,24.2669,14.4427,33.1041,22.4153,26.0534,13.8039,20.8867,19.4473,33.7958,7.13779,16.8643,17.0403,36.0641,40.4783,23.9514,26.4026,40.1986,86.3774,33.2607,40.7969
orf19.2715,5.89027,6.1164,11.7503,8.98226,16.4247,16.0486,18.2937,13.6308,23.9747,19.105,29.0871,5.06953,9.14843,10.4388,21.0209,25.3545,14.2648,20.4408,30.0543,60.2115,23.4067,28.5876
orf19.2717,9.27758,4.55697,16.405,12.4303,21.0322,21.9762,27.8884,13.6313,16.7501,15.9542,36.162,6.32169,12.5136,12.8074,26.6609,34.1661,15.7347,28.6797,35.6859,93.1968,41.9211,41.7744
orf19.272,12.8873,9.12735,25.4143,12.9821,11.7071,11.9333,60.1877,83.3216,36.8834,25.5124,28.2038,23.8523,23.2964,25.5608,15.9238,12.1934,10.0883,22.0504,24.0604,20.1487,20.2669,54.5939
orf19.2720,58.2829,59.4265,91.4907,71.4531,117.837,93.8351,103.09,86.661,83.8144,143.067,120.639,53.5718,96.1782,94.322,77.5644,85.7646,54.26,100.131,106.635,123.959,83.1188,105.998
orf19.2721,4.23945,5.36268,8.43187,3.43363,9.24566,9.02447,20.5366,22.3149,9.24778,24.7095,34.0762,3.48509,8.69563,8.5009,3.80267,6.54867,1.74253,33.6648,27.3296,38.103,21.7068,22.2951
orf19.2722,6.85853,6.59245,10.034,5.48452,11.537,11.7499,78.9835,71.1777,46.2664,73.9391,83.1576,3.68883,11.0156,8.85404,6.37003,8.37761,4.33682,61.8932,65.8731,69.4984,62.1178,73.4313
orf19.2723,1.23938,1.02795,4.39207,2.76425,2.89282,2.90719,5.70645,6.74445,1,8.25628,9.94181,1.12592,2.41928,2.66632,3.23396,5.12697,1,13.3155,11.4476,31.0383,7.60485,22.2187
orf19.2724,7.62942,7.82198,14.1357,12.2407,26.6623,15.5049,167.789,129.361,107.755,100.979,142.111,3.61729,11.581,11.206,10.5979,11.9893,3.18645,150.788,206.506,280.475,205.382,183.775
orf19.2726,5.27704,4.95037,4.33785,2.22773,4.45423,6.23855,7.50379,15.9258,13.8196,15.608,11.0359,2.59633,4.95935,5.38461,2.44963,2.97293,1.8463,6.38347,7.64149,12.4755,6.49461,12.7126
orf19.2727,43.0987,36.9669,61.6242,48.3002,91.2316,67.9385,147.142,112.943,129.252,150.759,132.39,29.1742,58.9498,60.2314,51.1559,53.8693,34.218,124.552,141.363,153.333,126.2,127.787
orf19.2728,1.43199,1.10916,3.19574,1.45562,4.03806,5.57414,9.19272,9.77847,9.70425,7.7614,13.6902,1,2.49109,2.76091,2.3007,2.43227,1,10.0205,12.4116,11.9743,10.189,10.1281
orf19.273,49.3975,21.1069,55.151,32.7797,37.8349,44.4861,299.994,155.38,220.957,170.627,116.719,37.8304,29.2633,41.4307,26.0116,27.1686,26.5498,169.14,191.053,138.466,239.011,211.054
orf19.2730,21.2947,17.4264,16.2665,24.5273,31.705,27.3324,40.4388,48.6823,38.6693,39.1418,44.3378,16.4519,17.9513,17.112,23.0344,20.1706,22.2373,32.4418,34.6232,21.0835,27.8145,28.2845
orf19.2731,23.0932,22.0399,25.9448,41.3644,50.3383,57.4016,41.7597,61.286,47.1031,35.6902,49.0312,14.1134,22.2783,15.1445,42.1749,26.8332,24.4953,26.3296,45.7762,58.1116,60.9458,43.5256
orf19.2733,3.70022,2.67213,5.16988,2.66151,5.29974,4.93751,15.3578,18.3962,11.5407,16.112,19.2652,2.39724,4.45318,4.18706,3.47816,4.41552,2.69518,14.7558,17.3096,13.606,13.6265,13.1363
orf19.2735,1,1,1.05551,1,2.63226,6.67277,12.2753,6.69624,9.83138,16.7416,23.4838,1,1,1,2.99816,4.39635,1,11.3189,13.1876,28.5639,12.2324,22.0766
orf19.2736,17.3873,23.3573,31.7287,27.3913,42.8742,24.6986,119.032,95.8481,64.2746,93.6265,82.0862,25.2427,27.4027,18.9809,27.5726,33.2126,13.3557,84.5147,101.199,99.334,90.9088,80.3731
orf19.2737,39.5313,54.8843,47.0847,39.3246,42.5555,45.4672,110.489,106.213,101.443,92.7718,103.444,31.209,49.5168,45.0285,39.4005,35.8097,32.383,106.432,85.6792,71.6197,104.206,133.458
orf19.2739,12.1616,11.7466,18.1189,10.9859,17.2773,13.8781,36.6173,41.6171,26.5293,43.7684,41.2491,5.77256,14.8474,17.4817,8.47828,10.8589,6.765,23.6416,28.0215,15.7442,16.4664,16.5702
orf19.274,6.77457,5.86728,10.5513,4.26578,9.162,7.79109,53.7092,26.3107,43.1579,30.7345,31.5706,4.47622,8.09737,7.7158,6.57427,5.20361,4.00826,48.4,45.9783,43.2972,68.5982,60.221
orf19.2742,6.59806,13.2239,3.7064,20.6822,25.1692,20.7283,25.5198,19.9536,1,20.8193,26.451,6.55265,7.89024,9.53544,7.83781,9.50343,18.8425,24.251,21.5418,28.6155,9.37628,16.5812
orf19.2743,6.94161,3.99171,7.50754,7.98711,10.9491,9.7511,11.2129,17.8425,13.7897,12.4844,10.7188,6.52616,5.99943,5.82371,8.62918,6.61364,8.08069,10.4904,10.6082,4.4668,11.107,8.31517
orf19.2746,44.8573,21.3577,56.933,15.4883,25.5386,27.5084,54.0609,42.6212,40.976,50.2577,44.2854,31.2111,38.6254,43.6233,21.5024,21.021,12.4142,45.27,45.3261,46.5148,45.1426,52.1463
orf19.2747,2.05919,1.20514,4.35226,2.65148,4.63612,3.28628,13.8952,16.0681,12.9531,5.25553,11.1188,1.73336,2.8568,3.12723,3.76708,2.61602,2.40997,9.83018,9.50505,7.73018,8.38041,9.43717
orf19.2748,1.22261,1.24619,2.57883,1.6174,2.40477,1.72138,13.1184,10.093,8.33735,7.49508,10.0769,1,1.94446,2.18084,1,1,1,8.64071,9.67502,6.54911,10.0048,5.01411
orf19.2749,7.94213,6.12019,11.6178,5.10478,9.84194,7.45289,27.9573,13.8962,14.4023,13.5382,21.4677,4.40632,9.72537,10.4019,8.192,5.88012,5.33192,15.6928,17.9199,13.4129,17.6793,18.078
orf19.275,2.28503,1,1.80335,1.80641,3.61435,3.14816,5.90994,3.52857,6.88916,1.94546,10.6704,1,2.37081,1.52428,3.32663,2.33454,1.92201,8.46595,7.7518,22.7251,8.92238,9.13411
orf19.2751,5.90567,2.80763,6.34861,2.05978,4.22765,4.8135,9.10046,9.53624,11.2705,12.516,12.3752,2.10912,2.5753,3.88767,1.93988,2.43605,1.93575,8.04125,8.27088,10.6794,7.45143,7.77987
orf19.2754,8.53476,8.28856,12.293,27.8277,32.8216,43.0237,13.3029,21.7654,54.2681,31.2695,61.3844,7.94319,13.5969,14.8022,32.8879,29.4232,27.4214,18.0714,37.0055,28.9668,18.1119,29.1075
orf19.2755,69.965,44.3604,61.43,48.1386,93.0449,102.94,244.008,246.399,177.002,315.701,281.211,42.1614,64.8816,65.6497,59.4091,66.4268,43.9586,269.643,279.903,280.983,283.435,208.487
orf19.2756,38.5255,24.1445,47.797,45.5017,57.8658,43.6316,110.652,128.317,75.7227,109.419,102.934,28.3028,39.2571,36.2272,22.109,14.2741,26.3405,77.5462,77.8334,51.2948,61.6651,91.2839
orf19.2757,8.43302,5.56519,7.89302,4.43248,12.1336,10.989,39.4335,37.258,28.2738,30.6656,43.0296,4.15255,9.25292,7.76996,3.96171,5.08965,2.067,33.8122,34.7047,33.8281,35.0252,33.0531
orf19.2758,294.916,362.65,342.996,218.471,200.882,198.542,232.46,266.895,234.009,132.957,208.63,209.092,316.28,353.825,356.504,307.419,216.514,275.943,172.939,171.184,298.273,239.325
orf19.2760,7.063,8.65538,13.3808,3.63566,10.6993,8.01539,14.4716,13.2498,12.9973,13.4968,15.6679,5.63406,11.4204,13.3812,7.09346,7.38833,4.44712,17.723,13.0222,16.2747,11.2424,15.1793
orf19.2761,16.2659,6.12525,15.8865,11.911,18.3005,13.7762,27.4281,24.1368,23.9558,39.417,32.8486,10.8951,9.65189,9.88595,6.8992,5.31126,7.66165,19.3905,23.6971,20.5626,18.8352,24.6636
orf19.2762,342.674,624.897,323.534,746.627,902.86,1365.28,91.548,96.5352,134.49,128.095,269.66,367.222,520.525,404.035,894.579,833.625,801.775,153.267,99.3235,244.878,286.42,420.817
orf19.2763,5.72767,4.07919,6.51587,2.55661,4.3081,5.36421,10.7921,9.69935,7.20756,11.0273,12.429,4.06426,4.87994,7.53141,3.85095,3.60548,2.31398,10.7843,8.37158,9.43786,4.69139,8.07994
orf19.2765,16092.2,14251.7,12299.7,11862.6,5891.9,11435,19558.7,6055.68,16656.1,8176.21,7587.06,25822.5,13489.7,11124.3,18364.7,16388.3,18840.7,16819.7,18471.2,16637.1,24255.8,18236.7
orf19.2767,38201.3,28327.3,29467.2,45019.4,39993.7,34672.7,29023.8,43360.7,39290,36986.8,38851.5,40076.8,19773.8,24917.1,35037.7,36213.7,35589.3,31215.2,40562.9,29362.3,28145.1,31409.3
orf19.2768,8.78634,15.1326,9.44109,16.5108,24.5719,36.795,201.96,312.377,156.823,155.616,175.836,4.9105,9.88764,8.57664,9.43521,8.51551,6.86845,148.577,143.114,150.84,220.232,156.484
orf19.2769,130.279,178.359,136.179,341.626,263.477,475.651,539.002,456.491,526.062,446.247,543.082,154.504,130.984,118.644,207.441,202.332,244.263,481.202,534.13,733.347,763.454,796.159
orf19.277,2.82238,3.16248,4.35808,3.70462,7.94709,6.21342,9.15637,8.39593,9.63118,7.45079,13.8576,3.10847,5.00394,4.80184,2.82897,2.95006,2.67915,7.72452,7.01286,8.39063,6.78772,9.90338
orf19.2770,10.8912,7.96462,7.94616,24.7002,20.2976,27.1073,64.4422,82.5346,87.0043,57.5632,76.0364,11.936,10.4031,7.78057,21.6231,14.4525,18.6406,60.7484,63.6609,60.075,96.9185,52.097
orf19.2770.1,241.062,217.256,265.086,293.068,579.611,488.14,895.207,1241.83,851.588,1282.97,1396.38,241.935,277.706,251.298,338.103,470.883,470.939,1158.53,1144.22,933.864,1064.91,1110.06
orf19.2771,4.72986,3.56193,6.4157,5.13674,7.80436,6.98164,18.0277,15.4448,15.6358,10.78,17.2751,2.34583,5.63396,6.07375,7.90503,6.72302,4.97254,13.7575,15.7101,10.1405,11.1965,15.6301
orf19.2772,10.4968,8.63752,13.5657,6.31327,13.0582,10.535,55.4778,26.7055,45.2061,29.5964,39.5606,6.6445,15.9714,13.234,9.51132,10.2176,6.16122,54.1421,50.7228,75.2679,66.1855,55.9787
orf19.2774,90.3824,103.639,120.327,148.938,178.704,135.883,201.559,155.947,215.011,189.765,215.525,87.5179,130.488,132.891,173.957,167.418,136.054,229.999,265.612,350.707,215.751,229.192
orf19.2775,61.8263,65.6832,100.65,83.5349,163.938,131.139,139.197,117.508,130.051,164.38,159.817,59.6498,112.351,97.3367,78.0248,105.672,57.7094,110.628,135.165,150.43,101.243,127.18
orf19.2781,1,1,1,1,1,1,7.72251,16.0292,5.87653,9.15829,8.30458,1,1,1,1,1,1,4.65486,5.87252,2.10938,1.7983,4.2877
orf19.2782,35.1143,24.7036,38.0681,38.479,71.869,63.6924,178.974,139.237,156.614,144.523,182.975,28.9297,46.9901,38.6124,37.2763,43.8594,22.3059,168.038,156.897,179.167,160.328,197.477
orf19.2785,62.6783,21.609,75.8325,27.6357,111.545,103.427,1019.95,752.32,775.777,978.497,791.834,45.6963,60.8274,64.3472,28.254,50.8994,18.1061,853.527,781.468,825.904,783.828,798.917
orf19.2786,8.90552,8.6011,15.968,7.64422,15.3365,12.8963,21.9099,21.9002,22.819,17.6985,22.3432,6.20519,14.2638,13.9787,8.48461,7.37396,5.97612,24.3008,19.9459,17.0812,20.5935,22.4074
orf19.2788,1.00035,1,1.35841,1,2.43783,3.4496,5.42822,4.5539,4.99117,3.244,8.88006,1,1.40154,1.18233,1.2549,1.61725,1,6.16806,4.47612,10.3747,5.14413,7.64269
orf19.2789,2.72272,3.46971,4.44788,4.68641,7.44781,4.96005,29.141,45.926,20.8665,22.3013,32.2476,2.05265,3.16569,4.64481,5.3513,5.85298,3.70603,21.6619,24.2015,23.7354,25.4257,24.1934
orf19.279,1,1,1,1,1,30.4559,1,1,1,45.4128,24.2862,1,1,18.756,19.9484,38.0537,33.9095,22.3645,1,1,1,24.5856
orf19.2790,12.0862,11.0363,15.6779,10.2498,18.1997,14.916,23.225,23.0331,27.5617,35.5294,33.4152,6.94025,13.4818,15.4723,13.5752,15.0075,8.97272,27.1881,27.2227,40.7137,29.2759,31.338
orf19.2791,89.4071,87.598,86.3222,70.7494,53.5757,58.6989,88.5525,89.4758,86.2588,55.9037,87.7038,65.0605,72.6378,77.5423,57.0173,47.6533,41.6661,84.4903,70.5856,64.0468,95.5412,86.2098
orf19.2792,13.5384,15.2759,19.8807,18.424,21.6999,22.0116,34.1174,47.6076,27.0796,26.0415,26.8253,9.99846,19.1718,19.0606,11.7007,10.187,8.50402,25.5036,15.4128,14.4471,23.1325,27.0416
orf19.2794,7.86884,5.91565,11.7719,6.28231,15.246,20.7019,29.8684,30.0179,23.6188,33.0026,46.4067,5.77992,11.5489,10.7587,9.47037,11.8908,7.68081,29.9915,29.9715,43.3791,19.887,38.513
orf19.2795,59.7122,42.1943,73.9534,60.2419,78.7128,86.8411,80.4906,54.475,67.9311,108.202,116.645,51.8638,77.3058,76.8721,88.1484,79.447,67.5698,78.9986,96.5803,189.683,69.646,83.7652
orf19.2796,5.53327,4.35328,9.723,8.68654,12.5803,10.9638,10.3216,11.955,7.29748,13.9895,13.1911,4.57153,9.44557,7.9849,8.78884,8.00457,5.30956,9.50505,10.1831,5.41496,6.51758,8.49794
orf19.2799,9.31727,6.22776,13.6158,14.3084,20.4786,21.3216,56.6421,60.7243,52.9531,76.8411,48.3256,8.94955,11.5703,12.7406,12.8471,13.1194,9.50722,37.0712,43.4054,26.4553,33.1969,36.7934
orf19.28,1.41986,1.44237,1,1.25925,2.59769,3.85323,12.3866,10.8567,13.2354,11.3179,13.5762,1.38214,1.65315,1.03529,1.68993,2.27252,1.39714,12.605,12.922,36.5677,16.1934,21.1437
orf19.280,82.9268,32.2492,38.191,82.3691,30.4221,58.5127,11.6424,15.0398,15.0162,13.8541,20.698,104.034,14.1198,54.3055,48.499,32.5185,37.5256,10.7205,11.7832,6.98566,9.04082,25.6816
orf19.2803,3427.8,6428.88,3192.95,5542.06,4653.9,4714.74,1530.95,2230.82,1981.94,1763.53,2331.84,3055.15,4090.34,3316.52,3343.59,3047.08,3436.08,2475.08,2734.25,2133.23,1708.49,2112.48
orf19.2805,2.22223,1.42308,3.50879,2.28737,3.60293,3.14106,15.2634,16.7376,12.4811,15.9902,13.7688,1.30072,3.58635,3.48552,1.64201,1.87497,1,13.1545,10.6644,11.8216,8.6686,13.3308
orf19.2808,2.35255,1.5147,3.37105,2.2284,2.7486,2.53305,23.3725,12.1445,9.90168,6.84108,8.2185,1.9636,2.79155,2.68002,2.69487,2.19056,2.08213,6.46967,9.99424,5.86965,9.76454,14.7336
orf19.2809,1,1,1,1,1,1,38.3941,8.11184,3.80237,2.1613,4.00952,1,1,1,1,1,1,3.05275,4.81761,2.18822,4.81572,12.3449
orf19.281,7.12409,7.08676,4.00323,18.6454,18.6089,17.6439,14.5853,16.8851,15.5672,18.6287,18.408,12.5582,5.65086,6.71772,9.54427,10.1393,23.4315,4.28345,9.93681,7.13644,9.88435,12.2791
orf19.2810,1,1,1,1,1,1,189.871,11.5831,80.4613,30.1966,35.2866,1,1,1,1,1,1,59.7469,83.5179,100.35,141.465,134.778
orf19.2819,1.76925,1,1.98649,4.0484,2.22727,4.64225,3.8904,4.15615,7.11837,6.86043,6.85015,1,1,1,1.5038,1.52379,1,7.45694,5.87663,11.5249,8.537,5.23232
orf19.2820,39.4457,43.9665,56.0244,36.9138,58.2812,48.7362,44.7921,43.4821,49.4714,46.8488,45.6207,31.7944,56.9497,53.9524,46.4284,46.512,28.7957,51.5218,40.0307,65.386,44.6009,51.9488
orf19.2821,38.5188,19.7629,37.1281,16.546,52.9368,57.364,447.327,318.478,316.458,456.51,279.265,29.7116,43.0587,37.2047,22.9574,30.1534,15.0584,408.191,405.791,393.713,381.342,417.657
orf19.2822,3.77092,1.31479,4.03727,3.26743,7.36353,6.62713,16.4072,13.1453,15.6561,28.0705,17.6105,1.12794,3.75368,3.63871,1.18018,2.26761,1,16.2097,20.413,15.3,17.1901,16.2682
orf19.2823,18.1777,15.8155,23.4681,23.9252,23.0111,22.7551,22.436,25.3393,17.9459,14.5888,19.4365,13.646,20.4865,24.0393,25.9414,21.5288,17.2349,17.8345,18.6218,11.5633,7.41364,14.3211
orf19.2825,10.196,10.6858,16.8478,7.80357,29.581,26.7213,147.254,167.601,91.9273,164.916,106.756,8.62293,14.1153,16.7439,16.3869,17.5038,8.90422,90.9393,138.62,94.7207,103.175,43.5158
orf19.2826,34.8829,32.4408,32.096,27.0896,25.8609,26.3417,34.4071,21.416,32.7008,26.3917,25.5753,24.8536,33.4986,35.0825,33.9936,29.7013,22.3442,31.4626,33.4342,25.9195,36.7896,26.6536
orf19.2827,3.976,5.12903,7.42571,2.27121,5.00156,3.66259,10.2505,23.9603,15.9189,35.1169,11.3847,2.89227,6.36325,7.13793,2.99552,2.92862,2.09464,11.6905,13.3129,7.77832,20.8615,9.43744
orf19.2828,12.0184,9.50694,18.1746,15.5773,24.2405,20.7537,37.9404,45.3636,34.3727,43.8183,46.5626,7.62987,19.2301,16.0702,9.52928,11.2828,6.29406,37.3076,34.8644,46.1431,41.6751,47.6722
orf19.2829,1.18976,1.48016,6.7847,4.38494,14.7426,21.7154,38.8189,31.7743,19.6048,41.6189,41.5575,1.17942,7.01044,5.12133,4.3723,10.4713,3.72145,35.7682,44.8405,96.7116,60.0647,51.3899
orf19.2830,3.39171,3.5821,7.06247,5.30411,9.39576,13.3611,16.6638,7.99993,8.67982,18.2279,20.8994,3.62772,4.59609,5.8361,10.176,12.0616,5.82787,26.5239,32.4605,83.5186,24.3956,36.1224
orf19.2831,16.8618,12.8997,37.5713,19.6777,37.5367,33.454,48.3361,44.7985,39.652,55.8791,64.4563,10.1745,35.0499,29.9278,26.349,33.6813,19.4234,47.4823,66.7987,107.536,51.6831,65.7429
orf19.2832,14.4446,12.792,19.5823,18.8185,21.8738,19.8722,51.5085,57.3424,31.1016,34.1002,35.944,11.4192,15.496,18.6354,21.6891,16.3646,13.4282,33.4181,31.2051,26.3124,35.6019,31.1579
orf19.2833,1,1,1,5.07826,3.95641,2.07616,116.626,150.562,94.2614,69.4088,83.8606,1,1,1,1.33743,1,1.38516,78.1721,76.4958,36.9985,43.3676,54.6524
orf19.2834,5.60607,5.74647,11.2729,5.46491,12.788,10.2493,35.7552,28.9437,26.2009,27.2517,39.5952,3.71759,12.6526,10.8433,7.92528,8.2459,4.83033,40.0667,44.3744,45.9997,38.0275,38.3642
orf19.2835,16.9876,13.9744,18.3932,15.9358,28.3315,25.0545,25.5045,32.7808,32.3377,41.2122,36.4243,10.7254,19.7095,18.2409,13.8336,17.5638,9.33168,36.108,32.0807,38.2643,29.9445,34.1255
orf19.2837,3.96704,4.0093,5.10673,4.60021,7.9709,7.64558,14.9311,15.1633,14.6098,17.8963,12.4956,5.16838,6.10204,5.21282,3.67758,4.33544,2.65105,14.106,11.0077,9.00557,9.90391,6.85548
orf19.2838,1.87501,1.20169,1.90771,1.19508,3.20892,3.55447,18.6049,16.8489,11.6753,11.1416,13.7702,1,1.43736,1.36702,1.3029,1.4967,1.10542,11.6068,14.8056,9.44292,13.5834,11.9547
orf19.2839,16.7745,22.7506,21.1297,13.5323,23.4359,15.7251,49.7244,39.7827,32.4245,32.2727,41.1899,10.3707,26.5983,17.4457,15.09,17.5013,11.809,49.8718,57.8975,37.9829,65.8402,52.5793
orf19.284,16.1496,10.4535,8.5816,50.3745,51.9961,45.0901,13.7598,5.21,1,38.3237,28.7242,41.7614,11.156,8.16793,31.3707,16.4651,59.1217,15.0369,15.5701,11.0276,15.7781,8.8912
orf19.2841,106.338,156.378,157.713,114.159,246.845,213.36,630.795,973.363,450.794,461.604,562.99,77.1493,164.648,156.176,113.642,114.647,83.7912,548.967,468.076,338.331,471.914,471.585
orf19.2842,18.8568,24.3939,32.2112,20.8144,15.8687,24.6922,21.607,11.2169,18.6024,8.9522,21.5627,19.2634,32.4889,38.2965,31.9853,32.2042,18.6872,31.7645,25.7174,39.9466,23.7401,32.8504
orf19.2843,281,305.425,472.276,428.689,568.64,509.958,508.717,701.823,554.759,670.87,493.958,220.552,430.02,365.694,332.915,378.562,316.234,442.771,490.327,367.767,354.153,412.434
orf19.2844,31.1083,27.4632,40.0851,33.8869,36.2478,36.8225,54.6882,55.3046,36.9123,43.4718,42.0192,28.6894,39.0925,44.2614,35.0759,27.5681,24.342,48.6821,41.7652,31.7676,39.0599,43.4413
orf19.2846,8.41776,12.0541,15.3886,9.62578,21.4331,19.839,4.53269,5.36217,1,3.92317,3.17365,10.3556,13.9332,10.3508,26.271,26.3783,17.9016,8.37778,7.15754,3.70765,5.2428,14.0501
orf19.2847,4.48841,2.52819,7.25562,5.65299,13.4488,14.7112,30.605,19.6642,23.4391,31.2495,31.3996,4.7675,6.0426,6.64302,7.32497,8.75197,4.14148,27.7088,33.3027,62.6038,26.962,34.9975
orf19.2848,9.63959,9.27204,11.2412,14.38,11.267,12.393,17.5768,34.7818,10.881,12.1821,15.3629,6.69423,10.5597,9.62872,8.42391,6.96195,6.81411,8.92572,10.2916,7.18015,8.03332,13.6719
orf19.2849,615.6,355.257,275.076,17.2087,11.732,38.7028,168.104,6.71423,71.27,13.3854,50.1368,410.018,95.6582,163.662,82.0796,49.5911,98.538,68.385,65.1574,121.643,81.854,288.259
orf19.285,79.0337,54.9326,69.1291,64.107,84.8372,108.983,607.439,477.843,290.226,436.107,473.111,49.8329,49.7355,55.5659,59.513,68.9307,57.4478,327.829,390.244,336.919,473.012,401.243
orf19.2850,23.0919,20.8334,31.6613,17.914,19.659,17.3605,24.8038,25.8013,18.8908,7.95267,23.5609,11.9843,25.4823,30.3585,22.9412,20.9102,14.2805,22.6072,21.1348,12.3507,20.3641,21.9301
orf19.2852,30.4479,25.4492,39.1122,29.5146,73.2677,60.8697,122.143,96.3184,111.699,155.736,134.426,25.7467,47.0917,39.0728,31.9703,40.0501,20.8201,165.316,155.134,252.4,144.835,158.568
orf19.2853,11.3509,11.8004,15.0227,15.1093,23.437,17.2313,18.7473,21.5496,17.8469,16.9405,24.1964,6.94271,17.5807,15.1519,10.075,13.338,7.79777,19.7276,15.5886,24.3651,19.1343,22.2062
orf19.2857,16.5248,14.5224,21.9156,19.4035,25.7707,26.6566,41.3124,39.9239,38.7675,29.66,39.0126,13.0226,18.2703,21.8096,24.8512,21.4859,18.2766,32.8334,38.7041,41.5796,33.7993,42.287
orf19.2859,23.0373,8.32762,38.5918,32.5175,48.5534,41.2087,42.5001,23.5453,37.5668,38.5955,42.2,22.5593,32.7576,42.0125,63.9364,76.1009,37.3135,32.0221,45.1933,83.2162,32.8354,45.4078
orf19.2862,43.6505,44.5004,51.8957,89.8117,70.57,65.511,56.1211,57.2007,63.4385,58.2866,57.7629,40.5099,60.9307,54.7288,81.4389,66.7822,60.1571,66.8606,67.4207,58.4625,50.0869,51.7631
orf19.2863,20.8432,22.4801,26.2507,24.6238,29.23,38.8893,46.0379,38.9042,61.1489,94.8839,53.4746,14.2156,23.6078,19.0074,21.9987,22.1098,27.9903,56.2198,48.2956,39.6733,34.3172,42.4672
orf19.2863.1,14.435,14.5984,10.9416,24.8317,32.383,23.5896,27.3884,21.0899,37.3581,28.9095,36.5102,9.00495,20.9268,14.3508,18.233,20.6725,16.9289,34.1373,43.1444,58.8236,28.682,45.8125
orf19.2864.1,2886.11,2889.2,3041.78,3138.46,4624.31,3896.5,2720.16,2597.76,3547.47,4303.91,3297.27,2757.88,3561.44,3310.48,4120.51,5001.24,3130.82,3242.84,2631.15,3454.81,2126.58,3307.16
orf19.2866,24.1244,26.4361,32.1478,22.6275,28.1895,20.7731,44.8983,27.6541,62.9101,58.7562,58.5861,7.20581,19.7348,31.4547,17.911,14.4748,1.16762,44.3822,45.9732,35.2835,20.6208,37.433
orf19.2867,22.7678,22.6135,31.4102,21.6222,31.5695,28.935,58.6353,57.434,47.9735,44.969,60.8883,14.2121,32.581,31.5194,24.0008,22.9907,18.1249,51.113,49.3261,51.3254,51.6125,50.219
orf19.287,109.662,70.5957,129.392,265.618,271.227,220.574,511.915,374.652,468.358,400.238,351.874,217.276,150.854,130.361,159.247,156.435,168.254,360.007,387.092,325.721,352.291,402.811
orf19.2870,1.78927,1,1,1,1.13919,3.14629,35.6553,5.67334,27.4475,28.5313,19.0254,1,1,1,3.31691,2.5292,1.54538,14.4249,15.4026,18.9542,22.421,43.1336
orf19.2871,589.828,633.239,821.01,847.541,781.404,725.895,748.762,645.698,820.696,749.579,705.974,768.852,801.795,836.71,913.799,840.782,819.371,771.137,772.923,454.228,518.19,721.411
orf19.2873,40.0111,35.5308,51.4186,22.8621,28.0263,26.0792,26.5448,28.3596,23.6229,17.5761,30.4278,32.7625,46.9125,53.8657,32.665,28.8343,24.2784,24.3535,23.5892,17.2592,17.7833,22.3746
orf19.2875,9.37285,11.6928,15.116,8.43727,15.8322,25.604,25.7718,40.4924,27.288,70.8136,54.3924,5.99832,17.4005,13.1627,22.1873,25.0146,12.6192,36.5606,68.2677,66.1744,34.2063,31.9156
orf19.2876,110.007,105.534,129.501,51.9499,113.629,76.1499,93.1902,112.185,83.1659,126.79,85.108,57.6683,137.402,132.708,60.0473,69.0832,37.6323,146.359,122.807,40.7811,64.4904,52.8973
orf19.2877,20228.1,38487.2,28263.3,20923.9,19421.9,16040,1947.61,2396.2,2312.09,1706.72,3206.46,14116.5,32642.8,30775.9,15740.2,17290.6,13192.5,6046.54,4063.55,5254.27,8336.53,4814.03
orf19.288,32.178,32.1953,60.785,13.0407,26.9759,26.3193,166.2,54.8359,53.4997,37.5784,42.3416,27.1202,65.0982,59.8994,20.5683,22.154,13.1002,62.4229,55.0124,57.3347,108.113,90.0425
orf19.2881,13.9335,12.0918,22.3085,6.05546,12.9492,8.44343,483.425,57.7023,236.029,117.173,137.954,7.31131,17.6282,21.1289,9.11675,9.74118,6.28899,283.017,271.405,305.425,398.835,298.836
orf19.2883,4.1131,3.73274,6.51929,3.50664,7.7543,9.33499,21.994,24.6741,20.3903,16.3539,21.2784,3.96888,6.77708,6.47825,3.80974,4.18339,2.18143,16.5788,17.7803,16.5625,16.8544,22.3418
orf19.2884,36.6226,42.5527,67.9616,21.2508,47.5845,37.1109,73.4812,81.6591,64.0434,64.7977,90.5425,22.7603,57.7879,62.4295,34.0906,34.3609,20.7201,98.8456,72.0892,68.0151,65.8076,87.1493
