,II_KO2_CTRL(raw),III_KO3_CTRL(raw),I_KO1_CTRL(raw),II_KO2_treated(raw),III_KO3_treated(raw),I_KO1_treated(raw),II_QMY2_CTRL(raw),III_QMY3_CTRL(raw),I_QMY1_CTRL(raw),II_QMY2_treated(raw),III_QMY3_treated(raw),I_QMY1_treated(raw)
C5_00050W,32.4655,29.519,34.7486,31.1209,29.6416,33.1435,26.4415,24.5743,32.8356,25.9147,30.0358,32.3247
C5_00060C,22.9479,20.5895,20.48,32.1948,26.8753,30.5071,17.63311,14.1445,19.14408,24.1458,20.22527,19.43069
C5_00070W,88.7476,87.3037,99.1279,193.2233,232.655,205.533,89.5177,83.0936,104.9869,129.3504,122.8127,108.7932
C5_00080C,354.466,315.166,326.85,326.218,283.259,353.8,326.99,266.737,298.365,334.503,297.074,278.111
C5_00090C,194.7016,145.6431,160.3533,177.7046,148.6966,202.368,169.0644,136.3932,179.8548,227.501,168.0815,162.308
C5_00100C,413.402,370.252,311.729,468.84,449.241,532.755,508.725,323.391,392.366,685.254,623.504,533.387
C5_00110C,208.973,182.8228,218.432,257.667,187.3304,248.608,207.526,164.1136,216.149,235.02,213.384,213.326
C5_00120W,60.2414,74.5923,67.9849,60.397,75.1072,84.1383,55.6092,92.596,73.7273,73.3889,88.6629,92.5444
C5_00130C,229.445,298.687,315.317,481.862,668.822,549.573,233.875,287.3,266.389,413.12,504.449,323.327
C5_00140C,143.2403,108.0502,103.9809,137.881,125.7704,149.6151,102.3519,60.2586,99.7791,229.63,153.3384,133.9358
C5_00150C,139.6345,131.8153,153.7485,199.6466,153.8807,193.9977,144.2401,120.5465,148.9244,159.5942,154.8001,151.0551
C5_00160W,27.3706,37.1933,42.3554,85.2801,133.3417,116.6041,22.1019,30.3745,32.8489,54.4865,70.2667,46.1156
C5_00170W,74.2101,66.435,98.913,87.5215,62.7565,89.6222,56.2829,62.238,81.2047,56.2421,57.4991,67.508
C5_00180W,67.1913,77.438,86.6637,76.3601,53.534,90.4866,79.0048,82.5774,93.242,43.9454,58.2068,63.3332
C5_00190C,428.246,356.389,402.481,297.701,225.849,286.304,440.176,415.189,490.869,316.088,292.663,345.823
C5_00200C,57.6888,78.6935,87.0419,76.1526,89.9196,102.6023,59.4646,80.954,94.2776,48.7391,54.3047,64.544
C5_00210C,54.9399,99.8958,104.6401,99.1671,118.1532,117.7681,60.2396,117.2125,101.7037,76.7455,113.5253,100.6851
C5_00220W,59.3543,53.818,51.5904,55.0432,33.8451,45.7567,64.0301,48.8353,53.2945,55.9494,52.2549,54.8131
C5_00230C,12.0933,8.56944,8.44241,21.8072,25.2967,22.9653,7.75169,7.60368,9.89559,12.95255,12.2231,9.74586
C5_00240W,16.62096,11.83554,15.78415,27.1703,25.9437,27.6249,11.27463,10.74344,16.78579,13.4039,16.93902,19.07918
C5_00250C,25.2541,26.7396,27.0745,33.3984,41.9508,48.8186,22.6017,30.3055,29.8477,26.1094,33.343,35.4936
C5_00260W,95.965,93.4342,102.6818,137.786,120.5887,160.2275,102.8731,95.6054,120.7619,131.5908,116.166,123.3712
C5_00270W,913.071,1178.442,1201.346,1327.35,2504.69,2078.91,913.466,1419.512,1404.808,1177.336,1246.355,1343.068
C5_00280C,73.127,73.3199,74.131,64.8137,52.7371,56.9561,76.5534,75.5705,79.0562,79.5594,79.514,78.1942
