,II_KO2_CTRL(raw),III_KO3_CTRL(raw),I_KO1_CTRL(raw),II_KO2_treated(raw),III_KO3_treated(raw),I_KO1_treated(raw),II_QMY2_CTRL(raw),III_QMY3_CTRL(raw),I_QMY1_CTRL(raw),II_QMY2_treated(raw),III_QMY3_treated(raw),I_QMY1_treated(raw)
C1_00010W,15.53244,18.70655,23.73127,32.4314,21.7164,60.8899,3.67848,7.83727,7.61337,13.95692,12.82901,15.39097
C1_00020C,531.648,493.539,526.47,802.047,777.461,1040.946,473.819,435.256,553.482,655.23,531.134,455.862
C1_00030C,135.7835,117.7907,128.7915,196.8622,176.715,202.4267,93.7804,69.54,69.6185,124.3826,98.8265,64.744
C1_00040W,194.2159,198.5322,174.6567,265.8996,423.327,262.311,204.38,236.8832,207.2818,224.8409,267.3458,199.9824
C1_00050C,2.788845,5.4215,7.50344,4.344187,4.84817,4.2396,2.91848,3.53821,2.141601,2.348892,3.18418,4.81044
C1_00060W,494.862,372.921,486.742,392.158,318.26,379.869,425.064,309.622,472.622,340.23,300.298,381.749
C1_00070W,339.789,306.285,369.332,283.571,213.171,259.532,327.807,263.673,346.766,269.01,292.741,321.56
C1_00080C,73.3468,84.5021,91.7332,107.4782,121.0274,112.3435,68.9186,82.6874,94.1533,81.5107,91.1765,89.2388
C1_00090W,18.5415,15.0046,20.5589,28.3643,17.75687,26.9158,13.67505,14.06652,20.3656,11.60629,19.41457,21.6927
C1_00100C,42.1108,30.0304,42.8452,61.5932,44.183,68.352,24.9127,28.6143,41.886,39.5869,32.2743,38.177
C1_00110W,157.8764,154.8685,180.3252,211.686,170.8963,225.334,153.109,136.6358,171.7778,168.3578,178.4137,172.3389
C1_00120C,157.206,130.7686,129.3584,113.6782,88.8944,120.3117,168.3892,121.8723,148.709,171.5221,142.0489,137.196
C1_00130C,45.7913,37.7344,42.0739,76.9196,63.8574,80.6696,38.642,33.5832,40.5118,44.1154,42.8237,35.3017
C1_00140W,34.1298,35.4832,47.0426,46.37,31.6594,51.7465,32.4824,33.3214,45.3405,32.4432,34.1379,40.5172
C1_00150C,9.07491,15.05017,24.9839,47.674,94.5205,57.8946,14.47451,28.2166,33.6691,21.0019,51.4217,46.3222
C1_00160C,215.91,242.851,308.658,254.61,174.3258,208.553,224.961,203.681,245.142,256.464,199.5275,242.607
C1_00170W,38.4608,33.0146,33.4055,23.8914,15.1903,12.07829,39.6467,36.3742,55.3342,26.7002,27.3813,38.8077
C1_00180W,4832.63,4740.48,5021.85,1946.198,1576.228,1727.486,4563.71,5170.69,4741.36,3230.18,2887.4,3457.39
C1_00190C,7.32128,14.65683,10.38404,37.2053,33.9979,23.6013,7.81425,7.48758,4.62092,23.5671,23.0161,11.93639
C1_00200C,30.3675,23.91832,38.5522,67.5021,55.2692,66.9858,19.89869,18.77976,14.99118,66.1045,43.8708,42.4922
C1_00210C,378.874,311.688,375.917,255.075,149.3752,191.4533,394.243,347.171,401.126,292.908,232.064,280.137
C1_00220W,460.886,486.541,525.935,847.46,1041.459,816.263,527.336,608.808,610.809,597.872,614.484,642.429
C1_00230C,33.7904,27.7059,35.3851,37.5168,32.2456,37.8887,24.486,24.4872,32.788,28.0706,27.4532,29.2456
C1_00270W,33.2937,32.725,23.11448,14.18687,8.77928,6.82424,32.8305,27.8191,30.4982,14.58336,16.72866,25.0843
C1_00280C,340.997,275.743,376.249,433.401,406.488,522.087,375.385,352.993,299.266,356.074,389.335,441.136
C1_00290W,39.5427,43.3988,26.9505,20.72523,17.25504,14.4623,45.5622,39.9054,42.6731,33.2514,34.5253,36.8336
C1_00310W,92.0354,93.2085,96.874,93.3973,74.2132,96.6473,67.8922,53.7702,66.4329,90.0849,82.6581,79.1962
C1_00320W,68.0428,65.1082,68.1032,85.0573,91.0716,103.0074,67.8518,67.0462,70.3755,75.3003,75.6415,68.4099
C1_00330C,158.4061,160.0227,164.9103,186.0202,187.5996,181.3015,129.4349,147.9406,135.9706,167.9622,168.9773,145.6472
C1_00340W,80.757,74.1255,83.2186,138.7549,119.665,150.6087,80.1892,84.4423,91.2992,107.6649,104.5534,98.1501
C1_00350C,51.999,88.351,320.542,132.1446,203.879,254.409,38.1066,195.6252,185.5665,132.0637,315.214,236.57
C1_00360W,8.87646,11.47782,13.61987,20.4131,26.9053,23.9432,12.27716,14.85996,14.7688,15.56847,19.83633,17.71545
C1_00370W,93.418,138.2058,133.8462,174.5828,209.2736,177.195,122.251,177.158,123.5019,138.5218,177.5653,146.9444
C1_00380C,66.5154,56.3625,74.1001,68.7801,47.5873,60.0317,47.7985,42.8855,43.4882,50.6222,50.7344,46.8658
C1_00390W,574.691,407.996,456.973,617.336,238.892,319.359,126.9325,71.9767,78.4287,226.173,173.5611,109.3943
C1_00400W,45.9497,74.8251,71.5327,79.788,95.9511,126.7798,54.7583,87.6795,95.0563,50.8994,63.0814,65.6663
C1_00410C,38.8626,51.6645,52.5476,116.0856,127.7725,131.5868,36.2337,37.5957,39.9927,69.7239,69.6031,64.9028
C1_00420W,446.338,447.448,409.409,293.635,283.948,263.754,467.573,420.991,365.033,351.099,320.358,346.695
C1_00430W,38.7052,48.8574,46.2007,78.9265,71.4451,76.5718,39.8432,47.0793,46.5424,46.2634,61.3998,50.7543
C1_00440W,218.903,231.098,239.805,434.288,617.732,530.982,220.147,193.9631,199.1128,243.197,274.79,220.1
C1_00450C,184.3611,174.0644,222.998,285.334,299.992,329.373,116.9109,145.5973,148.2376,205.204,182.5908,176.6421
C1_00460W,305.241,426.032,408.811,603.827,603.852,635.884,327.421,359.585,404.871,530.182,522.546,420.449
C1_00470C,46.0618,41.1377,52.7191,107.4527,95.7277,112.6819,26.5015,30.3009,35.0756,55.5147,60.469,56.9457
C1_00480C,59.4339,48.9428,55.2792,58.4941,38.4848,57.6817,56.1983,51.6487,59.7181,55.1853,58.2094,53.4432
C1_00490C,2123.92,2594.53,2163.47,3340.43,5112.31,4371,1840.073,1869.782,1664.581,2371.16,2810.78,2284.28
C1_00500C,445.577,463.278,415.12,453.325,567.265,524.278,498.394,468.225,406.904,482.338,477.254,434.409
C1_00510W,78.3315,80.6781,76.8308,48.3258,54.0328,53.7357,80.5743,91.8923,88.0026,61.2726,56.8265,54.7253
C1_00520W,133.1031,99.9418,104.1738,121.6043,94.9344,119.2686,88.1219,88.6695,95.3737,114.8009,94.7142,107.0734
C1_00530C,23.0873,26.26,29.2706,32.4833,24.041,31.0779,22.2263,24.984,29.8642,22.0793,26.9762,29.8174
C1_00540C,9.48559,10.25946,12.76059,22.6372,30.8498,31.4436,7.12529,9.73937,12.29197,12.00757,19.05316,16.70242
C1_00550W,23.3662,19.23304,22.1499,45.2424,44.4711,56.2113,17.08341,11.26114,17.38008,20.7024,18.7384,19.00697
C1_00560W,14.96458,18.84914,17.00847,40.1281,38.0202,45.5527,13.69256,16.36119,15.29917,26.5568,27.8984,25.4847
C1_00570C,17.97699,21.0049,22.0452,34.7209,26.0531,33.4257,17.91516,21.2788,24.3293,21.2017,26.509,25.6099
C1_00580W,62.498,72.2536,66.4536,87.824,57.3359,85.0725,58.0135,50.853,58.7755,83.983,60.8515,65.624
C1_00590W,182.6313,270.426,363.916,504.095,622.256,535.795,186.5659,234.284,262.694,459.562,585.525,391.261
C1_00600W,8.43046,8.92802,8.87675,15.388,10.79279,14.79042,9.16938,9.0197,11.22038,10.19889,11.94813,12.42443
C1_00610W,103.4513,91.4859,106.1892,131.4773,94.7289,126.1901,98.8974,86.562,112.0724,105.708,104.353,108.6599
C1_00620W,86.4504,88.0045,95.3962,127.7697,121.3734,140.0166,75.6301,73.919,79.2938,89.2247,92.8672,88.877
C1_00630W,23.496,21.09756,18.96417,34.3682,22.2875,27.9449,20.5492,15.8654,19.48382,31.994,32.0705,27.2803
C1_00640C,7.59399,10.72836,12.73041,31.891,32.7284,35.09,7.40957,9.36057,11.11748,17.88468,21.0777,17.59892
C1_00650C,184.701,191.5933,184.8087,246.073,308.129,295.697,178.0092,189.1066,187.9204,208.813,195.4475,178.7921
C1_00660C,59.231,71.2565,67.0153,99.9386,135.5049,119.0815,56.5784,67.7682,57.8519,68.3702,82.5944,65.9654
C1_00670C,17.10013,18.51768,17.09684,24.5779,22.4335,27.6834,12.99332,14.03953,14.24538,15.1342,16.78503,17.53866
C1_00680W,13.73141,14.40954,12.40384,18.68581,12.82229,15.70201,9.94825,12.10023,12.46018,11.24343,14.93377,13.51911
C1_00690W,14.74797,14.14652,13.44311,17.00176,14.2422,16.26422,14.50007,15.03473,13.14469,12.22038,13.76911,13.0664
C1_00700W,172.7763,157.7131,158.7389,157.2476,263.721,157.8438,153.1158,159.4878,123.3817,184.1179,163.3429,146.2809
C1_00710C,157.9919,188.9696,187.3745,324.605,374.022,357.774,203.252,212.711,222.597,271.729,289.904,265.748
C1_00730C,87.3844,82.692,86.822,104.3729,98.2086,98.5477,80.9581,73.3709,72.2218,91.8672,90.0096,92.4361
C1_00740C,78.6504,82.5885,89.8547,90.5585,120.2407,95.1767,93.8102,110.9788,110.355,98.8135,117.5172,122.0414
C1_00750C,51.9475,61.3381,57.1001,101.3459,125.1825,105.7761,56.2616,55.6759,55.6082,53.9806,65.3336,58.1686
C1_00760W,147.156,160.4722,143.1597,187.4732,212.908,182.5157,145.175,133.4224,144.8871,151.2144,149.7221,139.8242
C1_00770C,55.9357,45.6675,49.3387,54.006,48.2411,48.9656,32.0785,36.7981,37.9378,36.6684,30.518,37.6865
C1_00780C,13.13658,13.62285,14.22947,18.48569,17.90044,18.10108,10.73334,10.60607,10.4876,19.29973,17.7424,18.52276
C1_00790W,5.11775,8.59622,8.14339,8.53888,16.81996,8.45526,7.68897,10.68643,10.30698,5.64651,10.3083,7.7449
C1_00800C,55.428,51.4602,53.483,70.9557,112.7982,121.885,49.6984,57.1955,70.8409,39.1404,33.966,47.6364
C1_00810W,17.47694,16.93261,12.77561,14.08369,33.7208,17.45929,15.84101,12.1455,12.92921,7.07108,6.06671,7.03952
C1_00820W,18.65676,18.196,16.82273,20.6185,33.5053,19.9706,19.45064,21.0366,16.65541,17.75429,18.24998,17.88554
C1_00830W,23.0767,25.5597,26.5426,41.1366,45.2338,49.0315,18.39194,19.77002,24.0573,20.8881,23.2282,27.2986
C1_00840C,9.51158,16.49023,15.83691,9.18908,14.52793,8.57197,7.24777,12.5069,13.17384,7.35723,13.51111,13.84378
C1_00850W,29.643,34.9602,26.2232,73.6974,93.5928,61.3104,40.3347,43.4878,36.5443,71.9213,85.3442,74.1049
C1_00860W,35.4689,33.8762,32.3374,50.0236,63.9068,54.9436,34.694,33.0141,34.9952,35.4677,32.1865,32.042
C1_00870W,50.1268,41.8766,42.8641,61.0878,52.3797,68.78,48.0913,33.2963,46.3177,45.6914,43.5685,45.4136
C1_00880W,19.59398,28.2944,20.5207,17.59224,13.37151,15.76624,20.8342,15.60912,15.74638,9.83598,9.81573,9.39253
C1_00890W,33.1529,30.1972,29.0886,32.8129,27.7149,31.8768,35.843,31.0463,32.4019,28.6055,30.0846,30.6471
C1_00900W,30.8984,39.7226,47.7252,99.622,87.1159,102.7287,26.275,46.1271,46.24,70.3447,70.4363,69.0303
C1_00910W,28.4463,31.857,32.1278,34.8176,28.0361,31.6647,28.5832,27.3944,28.524,32.1618,31.3155,32.6435
C1_00920W,13.47201,15.08554,14.87322,22.3936,18.59164,19.74101,13.96172,13.09328,13.76954,14.15203,16.97947,16.72253
C1_00930C,63.558,68.6338,72.2769,58.0569,46.904,56.5109,66.5673,60.3669,67.1683,47.3649,51.6963,56.6257
C1_00940W,155.7088,187.5849,156.9747,213.407,273.765,219.926,170.1055,195.3119,160.3613,207.808,201.8616,173.8133
C1_00950C,52.3937,57.7377,59.1646,26.0269,17.79811,22.26,67.7318,83.7142,68.7596,38.8966,45.6644,50.6284
C1_00960C,13.65862,17.35478,16.44757,22.8189,16.9265,21.4687,15.57607,15.60234,16.37366,14.39098,17.70218,16.94377
C1_00970W,21.94943,32.1948,37.6653,56.4736,60.2103,57.8546,22.4929,27.628,37.1614,38.3669,52.095,38.4564
C1_00980W,170.2591,244.8,223.177,365.193,585.65,467.603,116.3009,204.5238,210.537,284.013,391.647,288.278
C1_00990C,9.14278,10.1083,12.53895,32.9337,26.0233,33.1268,8.1121,10.5269,12.97469,18.29644,20.78742,18.85483
C1_01000C,13.90042,13.50279,15.06834,13.41241,16.68635,15.3481,12.15229,15.20793,18.31492,9.5597,14.20024,15.08003
C1_01010W,214.673,201.761,232.117,343.703,392.11,376.277,154.3015,189.8582,178.1456,203.9002,227.032,207.327
C1_01030W,78.2303,92.5374,104.7449,116.6666,88.467,110.4485,88.9909,98.4735,112.0733,126.2954,122.4281,134.0451
C1_01040W,163.133,166.9456,135.4464,292.546,424.142,359.831,154.164,123.4157,133.04,212.105,207.6759,154.1751
C1_01050C,179.9856,166.2267,172.755,227.126,226.511,238.987,183.9673,142.8486,158.4699,202.827,178.2115,178.5621
C1_01060W,2189.54,2300.94,2126.81,2524.97,3395.04,3044.2,2153.77,2145.64,2028.24,2564.05,2411.03,2196.14
C1_01070C,12.35613,15.85019,16.34794,17.25755,24.0774,24.5751,11.79204,15.11306,18.1613,12.53684,20.17108,16.07628
C1_01080W,7.43487,8.3008,7.8709,13.13635,12.94796,12.59422,8.72461,8.60016,9.0483,9.95608,10.76258,11.50752
C1_01090C,173.9544,261.824,273.619,538.709,736.755,563.596,135.5987,246.017,220.265,395.446,438.584,350.362
C1_01100W,20.14471,19.0778,24.5789,34.6667,31.0729,42.674,17.50658,16.99635,21.1432,18.45341,15.35847,19.20152
C1_01110C,70.2594,70.9004,81.9036,111.4385,87.4241,107.5416,63.0868,73.6183,81.3053,86.105,85.3907,99.3235
C1_01130W,41.3352,47.194,52.0773,79.5176,89.0138,96.2205,35.8342,45.6474,52.6057,37.5343,49.3823,51.6636
C1_01140C,49.4225,81.5934,73.7119,85.4478,114.5715,96.3557,53.9118,77.1191,77.4576,71.777,98.3799,85.9242
C1_01150C,11.93311,16.75578,13.07295,25.8373,26.9681,29.6369,12.43499,19.52029,18.55809,20.05951,25.401,24.1733
C1_01160C,21.0468,24.965,24.8417,53.9344,74.4165,67.1578,17.16537,25.5672,27.5031,38.0113,45.6983,36.5494
C1_01170C,9.83739,12.61686,12.33012,17.843,12.58578,15.69767,10.00105,9.75115,12.12964,9.6316,10.32647,10.48045
C1_01180C,2.85169,1.892584,3.62733,4.54108,3.55822,5.17786,1.506067,2.22382,1.739603,3.3478,2.9212,3.82703
C1_01190C,49.9675,50.751,45.5208,55.0628,62.8232,62.6054,44.0916,42.2579,46.2238,47.2913,48.1585,42.9372
C1_01200W,25.2615,33.3897,34.009,36.6932,43.9499,41.823,23.9514,31.6279,29.9659,25.6423,30.1613,29.0741
C1_01210W,109.1592,122.9637,111.1823,240.621,288.666,278.514,107.8344,80.6992,92.7993,147.3772,143.9855,131.3504
C1_01220C,82.6375,109.1846,87.2606,141.7499,151.3163,131.4553,83.6446,100.002,82.3197,115.3979,141.8441,116.3349
C1_01240W,25.4525,20.7663,22.8348,49.0976,45.1908,50.4489,17.23258,17.67775,16.83187,25.0112,21.7516,20.20674
C1_01250W,56.8884,75.0329,78.0901,94.6702,100.728,101.2096,58.7733,57.7274,61.9969,77.8578,84.6271,70.6867
C1_01260C,43.5666,53.5863,51.7568,84.9889,75.3673,76.0837,43.8226,43.2436,43.2473,56.9584,75.4223,65.983
C1_01270W,37.4897,38.336,37.2899,38.0103,51.6367,36.2044,39.0265,36.5167,33.4332,38.1682,37.7278,38.6541
C1_01280C,35.3254,48.1556,47.608,62.1553,56.8852,64.4421,37.9402,43.0029,40.6904,42.6156,59.438,39.6861
C1_01290C,19.42316,22.6065,23.5963,16.96815,14.06413,17.50717,17.27275,17.13322,21.6529,14.21765,14.53844,16.60756
C1_01300W,184.415,211.703,194.221,215.717,308.879,286.887,202.489,203.864,184.1679,211.497,210.366,208.372
C1_01310W,0.892237,2.142616,1.98669,1.603661,4.0328,4.06915,0.509298,0.783681,0.228388,0.966192,0.679144,0.769503
C1_01320W,82.4392,94.1554,106.3627,146.2815,204.58,184.292,82.1353,104.0233,104.5155,114.3844,124.3318,121.9865
C1_01330C,103.1196,144.347,132.8154,143.1745,139.1448,142.1766,110.6726,154.8287,135.8543,168.277,193.2565,181.031
C1_01340C,41.2524,47.5101,45.4897,68.637,95.6184,87.7967,38.5166,43.7101,38.7683,45.5935,54.9501,51.4184
C1_01350C,1025.38,1065.371,1160.472,945.252,829.854,923.947,979.42,984.218,1049.46,1093.991,1103.697,1176.343
C1_01360C,214.346,217.253,207.378,162.4482,130.1965,127.4631,262.878,249.17,280.071,210.281,209.634,251.65
C1_01370C,11675.54,13139.26,12392.25,4112.46,3449.13,3688.55,9295.4,13568.48,10667.66,7523.39,6795.34,8328.83
C1_01380C,7.61549,10.71553,12.41962,19.47286,14.95578,17.20281,9.50054,16.01685,15.67094,16.59005,18.10328,20.1271
C1_01390C,10.12748,11.21836,14.4648,19.1415,26.492,22.5346,9.92635,10.34664,15.00152,9.3796,13.66272,13.99798
C1_01400C,69.2472,63.3992,62.7288,78.8173,71.094,80.3314,56.2938,47.1833,59.5424,64.1325,57.959,59.2089
C1_01420C,64.502,69.9532,72.0562,125.609,134.7192,137.9236,38.8276,53.5623,49.85,64.1864,59.6374,61.9466
C1_01440C,10.92598,10.07339,8.17275,18.4104,23.9798,16.60969,4.67748,7.9972,3.84552,7.39474,8.05662,5.88939
C1_01450W,81.5881,51.2478,66.7279,123.142,95.3315,117.8375,28.753,52.4791,55.8956,59.6085,84.2267,75.391
C1_01460W,32.0778,30.4715,34.2816,44.8619,24.3689,33.9629,26.0023,23.7542,28.653,32.8694,30.5237,28.7571
C1_01470W,89.2819,81.6134,101.7034,142.1169,158.8997,163.7749,82.8203,82.3505,89.6097,92.2212,95.8777,89.7769
C1_01480C,2273.33,2564.23,2845.04,1133.341,869.814,1075.872,2313.18,3003.29,2885.27,1905.545,1816.652,2073.1
C1_01490W,655.138,626.25,755.37,1027.173,1175.976,1162.475,489.977,393.78,386.481,603.095,559.129,498.97
C1_01500W,0.51849,0.355744,1.010179,1.863813,1.261893,1.418778,0.591919,0.60721,0.265438,1.122934,0.789319,0.670752
C1_01510W,6.19551,4.16734,15.02072,15.77263,15.00158,14.00655,2.0082,2.60426,6.71166,7.76331,7.20007,10.87738
C1_01520C,350.01,316.12,392.914,1012.946,1101.485,1081.029,289.562,258.872,281.726,558.883,637.196,528.128
C1_01530C,202.448,206.886,214.983,251.037,178.6018,220.463,200.2012,163.3556,195.8422,242.224,220.133,228.224
C1_01540W,56.2787,76.5349,70.0176,133.8493,158.2507,157.8246,62.4384,67.1135,67.6943,79.9333,93.1075,80.7069
C1_01550W,50.5994,50.4359,54.8877,82.2969,83.0549,83.0343,45.2064,44.4991,46.1477,52.4471,54.2068,55.1122
C1_01560W,16.28041,19.85449,20.78028,25.1517,22.4525,24.9769,16.82555,19.44437,22.1321,14.1796,19.94126,20.29483
C1_01570C,76.1301,89.9901,96.0427,66.3339,51.9313,72.9621,78.1731,79.9503,97.4358,76.6157,71.4901,77.0766
C1_01580W,87.6677,112.4365,118.197,147.4501,224.13,186.5815,77.2429,95.4864,92.0264,156.1913,185.3439,121.3895
C1_01590C,52.7113,51.0951,56.1188,63.1618,54.4541,69.4749,52.8666,52.4379,61.8082,46.6318,48.7452,50.9638
C1_01600W,62.0336,75.2414,95.0954,113.2909,174.3469,135.6452,59.9656,81.0263,79.1975,103.6399,128.6435,99.2158
C1_01610C,26.5486,42.4138,30.3121,79.4122,124.7124,84.4891,29.1468,27.8006,24.7521,55.7493,59.8125,45.9603
C1_01620C,11.94061,18.46146,24.9484,27.6353,44.2452,43.1673,7.93622,11.92451,13.02135,15.58724,17.74188,20.17295
C1_01630W,194.2422,368.897,373.417,343.476,389.018,435.149,198.9538,230.402,224.858,371.736,477.753,440.099
C1_01640W,738.425,697.719,767.588,283.898,208.402,226.974,734.614,724.614,703.246,509.968,437.838,514.74
C1_01650W,152.8864,151.1191,144.9593,162.5013,177.0252,170.5255,156.1171,155.7695,143.9598,151.8978,148.7664,153.4732
C1_01670C,3.70396,4.47791,4.03235,6.93709,8.92986,7.3984,3.99835,3.65689,4.49333,4.92486,5.3853,5.13135
C1_01680C,50.8414,68.402,78.9751,146.4119,249.005,173.4474,46.9358,86.3177,75.9027,113.4943,171.8752,110.9668
C1_01690C,332.975,297.95,374.903,655.031,628.666,647.747,303.805,332.777,313.79,375.735,449.339,400.229
C1_01700W,46.5886,48.9246,46.9268,55.7499,64.4719,57.0752,50.4594,54.9988,51.4761,41.6934,53.9974,48.1897
C1_01710W,37.644,53.0791,47.3686,59.8591,77.8537,54.8718,39.355,62.3581,59.3614,54.4993,78.5687,69.0776
C1_01740W,23.3044,22.1955,24.8843,45.4924,92.5128,44.0979,4.87,5.08254,4.76208,8.01989,14.11567,8.5334
C1_01750W,30.2783,37.284,39.1224,43.5913,29.4604,42.4581,35.7634,26.4158,30.8844,30.8884,31.8128,32.5265
C1_01760W,24.2097,25.6514,28.3081,26.8786,27.0689,29.0287,23.7309,23.8339,20.9921,26.1438,26.2135,25.8007
C1_01770W,27.3241,27.4962,29.7964,43.2679,45.2108,45.4149,26.5546,25.6406,24.5334,31.612,31.1973,32.206
C1_01780C,183.5568,215.686,163.7518,300.003,190.2734,250.679,148.5591,132.224,129.7271,212.3396,140.524,129.2748
C1_01790W,30.3208,35.4769,37.4282,42.4964,32.8225,40.1284,31.298,32.9682,36.1832,29.2712,33.0853,36.2181
C1_01800W,50.8682,55.825,52.4767,40.392,59.9213,55.7853,53.3772,58.535,54.0915,45.0359,47.9657,46.5992
C1_01810C,103.0428,96.3561,82.7743,166.0509,160.98,188.4802,106.363,72.2443,90.3141,151.9542,134.0207,116.6082
C1_01820C,29.2501,30.3751,30.6305,46.7699,45.6492,50.2299,28.3208,28.1252,28.9805,34.8659,35.6563,32.7187
C1_01830C,294.199,361.947,340.865,542.754,915.893,623.075,320.199,329.409,306.657,437.187,459.057,400.375
C1_01840C,198.8033,221.033,231.398,247.612,252.242,258.006,193.711,161.5794,165.3061,246.614,195.9408,189.4194
C1_01850C,67.6141,72.1533,81.0413,108.1782,118.4325,130.8008,54.5704,54.0939,57.3482,74.2687,75.775,70.6212
C1_01860W,49.4605,51.4662,58.1434,83.4154,135.122,110.2355,47.4473,55.2908,55.1058,62.6404,58.7612,53.452
C1_01870C,195.1675,206.079,202.161,141.1947,143.9205,185.9187,283.981,311.55,312.766,158.7627,146.3828,225.938
C1_01880C,11.29177,12.49903,11.1921,11.69531,8.85457,10.9478,11.49399,10.86334,11.97737,9.47866,10.68957,12.50591
C1_01890C,72.4428,97.1946,94.3388,145.1758,180.6606,161.7583,82.3393,105.1894,103.3771,110.278,136.2159,119.6857
C1_01900C,49.2316,45.0155,46.49,55.8936,58.8976,66.3829,45.0813,40.4688,40.7604,40.8122,43.1059,44.6292
C1_01910W,112.9546,116.405,129.5635,131.415,118.0795,137.1262,101.0643,113.6184,109.033,141.7133,141.4896,143.2612
C1_01920W,16.40808,16.07853,18.39989,31.296,46.1307,49.4349,11.02307,13.48163,16.43758,18.18035,25.2005,19.51796
C1_01930W,455.769,488.493,387.416,440.376,507.317,366.57,507.761,457.523,441.235,607.261,697.988,632.521
C1_01940C,126.6299,147.7701,151.3433,112.9657,130.5699,131.3602,125.0453,167.8528,144.6377,122.2208,131.6771,119.2074
C1_01950C,143.6853,139.7054,149.2745,128.2976,111.0005,118.0927,124.0121,124.2913,121.844,114.4079,107.9066,104.5369
C1_01970W,0.565822,1.164656,0.94491,2.44074,2.36072,2.580488,0,0,0.869006,0,1.938089,0
C1_01980W,152.7236,132.0364,131.1445,874.168,724.727,471.155,49.5975,70.0079,57.0664,176.7666,225.824,78.8733
C1_01990W,1.523248,2.37856,1.14032,3.73852,9.20421,8.09677,2.87829,5.67462,7.01836,3.01461,4.67778,6.45531
C1_02000W,90.1072,105.8496,100.9993,133.7665,206.001,162.3423,88.5225,95.4727,85.065,83.3095,94.2763,86.2642
C1_02010C,25.4095,28.3221,26.5398,26.1052,24.0423,21.7073,21.989,24.3305,21.6378,24.1989,26.3692,24.7415
C1_02020W,62.4597,55.5112,58.4011,69.4866,53.0078,55.9281,56.8602,55.5907,52.832,54.8072,57.0747,58.8872
C1_02030C,63.8186,71.3588,87.687,101.5481,108.7692,118.7692,50.5481,55.5694,57.34,66.9176,68.4554,68.2844
C1_02040C,79.1916,109.5876,99.3764,87.6332,115.7598,99.5836,85.5122,85.5863,77.4374,76.2752,64.5931,58.1272
C1_02050C,80.4995,62.5509,77.1298,92.4802,55.0376,88.4212,87.0367,68.3331,84.1159,69.3881,71.8562,74.1473
C1_02060W,523.188,553.797,533.214,500.588,624.152,525.7,472.94,458.394,391.807,518.814,518.889,488.961
C1_02070W,1.587212,1.520859,0.868303,2.715056,4.1103,3.095151,1.03096,2.403624,3.27827,1.18536,1.249797,1.770101
C1_02080W,6.8921,6.18866,6.25693,20.90082,24.7989,25.1879,4.51494,9.06002,8.56043,10.96964,15.36847,13.46384
C1_02090C,12.11722,11.74324,11.66351,22.5048,19.1689,22.2276,9.76972,12.29851,12.19988,13.01222,14.48819,14.32575
C1_02100W,7.67373,6.70194,6.68828,12.66041,12.34094,10.81974,7.51271,5.58542,6.52666,8.57463,7.26054,6.44677
C1_02110C,83.9829,241.659,182.4805,495.103,341.124,435.162,89.6004,199.7055,155.5852,182.9643,270.364,164.5662
C1_02120C,58.1987,67.1906,43.1099,139.752,311.595,167.6319,66.7052,97.9978,74.7931,101.4265,107.0959,77.5465
C1_02130C,48.835,92.2473,70.6813,305.965,464.538,394.322,62.238,141.387,105.7881,142.5292,199.7209,118.0338
C1_02140C,0.316471,1.628517,0.5285,1.02386,0.990285,1.4433,0.812901,0.833901,1.458138,1.370812,1.083996,1.228221
C1_02150W,43.1804,72.0537,59.9602,197.7469,437.238,306.82,43.191,98.1939,71.278,111.326,152.1454,108.967
C1_02160W,52.7383,62.9254,57.5855,54.2173,66.9473,60.3939,48.3806,58.4113,48.9543,47.696,58.0637,60.7283
C1_02170C,20.3384,28.2814,27.8588,44.6057,89.5636,60.7602,23.9198,50.9323,41.5462,39.0992,65.0333,47.3748
C1_02180W,61.2018,99.8111,85.7757,151.2695,539.755,303.419,68.5523,154.115,103.0963,84.6434,126.0168,96.7298
C1_02190W,5.42907,4.61572,7.09547,13.4914,15.94197,14.26383,3.13264,7.56745,5.9817,7.73226,7.47882,7.32876
C1_02200C,30.6017,28.1755,27.1563,31.5953,28.5553,28.288,31.7826,28.9878,27.0824,28.8288,32.2761,26.0076
C1_02210W,55.4952,86.7742,81.2174,54.9124,74.404,53.9559,58.1625,117.2237,85.2512,43.003,68.4856,67.314
C1_02220C,82.6004,104.853,87.805,94.2895,127.6657,96.3569,89.4391,85.4286,89.3713,99.8571,93.4508,107.3434
C1_02230W,24.0482,24.3078,24.841,26.1653,28.418,26.1347,26.9023,23.3225,26.6379,27.3333,28.4922,29.1041
C1_02240W,30.9174,32.1672,35.233,50.9908,40.895,48.9208,28.1931,25.4683,32.0202,27.046,41.3527,38.8
C1_02250W,141.4915,146.3056,114.8718,130.3768,162.4538,149.667,204.315,130.5014,123.3156,200.801,162.3101,172.364
C1_02260C,114.0665,114.4425,111.9681,111.3378,110.003,113.9995,126.6164,115.0988,111.5698,119.2134,118.089,113.8742
C1_02270C,118.2573,101.4558,127.6847,194.3113,152.391,173.675,51.8656,43.0953,34.221,107.1687,73.4208,53.5739
C1_02280C,4.39108,5.02131,4.74411,6.94183,7.15745,6.60355,5.98319,5.47421,5.6804,5.6072,6.07374,6.57644
