,CAI4_R1 TPM,CAI4_R2 TPM,CAI4-w-alpha_R1 TPM,CAI4-w-alpha_R2 TPM,CEk1CEk2_R1 TPM,CEk1CEk2_R2 TPM,CEk1CEk2-w-alpha_R1 TPM,CEk1CEk2-w-alpha_R2 TPM,CEK1_R1 TPM,CEK1_R2 TPM,CEK1-w-alpha_R1 TPM,CEK1-w-alpha_R2 TPM,CEk2_R1 TPM,CEk2_R2 TPM,CEk2-w-alpha_R1 TPM,CEk2-w-alpha_R2 TPM,CPP1CEK1_R1 TPM,CPP1CEK1_R2 TPM,CPP1CEK1-w-alpha_R1 TPM,CPP1CEK1-w-alpha_R2 TPM,CPP1CEK2_R1 TPM,CPP1CEK2_R2 TPM,CPP1CEK2-w-alpha_R1 TPM,CPP1CEK2-w-alpha_R2 TPM,CPP1_R1 TPM,CPP1_R2 TPM,CPP1-w-alpha_R1 TPM,CPP1-w-alpha_R2 TPM
C3_03320W_B,162.935,160.649,92.1577,89.54,83.327,81.3396,125.741,122.812,129.915,127.173,95.8041,93.8195,91.3246,89.23,156.026,157.775,47.4164,46.2197,108.918,106.374,101.444,93.136,256.147,253.74,127.908,125.211,167.608,166.694
C3_03580C_A,27.2088,26.827,9.31272,9.04819,22.0819,21.5553,17.1165,16.0377,24.1767,23.6663,33.8168,33.1163,21.9299,21.4269,19.6453,19.1914,12.8577,12.5332,17.8727,17.4553,43.693,42.708,9.93261,8.6653,20.9889,20.5464,1.46301,1.41817
C2_05660W_A,42.6196,40.8817,38.0819,35.1646,39.1563,35.9357,37.6122,37.0969,34.9884,33.0337,36.8689,37.6541,23.8671,24.717,47.1853,46.4656,5.90347,5.75449,7.75542,10.5183,21.6018,19.5286,42.3106,35.1297,29.0028,26.5506,18.1858,15.1173
C7_02860C_A,15.2312,17.7257,17.8589,16.4235,19.3688,19.3839,22.7778,20.9414,17.5674,17.0414,17.2031,21.724,16.3769,14.9608,15.5878,14.1076,26.3668,29.0006,21.1236,22.4551,14.1581,14.7979,25.2601,28.0554,18.0425,11.8413,17.7762,18.3328
CR_08640C_B,30.8198,29.5551,42.6752,39.1949,41.1779,39.2244,46.5011,42.5876,31.233,29.8143,37.6054,35.114,42.2423,39.0045,33.0159,30.6737,39.1843,37.2826,43.6046,40.4371,34.3824,32.7192,19.7157,18.3107,31.5031,28.9417,35.2437,33.1253
C4_06570C_B,1149.52,1137.11,756.164,737.305,1250.37,1225.35,850.397,836.739,3697.9,3639.16,4123.86,4068.43,709.778,698.807,1089.57,1070.96,11.8185,11.2038,12.9883,12.685,2080.93,2045.41,1565.31,1516.97,3581.24,3520.18,97.4365,94.6662
CR_02210W_B,10.1082,9.27192,17.1512,17.544,2.48158,2.36434,2.26065,2.08683,15.8649,15.6631,18.4308,17.4942,12.9654,12.7098,8.69995,10.3759,21.5025,19.7568,36.3051,34.6698,19.1389,18.5252,44.4324,45.9667,15.9558,16.5071,35.6658,36.2714
C3_05180W_A,72.1062,72.318,71.0418,67.9125,82.3961,77.2183,76.795,76.1405,101.099,103.987,109.667,117.967,88.4623,82.6814,67.8604,69.7749,53.8364,52.4777,42.5866,41.5921,82.9491,81.0791,36.184,36.3696,78.5003,75.4508,31.2764,30.3178
C7_04210C_A,132.444,129.62,82.7755,79.1072,124.457,121.066,150.144,146.646,128.504,123.807,177.404,173.132,95.6671,93.4729,130.584,127.108,71.3414,69.0109,78.6753,76.8379,109.311,106.331,183.202,173.524,158.791,155.994,92.2428,89.054
C3_03780W_A,9.63209,19.0242,29.1405,33.762,19.6016,35.6289,9.92927,16.4149,9.64467,24.2647,3.0536,11.9231,2.18473,14.0053,13.9587,26.8404,4.96915,17.9627,2.28985,11.5172,2.98663,6.92603,2.68364,9.21381,15.2327,21.5652,15.4989,21.6247
C1_08940C_B,15.4326,15.216,22.8289,23.9478,32.7917,29.2941,15.1304,15.7872,20.3035,18.2464,21.754,19.7626,22.1735,22.5133,15.6303,16.0031,4.96462,5.71137,5.52772,5.32565,12.2659,12.5551,22.5092,22.5515,21.4623,21.2869,22.2086,20.3509
C5_03540C_A,4603.59,4680.25,3910.25,4071.06,4033.71,4255.42,4031.83,4262.25,3270.57,3381.02,3152.56,3298.99,3872.75,4052.08,3804.11,4012.97,5122.1,5321.11,5073.54,5323.03,3251.35,3414.89,1655.49,1731.8,3048.83,3153.21,4104.38,4270.57
C5_03240W_B,11.5744,12.8242,9.34893,10.3661,10.6547,10.8125,7.70685,8.40034,13.3215,13.0403,15.5721,14.6685,8.49236,10.7035,10.1693,9.48772,2.24769,2.19096,6.18066,6.03632,17.5957,17.1991,19.424,20.455,18.2191,19.4444,6.26713,6.42736
C1_09980C_B,13.1418,10.6992,12.813,9.67913,13.1219,12.1728,11.1563,10.4625,18.5131,20.0616,38.1323,35.5926,13.356,13.0497,25.3549,23.3046,20.8993,22.1318,10.4348,12.7301,30.539,30.0851,61.3274,58.1084,39.4112,40.4555,18.3652,16.0176
C2_05250C_B,2.32168,2.20685,2.25161,2.21277,2.44481,2.1992,2.32282,2.09969,6.33493,11.2565,2.66494,2.61166,2.33203,2.10139,4.86516,2.24019,86.7305,96.2105,97.0393,100.791,146.265,134.748,85.7186,79.1006,149.389,158.923,62.5504,60.9074
C4_03570W_B,13.2781,10.5994,100.475,101.633,1.09759,1.07141,2.61203,2.67223,2.06703,2.02339,0,0,9.54721,11.3822,130.525,127.853,0,0,4.21737,4.61366,112.735,121.118,458.426,470.365,58.133,71.461,662.254,652.221
C1_11000C_A,60.7653,68.2294,48.2375,50.6445,61.1779,63.3584,31.2222,28.5667,5.27837,5.16694,17.8639,20.0604,53.9821,59.1202,60.208,58.8169,90.8028,95.352,65.5826,74.1168,17.7392,21.7762,31.4404,30.2909,16.4995,16.1516,70.3382,75.963
C6_02620C_A,0,0,0,0,10.6765,6.12728,0,0,9.78649,9.57988,8.82446,8.64165,0,0,6.79904,6.64195,0,0,0,0,0,0,5.67973,5.47206,30.3322,22.5809,0,0
C2_04260W_B,1.67855,1.50063,1.45193,1.22019,1.27555,1.24512,1.37609,1.28159,3.77306,2.02462,1.49462,1.39869,1.23185,1.20359,1.52395,1.48874,4.13209,3.82189,2.30532,2.66031,9.77698,8.59919,4.95227,4.47078,7.3608,6.05657,5.50722,4.90323
C6_01680C_A,6.27929,6.19119,5.89513,5.72768,1.12569,1.09884,3.80078,5.84749,3.28005,3.82021,5.33818,4.33683,5.10473,5.79753,6.26664,7.47171,2.29938,2.24135,1.54047,1.5045,4.64611,3.46927,4.23572,5.47293,2.11308,2.06853,1.25848,2.08934
C3_07440W_A,714.404,719.46,565.036,563.404,623.044,624.856,688.38,695.895,939.214,953.055,950.936,962.588,546.797,549.671,645.569,650.232,234.403,234.581,269.496,277.035,828.684,841.336,809.015,803.9,1079.75,1090.46,277.898,278.886
C5_02440C_B,6.86934,6.77297,9.85577,9.57581,7.76275,7.5776,8.22001,8.02851,12.1029,11.8474,6.16213,6.03447,8.4006,8.20793,5.35787,5.23408,13.9815,13.6286,9.20598,8.99098,6.70767,6.55646,6.25609,6.02735,5.6915,5.5715,11.0495,10.7109
C6_03710W_B,3.53053,3.3007,2.85863,2.64742,1.76216,1.48042,2.61455,2.48143,3.85428,3.36053,3.32195,2.74487,3.47652,3.46832,3.64314,3.71326,1.44911,1.52611,1.32235,1.32651,3.37611,3.27207,2.63553,2.3669,3.84944,3.64176,2.36773,2.23758
C5_00570W_A,6.80542,6.44163,8.81376,8.329,11.1013,10.936,8.909,8.67773,10.1869,10.2075,13.3608,12.636,9.11197,8.49718,8.48482,8.32255,10.199,9.55173,9.64348,9.76959,7.95035,7.37429,18.1889,17.2502,7.25787,6.89426,17.1884,16.4116
C7_03470W_A,1.33817,0,2.84997,2.76902,0,0,3.21265,3.36864,1.82708,1.78851,4.33643,2.64177,0,1.36618,2.96068,0,0,0,1.47563,2.62236,4.35248,3.25263,5.04451,6.52266,4.00524,3.85642,2.35367,1.05009
C2_04540C_B,1.40895,1.42376,1.75027,1.36536,1.1416,1.16829,1.19275,1.2228,4.32514,4.42956,2.03372,1.99159,1.38072,1.46207,1.3492,1.35084,24.152,26.0088,20.5171,17.322,13.7298,14.7158,14.5629,13.1093,12.4687,11.956,20.9634,19.602
CR_04450C_A,15.3817,17.7649,16.8805,17.7357,22.654,22.1137,20.3968,20.2573,8.30405,8.54677,18.72,21.216,6.62108,5.58772,13.7025,12.1407,12.3032,11.228,14.4484,15.1125,10.3546,9.94656,5.91468,6.08719,10.8352,9.49556,9.15616,9.3612
CR_06420W_B,9.47828,9.69274,13.2844,12.9071,11.1832,11.2206,12.5017,12.2105,15.9787,16.1168,13.0941,13.2517,10.1409,10.2635,12.4507,12.1631,13.251,13.2977,11.3318,10.7308,14.7525,14.4199,11.5152,11.5226,12.094,11.839,11.2393,10.6348
CR_02190C_B,4.85291,5.17738,3.33488,3.85032,1.79843,1.66383,2.34479,2.96208,6.12694,5.44413,6.15078,5.79544,4.91191,4.87688,4.15873,4.43368,9.21506,8.20106,5.9645,5.70606,4.52024,4.48943,5.60889,5.40382,3.67296,3.1962,5.68636,6.49174
C5_02590C_A,9.20682,9.07764,5.38073,5.01167,10.7298,11.0248,7.62933,7.3259,3.46388,3.39075,3.15223,3.08693,7.35945,7.66991,5.32144,5.01513,23.8413,22.5345,23.9412,23.852,7.40651,6.90321,1.41454,1.36282,3.93215,4.11999,12.0509,12.0713
C1_06710W_B,17.567,17.3205,8.44594,7.75288,7.35908,8.19109,8.55211,9.04377,22.5361,21.577,18.5089,19.4093,11.9386,12.253,15.2319,15.3749,10.6024,10.3348,7.27368,7.49065,10.0029,9.33955,14.7301,12.9051,10.9713,11.5162,12.8627,10.6789
C4_01370W_B,147.507,141.999,148.368,117.432,150.223,125.862,152.218,122.567,182.372,169.751,165.299,165.86,134.542,138.373,115.954,117.933,119.84,140.674,138.998,105.93,146.714,140.727,80.4934,67.7115,110.708,123.434,141.311,141.543
C1_09610W_B,7.62748,7.52047,9.68228,9.40725,14.8639,13.2818,9.74678,8.86936,12.101,12.7358,17.3139,14.1739,15.5496,14.0407,16.9012,15.9135,15.4305,13.828,11.3835,6.54455,2.41296,4.84533,7.75254,7.46908,3.47896,4.15479,2.28248,2.21253
C1_06360W_B,4.81696,4.74938,5.52346,5.36657,6.33638,6.18525,3.13424,3.06122,8.25929,8.08492,8.5428,8.36583,7.09043,6.92781,4.89404,4.78096,6.64732,6.47956,5.57017,5.44008,5.18444,5.06756,4.96599,4.78442,7.21585,7.06371,7.46906,7.24015
C3_06560W_A,9.90125,9.42543,12.5916,12.234,12.3785,12.0833,10.5486,10.6153,14.1185,15.6646,18.2516,17.4576,11.6237,11.3571,9.48141,9.26235,6.43507,6.27267,8.00847,7.49522,17.6443,17.2465,27.1533,25.7451,17.2499,17.6542,12.7401,11.8453
C4_05450C_B,69.2634,68.9253,76.2872,73.5446,97.0297,95.8247,96.127,94.4751,100.785,98.6572,85.2861,83.5194,91.339,89.2441,78.6353,75.616,81.8277,81.1526,82.1551,79.6229,95.2991,93.1507,97.1291,94.3592,87.6258,85.7782,89.4225,88.1047
C7_03770C_A,9.76466,10.396,11.8744,12.235,12.0775,12.4619,6.223,6.79056,22.0525,20.5354,12.1361,12.8332,16.5041,18.4819,14.5744,14.9667,16.884,18.1433,10.3068,10.8101,8.83208,10.2727,13.3045,12.8181,12.9984,11.8486,12.1796,13.5315
CR_10410C_A,13.0211,12.8384,27.4386,26.6592,20.7643,20.2691,19.3747,18.9233,13.1391,12.8618,11.8475,13.3006,20.6297,20.1565,23.1594,21.9716,40.7619,39.7332,37.9638,37.7434,16.2674,15.1666,10.2674,9.89197,14.9475,14.6323,22.1293,21.451
C6_03170C_A,0,0,0,0,0.999529,1.14108,1.48539,2.52743,0,0,0,0,0,1.30254,2.647,2.03508,2.18093,2.12589,1.55101,2.07687,1.70775,1.66925,0,0,0,0,0,0
C6_02260C_B,25.782,24.6392,29.5951,26.1501,31.1774,29.2115,39.7072,35.9797,44.829,47.5445,40.8371,40.3604,36.3255,39.0382,32.0884,32.0798,2.44165,2.52299,2.22758,2.11763,32.0933,32.692,51.1158,51.6055,35.4947,33.9723,37.6303,34.9232
C6_03630W_A,6.63233,4.87941,6.94395,6.7467,10.2737,6.17386,3.68492,3.59907,2.60108,6.75836,2.01339,1.74909,6.20625,6.48631,3.76935,1.73639,5.00741,3.28467,0,0,5.2038,4.14104,1.91304,1.84309,6.88019,5.43321,7.10139,5.73081
C5_05160C_B,1.86447,1.6658,1.81939,1.64909,1.63404,1.52949,1.80485,1.67869,2.55843,2.64819,2.44682,2.29833,2.11363,1.95107,1.92954,1.74819,2.12442,1.90194,1.91059,1.76174,1.90629,1.75753,2.30496,2.26274,2.25306,2.20555,1.3577,1.2383
C4_00810C_A,2.31446,1.77121,2.35966,2.29264,2.93806,1.94061,2.39642,2.34059,0,0,2.2327,2.18645,4.53676,3.3496,1.72024,2.16511,7.54658,7.1611,11.1222,11.5461,0,0,3.23009,3.11199,2.50038,2.44766,5.72651,1.8724
C7_01960W_A,16.2105,13.9327,7.02542,6.66507,8.00765,10.259,9.65577,7.36618,10.2047,9.9893,19.6139,18.8059,13.6586,11.5036,13.8478,9.56727,6.8616,8.49383,8.2068,7.10472,7.43004,9.2618,9.16289,6.61459,6.53364,10.5493,6.29756,5.19913
C7_02960C_B,6.28766,6.66711,6.67034,6.90568,5.54054,5.94812,4.98212,4.27262,3.32925,3.52149,7.32218,5.92089,5.4736,5.34806,5.17392,2.73429,10.6585,12.1433,9.95219,8.0455,5.14738,4.14754,12.5895,11.1035,7.65728,9.85107,8.89988,7.71548
C5_00750C_A,69.9669,67.8852,44.7557,43.1333,50.8384,49.8247,61.6002,59.6058,64.2369,62.4455,78.7569,77.0731,56.0713,54.6995,54.7779,51.1817,31.907,30.748,33.2626,31.7744,76.7306,74.2392,75.5719,72.6749,86.1312,84.492,38.6728,37.0733
C1_09850C_A,25.7765,25.152,26.4632,25.4728,30.0935,28.2256,24.3801,23.081,25.2418,23.9896,24.4169,23.2623,24.1154,22.4876,25.4492,24.1132,14.9927,13.1731,12.4293,11.3756,28.0298,26.2762,31.8525,30.0398,38.7696,36.754,14.5498,13.317
C2_08600W_A,5.91406,5.55402,10.638,10.6863,9.39798,8.38868,9.09985,7.44806,13.5801,11.9543,14.8297,12.9384,15.6641,12.5497,13.2716,12.3328,5.75186,5.6067,8.36488,7.77668,10.3488,5.45466,17.6069,19.0917,2.12402,2.46834,3.9471,3.44798
C1_02200C_A,1.58883,3.29065,5.13315,6.60725,3.07644,8.78039,6.90636,6.74546,5.40542,2.77747,9.16913,12.25,7.09633,5.83047,9.712,3.78087,2.05024,1.9985,2.4822,3.08407,2.07115,2.02446,4.0354,8.12836,11.7383,9.06697,8.43815,6.40789
C1_07240W_A,24.9536,24.6035,49.3095,47.9088,37.4189,33.3139,32.6533,31.8925,42.9468,37.0174,34.0984,33.392,38.5415,37.6575,47.6603,45.3984,37.3179,33.6925,47.4384,46.3306,37.5414,35.3897,53.4071,45.4205,42.8896,41.9853,49.2242,45.8842
C6_00540W_A,7.48767,6.32226,6.26578,6.63451,4.42045,3.89391,6.10511,4.33051,7.62944,6.22197,7.21195,8.61131,5.70987,5.57891,15.1589,14.0439,8.20358,7.6552,9.1823,9.3891,3.05185,2.98305,8.22895,7.92808,5.60939,4.71691,2.15036,3.23625
C1_00530C_A,7.63204,7.52496,8.84438,8.41737,7.96193,7.77203,8.06344,7.87558,9.97861,9.76794,12.169,11.678,10.7075,10.2641,9.00001,8.79207,5.41822,5.28148,5.73363,5.59972,8.63677,8.44207,9.87789,9.51673,12.1409,11.8849,7.75246,7.51486
C1_10500W_A,17.1099,17.5637,11.308,13.4148,16.2942,18.9728,11.5004,13.2081,10.5203,10.3793,31.2943,32.0924,19.1329,18.6941,10.5804,12.2924,14.947,17.6628,14.0917,14.2997,12.9974,16.1778,21.0438,26.0164,20.1689,26.486,13.977,15.0543
C2_09990C_B,1.57153,1.49142,2.15557,1.87758,2.46907,2.15188,2.54136,2.1084,3.32357,2.76015,2.3119,2.37126,2.12899,1.78673,1.70638,2.03779,5.04641,4.27176,9.73413,9.40139,6.09695,5.56783,4.74859,4.3966,9.67356,8.54479,18.6093,16.7544
C3_06410C_B,13.3964,13.2085,16.786,16.3092,12.3163,12.0225,21.0533,20.5628,17.7278,17.3536,13.9908,13.701,16.0263,15.6587,18.4625,18.0359,23.1682,22.5836,19.3692,18.9169,14.4184,14.0934,21.6282,21.4876,14.1503,14.453,23.6352,22.9108
C3_01400W_A,21.9974,20.371,19.4556,16.509,16.6902,15.5232,23.0952,20.5204,22.9514,21.2647,32.8768,31.1113,19.9343,16.7829,33.0099,30.5802,15.0125,13.6701,18.4542,16.322,31.8269,29.7034,36.1888,33.7825,21.1604,17.7104,26.242,25.109
C5_01490C_A,27.0403,26.6609,21.4403,20.8107,26.334,25.6724,24.7327,24.1792,34.7193,33.7948,25.4594,24.8967,25.6236,25.5414,30.5745,29.8856,24.5569,23.9637,24.819,24.2167,26.8062,25.6246,19.7467,18.9863,21.0176,20.639,20.9872,20.6998
C4_03410W_A,41.3429,40.8489,50.0781,48.3338,48.523,49.7693,51.8694,49.2046,28.1408,28.3368,47.5554,43.2005,60.4031,59.6263,45.958,45.2527,70.3997,74.9854,67.4061,65.8319,39.0624,34.7048,32.9875,32.7275,42.2804,42.3996,45.0776,43.5711
C1_02150W_A,35.4069,42.4122,13.1806,10.609,43.6526,45.53,27.3769,26.4921,131.476,131.319,144.659,128.466,36.2366,36.8768,19.1751,19.0151,2.49533,2.43235,4.24904,4.14981,93.7899,84.182,4.52259,4.74939,86.4562,76.7404,2.576,2.49705
CR_01960C_A,2.64944,4.01286,5.65161,2.79821,11.3195,11.0495,8.28705,8.09399,2.56942,3.0419,6.67929,12.0425,6.31754,6.54712,5.87116,5.73551,9.63316,10.7082,7.68415,8.50406,12.8365,12.8785,3.39787,2.4472,6.6196,4.39737,6.15634,5.96766
C7_04110W_B,8.94626,8.82074,10.06,9.77422,10.518,10.2671,12.5188,12.6768,13.0091,12.7344,8.6739,8.49422,12.7801,12.4869,12.3347,12.0497,10.4701,10.2058,7.78353,7.60175,11.7461,11.9987,15.6326,15.0611,9.70519,9.50056,12.801,12.4087
C4_06300C_B,0,0,0,0,2.7091,2.64448,0,0,4.22376,4.13459,3.80856,3.72966,4.70689,4.59893,4.67692,2.86661,0,0,4.77418,4.35609,3.29811,3.22376,0,0,5.23791,5.12747,2.33278,2.26128
CR_06830C_B,7.28684,7.18461,14.2556,12.0195,10.0572,9.22916,11.2876,11.0246,7.22573,7.07318,14.1388,13.8459,13.1411,12.1528,6.97786,6.81664,11.8638,11.5644,11.1201,9.55915,7.10922,6.94895,7.47473,7.20144,9.14721,8.18849,10.7354,8.89764
C2_00490W_A,26.0613,26.2252,19.5771,19.6223,25.9247,25.8417,25.5797,25.353,37.9627,39.2281,44.6173,44.8491,27.0357,27.0856,30.7802,30.4069,16.3282,8.43866,12.9003,9.86405,20.0781,21.0812,20.6446,19.0266,14.5232,15.8869,6.70694,7.64819
C1_01130W_B,5.16608,5.0936,4.73037,3.60251,7.89978,6.50901,4.33308,4.70108,3.90817,3.82566,8.09077,7.92317,3.7112,3.62608,5.49801,3.98054,5.13474,5.55976,4.63084,6.11253,2.67907,3.50164,6.17955,5.95361,3.62673,3.30399,3.58151,5.72755
CR_10470C_A,7.94207,7.83064,7.6115,7.3953,5.9065,5.76562,4.48363,4.37918,3.99432,3.91,5.16898,5.0619,8.84317,8.64034,8.20908,8.01942,16.8544,16.429,13.6187,13.3006,5.83345,5.70194,5.6456,5.82244,5.13611,5.02781,14.9259,14.4685
C2_08790W_A,9.56117,10.8219,10.1788,10.2952,16.8116,15.7477,19.3876,18.9842,18.2389,20.1462,16.4065,17.0699,11.7124,11.2452,17.1224,19.6514,15.7999,15.2503,11.7811,11.3585,14.0907,12.9746,16.8336,14.3276,12.4302,12.1417,12.9113,12.7386
C4_04830W_B,11.0039,10.4403,6.88968,6.19245,4.61412,3.92188,8.47843,8.34624,6.85229,6.70763,12.3793,10.3915,13.646,14.2936,11.8289,10.1597,13.7034,13.045,10.9577,11.3828,5.12914,5.33588,11.6828,10.0837,5.4177,4.91625,11.7598,12.3505
C6_02720C_B,8.4312,8.7437,10.5829,11.4927,8.34413,8.34933,9.0072,7.83828,19.4962,15.8005,13.8154,11.9296,11.5864,13.2565,15.5729,14.5346,2.3038,1.71794,3.05905,2.13986,9.61869,10.4446,16.1637,11.0351,12.69,12.9772,8.87136,9.65053
C1_10330C_A,5.27777,5.20372,6.64286,6.45417,6.03003,5.88621,5.663,5.88377,8.86974,8.68249,5.60069,5.48467,5.04643,5.31948,8.37847,8.9066,7.56656,7.79273,5.15907,5.40685,7.75626,7.58141,9.58,9.22974,6.50138,6.3643,6.36702,6.17188
C2_04350C_B,2.03478,2.34042,1.44382,1.6604,2.01149,1.8075,1.75047,1.54852,3.24103,2.26736,2.2124,2.16657,2.20659,1.64531,2.28758,2.23473,11.0642,11.4726,8.64392,8.44205,4.32845,4.23087,4.90107,4.72188,2.49547,3.26363,6.02876,6.69585
C1_08320W_A,314.493,294.841,360.77,336.333,347.383,331.857,364.006,352.045,524.526,517.184,677.39,642.205,367.838,345.435,410.462,403.665,198.393,189.397,246.881,239.664,556.846,529.753,605.438,581.046,655.008,633.153,243.861,233.723
C3_07100C_B,2.20166,2.34685,4.33417,4.21106,3.52528,3.4412,6.40793,6.09535,6.23477,6.10314,4.51206,4.63596,3.37651,3.29907,3.81847,3.56318,3.6311,3.9257,5.64361,5.51181,6.98276,6.82534,10.4399,9.62398,6.42258,6.28716,6.16254,6.23725
C3_05770C_B,5.00212,4.93194,7.67502,7.45701,9.12424,9.19348,7.17221,7.00512,5.97836,5.85214,8.28267,8.11109,9.96065,9.73219,5.74497,5.61223,11.4492,11.5197,9.76365,9.53563,4.31041,4.56294,5.05343,4.86866,6.12373,5.99461,7.8568,7.616
C1_00230C_B,8.33074,8.21386,10.2919,10.3622,10.2288,10.3342,11.5894,10.9492,18.1802,17.25,13.8768,13.5893,9.42908,9.62093,9.91623,9.68712,11.0384,10.7599,14.0805,13.7517,8.53047,8.33816,11.5337,11.6043,10.4928,10.7266,10.3491,10.032
C1_09270W_B,3.70404,3.65207,4.24508,4.12449,4.60255,4.49277,3.74875,3.66142,3.44921,3.37639,4.23025,4.14261,4.75062,4.64166,3.54697,3.184,3.7758,3.68051,3.03343,2.96258,6.24989,5.79296,6.94817,6.32893,4.94172,4.49994,3.27714,3.1767
CR_02540W_B,30.4472,29.6018,29.2499,28.0688,1.38336,0.987567,1.09296,1.06783,34.2144,32.9401,26.9269,25.6644,55.4887,53.8652,41.6129,40.8642,47.8775,46.1172,42.7364,39.4867,37.4183,34.8644,11.7323,11.079,24.5414,23.1838,22.1098,21.5693
C4_00270W_B,826.215,835.192,968.357,915.124,816.254,787.3,951.511,922.923,1082.95,1036.05,993.259,985.855,1000.98,980.731,922.198,869.162,851.681,824.574,839.59,811.43,1159.53,1117.16,1296.65,1231.56,1209.01,1204.77,1096.05,1035.11
C6_03320W_B,22.1124,29.8889,13.3633,16.209,36.5938,41.3194,27.3787,31.1217,34.3317,51.2008,63.5729,63.0006,14.5062,12.4681,12.6401,13.1539,1.50436,1.42478,1.45362,1.38084,44.0464,48.4316,74.1099,91.2437,67.51,81.5103,6.55053,9.20327
C6_01370W_A,13.7377,15.668,27.9895,26.3817,15.7936,12.8344,12.4504,11.4148,9.67118,10.0294,20.3936,20.0425,25.3445,20.1636,34.27,35.1952,13.4061,13.0678,21.846,20.466,11.6562,11.8537,28.9229,29.9058,9.43405,8.78434,13.2339,11.8495
C6_00180C_B,0,0,4.91901,4.77928,7.50165,5.81559,1.40786,1.53008,7.79338,5.72074,5.26963,6.8817,5.83256,5.69879,4.99319,4.13543,0,0,1.47006,1.43573,0,0,4.39673,4.23598,0,0,1.64752,1.23488
C2_05530C_B,23.5779,23.2471,27.6632,28.5235,27.3437,27.8811,25.0833,26.1793,38.8319,39.252,31.0173,32.6116,27.6399,27.469,28.2979,28.0739,23.0978,24.0054,24.8441,25.5799,25.8711,25.2879,28.5914,28.1046,27.066,27.528,30.8907,31.3002
C4_04780W_B,9.99743,9.95022,20.8564,19.7275,15.9194,15.7372,13.2,11.2757,19.6432,19.6066,26.1681,24.9271,21.3348,20.3473,17.1478,19.0336,18.0287,17.9582,14.4155,15.223,18.7266,18.1499,23.5519,21.4676,21.3542,20.3931,22.1947,18.9622
C1_08100W_B,78.3027,75.3449,63.2337,54.424,49.0036,56.6192,56.1277,57.4315,43.9619,33.8623,47.7087,34.386,58.933,62.7643,78.2736,60.8641,74.0365,58.1987,65.8097,60.3372,33.7745,36.6377,25.8508,24.9056,33.2322,37.1894,68.1742,58.862
C6_01290C_A,7.35717,6.56554,10.9806,9.18537,5.37579,5.24757,4.7736,5.36051,6.42959,5.92473,2.45383,2.77077,10.8852,9.95125,6.24136,4.81686,7.8017,7.60481,11.7442,11.4699,1.96701,1.32572,3.77596,4.04698,5.2758,5.38646,6.05466,5.54572
CR_07260C_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3_01800C_A,14.6713,11.8715,18.2116,14.6248,15.9402,15.2879,11.1155,10.5282,10.947,10.7159,4.94047,4.83812,16.9735,19.762,31.2078,28.4564,6.06876,7.42005,15.4438,14.7242,9.34784,6.79612,113.071,122.869,9.18777,8.70799,50.2056,51.0864
CR_00320C_B,70.9532,69.9577,76.3889,74.219,72.2097,70.4874,82.4132,80.8564,67.6844,66.2554,69.9177,68.4694,68.2754,67.1098,76.3132,74.1785,69.0167,67.2749,67.8042,66.2207,81.4966,80.913,106.572,102.675,75.522,73.9296,93.3268,90.7596
C3_04220C_B,1.34509,1.32622,1.3295,1.391,1.87685,1.45402,2.62557,2.01232,2.0028,1.96052,2.6741,2.19461,1.5847,1.54835,1.61988,1.70844,1.82101,1.58568,1.5612,1.2037,1.29368,1.202,1.84275,1.77538,1.91745,1.87702,1.57159,1.25117
C1_10880W_A,13.2305,9.92317,14.3359,11.113,11.854,10.9049,10.9792,9.38157,9.73778,8.60162,10.4362,8.79016,11.8135,11.0787,14.0866,14.8642,24.6192,22.9438,24.052,23.8188,8.55692,9.19853,7.39423,7.12388,4.05919,5.18876,14.3262,12.5698
C4_06540W_A,2.46089,2.62266,2.50451,2.25697,4.00459,4.62602,2.21194,2.32827,2.82126,2.7617,1.76009,1.4681,1.46085,1.21574,1.35611,1.32477,2.07686,2.55468,2.99002,2.70673,2.96689,2.9,2.28474,2.48845,1.95479,1.82795,2.06402,1.54022
CR_00560W_B,5.83145,5.57774,7.62528,7.40868,9.31699,9.09477,8.07049,7.88246,12.3634,12.1024,16.9986,15.7976,7.09459,6.93187,6.91979,6.75991,6.08227,5.92878,6.21157,6.0665,10.9674,10.7202,10.6581,10.2684,13.2987,13.2142,10.1463,9.96402
CR_02670C_A,9.06129,6.52533,14.4232,14.3259,24.5043,23.8721,25.6035,24.2941,27.5789,28.631,22.5758,23.0579,11.0075,10.0538,13.5597,12.0203,13.9346,13.5434,18.2929,15.7109,7.63205,8.58855,17.3185,15.4565,16.8238,17.5074,9.67895,9.54206
C7_03120W_A,58.1814,52.1757,56.6525,50.2031,45.6212,44.6653,54.6879,48.7254,38.3531,41.3509,37.0069,34.4007,37.407,35.6421,56.9139,53.4347,66.0892,64.832,65.4004,58.6264,30.5531,32.9782,11.5923,9.58405,20.1355,26.3278,36.7386,33.4151
C5_02240W_B,0,0,1.38293,1.34364,0,0,0,0,0,0,0,0,0,0,0,0,1.66431,1.62231,0,0,0,0,1.89306,1.82384,0,0,2.49051,2.41418
