,CAI4_R1 TPM,CAI4_R2 TPM,CAI4-w-alpha_R1 TPM,CAI4-w-alpha_R2 TPM,CEk1CEk2_R1 TPM,CEk1CEk2_R2 TPM,CEk1CEk2-w-alpha_R1 TPM,CEk1CEk2-w-alpha_R2 TPM,CEK1_R1 TPM,CEK1_R2 TPM,CEK1-w-alpha_R1 TPM,CEK1-w-alpha_R2 TPM,CEk2_R1 TPM,CEk2_R2 TPM,CEk2-w-alpha_R1 TPM,CEk2-w-alpha_R2 TPM,CPP1CEK1_R1 TPM,CPP1CEK1_R2 TPM,CPP1CEK1-w-alpha_R1 TPM,CPP1CEK1-w-alpha_R2 TPM,CPP1CEK2_R1 TPM,CPP1CEK2_R2 TPM,CPP1CEK2-w-alpha_R1 TPM,CPP1CEK2-w-alpha_R2 TPM,CPP1_R1 TPM,CPP1_R2 TPM,CPP1-w-alpha_R1 TPM,CPP1-w-alpha_R2 TPM
C5_04320C_B,4.06056,4.60892,2.64867,2.57344,3.0193,2.94729,2.2822,2.75345,4.96359,4.09197,3.03424,2.60687,3.52302,3.35121,2.57153,2.77095,3.33313,3.37803,2.45055,2.65696,3.53724,3.67372,2.92761,2.84734,3.57244,3.49712,2.15639,1.93551
C7_03460W_A,2.42186,2.45646,1.99802,1.80284,2.83701,2.63869,2.77215,2.08338,7.77069,7.98551,7.05627,6.86206,3.13254,3.42572,3.52545,3.44399,3.37509,3.28992,1.9762,2.23774,4.73484,5.00974,5.01131,5.64586,4.58089,4.25411,1.87752,2.26423
C4_04040W_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C6_03830W_B,23.7853,22.1884,13.5382,12.6247,20.8696,22.8964,32.6799,27.985,15.0914,9.38164,15.392,13.6439,26.0925,26.7868,10.3517,11.1582,4.31148,2.92272,2.47602,1.98835,14.5441,13.8994,27.8129,27.0896,14.6025,11.1677,26.051,23.2704
C2_03910C_B,1.38775,1.76043,1.4558,1.21829,1.20261,1.22997,1.06777,1.0429,2.13033,2.00591,1.59262,1.80116,1.28319,1.32453,1.33148,1.46898,6.25757,6.70464,6.91808,6.40199,5.50383,6.17504,10.5894,10.2022,4.22205,4.41185,9.69025,9.7074
C1_10460W_A,8.17765,8.71371,4.93013,6.04069,8.29613,6.15999,13.5799,14.1074,13.8528,12.2076,20.2152,19.7964,14.9458,13.9428,14.1554,13.5752,10.9539,11.7335,7.67527,7.32856,10.3718,10.9405,10.2333,9.53894,13.4015,10.605,9.05779,9.05653
C2_03220C_A,41.1959,40.259,39.0573,37.6813,121.605,116.152,61.5216,59.0421,81.6095,78.7847,94.3428,90.2796,38.218,36.6582,50.2088,49.6588,8.41896,10.0674,6.78011,6.62176,9.29289,9.08339,8.38593,8.82778,15.126,14.3904,18.2145,15.5534
C7_04080C_B,0,0,2.4324,2.36331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.659,439.599,0,0,5.91268,5.73147
C4_06230C_B,9.79818,8.8103,9.09578,7.42541,14.6943,13.4861,12.3059,13.0379,7.7043,7.03212,18.6502,17.5691,10.1021,13.9132,14.8248,13.9934,17.3849,16.9461,10.0974,9.12364,14.5895,10.9283,18.7171,18.4018,6.50701,6.7253,7.44429,7.03399
C1_07090C_B,3.67879,3.37394,17.859,15.8831,11.4443,10.733,12.6516,14.4039,15.0434,16.8681,11.1434,11.6008,11.5051,11.8721,12.8971,11.7115,16.2242,11.8322,16.624,19.238,15.5287,16.2592,15.9855,17.3576,8.64652,6.28505,12.5945,14.4368
