,GD1_S1_R1_001 RNA-Seq (Reads) (extracted reads) [GD1_S1_R1_001] (single) sampled (GE) - CPM,GD2_S2_R1_001 RNA-Seq (Reads) (extracted reads) [GD2_S2_R1_001] (single) sampled (GE) - CPM,GD3_S3_R1_001 RNA-Seq (Reads) (extracted reads) [GD3_S3_R1_001] (single) sampled (GE) - CPM,GD4_S4_R1_001 RNA-Seq (Reads) (extracted reads) [GD4_S4_R1_001] (single) sampled (GE) - CPM,GD5_S5_R1_001 RNA-Seq (Reads) (extracted reads) [GD5_S5_R1_001] (single) sampled (GE) - CPM,GD6_S6_R1_001 RNA-Seq (Reads) (extracted reads) [GD6_S6_R1_001] (single) sampled (GE) - CPM,GD7_S7_R1_001 RNA-Seq (Reads) (extracted reads) [GD7_S7_R1_001] (single) sampled (GE) - CPM,GD8_S8_R1_001 RNA-Seq (Reads) (extracted reads) [GD8_S8_R1_001] (single) sampled (GE) - CPM,GD9_S9_R1_001 RNA-Seq (Reads) (extracted reads) [GD9_S9_R1_001] (single) sampled (GE) - CPM,GD10_S10_R1_001 RNA-Seq (Reads) (extracted reads) [GD10_S10_R1_001] (single) sampled (GE) - CPM,GD14_S14_R1_001 RNA-Seq (Reads) (extracted reads) [GD14_S14_R1_001] (single) sampled (GE) - CPM,GD15_S15_R1_001 RNA-Seq (Reads) (extracted reads) [GD15_S15_R1_001] (single) sampled (GE) - CPM,GD16_S16_R1_001 RNA-Seq (Reads) (extracted reads) [GD16_S16_R1_001] (single) sampled (GE) - CPM,GD17_S17_R1_001 RNA-Seq (Reads) (extracted reads) [GD17_S17_R1_001] (single) sampled (GE) - CPM,GD18_S18_R1_001 RNA-Seq (Reads) (extracted reads) [GD18_S18_R1_001] (single) sampled (GE) - CPM,GD19_S19_R1_001 RNA-Seq (Reads) (extracted reads) [GD19_S19_R1_001] (single) sampled (GE) - CPM
CAALFM_C100020CA,0,0.061400593,0.065574347,0.067157782,0.145268168,0.083600003,0.087569632,0,0.209142182,0.080349735,0.10795965,0,0,0,0,0.062016438
CAALFM_C100030CA,0.401921335,0,0,0.134315563,0,0.334400011,0,0,0,0.401748675,0.377858773,0.244838682,0.118662825,0.111200135,0.059367741,0.310082188
CTA2,23.37842433,17.25356665,18.88541195,12.7599785,13.00150104,10.28280032,12.7851662,16.33629994,11.29367782,14.94505072,16.1399676,21.85185234,11.15430552,11.56481398,16.44486418,17.42661895
TUP1,288.9144531,231.9714405,258.6907991,172.8641298,170.0363907,124.4804039,158.2383242,172.2353002,137.5109845,143.8260257,210.1434578,297.540208,253.819782,166.6334015,186.5928091,168.0645457
MVD,38.38348752,32.60371491,32.65602483,20.61743895,22.2986638,17.13800054,39.49390382,34.43297702,33.88103345,39.2106707,42.85998086,53.06878426,54.05091664,33.30444027,37.57977988,38.88430634
RCA1,39.52226463,39.78758429,40.06592605,35.12351978,29.12626769,24.82920078,34.06458666,25.27901585,22.37821345,28.68485541,29.31104484,32.25749632,29.19105487,27.85563368,26.83421881,28.40352839
CAALFM_C100090WA,2.679475568,1.780617198,2.032804759,1.343155632,1.234779428,1.170400037,1.401114104,1.54913189,1.045710909,2.089093111,0.647757897,1.285403079,1.067965422,1.390001681,1.781032222,1.922509564
CAALFM_C100100CA,6.095806918,4.850646851,6.295137317,3.626520206,2.977997445,1.922800061,3.327645998,1.689962062,2.823419454,4.258535958,3.562668434,4.101047919,3.025902029,3.336004034,3.324593481,3.472920502
CCT8,147.5721169,102.600391,102.033684,88.44679836,69.72872066,51.07960161,63.0501347,70.62633119,67.7620669,70.70776684,80.16003977,98.30273071,89.82775828,48.76125896,55.44946984,59.90787867
TRP1,9.713098935,9.210088957,10.81976726,9.133458297,6.464433478,6.604400208,8.494254258,8.168149968,7.215405272,6.508328539,12.03750092,19.21983652,14.95151591,5.504406656,8.727057887,8.930367006
VPS53,48.36453401,34.50713329,36.85278304,31.09405288,23.46080914,19.72960062,24.1692183,25.41984602,17.04508782,22.09617714,35.08688609,44.25459172,25.86849578,24.68642985,25.9437027,21.95381889
KEL1,269.4212684,209.867227,243.2808276,148.3515396,138.5131982,66.21120209,88.18261894,111.7487414,67.23921145,80.91218319,278.0500773,265.221502,176.6889459,130.4377577,196.922796,147.9092035
RIM8,162.1752588,165.9044024,140.0668053,135.3900877,144.396559,90.70600286,99.12882288,78.37199064,104.2573776,83.96547312,100.726353,76.02241068,58.97542386,52.98686407,53.60906988,58.4815006
CAALFM_C100160CA,525.7131065,513.8615632,433.1841366,397.1039626,369.3443173,424.7716134,499.1468997,323.9798104,435.4340225,389.696215,481.6619763,567.5972739,434.3059383,352.0040256,187.7801639,273.0583745
LEU4,21.43580455,18.72718088,16.13128937,12.49134738,14.59945089,8.610800272,10.59592541,8.872300827,10.14339582,11.49001211,16.5718062,29.07459345,20.94398855,12.67681533,10.27061915,12.52732038
RPL16A,715.8218981,679.5203632,637.5793764,561.3718964,548.6778707,536.0432169,628.3121062,428.1237224,526.6200138,472.8581908,748.9700685,839.6130493,784.8952538,520.5278294,389.1555405,439.8825915
CAALFM_C100190CA,40.12514663,36.47195227,41.50856168,41.16772012,36.97074877,18.9772006,21.45455972,15.98422451,26.66562818,31.4167464,30.22870186,17.32233673,15.12951015,16.4576199,11.10176752,16.55838882
CAALFM_C100200CA,1.875632898,3.070029652,2.88527127,2.08189123,3.123265613,3.1768001,2.88979784,1.760377148,3.555417091,2.089093111,2.645011413,2.264757806,2.135930844,3.280403966,1.424825778,2.418641064
CAALFM_C100210CA,107.5139572,104.3810082,112.3944308,93.28215864,90.64733686,98.48080311,105.0835578,105.5522138,96.41454581,96.41968206,124.8553347,137.6605488,144.175332,116.1485404,91.54505621,84.28033862
PHR2,564.096594,349.3693744,289.6418909,205.3684961,188.9938866,213.9324068,262.4461857,268.2110623,294.0539076,276.4834383,443.1743613,400.433664,271.7971999,171.6374075,203.9875571,185.4291483
BFA1,27.73257213,36.59475345,33.44291699,39.69024892,41.03825747,34.10880108,32.31319403,32.67259987,29.38447654,30.93464799,19.48671674,24.78991652,24.20721623,22.85162763,22.79721244,24.6205257
tT(AGU)6,0,0.491204744,0.196723041,0.134315563,0.145268168,0.083600003,0.350278526,0,0.418284364,0,0.431838598,0.367258023,0.059331412,0,0.296838704,0.062016438
CAALFM_C100270WA,504.0093544,503.3620618,580.8575662,558.0140073,515.7019966,604.2608191,880.3375057,127.7329659,874.9463176,330.237411,528.1925853,670.9191976,601.3831954,337.7704084,183.5056866,278.4538046
RFC52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POL93,1236.176053,1231.757297,1429.783063,1396.478911,1330.002713,1619.833651,2308.773335,354.2582973,2301.50514,855.8853777,1461.125897,1727.887787,1592.870427,1036.552053,507.7722865,768.6317269
CAALFM_C100310WA,31.75178548,21.61300875,18.75426326,13.16292519,12.34779428,16.63640053,21.36699009,19.36414863,19.76393618,28.36345647,38.05577645,48.04959129,51.20300885,25.85403126,32.29605096,34.60517215
CAALFM_C100320WA,10.65091538,9.210088957,8.393516422,7.857460447,6.246531226,6.855200216,7.355849048,9.85811203,6.274265454,9.159869795,8.258913188,8.018466827,10.26433433,8.395610151,11.220503,9.798597132
CAALFM_C100330CA,20.36401432,20.38499689,19.01656064,14.17029192,15.03525539,17.89040056,19.61559746,16.97003571,17.04508782,16.23064648,18.89293867,17.56717541,16.55346404,23.63002857,14.90130292,14.6978957
HBR1,9.043230043,5.341851595,4.393481252,7.655987102,5.374922218,8.610800272,8.844532784,6.196527562,9.097684909,8.27602271,8.150953539,8.936611883,7.35709513,7.450409008,4.749419258,6.697775255
HMX1,258.770353,331.4404013,430.8234601,343.1091062,446.917519,1633.293252,1484.655533,845.8964273,919.0753179,839.735081,224.3401517,196.8503001,72.20632881,1038.998456,440.8648427,628.7846602
CDC13,15.20602385,12.64852217,14.09848462,12.4241896,11.91198978,23.07360073,25.22005388,16.82920554,19.554794,20.64988191,9.014630735,8.018466827,6.823112419,23.29642817,15.31687711,18.79098058
CAALFM_C100370WA,3.617292017,4.23664092,4.262332558,5.305464746,7.045506151,10.45000033,7.180709785,5.069886187,7.947402909,8.999170325,4.102466682,2.570806158,4.212530276,11.06441338,6.886657925,8.248186193
CAALFM_C100380CA,61.35999051,75.39992826,95.80412104,108.3926595,140.038514,116.2040037,89.84644194,87.03304621,103.52538,77.13574565,72.65684412,80.18466826,86.97985049,108.0309306,82.28368865,88.74552212
ENA2,1278.779715,2013.079844,2385.463597,2512.439767,2955.480879,1546.098449,1553.660402,771.3972663,1396.442348,1003.166442,718.5254474,1052.683912,1329.023636,1266.069131,768.456036,1039.45751
SVF1,222.3964722,195.9292924,194.4935133,160.6414136,141.781732,156.917205,133.0182703,178.0797523,120.2567545,150.8968024,242.3694132,279.2385165,204.752704,178.1426154,184.8117769,158.2039322
CAALFM_C100410CA,222.5304459,162.650171,171.0834715,119.8766402,108.5153215,151.2324048,149.2186521,141.4639076,128.831584,141.1744845,156.9193506,157.2476433,94.09961997,134.9969632,200.0099185,122.9785956
CAALFM_C100420WA,61.4269774,50.47128748,54.22998501,45.2643448,53.89449035,48.98960155,42.90911945,75.90746263,44.23357145,33.90758819,55.43728003,59.25096098,59.80606364,51.09646178,49.98763769,31.75241602
CAALFM_C100430WA,76.3650537,69.68967311,72.06620741,63.39694583,64.06326211,50.07640158,52.19150039,50.06512609,46.22042218,44.83515216,53.49400634,49.45741371,49.71972354,45.9812556,45.29758618,38.57422415
UBP6,188.032198,142.9405806,138.886467,120.1452713,112.2922939,137.0204043,105.521406,113.8611939,87.00314763,113.3734762,105.962396,85.32628058,76.12220203,114.7585388,92.96988198,84.46638793
CAALFM_C100450CA,16.94768297,17.43776842,22.09855496,17.39386543,18.52169143,20.56560065,16.55066036,17.25169605,16.31309018,15.50749886,22.29366763,29.93152884,27.05512403,23.0740279,16.80107063,16.43435595
CAALFM_C100460WA,36.10593328,38.43677125,45.37744816,42.64519131,43.28991408,36.95120117,39.40633418,34.43297702,30.74390073,29.32765329,33.7913703,38.74572138,38.92140649,28.96763503,32.94909611,30.32603796
CAALFM_C100470CA,26.6607819,30.45469415,33.83636308,28.60921496,30.57894937,23.15720073,24.43192719,18.58958269,21.33250254,20.56953217,19.81059569,24.17781982,22.78326234,17.84762158,18.70083833,22.01583533
GCN20,59.88627895,55.19913315,50.49224723,58.0243233,63.1916531,34.7776011,43.52210687,34.92588262,41.72386527,39.2106707,42.80600103,49.02894602,41.53198864,26.57683213,26.83421881,34.23307352
TTR1,343.441781,339.1154754,366.9540461,401.603534,518.3168236,335.5704106,284.5137328,144.0692658,253.7940376,121.7298486,68.39243797,100.5674885,64.67123945,51.59686239,65.89819221,61.64433892
GLO1,42.00077953,34.13872973,36.13146522,34.18331083,37.55182144,43.89000139,40.54473939,26.33524214,34.82217327,24.58701892,22.77948605,31.27814159,26.75846696,28.63403462,23.68772855,24.00036133
CAALFM_C100510WA,23.51239811,23.27082476,20.00017585,17.99828547,16.63320524,18.9772006,18.56476188,13.09720598,14.22166836,12.77560787,19.97253516,17.56717541,17.56209805,18.84842279,17.81032222,13.08546832
CAALFM_C100520WA,13.19641717,15.10454589,15.08209982,13.70018745,11.91198978,10.45000033,11.55919136,8.379395225,10.56168018,8.75812112,8.744731611,8.630563531,7.653752192,6.838808269,7.955277258,8.124153318
CAALFM_C100530CA,48.76645534,56.85694916,58.75461496,60.71063456,61.52106917,64.87360205,77.06127574,47.38935283,70.79462854,53.51292354,33.89932995,40.94926952,39.9300405,46.42605613,41.26057981,37.8300269
CAALFM_C100540CA,99.20758292,127.1606282,123.2797725,128.4728362,133.0656419,107.0080034,115.8546225,65.20436957,95.47340599,77.37679485,76.65135116,70.88079836,62.65397143,78.17369452,48.9783861,60.52804304
CIS2,98.13579269,94.67971447,101.3123662,113.3623353,116.1419004,80.42320254,66.37778069,46.68520197,63.26551,56.72691294,46.47662912,37.33789896,32.98826526,35.25044262,25.88433496,39.13237209
CNS1,47.56069134,59.43577407,51.80373417,56.2110632,58.47043764,49.32400156,51.84122186,47.0372774,49.56669709,56.00376533,50.1472572,52.88515525,51.14367743,44.48005378,41.79488947,49.42710072
CAALFM_C100570CA,46.22095355,40.27878904,41.04954125,34.85488865,29.9978767,29.09280092,34.15215629,34.15131668,26.77019927,31.57744587,35.35678522,40.1535438,33.99689927,33.30444027,40.60753466,42.48125972
CAALFM_C100580WA,31.75178548,23.08662298,27.27892837,23.57238134,20.41017761,18.9772006,16.46309073,17.25169605,12.86224418,17.59659198,24.50684044,31.09451258,24.44454188,20.07162427,21.37238666,20.1553422
TUF1,376.064396,398.9810536,448.9219799,392.8058646,348.1351647,199.3024063,302.7282162,226.6661616,242.0820754,226.9076518,338.7234004,510.3050224,370.9993213,245.0850963,179.4686802,188.8400523
APC1,51.31195713,54.33952484,59.01691234,40.4961423,34.86436033,33.35640105,44.13509429,51.82550324,35.658742,50.53998334,55.05942125,62.3114445,66.33251899,46.98205681,62.0986568,57.67528692
PSD1,88.69064131,83.81180951,90.88604501,78.91039338,74.59520429,57.1824018,71.01897116,59.07825709,57.40952891,55.36096745,78.7025845,82.20458739,76.9528418,57.32366931,55.74630855,50.72944591
MOB2,40.99597619,42.91901454,41.90200776,36.33235984,36.02650568,34.9448011,38.09278971,34.0104865,33.04446473,31.89884481,28.71726677,26.01410993,28.71640357,30.63563704,29.38703166,28.21747908
CAALFM_C100630WA,9.512138267,9.210088957,8.852536852,7.387355976,6.827603898,7.022400222,8.844532784,10.77350815,7.842831818,10.84721423,8.042993889,13.22128881,12.28160235,9.452011429,11.81418041,12.09320532
RPO41,548.354675,689.2216569,635.6121459,665.0635112,695.9071591,454.4496143,566.312807,404.7459139,510.6206369,426.8177926,491.1084456,534.1155842,485.0342959,384.6968651,249.1664078,328.8731683
SNF7,58.21160672,52.68170883,56.32836411,61.24789682,57.09039004,55.42680175,49.7395507,47.17810757,42.560434,38.32682362,39.83711067,40.09233413,36.96346989,36.86284457,39.00460566,37.51994471
CAALFM_C100660CA,45.75204533,46.17324597,47.6725503,46.60750043,46.70371603,35.27920111,38.96848603,37.10875028,28.12962345,34.30933687,34.33116855,34.39983478,32.33561972,36.69604437,38.23282503,31.93846533
UGA32,22.50759477,19.83239155,20.52477063,16.38649871,20.84598212,19.31160061,15.32468552,42.88278733,16.41766127,25.63156548,27.42175098,29.87031917,35.06486469,30.52443691,36.03621862,26.04690377
ASM3,10.38296783,10.560902,13.31159245,10.54377171,9.587699091,13.54320043,14.7116981,13.59011158,14.01252618,12.13280999,14.79047198,19.52588487,19.46070325,26.41003193,14.90130292,14.38781351
RIC1,2.54550179,2.21042135,2.163953453,3.156415735,3.704338285,5.016000158,3.502785261,6.971093507,5.228554545,6.106579864,5.775841249,3.672580226,4.56851875,13.90001681,12.34849007,11.03892588
CAALFM_C100700WA,7.703492259,7.306670572,6.623009052,10.07366724,15.18052356,12.87440041,2.977367472,8.590640483,6.274265454,4.740634368,13.92679479,8.018466827,14.83285308,18.18122198,17.45411577,12.03118888
TUB2,88.08775931,74.84732292,88.06634809,91.26742519,97.25703851,97.81200309,85.38039073,96.25742246,89.93113818,85.81351703,79.45830204,112.5645839,100.3294183,104.3057261,107.5743462,95.38128094
tP(UGG)3,0.602882003,0.982409489,0.786892165,0.134315563,0.435804504,0.418000013,0.175139263,0.492905602,1.150282,0.080349735,0.593778072,0.06120967,0.711976948,0.111200135,0,0.4961315
CMP1,72.88173546,59.31297288,63.14809621,58.15863886,56.3640492,47.31760149,40.10689124,47.74142826,38.16844818,43.38885693,58.46015021,47.55991392,53.04228263,45.53645506,55.80567629,46.69837747
SPE1,98.87264847,92.53069372,88.45979417,105.6391905,121.9526271,113.2780036,70.23084448,113.5795336,80.20602672,99.63367146,164.9623445,137.9053875,162.8053955,149.675381,145.6884358,132.0329955
VPS27,216.8365604,167.1324143,167.0834363,149.6946952,136.2615416,115.9532037,91.51026494,114.4245146,84.17972818,96.90178047,116.2185627,93.09990873,98.49014448,109.198532,103.1811334,88.3734235
CAALFM_C100760WA,30.67999526,32.35811253,39.41018258,28.40774162,29.92524262,31.01560098,24.34435756,29.0110154,19.45022291,22.65862528,27.58369045,38.92935039,33.99689927,23.74122871,37.93598633,31.07023521
ROT1,43.13955665,48.32226673,52.85292372,70.91861737,88.75885068,120.3004038,54.38074117,82.52648071,84.80715472,79.94798637,76.97523011,55.94563877,95.99822516,90.85050985,94.03850132,84.15630575
HGC1,12.52654828,11.97311564,13.18044376,13.29724076,13.72784188,16.38560052,8.494254258,11.12558358,10.56168018,11.97211052,12.14546057,12.36435343,14.83285308,11.50921392,17.51348352,15.93822445
CAALFM_C100790WA,3.952226463,2.517424315,2.88527127,2.820626827,2.542192941,5.935600187,3.590354892,4.224905156,4.391985818,3.133639667,2.591031588,2.87685451,3.915873214,4.726005714,3.383961222,4.03106844
ERG2,4.622095355,3.438433211,4.196758211,2.753469046,2.106388437,7.440400235,7.005570522,5.421961616,7.319976363,6.910077214,5.128083352,6.427015395,4.034536039,7.61720921,4.452580555,4.961315003
CAALFM_C100810WA,1.808646009,1.903418384,2.032804759,2.887784609,2.832729277,5.016000158,4.378481576,4.365735328,3.973701454,4.981683573,3.778587733,2.81564484,4.746512987,6.282807597,4.571316036,3.53493694
CAALFM_C100820WA,0.937816449,1.228011861,0.852466512,0.604420034,0.798974924,5.768400182,1.13840521,1.830792234,1.882279636,1.365945496,2.429092114,0.979354727,1.542616721,7.172408672,7.005393406,5.023331441
CAALFM_C100830WA,90.29832665,93.51310321,95.93526973,87.30511608,76.04788598,47.5684015,32.31319403,78.44240572,38.27301927,64.68153671,81.18565644,66.6573311,41.11666875,60.49287314,63.7015858,49.0550021
NRM1,1.741659119,1.350813047,1.049189553,0.940208942,0.944243092,3.929200124,4.553620839,2.112452578,4.601128,3.535388342,1.889293867,0.918145057,1.364622484,7.394808941,3.027754777,4.589216378
IHD2,6.832662699,5.096249223,6.426286011,5.238306965,4.067508705,3.1768001,2.627088946,7.95690471,3.137132727,4.579934898,7.665135116,9.120240894,8.425060552,6.394007731,9.439470776,7.690038255
CAALFM_C100860WA,12.66052206,9.946896073,10.29517249,15.3119742,17.65008242,30.84840097,11.20891283,12.39305512,10.87539345,9.963367146,10.472086,8.140886167,8.009740666,15.34561855,14.78256744,12.7133697
LRO1,49.90523246,49.73448037,49.77092941,40.76477343,35.0096285,38.53960122,41.42043571,54.85335194,41.93300745,51.50418017,73.4665415,82.3882164,81.87734902,54.32126568,64.47336643,69.64445936
CAALFM_C100880WA,1.875632898,2.82442728,2.491825188,3.827993551,6.609701646,3.511200111,3.940633418,5.633206874,3.659988182,5.142383043,8.798711436,9.303869906,13.29023636,6.171607462,21.01618022,11.90715601
CAALFM_C100890WA,15.80890585,12.58712157,12.45912594,13.23008297,11.04038077,12.12200038,10.59592541,13.37886633,11.39824891,15.5878486,18.13722112,14.0782242,16.90945252,19.18202319,19.47261896,19.28711208
RRS1,27.39763769,30.57749534,26.42646186,29.68373947,29.9978767,34.69400109,34.50243482,24.57486499,30.01190309,29.5687025,36.76026066,42.90797897,36.54815,37.53004538,24.51887692,26.60505171
CAALFM_C100910WA,2.947423125,1.780617198,3.081994311,2.350522356,1.670583933,3.093200098,1.401114104,3.239093953,2.091421818,2.490841787,4.858184228,3.366531874,4.212530276,4.225605109,4.511948296,3.78300269
CAALFM_C100920WA,37.31169729,40.83139437,47.54140161,46.27171152,43.36254816,42.88680135,37.83008082,63.30316225,34.40388891,47.24564421,57.27259407,61.33208977,63.30661696,62.88367603,68.33226958,66.48162105
SIN3,362.8009919,323.2127218,347.3473163,288.442672,264.3880659,217.7780069,253.6892225,255.2546865,209.1421818,217.5870825,361.4489066,372.3996349,332.7305604,288.4531488,278.0784976,287.5702209
RPB11,8.44034804,10.86790497,9.705003363,12.28987403,15.83423032,12.7908004,11.99703952,11.05516849,8.365687272,8.838470855,11.3357632,10.83411167,11.09497411,14.17801714,12.76406426,10.48077794
CDC5,14.20122051,9.88549548,7.672198605,7.454513757,6.900237983,19.31160061,18.65233151,11.33682883,18.61365418,14.78435125,10.52606583,5.814918691,7.238432305,21.35042582,12.70469652,19.53517783
SET1,70.93911567,71.77729327,76.78756039,74.61229536,67.91286856,36.36600115,43.43453723,48.16391877,39.00501691,34.47003634,54.08778441,55.21112273,47.28713563,37.53004538,37.34230892,41.17891453
CAALFM_C100970WA,1.138777117,1.350813047,1.573784329,1.141682287,1.525315765,1.337600042,1.13840521,0.985811203,1.359424182,1.606994701,1.241535969,1.958709454,1.77994237,2.00160242,2.137238666,2.170575314
CAALFM_C100980WA,7.435544702,7.552272944,8.459090769,9.334931642,7.190774319,8.109200256,7.968836468,8.238565054,6.901692,8.034973505,8.744731611,10.03838595,9.90834586,7.22800874,7.242864369,6.263660192
NMA111,201.5635496,233.6292565,215.3461557,225.8516195,230.758485,148.7244047,173.1251615,125.6205133,152.4646505,142.3797305,207.4444665,235.3511828,228.8412574,131.8277594,116.4201396,124.4669901
CAALFM_C101000CA,7.435544702,8.718884212,9.901726404,13.09576741,11.69408753,6.102800193,7.706127574,9.294791343,5.228554545,7.151126419,7.881054415,9.181450565,10.44232857,8.284410017,7.895909517,6.759791692
CAALFM_C101010WA,54.86226226,58.94456932,69.50880787,65.00873259,58.83360806,42.88680135,44.39780318,33.0246753,35.97245527,31.1756972,55.43728003,68.92208891,56.72083019,44.98045439,37.93598633,32.18653108
tA(AGC)4,0,0.061400593,0,0,0,0,0,0,0.104571091,0,0,0,0,0,0,0
HMT1,86.8819953,89.82906762,66.23009052,71.05293293,69.5834525,88.8668028,92.38596125,68.16180318,91.9179889,87.01876306,91.60376261,98.73119841,91.90435771,94.57571435,54.85579243,69.33437717
CAALFM_C101040WA,48.09658645,39.84898489,38.42656737,37.54119991,29.77997445,25.83240082,24.51949683,30.56014729,20.18222054,27.64030886,31.20033871,25.09596488,26.40247849,26.2988318,26.89358655,20.27937508
CAALFM_C101050CA,25.25405723,21.12180401,17.96737109,13.96881857,14.30891455,27.58800087,22.15511677,26.47607231,23.21478218,31.73814534,32.87371328,40.03112446,34.94620187,43.75725291,42.98224429,42.7913419
MBF1,141.0743887,140.3617557,143.6733944,134.5170365,123.9137473,125.483604,116.3800403,123.9305512,102.5842402,123.4975428,108.4994478,118.86918,102.2280235,96.46611664,116.776346,116.9630012
CAALFM_C101070CA,11.65571872,14.42913937,13.57388984,17.46102322,16.85110749,15.13160048,16.46309073,15.4913189,15.99937691,11.16861317,10.63402548,13.16007914,13.64622484,14.67841775,17.51348352,16.99250389
CAALFM_C101080WA,2.143580455,3.131430245,3.934460823,3.626520206,4.358045042,4.263600135,3.677924524,4.929056015,5.228554545,5.142383043,2.321132465,2.999273851,5.102501461,4.670405647,7.124128888,5.953578004
CAALFM_C101090CA,24.04829323,32.91071787,32.78717352,42.64519131,39.87611213,38.62320122,33.27645998,48.86806963,35.658742,38.08577441,24.29092114,25.58564224,32.33561972,21.35042582,41.14184433,32.55862971
CCH1,752.5307133,840.69692,1076.993076,1041.147088,1065.687281,1054.530433,897.2384446,1340.703236,1089.630767,1267.67777,863.3533172,868.4428041,1030.645964,622.0535521,1775.392287,1366.656234
ZPR1,140.9404149,149.6946458,127.542105,128.4728362,124.1316496,190.022806,163.8427806,114.4245146,184.6725465,160.1370219,151.0355497,133.1310332,137.411551,176.3078132,95.99763676,136.4361626
CAALFM_C101130WA,536.4979957,663.6176096,595.3494969,969.7583663,1346.49065,934.8152295,861.3348956,649.6495828,1146.099156,913.2550885,177.431684,115.6250674,166.1279545,378.4140575,297.3136456,446.6423832
CAALFM_C101140CA,536.6989563,615.2339423,697.1864578,774.6650107,908.5797571,703.8284222,845.2220834,565.0810646,878.5017347,691.0077214,311.0317503,265.58876,358.5397248,367.8500448,476.2480161,488.1313799
CAALFM_C101150CA,62.02985941,79.51376799,77.70560125,98.65478117,116.5050708,90.28800285,103.4197348,73.37251954,113.5642047,98.99087358,59.70168618,58.88370295,66.39185041,77.17289331,66.25439866,80.99346743
CAALFM_C101160CA,33.76139216,37.76136472,33.57406569,36.53383319,40.52981889,37.11840117,39.66904308,30.13765678,45.90670891,37.76437547,35.46474487,37.27668929,37.37878977,43.53485264,34.2551864,38.94632278
ZCF17,94.51850067,136.4935183,141.5750153,202.7493426,272.8136196,106.9244034,81.70246621,85.41349923,91.60427563,95.29478577,62.07679847,65.98402472,77.01217321,64.32927778,52.65918603,58.91561567
CAALFM_C101180CA,13.6653254,19.09558444,17.44277632,24.4454325,31.66846064,7.27320023,6.30501347,9.576451686,7.319976363,8.91882059,5.020123703,4.529515612,5.814478409,5.838007059,9.439470776,10.10867932
CAALFM_C101190CA,12.45956139,11.97311564,14.03291027,12.08840069,10.67721035,7.942000251,11.29648247,13.0267909,8.783971636,13.01665708,9.770348281,10.28322463,11.15430552,10.45281264,11.99228363,13.33353407
STB5,64.5753612,63.30401143,68.13174658,65.14304815,64.28116436,38.62320122,38.6182075,39.71410846,29.48904763,38.16612415,50.20123703,52.64031657,50.60969472,36.69604437,47.55356032,42.66730903
CAALFM_C101210WA,78.57562104,69.25986895,71.86948437,63.8670503,59.48731482,65.62600207,78.900238,71.75297256,62.42894127,65.5653838,34.33116855,45.05031744,32.92893385,32.13683886,39.12334114,35.96953378
CAALFM_C101220CA,48.23056023,39.84898489,44.85285338,35.66078203,36.89811469,20.39840064,20.05344562,25.20860076,18.82279636,21.05163058,42.21222296,43.52007568,50.90635179,37.47444531,49.15648932,40.06261865
IFD3,24.51720145,25.35844493,35.67244479,28.27342605,39.58557579,32.85480104,28.81040877,16.26588485,26.24734382,16.79309462,16.08598778,21.66822333,16.07881274,25.68723106,22.14416729,15.25604364
CAALFM_C101250WA,49.16837668,42.12080683,47.60697596,37.9441466,33.48431274,60.94440192,67.7788948,73.16127428,65.25236072,62.27104466,51.33481334,68.61604055,69.89240373,64.27367771,51.47183121,54.20236641
TRS20,2.880436236,3.192830838,3.803312129,4.163782459,5.22965405,4.681600148,4.203342313,3.520754296,5.333125636,3.856787282,3.076850011,3.182902862,4.153198864,6.116007395,4.86815474,6.201643754
CTA9,35.10112994,34.56853388,37.44295216,39.69024892,39.14977129,38.62320122,36.86681487,35.98210891,31.37132727,29.16695382,26.28817466,30.48241587,32.27628831,37.25204504,33.9583477,30.45007083
MED22,0.803842671,1.043810082,0.459020429,1.544628977,2.033754353,3.845600121,0.525417789,1.056226289,0.941139818,1.285595761,1.835314042,0.979354727,1.364622484,2.112802555,2.196606407,2.728723252
CAALFM_C101290CA,24.04829323,17.00796427,16.45916111,14.90902751,10.8951126,12.28920039,14.27384994,20.84286543,13.803384,15.42714913,15.81608865,17.56717541,17.50276664,15.79041909,13.71394811,13.45756695
CAALFM_C101300WA,68.8625221,54.40092544,51.80373417,41.63782459,44.01625492,64.45560203,52.54177891,61.96527562,41.61929418,55.84306586,53.97982476,65.00467,55.94952183,53.04246413,44.94137973,45.52006516
MRS7,169.3428559,169.0358327,165.1162059,145.7323861,140.7648548,137.9400044,151.9333107,143.9284356,120.1521834,125.3455867,140.0776452,171.0198192,132.1903867,115.4257396,97.30372706,89.05560431
DUT1,1.607685341,2.21042135,2.754122576,1.67894454,1.815852101,3.344000106,3.240076366,5.351546531,3.764559273,4.740634368,2.645011413,3.917418908,5.517821347,4.336805244,6.827290184,4.775265691
CAALFM_C101340CA,12.52654828,10.31529963,8.131219034,8.461880481,7.917115159,13.87760044,6.567722364,11.97056461,8.15654509,12.21315973,12.14546057,8.140886167,9.433694562,12.34321492,15.0200384,12.83740257
TIF,624.9206894,613.5147257,602.6282494,531.8896303,483.0166588,531.1944168,621.3941053,508.9602411,574.6181445,625.1209387,654.0195568,678.9988741,649.4416394,647.573983,451.1948296,537.7445299
