,GD1_S1_R1_001 RNA-Seq (Reads) (extracted reads) [GD1_S1_R1_001] (single) sampled (GE) - CPM,GD2_S2_R1_001 RNA-Seq (Reads) (extracted reads) [GD2_S2_R1_001] (single) sampled (GE) - CPM,GD3_S3_R1_001 RNA-Seq (Reads) (extracted reads) [GD3_S3_R1_001] (single) sampled (GE) - CPM,GD4_S4_R1_001 RNA-Seq (Reads) (extracted reads) [GD4_S4_R1_001] (single) sampled (GE) - CPM,GD5_S5_R1_001 RNA-Seq (Reads) (extracted reads) [GD5_S5_R1_001] (single) sampled (GE) - CPM,GD6_S6_R1_001 RNA-Seq (Reads) (extracted reads) [GD6_S6_R1_001] (single) sampled (GE) - CPM,GD7_S7_R1_001 RNA-Seq (Reads) (extracted reads) [GD7_S7_R1_001] (single) sampled (GE) - CPM,GD8_S8_R1_001 RNA-Seq (Reads) (extracted reads) [GD8_S8_R1_001] (single) sampled (GE) - CPM,GD9_S9_R1_001 RNA-Seq (Reads) (extracted reads) [GD9_S9_R1_001] (single) sampled (GE) - CPM,GD10_S10_R1_001 RNA-Seq (Reads) (extracted reads) [GD10_S10_R1_001] (single) sampled (GE) - CPM,GD14_S14_R1_001 RNA-Seq (Reads) (extracted reads) [GD14_S14_R1_001] (single) sampled (GE) - CPM,GD15_S15_R1_001 RNA-Seq (Reads) (extracted reads) [GD15_S15_R1_001] (single) sampled (GE) - CPM,GD16_S16_R1_001 RNA-Seq (Reads) (extracted reads) [GD16_S16_R1_001] (single) sampled (GE) - CPM,GD17_S17_R1_001 RNA-Seq (Reads) (extracted reads) [GD17_S17_R1_001] (single) sampled (GE) - CPM,GD18_S18_R1_001 RNA-Seq (Reads) (extracted reads) [GD18_S18_R1_001] (single) sampled (GE) - CPM,GD19_S19_R1_001 RNA-Seq (Reads) (extracted reads) [GD19_S19_R1_001] (single) sampled (GE) - CPM
CAALFM_C302770CA,11.92366628,13.81513344,12.65584898,12.96145185,12.05725795,12.28920039,11.3840521,23.37780853,13.803384,19.20358668,13.17107724,15.85330464,16.13814416,13.5664164,30.98996066,29.33377496
SES1,146.5673136,148.8964381,150.8209982,133.7111432,134.009885,158.840005,168.3088318,256.4517429,154.5560724,244.6649432,193.7335911,201.4410254,199.7688653,190.6526305,232.5434404,237.7090051
CAALFM_C302790WA,9.177203821,9.946896073,11.21321335,11.48398065,14.16364639,14.71360046,9.720229099,23.94112922,10.56168018,24.10492051,8.420852662,8.385724849,11.09497411,6.672008067,35.73937992,21.89180245
ADH4,1.406724673,1.719216605,1.901656064,1.141682287,0.798974924,2.926000092,1.75139263,1.337886633,1.777708545,1.205246026,0.10795965,0.122419341,0.118662825,1.334401614,1.246722555,1.488394501
FAA21,92.37492022,109.7842604,145.8373478,128.4056784,123.3326747,194.1192061,153.6847033,88.72300827,112.2047805,147.3614141,86.74557839,69.59539528,43.37126242,184.7590234,112.4425009,201.6774549
CAALFM_C302820CA,44.21134688,36.47195227,35.93474218,36.1308865,37.91499186,49.74200157,31.34992808,37.31999554,30.22104527,43.71025587,39.78313085,25.58564224,30.14035747,53.32046447,59.18963751,50.0472651
TFC4,16.41178786,13.69233225,15.4755459,14.77471195,11.8393557,15.46600049,15.93767294,27.67312877,18.71822527,21.21233005,19.91855534,19.09741717,22.24927963,25.79843119,34.07708318,34.41912284
CAALFM_C302840WA,6.296767585,5.464652781,4.786927335,5.775569217,5.302288134,6.437200203,5.16660826,7.95690471,5.019412363,8.034973505,4.966143878,3.550160885,3.144564854,3.892004706,7.005393406,7.06987388
CAALFM_C302850CA,20.4979881,19.95519274,18.68868891,20.21449226,20.4828117,23.65880075,17.16364778,58.79659675,19.554794,37.92507494,23.103365,14.0782242,14.29887037,21.96202655,41.20121207,30.13998865
THI6,10.65091538,10.74510378,12.98372072,10.00650946,9.73296726,9.112400288,11.82190026,17.5333564,11.81653327,21.29267979,12.57729917,12.36435343,10.26433433,12.39881499,21.4317544,22.82204902
