,cyr1∆/∆ pH 4 replicate 1,cyr1∆/∆ pH 4 replicate 2,cyr1∆/∆::CYR1 pH 4 replicate 1,cyr1∆/∆::CYR1 pH 4 replicate 2,cyr1∆/∆ pH 7 replicate 1,cyr1∆/∆ pH 7 replicate 2,cyr1∆/∆::CYR1 pH 7 replicate 1,cyr1∆/∆::CYR1 pH 7 replicate 2
orf19.1966,82,68,233,225,166,154,125,176
orf19.1967,214,207,722,748,323,354,501,500
orf19.1968,19,36,47,45,42,43,69,45
orf19.1968.1,27,40,27,18,46,66,33,45
orf19.1969,160,248,120,144,272,385,149,194
orf19.1970,830,817,996,1006,916,1036,491,553
orf19.1971,782,797,748,732,1011,1237,573,838
orf19.1972,335,411,1009,1010,625,711,685,765
orf19.1973,233,318,463,375,331,371,182,234
orf19.1974,16428,16259,5114,4943,16167,15356,1504,1858
orf19.1975,163,171,206,237,251,200,124,115
orf19.1976,150,149,60,33,209,219,36,48
orf19.1977,615,612,1084,1092,928,841,563,615
orf19.1978,2198,3379,778,648,18011,19457,2794,3185
orf19.1979,6262,5387,42071,32805,1256,1273,14884,19057
orf19.198,3525,4959,15449,15617,3379,3900,4887,7769
orf19.1980,130,163,337,247,8,11,52,60
orf19.1981,350,282,1074,882,273,333,432,601
orf19.1985,146,148,1126,999,118,147,519,696
orf19.1986,638,1252,2930,3186,1668,2113,1128,1698
orf19.1988,195,239,210,217,258,315,167,197
orf19.1989,2999,3263,2547,2105,2466,2804,1007,1344
orf19.199,1152,885,1797,1813,877,908,1155,1048
orf19.1990,997,1076,1017,858,898,947,564,677
orf19.1991,2088,2072,2713,2429,1803,1961,1616,1989
orf19.1992,221,236,574,662,205,225,676,875
orf19.1993,813,767,942,896,625,730,638,678
orf19.1994,411,432,1053,896,401,396,610,785
orf19.1995,1961,2848,1583,1356,1913,2248,905,1025
orf19.1996,244,210,2682,2394,318,342,705,1283
orf19.1998,287,287,1074,931,285,326,153,177
orf19.1999,1702,1192,1745,1770,550,561,876,849
orf19.20,3007,3461,3427,2912,4584,4878,2203,2715
orf19.200,575,777,681,578,978,1028,375,393
orf19.2000,227,188,410,423,181,184,189,277
orf19.2001,236,237,219,222,277,286,116,122
orf19.2002,1447,1633,859,868,1952,1881,587,671
orf19.2003,533,413,5458,4690,917,890,4406,5269
orf19.2005,3928,3680,12930,10596,6709,6856,9574,12737
orf19.2006,187,182,238,236,153,201,154,140
orf19.2006.1,459,186,4895,4765,121,121,3338,2689
