,cyr1∆/∆ pH 4 replicate 1,cyr1∆/∆ pH 4 replicate 2,cyr1∆/∆::CYR1 pH 4 replicate 1,cyr1∆/∆::CYR1 pH 4 replicate 2,cyr1∆/∆ pH 7 replicate 1,cyr1∆/∆ pH 7 replicate 2,cyr1∆/∆::CYR1 pH 7 replicate 1,cyr1∆/∆::CYR1 pH 7 replicate 2
orf19.2942,2463,1485,10352,9231,1322,1306,15724,17263
orf19.2943.5,14,18,104,57,3,4,50,60
orf19.2945,38,56,191,192,39,31,258,421
orf19.2946,101,135,235,261,75,78,299,502
orf19.2947,3463,3504,17838,17858,1817,1904,6428,9204
orf19.2948,392,428,3364,3512,336,353,1449,2100
orf19.2949,1360,1466,1264,1151,1533,1417,895,1084
orf19.295,133,122,451,483,65,44,123,152
orf19.2951,4338,4512,5100,5661,5152,5071,2228,3068
orf19.2952,34,44,850,991,73,69,659,773
orf19.2953,635,656,866,867,1228,1200,529,526
orf19.2954,2299,1915,3834,3875,2533,2521,2976,2828
orf19.2956,309,282,909,863,332,365,540,553
orf19.2957,12,21,63,54,7,15,90,122
orf19.2958,128,165,521,457,161,184,511,634
orf19.2959,0,1,138,86,0,1,198,215
orf19.2959.1,5383,3460,6897,7337,2198,2080,7710,9619
orf19.296,354,262,289,280,171,212,116,131
orf19.2960,1010,1487,3990,3985,1911,1982,2146,2760
orf19.2961,244,329,304,265,403,459,256,275
orf19.2962,164,189,943,893,126,129,1041,1287
orf19.2963,281,408,193,167,470,496,112,197
orf19.2964,1848,2001,2791,2450,2032,2035,1870,2207
orf19.2965,1991,1930,1810,1651,2506,2407,1200,1418
orf19.2965.1,407,453,211,245,497,420,97,111
orf19.2966,3051,3517,703,631,3723,3750,300,311
orf19.2967,958,1338,1743,1485,1880,2053,777,1107
orf19.2968,393,426,184,163,485,478,219,271
orf19.2969,1192,1689,1401,1370,1202,1461,621,1037
orf19.297,1534,1275,3550,3272,1231,1314,1846,2185
orf19.2970,829,1372,5324,5130,2173,2376,2324,3928
orf19.2971,347,436,331,306,452,465,220,274
orf19.2972,417,303,1992,2055,146,160,758,988
orf19.2973,860,702,847,788,509,491,380,470
orf19.2974,884,760,1211,1145,971,1013,1114,1129
orf19.2975,145,178,486,422,149,171,413,391
orf19.2977,614,397,1145,1072,493,520,506,592
orf19.2978,111,111,552,551,189,185,252,247
orf19.298,46,34,62,92,167,136,77,110
orf19.2980,339,383,495,508,475,486,315,364
orf19.2982,177,213,186,185,202,195,128,189
orf19.2983,540,655,707,670,753,864,327,374
orf19.2984,372,333,942,775,338,345,358,443
orf19.2985,676,690,917,958,646,662,562,715
orf19.2986,260,241,255,177,242,258,121,101
orf19.2987,1067,1114,1813,1685,1083,1085,856,1008
orf19.2988,1468,1828,6690,6520,1652,1677,2055,3216
orf19.2989,973,1435,8131,7448,1050,1208,2394,3278
orf19.299,1798,2124,1374,1195,6901,7285,1867,2147
orf19.2990,509,871,217,191,734,900,74,75
orf19.2991,15,24,252,270,29,33,144,160
orf19.2992,1968,2385,1041,1315,2780,2640,562,734
orf19.2994,8873,10981,5148,5979,12413,12089,2835,3757
orf19.2994.1,5184,6308,2935,3382,8351,8714,1732,2250
orf19.2995,220,201,259,219,225,228,125,168
orf19.2996,872,930,861,787,1034,954,497,502
orf19.2998,47,54,244,257,72,69,139,224
orf19.30,1130,1502,1589,1485,2402,2361,1032,1154
orf19.300,1100,1188,2495,2200,2449,2476,1323,2021
orf19.3000,1188,1167,1356,1265,1268,1249,768,892
orf19.3001,218,223,932,926,264,275,910,1065
orf19.3002,12387,14031,6011,7468,16445,15641,3605,4698
orf19.3003,9546,9846,4829,4247,11167,10296,3959,4159
orf19.3003.1,5822,6358,3539,4242,8010,7804,2285,2505
orf19.3004,6464,5281,6379,6154,3579,4100,4569,5052
orf19.3006,2153,2313,1304,1254,2058,2187,1066,1078
orf19.3007,479,307,458,460,226,206,179,221
orf19.3007.2,520,492,535,534,762,776,298,394
orf19.3008,764,728,1707,1409,1124,1165,914,1014
orf19.3009,248,337,256,272,265,299,164,181
orf19.301,2184,2366,621,453,29737,25829,388,411
orf19.3010,43,62,52,68,47,64,32,49
orf19.3010.1,25690,27964,43783,46327,18317,17422,36288,33541
orf19.3012,410,561,454,436,468,397,339,386
orf19.3013,1746,1984,4632,4598,3368,3487,4806,4505
orf19.3014,16594,17031,15210,16520,17266,16744,10929,11045
orf19.3015,149,178,626,659,228,224,352,438
orf19.3016,614,611,233,315,601,618,106,129
orf19.3018,281,388,451,449,457,441,266,339
orf19.3019,477,584,463,474,634,707,405,490
orf19.302,154,214,133,149,213,237,87,109
orf19.3021,1643,1753,1294,1174,2266,2365,2072,2610
orf19.3022,1442,1159,2814,2695,1670,1665,1673,1692
orf19.3023,605,632,786,785,966,937,486,542
orf19.3026,1423,1257,1895,1774,1174,1233,869,1028
orf19.3027,2079,1823,3105,2807,1637,1492,1571,1951
orf19.3029,1419,1312,3562,3184,2041,1896,2934,3530
orf19.3030,551,529,834,758,570,493,586,753
orf19.3031,652,613,883,957,988,1007,474,590
orf19.3034,714,988,1138,980,1725,1776,706,881
orf19.3035,2268,2222,2062,1488,4228,4464,1586,2191
orf19.3037,2691,2914,3020,2923,4652,4575,1408,1548
orf19.3038,36689,33899,30159,24086,34656,38763,20602,27665
orf19.304,187,232,241,226,258,238,129,205
orf19.3040,1326,1161,4428,3854,530,629,2326,2770
orf19.3041,2439,2884,2324,2111,2671,2853,842,1188
orf19.3042,99,156,202,217,203,232,221,231
orf19.3043,525,581,285,252,642,657,135,199
orf19.3045,910,1001,1327,1168,1245,1310,788,1017
orf19.3047,4412,3664,4185,3719,3057,3081,2411,2988
orf19.3048,134,205,525,628,151,182,522,384
orf19.3049,1,6,34,39,3,2,42,53
orf19.305,395,360,705,688,429,419,523,560
orf19.3050,1654,1591,2236,2012,1475,1818,1394,1702
orf19.3051,2793,2651,1821,1651,1293,1282,1200,1174
orf19.3052,4071,3202,6635,6613,3664,3819,5011,6208
orf19.3053,18126,16972,7729,8881,9141,8837,4569,3465
orf19.3054,3885,3884,4851,4651,3444,3892,2813,4055
orf19.3055,631,775,947,939,908,885,484,626
orf19.3057,266,287,349,365,317,374,234,201
orf19.3058,2310,2856,1646,1601,3322,3456,881,977
orf19.3059,4427,3452,5632,5034,2331,2242,3855,5215
orf19.3059.1,0,0,2,0,0,0,2,0
orf19.306,264,354,492,468,474,490,397,418
orf19.3060,1183,1176,634,774,1638,1686,490,405
orf19.3061,212,185,399,418,165,149,130,174
orf19.3061.1,1022,1106,867,725,1235,1642,357,510
orf19.3062,437,450,327,383,476,489,203,253
orf19.3063,184,188,343,290,257,261,178,182
orf19.3064,780,571,1256,1398,714,736,684,716
orf19.3064.1,475,491,324,312,264,312,124,163
orf19.3065,1027,916,2229,2100,1483,1381,1697,1796
orf19.3066,2788,3447,2359,2104,2426,2501,1109,1361
orf19.307,538,588,746,707,622,564,575,656
orf19.3071,5491,5271,2155,1884,2555,2654,450,648
orf19.3073,0,1,1,1,0,0,1,0
orf19.3074,2881,2822,914,1163,3654,3251,681,999
orf19.3076,781,776,1001,913,757,573,594,787
orf19.3077,395,416,710,694,278,213,266,365
orf19.308,104,114,489,443,133,150,306,301
orf19.3080,867,887,2571,2395,640,664,1082,1263
orf19.3083,779,513,1606,1457,559,551,716,796
orf19.3084,911,629,2188,1843,604,664,1264,1645
orf19.3086,1184,1393,1987,1607,2370,2325,1121,1342
orf19.3087,11486,12624,6543,7326,13135,12185,3308,4015
orf19.3087.1,38,65,37,32,88,92,35,27
orf19.3087.2,122,110,107,112,167,153,74,78
orf19.3088,24,14,64,80,18,16,61,70
orf19.3089,339,178,3259,2932,246,223,1439,1567
orf19.309,71,67,175,174,50,57,56,97
orf19.3091,1265,1223,1658,1298,1251,1185,820,1018
orf19.3093,2096,2273,2157,1958,3171,3219,1600,1671
orf19.3097,19412,19984,5593,4796,39887,38750,3327,3901
orf19.3098,846,863,1412,1217,761,708,869,1084
orf19.3099,463,1050,2280,2288,944,1059,688,1027
orf19.31,488,583,492,408,278,305,482,397
orf19.310,4,1,114,98,2,2,34,45
orf19.3100,1973,2689,778,711,4168,4352,796,734
orf19.3102,557,414,1215,1256,384,367,987,1087
orf19.3103,1444,1668,2447,1919,1449,1421,1091,1443
orf19.3104,2437,2036,572,607,938,1095,140,163
orf19.3105,450,278,465,627,159,200,349,277
orf19.3106,188,326,460,461,1031,1086,133,145
orf19.3107,50,49,25,23,111,118,45,61
orf19.3108,338,377,199,233,3865,3930,866,1208
orf19.3109,17,7,48,33,56,53,182,199
orf19.3110,112,120,295,226,387,355,371,424
orf19.3111,22,33,54,17,32,38,75,94
orf19.3112,10,11,61,53,8,7,52,54
orf19.3113,113,131,1084,1080,106,107,368,543
orf19.3114,140,195,1218,884,155,192,494,699
orf19.3115,528,766,5318,5421,794,810,2184,3267
orf19.3116,563,582,1129,1056,521,487,652,787
orf19.3117,0,0,35,14,0,0,7,11
orf19.3120,6,9,197,138,0,1,81,46
orf19.3121,3,2,14,14,15,7,1,4
orf19.3122,545,508,968,908,278,328,280,401
orf19.3122.2,2006,1588,2128,2395,1299,1125,1378,1326
orf19.3123,4243,4157,5392,4974,3417,3576,2879,3649
orf19.3123.2,125,151,162,145,114,125,79,82
orf19.3124,189,245,1040,1091,346,307,720,822
orf19.3125,248,266,465,367,346,366,367,410
orf19.3126,1252,1505,2365,2103,2314,2317,1323,1363
orf19.3127,693,929,410,345,917,910,218,299
orf19.3128,1904,1777,1879,1756,2116,2244,1539,1480
orf19.3129,983,1032,1621,1495,1298,1221,973,875
orf19.313,147,209,168,119,177,198,66,77
orf19.3130,279,259,493,547,241,268,292,328
orf19.3131,1604,1526,2360,1996,1965,2134,746,872
orf19.3132,482,395,933,875,293,324,452,592
orf19.3133,1070,1006,6159,5363,973,1234,1410,2302
orf19.3134,2,1,1,3,0,0,0,2
orf19.3135,1135,1125,944,964,1319,1328,899,1004
orf19.3136,2872,2459,2656,2530,3028,3108,2383,2770
orf19.3138,382,412,1358,1336,487,520,449,541
orf19.3139,1015,716,680,548,409,426,141,172
orf19.314,1250,1323,1248,1179,1130,1121,747,961
orf19.3140,12,1,0,7,1,3,9,13
orf19.3140.1,1687,1424,2745,2771,1187,1129,1478,1700
orf19.3141,683,991,852,773,1736,1625,545,560
orf19.3142,472,602,910,931,411,504,688,806
orf19.3147,151,113,180,182,85,107,74,74
orf19.3148,698,737,2080,1785,963,964,1627,1848
orf19.3149,15082,15568,17443,16614,15652,16489,21700,23218
orf19.315,304,278,287,228,316,308,162,208
orf19.3150,2559,2490,619,584,2646,2699,788,862
orf19.3151,267,241,339,355,226,201,274,251
orf19.3152,295,417,659,525,399,468,299,330
orf19.3153,2037,2058,2203,1749,2225,2738,1678,2086
orf19.3154,683,609,910,840,518,574,551,576
orf19.3156,1200,1207,257,324,995,935,126,176
orf19.3158,1069,731,1710,1702,950,1398,1193,1442
orf19.3159,152,150,684,633,144,153,244,343
orf19.3159.4,0,1,4,2,5,2,2,2
orf19.316,2579,2218,1615,1426,2923,3025,1011,1204
orf19.3160,45569,41842,4502,4594,28571,26102,1242,1708
orf19.3161,960,834,1458,1309,675,612,685,938
orf19.3163,383,358,443,419,336,343,349,406
orf19.3166,1678,1537,1586,1328,1983,2078,937,971
orf19.3167,847,685,3200,3022,909,987,1753,1901
orf19.3168,3009,2481,2556,2769,2168,2140,1429,1924
orf19.3169,1492,912,3659,3127,530,592,1013,1667
orf19.317,2969,2724,2463,2351,2180,2193,1443,1440
orf19.3170,419,474,1913,1619,637,648,2493,2526
orf19.3171,14516,8308,46501,44099,5373,5493,44595,45253
orf19.3172,5,5,108,118,6,7,282,248
orf19.3173,302,362,392,424,444,433,518,535
orf19.3174,1544,1853,1470,1152,1990,2218,938,1067
orf19.3175,3060,5360,5407,5608,4027,4382,3579,4934
orf19.3176,1004,933,1493,1305,733,795,953,1234
orf19.3177,456,620,488,492,830,844,284,353
orf19.3178,411,415,442,478,336,378,254,333
orf19.318,362,264,1178,1173,326,350,535,638
orf19.3180,749,814,795,704,713,839,456,561
orf19.3181.1,90,65,143,148,73,84,106,82
orf19.3182,3082,2969,4021,3917,2693,3929,2005,1974
orf19.3183,766,903,600,699,642,648,335,375
orf19.3184,847,928,849,805,563,543,337,399
orf19.3185,2077,2497,2020,1827,2392,2428,1340,1590
orf19.3186,0,0,1,0,0,0,5,4
orf19.3187,1503,1515,3615,3239,1281,1333,2492,3051
orf19.3188,884,755,1167,1127,712,757,637,806
orf19.319,245,233,128,129,352,376,63,87
orf19.3190,4342,2166,2829,3467,2041,2334,1060,1188
orf19.3192,9077,7578,27001,23619,11615,11062,34779,41373
orf19.3193,877,971,737,586,1542,1726,569,646
orf19.3195,459,481,2235,1842,2399,2856,1525,2093
orf19.3196,8,5,51,46,29,24,46,54
orf19.3197,771,721,687,568,585,590,356,532
orf19.3198,6338,6343,3149,2837,5495,5325,1858,2098
orf19.3199,947,1027,846,660,1083,1165,434,556
orf19.320,1721,1539,498,471,1009,953,287,345
orf19.3200,6,8,51,18,5,4,34,37
orf19.3201,365,388,522,440,332,345,298,409
orf19.3202,92,75,107,113,64,73,82,80
orf19.3203,373,413,264,281,431,443,153,203
orf19.3204,45,46,79,77,61,66,70,60
orf19.3205,349,275,757,734,390,364,349,425
orf19.3206,678,768,1862,1526,1130,1176,1233,1422
orf19.3207,527,543,417,442,575,685,281,244
orf19.3208,12,25,29,15,5,3,12,5
orf19.3209,4,6,9,7,5,5,6,4
orf19.321,235,287,546,512,546,635,218,254
orf19.3210,43,33,64,50,51,53,65,51
orf19.3211,483,477,1026,1047,622,624,705,719
orf19.3212,793,671,886,877,717,583,456,545
orf19.3213,593,625,726,691,666,688,906,1112
orf19.3214,72,94,99,92,92,122,82,85
orf19.3215,2811,2448,2130,1945,1850,2036,1566,2018
orf19.3216,419,414,1318,1267,316,351,377,400
orf19.3218,2689,1772,2281,3951,1165,1482,1986,987
orf19.3219,4525,2363,8888,14455,1755,2796,12484,5893
orf19.322,10,5,24,24,4,2,47,38
orf19.3220,812,383,727,1140,425,707,369,301
orf19.3221,1556,2367,4399,4313,3443,3617,1565,1793
orf19.3222,914,1310,581,619,1884,1950,374,484
orf19.3223,11908,9901,14745,15661,13766,12731,10140,8751
orf19.3223.1,526,491,688,820,640,625,618,610
orf19.3225,1673,1927,1717,1490,2118,2096,1082,920
orf19.3226,390,379,519,440,596,641,258,330
orf19.3227,157,212,620,492,279,358,360,491
orf19.3228,782,719,669,617,539,660,409,495
orf19.3229,0,0,2,1,0,2,1,6
orf19.323,1018,940,1857,1536,698,657,1041,1361
orf19.3230,2591,2793,3910,3288,2863,3052,2902,3186
orf19.3231,412,403,448,482,409,344,359,388
orf19.3232,153,68,20,21,51,36,12,10
orf19.3233,1086,1106,1780,1747,957,883,1287,1550
orf19.3234,145,166,184,192,89,89,67,98
orf19.3234.1,338,256,602,713,262,259,497,507
orf19.3235,852,760,656,582,754,843,510,459
orf19.3237,2078,2260,3828,3403,2211,2175,2430,3155
orf19.3238,15,16,73,50,6,16,34,77
orf19.3239,662,696,568,545,734,729,368,422
orf19.3240,581,566,932,952,654,674,609,554
orf19.3241,1070,1258,1219,953,1080,1164,830,1009
orf19.3242,836,865,1064,1140,1065,1092,722,903
orf19.3243,1864,2195,2446,2164,2411,2655,1542,1890
orf19.3244,330,249,592,575,250,240,342,321
orf19.3245,1536,1423,2409,2115,1123,1048,987,1285
orf19.3247,1904,1743,1489,1344,2042,2150,1069,1221
orf19.3248,203,240,207,240,335,302,165,189
orf19.3249,380,418,771,879,508,500,710,754
orf19.325,1209,1382,1558,1304,1789,1878,885,1126
orf19.3250,445,581,402,364,767,810,343,353
orf19.3251,508,557,490,454,466,517,329,302
orf19.3252,293,359,365,318,334,297,212,243
orf19.3254,133,154,129,117,138,155,95,105
orf19.3255,27,24,77,88,60,64,95,62
orf19.3256,1415,1409,1337,1284,2460,2701,1299,1755
orf19.3259,739,548,925,821,530,536,618,552
orf19.326,226,183,558,539,309,325,163,199
orf19.3260,2558,2928,3916,3514,2478,2550,1857,2414
orf19.3261,431,521,406,347,129,93,428,297
orf19.3263,33,27,252,280,10,21,322,397
orf19.3264,193,89,574,707,75,109,650,451
orf19.3264.1,11802,12604,34401,38741,8114,9042,20675,22688
orf19.3265,47,80,189,176,148,166,158,169
orf19.3265.1,235,249,194,231,308,310,136,102
orf19.3266,193,237,320,340,306,343,225,225
orf19.3267,98,74,150,187,74,94,116,123
orf19.3268,10402,7903,6764,7625,10548,10185,3463,3463
orf19.3269,1062,1233,920,759,1344,1226,557,732
orf19.327,1991,2048,1903,2103,2698,2636,1805,1454
orf19.3271,1,2,0,1,0,2,1,1
orf19.3272,326,361,370,397,283,302,259,256
orf19.3273,637,649,778,642,562,525,343,346
orf19.3275,121,117,248,236,94,105,122,194
orf19.3276,359,323,891,828,226,264,1133,1460
orf19.3277,33,22,26,18,5,9,41,33
orf19.3278,40709,36677,22335,18695,27713,31180,22491,29865
orf19.3279,783,967,829,786,806,926,471,718
orf19.328,628,692,293,277,657,623,140,248
orf19.3280,1,1,2,1,0,1,4,0
orf19.3281,1156,1259,1203,1118,855,962,618,586
orf19.3282,287,325,326,320,527,647,200,266
orf19.3283,96,104,78,121,123,137,85,62
orf19.3284,0,1,1,0,3,0,0,2
orf19.3285,92,117,126,123,112,127,73,91
orf19.3286,691,782,449,443,1016,1022,338,316
orf19.3287,97,110,345,347,116,110,155,226
orf19.3288,246,341,1260,1193,443,490,774,980
orf19.3289,303,363,426,438,373,422,229,283
orf19.329,463,526,1013,873,381,391,377,498
orf19.3290,1582,1231,3089,3633,1567,1507,2785,2435
orf19.3291,169,195,546,635,267,288,252,312
orf19.3292,979,824,1476,1660,717,650,813,1043
orf19.3293,1206,1184,728,708,1643,1730,451,443
orf19.3294,8773,7884,9072,9952,6993,6955,5544,6816
orf19.3295,194,266,336,370,246,288,221,223
orf19.3296,203,254,244,236,296,301,208,192
orf19.3297,943,587,1092,1175,742,733,630,735
orf19.3298,876,782,3384,3047,710,808,4497,5963
orf19.33,43798,37878,18923,18554,30169,27177,24769,20676
orf19.330.1,522,439,379,374,483,453,212,175
orf19.3300,1270,1086,2602,2211,507,567,1104,1553
orf19.3301,496,441,4353,4018,911,913,4341,4662
orf19.3302,5793,4956,8000,6990,3749,4084,8446,10092
orf19.3303,580,463,1477,1303,333,367,790,852
orf19.3304,189,194,523,492,208,241,309,381
orf19.3305,258,258,300,313,433,393,356,374
orf19.3306,19,24,35,36,18,20,88,91
orf19.3307,543,683,883,803,685,672,541,599
orf19.3308,582,496,1700,1792,538,576,1042,1134
orf19.3309,582,546,1369,1286,683,766,665,909
orf19.331,214,252,336,371,291,267,183,260
orf19.3310,1505,1331,1107,1080,799,805,454,531
orf19.3311,231,271,702,469,178,195,199,299
orf19.3312,1924,2144,2254,2342,2085,2267,1748,2038
orf19.3314,305,269,623,639,374,392,692,821
orf19.3315,1716,1850,2909,2691,1658,1735,3254,3449
orf19.3317,71,90,98,78,101,89,47,58
orf19.3318,227,319,299,262,326,324,189,236
orf19.3319,2853,2482,2132,2187,2130,2133,1214,1012
orf19.332,726,737,598,561,592,606,362,425
orf19.332.1,1490,1208,1772,2038,1314,1211,1673,1364
orf19.3320,4,1,5,5,1,0,5,7
orf19.3321,3823,3407,4484,4411,2978,3052,1224,1418
orf19.3322,337,290,616,720,460,443,545,342
orf19.3323,550,602,514,427,543,605,282,300
orf19.3324,5726,5285,9727,9139,7413,7874,4982,5650
orf19.3325,7865,12191,3624,3019,8357,9288,1041,1607
orf19.3325.3,5762,5941,2608,3485,6176,5614,1568,1639
orf19.3327,192,164,481,651,149,154,334,438
orf19.3328,528,544,1013,931,567,554,1048,1358
orf19.3329,1190,1142,1900,1804,1086,1105,1767,2155
orf19.333,344,464,120,95,523,506,100,81
orf19.3330,494,466,1506,1313,403,406,992,1253
orf19.3330.3,43,19,105,103,5,12,69,97
orf19.3331,1533,2330,3296,3310,2494,3152,2529,3792
orf19.3332,1624,1828,875,757,2975,3047,887,1112
orf19.3333,633,711,1186,1347,843,810,945,973
orf19.3334,8055,10825,3996,4158,15295,15421,1862,2419
orf19.3335,15529,12417,10966,11057,13595,12243,5779,6445
orf19.3336,1,1,0,0,1,0,3,1
orf19.3337,12,11,87,46,3,8,244,191
orf19.334,1084,1310,4240,4231,2247,2600,8629,9573
orf19.3340,6552,5915,6421,6879,6304,6232,3554,3161
orf19.3341,1713,1960,3332,3156,2371,2340,1181,1436
orf19.3342,1341,1360,2509,2329,1355,1415,823,1136
orf19.3344,980,892,1026,1018,953,1069,674,869
orf19.3345,2015,2265,3124,2806,2065,2008,1980,2472
orf19.3347,366,307,569,561,220,231,286,316
orf19.3348,547,461,799,842,666,679,353,373
orf19.3349,2851,3280,4028,3386,3873,3809,2140,2617
orf19.335,685,790,748,777,728,775,482,611
orf19.3350,491,441,796,836,585,653,443,459
orf19.3351,1719,1765,1344,1095,897,1105,954,1204
orf19.3352,563,414,1980,1883,190,211,4843,3981
orf19.3353,6224,5818,2921,2784,5914,6403,3927,4041
orf19.3354,4493,5814,1337,1394,5166,4999,914,1344
orf19.3355,2523,2231,1520,1569,1862,2094,836,1169
orf19.3356,432,508,829,772,655,720,515,593
orf19.3357,297,238,556,522,387,431,294,294
orf19.3358,5098,5105,4750,4729,9124,9437,2046,2229
orf19.3359,3339,2979,5114,4615,1885,2151,3171,4056
orf19.336,237,190,875,953,200,218,298,338
orf19.3360,2582,2730,6234,5464,2315,2534,6134,7896
orf19.3362,48,49,275,249,68,69,78,87
orf19.3363,7848,7083,6628,4951,6271,6916,3409,3989
orf19.3364,1592,1395,1271,1463,687,773,503,416
orf19.3365,127,273,610,698,163,186,174,219
orf19.3366,1737,1626,1283,1252,1674,1640,843,827
orf19.3366.1,2364,1011,2671,3455,1366,1737,2843,1613
orf19.3367,382,350,1177,1004,504,557,466,518
orf19.3368,66,43,118,125,8,8,109,86
orf19.3369,5420,5283,8490,7638,2371,2811,4020,5155
orf19.337,1989,1872,1517,1497,1751,1763,1204,1328
orf19.3370,147,158,541,522,185,177,457,499
orf19.3371,1270,1373,1094,980,1580,1786,571,630
orf19.3373,199,162,1553,1215,91,145,697,1124
orf19.3374,1072,17,76122,84306,278,180,213258,186192
orf19.3375,2,0,11,10,0,0,236,211
orf19.3376,28,26,34,17,26,25,39,20
orf19.3378,118,100,778,893,43,63,141,101
orf19.338,18465,21551,3902,3005,27683,28982,2359,3003
orf19.3380,2,10,123,115,1,2,75,101
orf19.339,19060,11904,22949,20344,8360,9525,3915,5182
orf19.3391,4031,3600,4737,4446,3883,4113,2741,2724
orf19.3392,371,363,348,308,468,408,156,154
orf19.3393,158,289,404,440,192,244,218,278
orf19.3394,448,393,395,384,374,429,165,213
orf19.3395,154,113,322,273,94,106,221,259
orf19.3396,1546,1151,6464,5564,1970,1839,7605,8756
orf19.3399,1060,1160,940,900,1178,1232,768,985
orf19.34,411,701,972,748,37,53,529,541
orf19.340,363,444,331,298,322,392,119,139
orf19.3400,1002,1120,896,887,1260,1246,365,428
orf19.3401,984,1067,990,1018,903,948,669,843
orf19.3402,1691,1920,2488,2076,1287,1440,1131,1573
orf19.3404,8,24,76,74,4,10,63,72
orf19.3405,572,585,524,428,599,628,209,269
orf19.3406,189,206,4204,3724,121,158,605,808
orf19.3407,241,199,768,746,156,147,314,416
orf19.3409,1716,1663,953,1078,1767,1884,690,715
orf19.341,354,355,172,135,316,378,144,152
orf19.3411,97,103,119,133,82,92,62,79
orf19.3412,1695,926,4870,4289,898,876,3365,4596
orf19.3413,0,0,5,6,1,1,4,6
orf19.3414,5795,5287,12770,11388,6080,6090,13823,16233
orf19.3415,868,782,1627,1291,995,886,2360,3227
orf19.3415.1,6196,6727,2973,3650,7242,6732,1772,1992
orf19.3417,248,327,389,365,356,349,231,227
orf19.3418,29,19,72,65,37,25,44,43
orf19.3419,5075,4951,8310,8231,2464,2501,1718,2217
orf19.342,205,177,273,204,395,381,131,181
orf19.3420,4,3,7,5,1,4,10,9
orf19.3421.1,279,262,480,530,196,245,339,312
orf19.3422,5906,4937,4478,3662,4693,5260,3007,3516
orf19.3423,467,652,410,501,1057,1088,280,343
orf19.3425,1137,1280,1516,1493,570,657,576,742
orf19.3426,10539,8142,8578,10070,12037,10836,5887,5724
orf19.3427,7,5,16,21,0,0,12,9
orf19.3428,1377,1523,2758,2358,977,1005,1274,1733
orf19.3429,338,392,328,299,418,478,189,249
orf19.3430,558,624,794,839,774,689,887,1094
orf19.3431,292,410,166,150,437,461,126,176
orf19.3432,92,71,449,457,49,44,226,341
orf19.3432.1,859,793,611,764,627,662,717,654
orf19.3433,14,19,70,79,24,27,33,38
orf19.3434,121,120,368,246,100,96,177,260
orf19.3435,79,72,256,191,47,29,111,161
orf19.3436,89,107,42,52,60,56,37,36
orf19.3437,101,114,43,39,88,117,18,29
orf19.3438,681,494,529,396,728,861,283,287
orf19.3439,556,533,1469,1332,696,759,1799,2270
orf19.344,2,3,164,155,1,2,191,307
orf19.3440,2,1,106,102,0,2,47,90
orf19.3441,769,572,2919,2613,402,441,4165,4592
orf19.3442,949,950,194,181,813,838,75,58
orf19.3443,1025,1185,548,480,937,1000,237,255
orf19.3444,195,137,321,308,40,45,166,213
orf19.3445,1480,1168,1578,1588,1135,1289,770,787
orf19.3446,429,413,632,554,244,316,151,191
orf19.3447,621,643,783,693,462,517,400,417
orf19.3448,3526,3251,5889,6818,1401,2084,2409,2184
orf19.3449,549,686,1268,1225,597,672,504,500
orf19.3449.2,183,270,210,173,233,290,144,142
orf19.345,53,81,160,84,28,31,60,45
orf19.3450.1,216,204,278,200,141,142,129,159
orf19.3453,466,570,408,384,1009,932,371,361
orf19.3455,105,135,203,220,93,107,153,188
orf19.3456,261,350,639,588,315,349,629,726
orf19.3457,331,271,201,159,239,185,143,163
orf19.3458,1243,1062,839,890,973,949,617,612
orf19.3459,616,708,533,455,1072,1210,329,396
orf19.346,923,1002,5366,5201,1207,1242,4754,5854
orf19.3460,264,195,237,248,296,344,202,231
orf19.3461,30,17,118,151,37,41,56,55
orf19.3462,2230,2169,2112,2230,2342,2325,1604,1382
orf19.3463,206,266,601,487,315,379,309,396
orf19.3465,11166,14069,3962,4925,15226,14292,2190,2876
orf19.3466,96,113,171,207,179,173,101,112
orf19.3467,2534,2667,1823,1835,4325,4284,1401,1427
orf19.3468,181,224,445,462,228,293,325,334
orf19.3469,872,1019,745,605,959,1110,369,432
orf19.347,1591,1291,2450,2038,1357,1460,5756,6511
orf19.3470,72,136,446,308,201,233,216,248
orf19.3471,73,83,93,119,85,87,69,80
orf19.3473,299,318,382,330,416,444,285,309
orf19.3474,248,211,1248,1176,254,300,857,1081
orf19.3475,6187,5584,28122,30335,5573,6181,37118,34835
orf19.3476,5743,5177,10082,9468,5482,4749,8076,9013
orf19.3477,66,87,162,145,72,121,122,112
orf19.3478,47,47,253,257,63,67,124,115
orf19.348,548,674,387,348,382,465,147,224
orf19.3480,3366,1443,4067,5738,2138,3285,3140,1458
orf19.3481,506,650,882,798,873,900,599,702
orf19.3482,1284,1690,949,894,1575,1673,636,750
orf19.3483,106,108,624,495,96,140,275,412
orf19.3487,70,89,185,171,108,154,147,148
orf19.349,878,771,522,657,754,838,397,429
orf19.3490,313,539,151,183,1107,1064,183,189
orf19.3494,62,89,124,126,102,117,97,81
orf19.3496,7957,8803,4487,4049,11251,11906,3922,4084
orf19.3498,229,209,227,288,174,186,200,216
orf19.3499,177,97,67,114,106,97,116,128
orf19.35,7236,6434,8741,7632,7562,7496,13188,13419
orf19.35.1,943,791,1991,1472,310,695,1186,1208
orf19.350,2237,1998,2458,2482,1634,1751,1404,1678
