,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24
CaalfMp01,-0.678656675,-5.708308745,-2.190046716,-1.291814952,-2.956947123,-5.708308745,-2.204504237,-2.284180091,-2.476889484,-5.708308745,-2.820095471,-2.395756594,-2.808462927,-2.205497935,-1.969753213,-5.708308745,-5.708308745,-2.253368014,-3.631442613,-5.708308745,-3.620760513,-5.708308745,-2.617052194,-5.708308745
CaalfMp02,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-2.959656593,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-3.475827829,-3.576866392,-3.596630599,-3.631442613,-5.708308745,-5.708308745,-3.842104684,-5.708308745,-3.368129056
CaalfMp03,-1.635152206,-1.929068464,-1.647677988,-0.325995734,-2.068260879,-0.820566757,-3.082619412,-0.388677086,-1.944061158,-1.740231414,-1.920974538,-0.194940919,-1.519598454,-2.728189275,-1.170611113,-2.111583171,-0.58664961,-1.871601985,-1.913831417,-1.742715356,-0.169040672,-1.631550899,-1.704278259,-1.294289262
CaalfMp04,-5.708308745,-5.708308745,-1.647677988,-5.708308745,-2.956947123,-2.959656593,-5.708308745,-5.708308745,-3.330919196,-5.708308745,-2.820095471,-3.257398189,-5.708308745,-5.708308745,-3.913536438,-5.708308745,-5.708308745,-3.596630599,-5.708308745,-3.735768076,-3.620760513,-5.708308745,-5.708308745,-5.708308745
CaalfMp05,-3.05813741,-5.708308745,-3.069327771,-1.291814952,-2.956947123,-2.959656593,-5.708308745,-3.155674075,-3.330919196,-3.151686868,-5.708308745,-1.860028092,-4.050902538,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-3.631442613,-3.735768076,-3.620760513,-2.548491928,-5.708308745,-3.368129056
CaalfMp06,-3.05813741,-5.708308745,-3.069327771,-2.747619203,-5.708308745,-5.708308745,-3.082619412,-5.708308745,-1.944061158,-5.708308745,-2.820095471,-1.470252338,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-3.735768076,-5.708308745,-3.842104684,-5.708308745,-3.368129056
CaalfMp08,1.096800307,-1.929068464,0.50513216,0.397067527,-0.346025985,0.00560709,-1.662570956,-0.222771549,-0.148953705,0.597890723,-0.663143251,1.589674786,-0.961250902,-0.560490227,-1.170611113,-2.111583171,-2.230028125,-1.108184055,-0.655676455,-0.220668116,0.405543472,-1.23804743,-5.708308745,-0.828328621
CaalfMp08.1,-1.635152206,-0.415915508,-1.254418422,-1.843387785,-2.068260879,-5.708308745,-1.662570956,-1.744728968,-3.330919196,-0.571502407,-0.663143251,-1.860028092,-3.299874716,-2.728189275,-3.138036672,-1.726670082,-1.296250863,-0.758893538,-2.813433652,-3.735768076,-2.801321374,-0.929195744,-1.704278259,-2.518118375
CaalfMp08.2,-5.708308745,-5.708308745,-5.708308745,-2.747619203,-5.708308745,-2.959656593,-3.082619412,-5.708308745,-3.330919196,-3.151686868,-1.920974538,-3.257398189,-3.299874716,-5.708308745,-5.708308745,-3.475827829,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-3.842104684,-5.708308745,-3.368129056
CaalfMp08.3,-1.241702963,-1.929068464,-3.069327771,-0.108553067,-2.068260879,-5.708308745,-5.708308745,-0.073992109,-1.944061158,-2.279821992,-0.974188828,-1.860028092,-3.299874716,-2.728189275,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-3.842104684,-1.704278259,-5.708308745
CaalfMp09,-3.05813741,-5.708308745,-1.647677988,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-3.155674075,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-4.050902538,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-3.368129056
CaalfMp11,-2.177883805,-2.827641339,-1.647677988,-2.747619203,-2.068260879,-1.525404504,-1.662570956,-3.155674075,-1.555814683,-3.151686868,-2.820095471,-0.911001815,-2.442578567,-5.708308745,-5.708308745,-2.638120669,-2.75167471,-5.708308745,-2.813433652,-2.419395127,-5.708308745,-3.842104684,-5.708308745,-5.708308745
CaalfMp11.1,-5.708308745,-5.708308745,-3.069327771,-2.747619203,-5.708308745,-2.959656593,-3.082619412,-0.79172295,-5.708308745,-2.279821992,-5.708308745,-2.395756594,-4.050902538,-3.556041748,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-1.612849362,-2.932378931,-2.281942714,-1.877586552,-1.704278259,-2.518118375
CaalfMp13,-3.05813741,-5.708308745,-5.708308745,-5.708308745,-1.522396989,-5.708308745,-3.082619412,-5.708308745,-3.330919196,-5.708308745,-2.820095471,-3.257398189,-5.708308745,-3.556041748,-5.708308745,-2.638120669,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745
CaalfMp14,-2.177883805,-2.827641339,-5.708308745,-2.747619203,-2.956947123,-2.0711879,-5.708308745,-5.708308745,-2.476889484,-1.740231414,-5.708308745,-3.257398189,-2.808462927,-2.728189275,-2.636405151,-5.708308745,-3.576866392,-3.596630599,-2.813433652,-3.735768076,-2.801321374,-5.708308745,-5.708308745,-3.368129056
CaalfMp15,-5.708308745,-5.708308745,-3.069327771,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-2.279821992,-2.820095471,-5.708308745,-4.050902538,-5.708308745,-3.913536438,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-3.735768076,-5.708308745,-3.842104684,-5.708308745,-5.708308745
orf19.10,-0.678656675,-0.982587762,-1.254418422,-0.582128891,-2.068260879,-0.820566757,0.146926202,0.501255984,0.549592525,-1.040619587,-1.371269253,-1.163696376,1.027348122,1.257813327,0.859192141,0.520284542,0.242811729,0.136502057,0.992196571,1.681442455,1.325225068,0.360856753,0.679642926,1.533486732
orf19.100,3.670971488,3.154757011,3.634622633,3.685534282,3.70804396,3.928684875,3.023305265,2.918242995,2.856359597,3.626173708,3.399440744,3.384576593,3.625276302,3.594289342,3.696135353,3.512325155,3.629038078,3.740028202,3.190736556,3.20923274,3.404242224,3.561876617,3.160166974,3.847769129
orf19.1002,2.424592786,1.876257148,2.238650284,1.386552148,0.41689354,1.142413019,1.91760519,2.308240598,2.249150154,1.796959267,1.564878094,1.78117344,3.700369063,3.936087891,3.812257517,3.538916046,3.772497025,3.357327936,3.856680918,3.945004438,3.652649833,3.511554738,3.562769613,3.545653473
orf19.1005,-1.635152206,-1.929068464,-2.190046716,-5.708308745,-2.068260879,-2.959656593,-3.082619412,-1.744728968,-1.944061158,-1.740231414,-5.708308745,-3.257398189,-0.474638884,-2.205497935,-1.332792648,-2.111583171,-1.847722058,-5.708308745,-1.15173927,-1.283916971,-1.599679098,-2.548491928,-2.617052194,-1.599397273
orf19.1007,5.135252412,5.142521281,5.079898478,5.307393884,5.299654021,5.404771933,5.335464272,5.186520815,5.312670373,5.577300693,5.518055366,5.536597737,4.185189289,3.972879212,4.182455801,4.350266537,4.215769977,4.351497894,4.380462866,4.284284255,4.30652074,4.507137639,4.312794185,4.465466558
orf19.1008,-5.708308745,-2.827641339,-3.069327771,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-3.330919196,-3.151686868,-5.708308745,-5.708308745,-2.808462927,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745
orf19.1009,-5.708308745,-2.827641339,-3.069327771,-5.708308745,-1.127313466,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-4.050902538,-3.556041748,-3.913536438,-5.708308745,-5.708308745,-5.708308745,-3.631442613,-5.708308745,-5.708308745,-3.842104684,-5.708308745,-5.708308745
orf19.101,4.136037321,3.87060903,3.860013623,3.824165221,4.29633407,4.416553662,3.365474863,3.177703604,3.258395419,3.25486204,3.779923734,3.603214206,3.571285032,3.743700318,3.558318931,3.476090633,3.792836517,3.509956061,3.573035443,3.563359135,3.261908587,3.536935073,3.562769613,3.564731204
orf19.1010,3.24901771,2.097575441,3.003575797,2.30754372,2.57065296,2.5132119,2.644056373,3.069881016,2.978905271,2.975373407,2.974074609,3.039517138,3.081779683,2.572801442,2.90344616,2.642844485,2.935631369,2.471642859,2.827640164,2.962409557,2.777631916,2.71080021,2.455846369,2.810262318
orf19.1011,6.073476325,5.956628611,6.200178754,6.014460308,5.791751011,5.937663964,6.059373981,6.08689676,5.999558474,5.955027472,5.871896697,5.990787552,6.362268271,6.542165594,6.429183053,6.337938913,6.352353957,6.280279852,6.49130522,6.505563571,6.474352435,6.054418497,6.101128105,6.232209068
orf19.1012,2.424592786,1.8276067,2.438190846,0.975028298,1.726367046,1.572128102,1.757999527,2.224510569,2.095084486,1.872500842,2.106264386,2.264304683,4.135317472,3.602139043,3.711822379,3.750894748,3.75877629,3.655264457,3.934260436,4.060746867,3.762461635,3.530631725,3.680767369,3.901280295
orf19.102,6.09067221,5.884139013,6.1153126,6.149817161,6.115292087,6.091423776,5.948204572,6.034590717,6.03530427,6.282070482,6.290583289,6.320362655,5.139600404,5.037145622,5.118367824,5.554614706,5.252225259,5.557631807,5.198178347,5.189408479,5.160432527,5.44082129,5.373471411,5.553462303
orf19.1026,5.915982324,5.753505258,6.07521706,6.564098118,6.435313624,6.349365768,5.905989611,6.026372615,5.855023469,6.701341872,6.62547416,6.789066204,5.001669159,4.984065799,4.88692454,5.410857995,5.16388934,5.520172518,4.812130581,4.832414603,4.875825786,5.498478919,5.378469789,5.394610767
orf19.1026.1,-1.241702963,-5.708308745,-2.190046716,-5.708308745,-2.068260879,-1.525404504,-0.960977331,-1.744728968,-3.330919196,0.188917584,-5.708308745,0.062819637,-2.150966819,-3.556041748,-2.636405151,-5.708308745,-5.708308745,-2.774004631,-2.294620797,-5.708308745,-2.801321374,-1.631550899,-2.617052194,-1.986829877
orf19.1027,3.233618878,3.268477866,3.59934464,2.45140268,2.139318286,2.694841667,3.040751801,3.531322931,3.064433211,2.713040537,2.499010053,3.209069207,6.07804546,6.014839197,6.121889878,5.599517454,5.563688389,5.518173774,5.468729202,5.748829778,6.027464675,5.221612554,4.924888482,6.160345791
orf19.1028,2.904666431,2.638693704,3.003575797,3.41417421,3.171730591,2.56748066,3.497690291,3.069881016,3.305998384,3.440068783,3.348309935,3.551582033,2.237788797,2.695279544,2.483558052,3.147888827,2.781317003,2.657452867,3.398729179,3.358316875,3.564432523,2.879016896,2.493192109,2.841885655
orf19.1029,4.270382962,4.050959329,4.147366485,4.45616853,4.098127549,4.416553662,3.873692344,3.805531585,3.90942317,4.608580665,4.266613681,4.463673123,2.593440565,2.900183022,2.719110497,2.487696845,2.446764789,2.795879277,2.459018582,2.459658674,2.56676303,2.606779621,2.987723179,2.364233161
orf19.103,-0.678656675,-0.982587762,0.162501519,0.080368519,-0.157771643,-2.959656593,-0.960977331,-1.0452353,-0.431677536,-0.218073553,0.165301917,0.062819637,-0.474638884,0.010843549,-1.024832857,-0.090881422,0.319586406,-0.04072711,0.172870327,-0.656481986,0.019721266,-0.361854892,-1.149603774,-0.194179312
orf19.1030,10.20786252,10.07087088,10.29683983,10.73594487,10.6772499,10.72233216,9.99035611,10.09709962,10.03997759,10.90472246,10.79344372,10.84594039,7.667714532,7.468239515,7.50601769,8.714086097,8.446061179,9.04509537,7.436311176,7.626333216,7.512030064,8.922423117,8.909002306,8.897375392
orf19.1031,8.785993725,8.857465576,8.809799937,8.869873993,8.853516287,8.886139823,8.625682596,8.600986769,8.569912542,8.840522903,8.823539125,8.815937853,7.860890746,7.925039555,7.906700573,8.177321221,8.074273042,8.144051527,7.837525152,7.811590312,7.770446148,8.163308546,8.162978843,8.070711828
orf19.1032,6.181751701,6.609571825,6.17643638,6.782202645,6.749479055,6.66773691,6.497131934,6.508731819,6.510740974,6.648596508,6.703838675,6.625151466,4.74879164,4.585247664,4.900677588,5.0866909,5.061431111,5.321322595,4.426624899,4.433658378,4.513087843,5.14114903,5.175188079,4.842908706
orf19.1033,6.034019406,5.772907169,6.092235407,6.36270584,6.32123338,6.114390719,5.881991869,5.917269438,5.868958076,6.613248054,6.587394452,6.79129392,5.457656573,5.380746247,5.351536278,5.543714384,5.535801493,5.487855491,5.386185712,5.53748567,5.391643767,5.573982332,5.348216412,5.588838925
orf19.1034,2.397210884,2.359534918,2.207750482,1.067260092,1.677744968,1.624264058,2.666707474,2.308240598,2.631936186,1.796959267,1.503883,1.320268293,4.929373213,5.239425018,5.001975628,4.791009918,5.298006325,4.296583926,4.594110764,4.31298805,4.279066821,4.251390425,4.22672298,4.6193737
orf19.1035,5.265888099,5.44224584,5.3009549,5.67662286,5.53962704,5.61584841,4.957864246,5.035011585,4.987270255,5.435049508,5.459026099,5.397293474,4.719756486,4.569318892,4.613908408,4.581020836,4.438667543,4.802782171,4.443051507,4.510020442,4.619074768,4.908159605,4.945243545,4.646488911
orf19.1036,5.871903923,5.727223366,5.914674656,5.451267065,5.501720357,5.522776518,5.957420256,5.9217071,5.863002574,5.54879954,5.482928407,5.555069592,6.936965788,7.035790886,6.998134791,6.924049156,6.917656382,6.819188445,7.109028475,7.175505177,7.106185092,6.790998273,6.734521245,6.776201111
orf19.1037,2.397210884,2.458712103,2.327566785,1.386552148,2.065647315,1.859946472,1.991240538,2.601659051,2.494877748,1.63286222,2.298108184,1.744853399,5.514684154,5.519848095,5.443664296,5.168440234,5.134971153,4.822353238,5.546804479,5.38747773,5.425426756,4.951272807,4.951965243,4.962813397
orf19.1039,0.876556498,0.785285835,0.695344931,0.532664855,1.145568033,0.633186966,1.578514625,1.340562603,1.074294919,0.985860799,0.314842307,0.858808113,2.092023939,2.271852536,2.302018727,2.412997143,2.446764789,2.48807445,2.113929659,2.271913344,2.127852785,2.330206202,2.163250397,2.364233161
orf19.104,-0.46258767,0.441722466,-0.121536844,0.080368519,0.530780011,0.154858943,0.270378801,0.679532949,0.76928928,0.302531558,-0.663143251,0.638949319,0.547326175,0.7368127,0.821129045,1.098819767,1.062648449,1.081210961,1.311347708,1.100774934,1.134152289,0.620305557,1.534366353,1.184641442
orf19.1040,2.904666431,2.872494194,2.411319859,2.988250361,2.745969697,2.670253087,2.875573486,2.579362266,2.964144351,2.584151985,2.832418837,2.79502598,3.367497115,3.101888437,3.285306369,3.290335706,3.382941642,3.375106175,3.058389766,3.302155664,3.204692023,3.492222108,3.228196005,3.085907649
orf19.1041,4.262817268,4.606819868,4.447652378,4.655039932,4.613141073,4.660771014,4.451519625,4.755668976,4.787955133,4.668091768,4.549166545,4.446814016,3.928327384,4.049513984,3.807398398,4.241143865,4.185321079,4.123332327,3.838169596,3.934486896,4.091893781,3.882100041,3.877185019,4.077656256
orf19.1042,9.316590712,9.032339918,9.411046906,8.462439438,8.458650114,8.466666488,9.214590585,9.308220717,9.380844448,8.432932577,8.302122879,8.479178092,9.736621385,9.554098048,9.681810777,9.590402446,9.540515827,9.609300846,9.876321852,9.950679793,9.939177018,9.741485132,9.768014362,9.728394753
orf19.1043,1.346273392,0.785285835,0.50513216,0.77073542,1.281937251,0.633186966,1.373484423,1.230402679,0.76928928,0.916167928,0.314842307,0.988728985,1.475085926,1.89111633,1.334873626,1.319370552,1.672767826,1.283027356,2.174209211,1.209457719,1.251803954,1.433524555,0.393959459,1.325521949
orf19.1045,5.084654379,4.525272009,5.000993026,5.037865238,4.7130325,5.218063148,4.766657212,4.828375084,4.873385565,5.023335375,4.993792713,4.840175683,5.238971455,5.110524993,5.092636714,4.894161817,4.932923934,5.068932513,4.889082599,4.821040006,4.92684072,4.995425356,4.796331046,4.795244282
orf19.1047,7.723699851,7.653711356,7.648446404,8.017756557,7.979267872,7.917875454,7.52126369,7.502668228,7.441001333,8.147596559,8.052811591,8.17750824,5.983495933,6.033826331,6.056843243,6.360476193,6.166105544,6.529826314,6.357972828,6.361859908,6.26055967,6.48193042,6.402879112,6.544785908
orf19.1048,1.226922554,-1.929068464,0.027461275,-2.747619203,-1.127313466,-0.820566757,-0.706923106,-1.0452353,0.468238883,-0.571502407,-0.190254942,-0.343438793,4.813646269,5.085544571,4.828165667,2.272174538,2.608497693,1.460045512,3.338540335,2.798092982,2.803555266,1.167123784,1.301581185,1.993839749
orf19.1049,0.616524782,-0.671605966,0.399711725,0.656605315,0.913302124,0.527639633,0.766134699,0.911411639,0.382022107,0.188917584,0.793917096,0.925230546,1.674493659,1.512273438,1.361638091,1.772052354,2.056028123,1.426336961,1.7146103,1.825012821,1.882389389,1.658316723,1.854387982,2.04907341
orf19.105,5.768845331,6.132149265,5.731290535,5.734030087,5.948551232,5.825225736,5.850185855,5.820779068,5.783257108,5.635380835,5.752430295,5.34061913,5.66167686,5.819943007,5.682646349,5.543714384,5.739891665,5.698439843,5.46269963,5.358266147,5.564578437,5.647187464,5.654639607,5.536651575
orf19.1050,1.700041241,1.556206856,1.895094089,1.86896045,1.627426892,1.624264058,1.134411357,1.39264084,1.579407481,1.63286222,1.977582037,1.669349495,2.812361349,2.403456049,2.61172149,3.07707926,2.577569152,2.809018544,2.375901256,2.651676596,2.472954791,1.852758995,2.253074809,2.888057765
orf19.1051,7.161358171,7.082272317,7.229133691,6.681834141,6.816982553,6.808176944,6.158596719,6.193500686,6.451119045,6.715515048,6.664317663,6.569128502,9.16561378,8.987187531,9.057887666,8.579406009,8.764759268,8.796092752,9.22712112,9.131575533,9.212365125,8.824534909,8.82727993,8.635057827
orf19.1052,6.826193093,6.639827175,6.9168361,6.283204501,6.366036673,6.189851679,5.792136444,5.791982066,6.125957963,6.329755693,6.407595243,6.434507403,9.080765437,8.765927717,8.918380529,8.575397607,8.713890277,8.677971948,9.139123806,9.199583172,9.137586963,8.737931068,8.697802673,8.774220677
orf19.1053,5.413270423,4.922742745,5.130202181,4.97377308,5.059868242,5.243287584,5.213845852,5.497190092,5.400263729,5.358293122,5.209709197,5.312975967,4.915651156,4.993049167,5.062365248,5.119361327,4.926801675,4.990368712,5.082360496,5.116843759,5.145307359,5.009092133,4.991650749,4.930085129
orf19.1054,2.673136219,2.253033243,2.298532621,2.381265577,2.622954488,2.240048218,2.061299337,2.135620043,2.47419013,1.944282986,2.146728346,2.339300737,4.322257765,4.072297728,4.167364906,3.86036926,3.871442778,3.852176509,3.887014886,3.772681569,3.948227643,3.816253281,3.877185019,4.016615451
orf19.1055,6.847846226,6.547088409,6.922794255,6.254065386,6.325185028,6.27996105,6.701539511,6.828828341,6.819342183,6.364512944,6.426206754,6.42736338,7.592397128,7.618024201,7.601388551,7.595928237,7.58867944,7.528684529,7.691348343,7.761520157,7.671418185,7.478914279,7.441444131,7.627492398
orf19.1057,4.285396354,4.355496786,4.241904491,4.055691695,4.070144764,4.252322776,4.115159638,3.985871643,4.117169648,3.965015459,4.355611379,3.93681346,4.960256302,4.913269437,4.927796505,5.015891525,5.169085478,4.967113048,4.693570272,4.732745783,4.724605694,4.990840842,4.985111845,4.838996268
orf19.1058,5.122768295,5.293451435,4.903127124,4.782954552,4.961746103,4.842315896,5.081023321,4.950670096,5.051521468,4.755490765,5.004841291,4.975633968,6.342624261,6.157507207,6.332717117,6.231923292,6.189306803,6.221302674,6.404848458,6.37553168,6.444800667,6.212409167,6.189100801,6.263196419
orf19.1059,6.993236376,6.771047647,6.915641511,6.474302023,6.569626998,6.513865064,6.405832238,6.364606652,6.59219842,6.523822994,6.567039442,6.499986544,9.13886638,8.841856521,8.902092168,8.47483457,8.696677331,8.70436155,9.475275357,9.374389985,9.47974452,8.822440048,8.799132337,8.657723936
orf19.1060,-1.241702963,-1.929068464,-1.647677988,-1.843387785,-1.522396989,-2.959656593,-5.708308745,-2.284180091,-1.555814683,-5.708308745,-2.820095471,-2.395756594,-1.358490659,-1.057727831,-1.332792648,-3.475827829,-2.75167471,-2.774004631,-3.631442613,-5.708308745,-3.620760513,-2.174386262,-2.617052194,-1.599397273
orf19.1061,7.273843875,7.594968729,7.231055758,6.626063495,6.904100801,6.62199206,6.44075019,6.233316401,6.686264638,6.454839117,6.691924737,6.395502488,9.945898985,9.759110098,9.763971429,9.267655474,9.612012729,9.532538523,10.19661772,10.09998649,10.18748469,9.699956844,9.660552112,9.476112945
orf19.1062,-1.241702963,-5.708308745,-5.708308745,-5.708308745,-2.956947123,-5.708308745,-5.708308745,-3.155674075,-5.708308745,-3.151686868,-1.920974538,-2.395756594,-1.700985733,-1.822633839,-2.636405151,-5.708308745,-1.847722058,-1.871601985,-0.802857715,-0.422180741,-0.508527775,-2.174386262,-2.617052194,-1.042578188
orf19.1063,0.412840083,-0.010110829,0.940579324,1.153948127,0.293240373,-0.34913109,0.38409513,0.911411639,0.549592525,1.052341561,0.165301917,0.557529125,1.16627176,0.792759254,1.002132649,1.359705369,0.461869021,1.492984412,1.237932194,1.062648468,1.395089915,0.712292631,0.543861074,0.914149732
orf19.1064,9.311786825,9.420021332,9.336457145,8.681176532,8.654710256,8.608496893,10.07336226,10.04770881,10.02260716,8.508877336,8.504937474,8.450216615,9.601961388,9.630087171,9.621233931,10.01081687,10.05826942,9.916572035,10.53160596,10.55295284,10.59345093,10.08789608,10.08917412,10.08412657
orf19.1065,10.81420515,11.04798006,10.92673776,11.00560282,11.027645,10.8987192,10.39655622,10.52940749,10.39180984,10.88796788,11.00957672,10.82814927,10.864044,10.87088598,10.83498966,11.70888435,11.6395051,11.7678746,11.28151473,11.28465873,11.27313328,11.77115244,11.80865719,11.71265397
orf19.1066,6.987509977,6.345874373,6.729671941,6.778796637,6.801464615,6.699979827,7.114795718,7.070798397,6.924114724,7.174991618,7.072739292,7.436484445,6.12394638,6.023633551,6.061952286,6.108646408,5.999635305,5.953419871,6.348194096,6.455867936,6.29065772,5.967256189,5.958212021,6.330227926
orf19.1067,2.650122382,1.725088936,2.790720558,1.919326009,1.521198521,2.645238154,1.991240538,2.224510569,2.494877748,2.20026975,2.46740966,2.433591374,5.737176115,5.523986102,5.518415859,5.586830069,5.909371233,5.063460508,5.400975981,5.570125592,5.132580781,4.696416686,4.695798822,5.652640417
orf19.1069,7.21429094,7.000965236,6.973043382,7.339604055,7.275837071,7.257259716,7.763144742,7.796449352,7.740740048,7.38060867,7.330479643,7.288999153,5.854840903,5.747473034,5.855015637,5.753146956,5.614090245,6.07533431,6.634960546,6.599264491,6.783655995,5.931818324,5.850817255,5.884792565
orf19.107,7.597053107,7.590419522,7.66702344,8.039978249,7.902002675,7.925687285,7.446330358,7.519600551,7.469371388,8.27093984,8.022553408,8.151731517,5.234241118,5.08834163,5.174166059,5.689297932,5.380956482,5.836376412,5.095409312,5.241532914,5.19756591,5.828979751,5.971504772,5.77030276
orf19.1070,2.124131842,1.61472518,1.895094089,1.919326009,1.575290211,1.674581458,1.840008385,2.195484711,2.148288878,1.345331443,1.93200434,2.212049971,3.18343707,3.228996115,3.43772534,2.826738797,3.171384418,2.946164083,2.750548377,2.750919503,2.878642416,3.038564145,2.850567476,3.004413145
orf19.1075,3.526809598,3.174343948,3.339143632,3.226906664,3.189181125,3.133007604,3.108501693,2.918242995,3.132026502,3.25486204,3.348309935,3.44241992,1.882274555,1.966026149,1.832559606,1.647255747,2.184742267,2.052749927,1.199774199,1.342697784,2.226967512,1.852758995,2.067459865,1.87659274
orf19.1077,3.170325334,2.747305804,3.204760813,2.344875496,2.837347028,2.5132119,3.433096654,3.496049027,3.209168001,2.83135277,2.729612279,2.847351403,4.316301918,4.412989282,4.433300882,4.555201666,4.26513217,4.164806681,4.518621152,4.612541788,4.578360591,4.119005721,4.07488363,4.465466558
orf19.1078,5.159901159,4.869665523,5.214221849,4.245311671,4.098127549,4.252322776,4.300381102,4.337654688,4.48086856,4.46953245,4.406488568,4.857288494,6.235453446,6.181282113,6.215647087,5.799703343,5.614090245,5.735040693,6.120761653,6.260244135,6.112879266,5.708504368,5.608587732,5.953351191
orf19.1080,1.027055899,1.062565583,1.083599372,1.067260092,0.636330321,0.290107543,0.587724107,0.501255984,0.382022107,-0.218073553,0.688225612,0.638949319,0.178514414,0.269306285,0.967703198,-0.090881422,0.319586406,0.294321974,-0.085276909,0.186308497,0.186618805,0.113404933,-1.704278259,-0.476687672
orf19.1082,3.10412707,2.393357206,3.395073793,3.465921783,3.043283042,3.077988592,2.621043957,3.519660529,3.105367995,3.99912235,3.645191079,4.045324014,1.617510886,1.297029797,1.279807418,2.116104394,1.485529856,1.864205248,1.160579478,1.755012834,1.493925984,1.658316723,1.460867055,2.178559043
orf19.1082.1,8.408852775,8.454764069,8.402798363,8.502740109,8.536553823,8.486607764,8.401373673,8.376529495,8.404825167,8.537807607,8.573793731,8.461801139,8.360751327,8.246944942,8.171134997,8.222107769,8.425582919,8.296433656,8.04142072,7.912506068,7.89849728,8.431833889,8.390314948,8.364402175
orf19.1083,4.270382962,4.372554441,4.286947508,4.506457105,4.547003726,4.635589682,4.147728722,4.190959511,4.27500653,4.972739603,4.49534451,4.890916937,3.59115279,3.521651164,3.386516289,3.624171093,3.812893239,3.733151698,3.210061587,3.277400782,3.404242224,3.945072181,4.062514021,4.023526707
orf19.1084,8.567729503,8.327145572,8.587417763,8.480373485,8.316018826,8.454118019,8.271161554,8.411264072,8.34376973,8.443808567,8.351645217,8.482973096,7.650360678,7.73821041,7.755656512,7.770636787,7.602668521,7.732067621,8.025146915,8.080220944,7.984935902,7.605761672,7.747007538,7.648321868
orf19.1085,5.67790461,5.887109618,5.752856238,5.687562161,5.768721493,5.811237207,5.807506391,5.825523177,5.797898823,5.7348795,5.643536068,5.74403134,7.191609211,7.226234491,7.070897996,6.953997709,7.134382077,6.912688391,6.911440147,6.890005149,7.023811292,6.90320707,6.726703149,7.02117836
orf19.1086,7.836302565,7.939938544,7.865054627,8.167218444,8.043039054,7.991054157,7.772964851,7.830478087,7.700117215,8.187892625,7.9839903,8.125927212,7.013039935,7.024152022,6.97340293,7.288342309,7.268724744,7.349190797,7.197614527,7.18884122,7.15671447,7.328973054,7.371719371,7.321669662
orf19.1087,4.358205526,4.406076378,4.155485618,4.698950423,4.547003726,4.4239266,4.263705416,4.297241451,4.207675408,4.413728378,4.423056582,4.690668395,3.412857184,3.436406165,3.462663979,3.391074033,3.469722589,3.549636419,3.519824471,3.583694211,3.571993531,3.398410996,3.088770656,3.620495882
orf19.1089,1.508608878,1.556206856,1.815347598,1.313106923,1.072223747,0.910151921,1.715178,1.340562603,1.074294919,1.291301279,0.574174757,1.461250989,4.400344087,4.443893665,4.482903698,3.750894748,3.75877629,3.501887322,4.319490676,4.154357306,4.390163944,3.686181969,3.47215577,3.808294
orf19.109,5.881816165,5.826503269,5.947776764,5.665599977,5.768721493,5.777100755,5.657255683,5.608726687,5.662732208,5.823204595,5.775193587,5.757766516,5.790778928,5.731458549,5.761388505,5.786818276,5.824651282,5.893003067,5.629867057,5.660648474,5.476678213,5.821253617,5.893342908,5.958769797
orf19.1090,2.189438841,2.747305804,2.268902124,2.86517839,2.859314837,2.398137408,2.597658511,2.165862866,2.199600759,2.628406659,2.529933089,2.993821701,1.26851709,1.043944543,0.372335961,0.203158182,0.591370422,1.460045512,0.639931544,0.714815729,0.595582253,0.5720148,0.917998282,1.028500162
