,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24
orf19.1450,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-3.151686868,-5.708308745,-3.257398189,-4.050902538,-5.708308745,-3.913536438,-5.708308745,-5.708308745,-3.596630599,-3.631442613,-3.735768076,-2.281942714,-5.708308745,-5.708308745,-3.368129056
orf19.1451,6.568331318,6.537667089,6.492290701,6.226827442,6.087643448,6.213444058,6.338653393,6.387245098,6.377831351,6.069801976,6.120702348,6.071824859,6.493420799,6.480689218,6.50616948,6.34171966,6.38174477,6.309466271,6.578459616,6.6034201,6.553824312,6.186581818,6.319570118,6.279166099
orf19.1453,8.574621024,8.89299568,8.545169375,8.6544775,8.691146093,8.682979183,8.672251637,8.64794428,8.576296511,8.559041534,8.604986804,8.480904331,7.915836037,7.943693895,7.952811232,7.977164306,8.029265333,8.051726093,7.992735593,7.992950824,7.973206054,8.028333477,8.056293856,7.905639746
orf19.1456,2.020269822,2.4264047,1.895094089,2.518287542,2.459993177,2.398137408,2.474683054,1.939501837,2.249150154,1.978877682,2.589859062,1.669349495,1.898311054,2.310694298,2.062027601,1.546020553,2.245034369,2.138520975,2.358687312,2.16800512,2.086218282,2.006018793,2.529595457,2.153574992
orf19.1457,5.711640939,6.124617652,5.742113682,6.273556708,6.094605442,6.072783287,5.822714317,5.757642561,5.757806043,5.989368511,6.055781873,5.88211525,5.531490472,5.7457024,5.755093491,5.807014897,5.855597759,5.815369081,5.610000152,5.585332593,5.715575364,5.741627509,5.795834445,5.679143182
orf19.1458,4.102521687,3.87060903,4.286947508,4.539034641,4.288259613,4.43126205,3.995003856,4.304056097,4.496340614,4.814144032,4.810745916,4.840175683,2.949507717,2.91286165,3.074984414,3.400771536,3.716813323,3.793891224,2.888878748,3.091093185,3.316942267,3.657542258,3.789839536,3.759452317
orf19.1459,4.427516063,4.532878887,4.627686811,4.796491717,4.760498848,4.808915439,4.41184511,4.668580631,4.526795662,4.619585057,4.586417494,4.66173868,4.744362552,4.798394217,4.851957158,4.723065038,4.791840734,4.690121311,4.679774726,4.609239231,4.781149082,4.846058876,4.847695442,4.778999652
orf19.1460,6.74434902,6.749989747,6.744549522,6.507605396,6.413207847,6.430302505,6.795745972,6.814581794,6.744652846,6.292422262,6.310756275,6.270134514,7.127579878,7.23698775,7.212707676,7.123165936,7.128392456,7.02603961,7.191551018,7.143329077,7.19271687,6.976921632,7.000757637,7.030642943
orf19.1461,0.518274065,0.565559384,0.695344931,-0.893766618,-0.157771643,0.910151921,0.489499288,1.286533821,0.626602483,0.505996231,0.165301917,-0.343438793,3.15034084,3.21882122,3.130508539,2.469381386,2.264584515,2.386554669,2.992955478,3.003240791,3.0508586,2.059538702,1.604301989,2.297374141
orf19.1462,5.946999497,6.009383128,5.957096664,5.407828396,5.323555125,5.339993563,5.915478042,5.801645075,5.968462273,5.24205056,5.324394276,5.173058976,7.07960036,7.196729057,7.082508656,6.904584663,6.956490062,6.78052344,7.110314694,7.123788957,7.121079681,6.771752126,6.866675203,6.835330234
orf19.1464,5.147629426,5.06068989,5.198590826,4.734548421,4.899500888,4.803272736,5.248044142,5.137764501,5.241004284,4.906892729,4.908115859,4.814119739,5.491085848,5.554648527,5.544931186,5.267167613,5.232505758,5.189379439,5.46269963,5.53748567,5.452304617,5.171851142,5.275055785,5.275184551
orf19.1465,1.402439453,1.431528714,1.686799414,1.647826515,1.575290211,2.062479314,1.578514625,1.628086833,1.579407481,1.796959267,1.679637696,1.415770529,2.063863048,1.639774063,2.012220124,1.941079402,1.550680174,1.937826822,2.232070817,1.577122014,1.976550996,2.177199406,1.734757153,2.04907341
orf19.1466,6.009364612,5.554874933,5.933683045,5.958357152,6.003836131,5.945369661,5.699060237,5.910587245,5.870937792,6.457908014,6.290583289,6.54027951,4.529515099,4.181112801,4.470661962,4.798365551,4.612747928,4.904221124,3.94583397,4.267621981,4.070701267,4.891039142,4.711728666,5.066837441
orf19.1467,8.654488063,8.50590516,8.74031364,8.728730173,8.677300451,8.786346151,8.727499968,8.733097057,8.783869734,8.774363049,8.777976416,8.726802456,8.65073582,8.608242559,8.570101426,8.547295447,8.614549755,8.548331525,8.461144273,8.474358816,8.411757213,8.528712204,8.383494072,8.563359899
orf19.1468,6.635781002,6.835516541,6.772533074,6.411907569,6.409490394,6.55305842,6.784139283,6.918151996,6.895225931,6.393652592,6.204552509,6.229639646,7.236847701,7.273083609,7.2494471,7.160748213,7.238766813,7.222959641,7.109671728,7.145040566,7.13071135,7.204819273,7.154359062,7.230533023
orf19.147,4.216570485,4.220699349,3.799127631,3.824165221,3.70804396,3.875900602,3.741235829,3.824614442,3.805609396,3.427599946,3.202378159,3.476044471,4.792350364,4.928958213,4.879998537,4.831009539,4.733409533,4.749256288,4.714019356,4.74483526,4.637208079,4.400562692,4.76613745,4.862313305
orf19.1470,12.07560542,12.33146758,12.09675371,12.47711938,12.56926292,12.50441402,12.09643602,12.0047726,11.99403383,12.4293442,12.44734142,12.31941987,10.86570167,10.85952082,10.7734081,11.21095932,11.27753066,11.29646619,10.48953571,10.41719589,10.49596328,11.33904982,11.25630876,11.17445332
orf19.1471,9.067971745,9.594407374,9.081265945,9.266268651,9.439370678,9.359200315,9.309407509,9.094424839,9.145783648,9.172982103,9.194305813,9.053481604,8.735608116,8.68508697,8.615807592,8.661864161,8.790695882,8.841958941,8.424904717,8.398187241,8.418325908,8.900133773,8.83001911,8.661328772
orf19.1473,5.097471223,5.26175821,5.07134132,5.518158071,5.480616347,5.359349805,4.657802342,4.396228071,4.327850168,5.092105015,5.166084215,5.169638027,3.900731312,3.866099179,3.878620741,4.404293439,4.30344084,4.524761196,4.072655966,4.026493463,4.148617351,4.729815315,4.727484536,4.429493168
orf19.1474,7.575838733,7.918321029,7.670568685,7.062666514,7.090926254,7.070230885,7.599135636,7.510791094,7.499115553,6.826526911,6.959465053,6.721751549,7.777999257,7.994156316,8.006531455,7.578944358,7.589648571,7.515219017,7.951708097,7.923184486,7.842940372,7.473173635,7.561677897,7.404083298
