Gene,Mac1.BCS.R1,Mac1.BCS.R2,Mac1.R1,Mac1.R2,WT.BCS.R1,WT.BCS.R2,WT.Copper.R1,WT.Copper.R2,WT.R1,WT.R2
C2_08310W_A,4151,3427,3260,4419,5573,6749,4772,2310,6507,4303
C2_08320C_A,768,392,560,524,282,617,953,301,260,402
C2_08330W_A,721,587,664,651,1153,843,526,793,639,399
C2_08340C_A,13,15,13,22,63,44,6,20,33,31
C2_08350C_A,0,0,8,3,1,3,1,0,1,2
C2_08360C_A,2,4,0,5,10,13,14,40,3,4
C2_08370C_A,116696,86813,94083,107557,104609,146779,134246,66794,91052,98470
C2_08380C_A,1902,1966,1522,2088,2699,3508,2600,1936,2174,2585
C2_08390W_A,868,2895,710,3203,5877,8697,847,1499,6925,7657
C2_08400C_A,0,0,0,4,3,0,0,0,1,0
C2_08420W_A,1055,1003,823,1110,1148,1678,1030,1828,1097,1235
C2_08430C_A,12,7,14,12,1,8,4,11,5,9
C2_08440W_A,0,0,2,0,0,0,1,8,0,0
C2_08450W_A,3569,2974,2792,2517,2626,3743,5105,2358,1481,1873
C2_08460C_A,192,238,177,185,378,389,261,237,263,256
C2_08470C_A,239,207,305,236,208,234,400,249,145,179
C2_08480W_A,10829,3375,8553,5151,4794,4847,12731,4534,3949,2577
C2_08490W_A,9643,7702,7641,8111,6462,9509,10499,8012,7000,7639
C2_08500W_A,16505,12294,12900,14254,18128,19808,17754,14763,13768,13228
C2_08510W_A,237,155,212,161,348,318,502,429,195,96
C2_08520C_A,5,0,4,5,34,9,15,18,12,1
C2_08530C_A,1543,733,1187,806,338,792,2387,987,258,620
C2_08540C_A,1115,842,994,996,1073,1350,1161,696,751,823
C2_08550C_A,3195,1369,2700,1853,1124,1377,3027,1334,803,784
C2_08560W_A,5602,4840,4805,5342,5680,7319,6546,3518,4606,4866
C2_08570W_A,4585,3135,3870,3572,2987,4890,5567,3402,2276,3145
C2_08580W_A,68,41,51,56,42,110,63,164,51,95
C2_08590W_A,92333,60531,68998,63314,32399,84486,94462,39188,35858,102317
C2_08600W_A,1632,1299,1491,1264,1502,1833,1678,1399,1252,1051
C2_08610W_A,16573,13394,13384,14881,16924,20189,16027,9866,15952,14837
C2_08620W_A,1854,2304,1709,2239,3773,3389,1658,1878,2836,2300
C2_08630C_A,7043,5228,5812,5578,6898,8450,7492,4732,5659,4701
C2_08640C_A,563,774,424,766,901,1714,1105,984,690,969
C2_08650W_A,9966,5792,8395,6356,12919,12928,13639,6661,12570,6278
C2_08660C_A,379,441,389,375,1267,491,385,267,931,196
C2_08670C_A,7336,3016,5686,4729,3543,4535,8607,4844,3218,2953
C2_08680W_A,2887,2145,2428,2124,2109,3180,4160,1814,1496,1825
C2_08690C_A,209,469,219,321,656,580,291,316,379,304
C2_08700C_A,1764,1183,1500,1235,3651,1944,1689,1699,2529,1154
C2_08710W_A,1998,1723,1680,1913,2403,2183,1556,1549,1566,1178
C2_08720W_A,4880,4259,3726,4459,5811,6522,5095,2842,4527,4170
C2_08730W_A,4091,3397,3670,3919,3155,5008,5884,3204,2553,2949
C2_08740W_A,1638,1601,1519,1780,2423,2638,1559,1191,1818,1336
C2_08750W_A,261,282,223,341,323,399,250,208,338,174
C2_08760C_A,63678,41207,48324,52273,48803,67988,73275,40706,43063,40940
C2_08770C_A,709,470,555,584,806,833,590,499,651,583
C2_08780W_A,16866,14722,12663,15829,16548,23654,18765,30422,15191,15376
C2_08790W_A,2659,2484,2136,2497,2843,4244,3165,3347,2307,2365
C2_08800C_A,11080,8774,8858,9148,9430,12379,11931,6996,7524,8711
C2_08810C_A,58225,41265,43009,51559,43775,72022,79100,55639,38559,55197
C2_08820C_A,106,51,80,77,47,48,34,59,36,14
C2_08830W_A,2616,2072,2398,1871,2433,2243,1774,3127,1518,1123
C2_08840W_A,3022,1277,2298,1838,2023,2405,3461,1918,2099,1290
C2_08850C_A,2018,2407,1606,2281,3555,3711,2430,2119,3803,2846
C2_08860W_A,5097,6427,4220,6766,6578,11116,5142,6194,7973,8558
C2_08870C_A,30721,38539,26431,38283,24820,25822,22472,23993,23134,21316
C2_08880W_A,13,11,15,13,6,10,4,1,2,6
C2_08890W_A,17,7,11,11,3,3,27,20,3,10
C2_08900W_A,6244,4379,5427,5657,9120,9099,8380,3816,8200,5246
C2_08910C_A,3214,2680,2700,2656,5124,3625,2845,2798,4079,2386
C2_08920W_A,2967,1623,2522,1786,2980,2705,2517,1830,1416,1590
C2_08930W_A,9528,8044,7051,7788,10447,13515,9248,16893,9117,8565
C2_08940C_A,1406,1122,1184,1436,2381,2563,1367,1547,2410,1977
C2_08950W_A,1000,810,683,1202,1564,1930,838,837,1731,1398
C2_08960C_A,478,587,427,681,571,1009,607,604,536,830
C2_08970C_A,878,781,803,797,956,1074,794,524,688,712
C2_08980C_A,1859,1404,1328,1975,1324,1964,1923,1330,1157,1366
C2_08990C_A,2243,2235,2319,2331,2987,3344,3209,1995,2341,1992
C2_09000C_A,482,310,386,362,372,404,532,396,337,318
C2_09010W_A,2023,1792,1493,1786,4373,3404,2195,1952,2520,2115
C2_09020W_A,13449,10128,11092,12139,10356,16233,18056,11046,8793,10681
C2_09030W_A,659,631,599,570,884,922,593,683,733,661
C2_09040W_A,10873,8983,7865,10412,11092,13836,10093,7229,9638,8857
C2_09050C_A,3016,2696,2755,2088,2821,3650,3911,2464,1419,1732
C2_09060C_A,90532,50314,70846,63241,67565,76768,78378,29552,61905,51146
C2_09070C_A,1956,2340,1701,2203,3076,2992,2187,955,2571,2030
C2_09080C_A,0,0,2,0,2,0,0,0,0,0
C2_09100C_A,4370,3712,3520,4329,2668,5612,5659,2983,2374,3437
C2_09110C_A,129,110,100,129,80,122,156,76,47,50
C2_09120C_A,59,46,39,28,80,68,20,22,13,42
C2_09130C_A,639,606,513,713,1335,1349,1150,1330,936,932
C2_09140C_A,15974,3343,10935,3094,6990,10165,19171,36343,5095,9473
C2_09150W_A,3926,4163,3798,4058,6093,6739,5721,3820,4540,4769
C2_09160W_A,3100,1375,2496,1755,1456,1929,3760,1818,1183,1156
C2_09170W_A,3920,2707,3045,3420,3246,4415,4439,4727,3042,2900
C2_09180W_A,1954,1223,1676,1500,1997,2282,2026,1290,1607,1574
C2_09200W_A,8,2,6,11,4,2,2,118,3,2
C2_09210W_A,0,0,0,0,8,0,0,0,3,0
C2_09220W_A,960,2251,639,1712,3193,3459,2016,2927,1136,1857
C2_09230C_A,10674,8377,8042,9398,10080,15480,11911,9584,8533,9731
C2_09240C_A,1303,962,1158,1144,1201,1579,1440,1150,851,986
C2_09250W_A,1193,719,927,947,1168,1432,1234,1299,1119,1016
C2_09260C_A,2741,2450,2426,2470,3553,5217,3494,5034,3182,3303
C2_09270C_A,11206,9337,8546,12104,11075,16898,13453,11311,9875,11533
C2_09280C_A,145,325,130,198,877,545,114,266,497,519
C2_09290W_A,1441,1226,1171,1248,1301,2053,1490,1171,1216,1311
C2_09300W_A,2524,1876,2015,2359,2056,3148,3241,1798,1642,2026
C2_09310C_A,1219,724,818,988,525,1377,1763,1095,511,971
C2_09320C_A,47094,24286,36331,31483,31745,37534,51797,24104,29066,17167
C2_09330C_A,5,0,10,1,1,1,6,0,0,0
C2_09340W_A,2,0,2,2,1,3,5,0,0,0
C2_09350W_A,1567,704,1394,827,771,781,1685,696,365,178
C2_09360W_A,1961,939,1455,1119,868,1296,2670,1283,563,647
C2_09370C_A,1420,1091,1069,1521,629,1701,2333,1247,655,1202
C2_09380W_A,6973,2278,5084,3869,3310,3865,8370,3421,3117,1826
C2_09390W_A,9850,8472,8108,8219,8769,12710,10218,5832,7005,7816
C2_09400C_A,8017,7362,6855,7234,7879,9325,7736,4004,6195,8534
C2_09410W_A,18,7,8,20,2,12,7,6,3,11
C2_09420W_A,1365,1497,1497,1321,985,1646,1478,875,570,1204
C2_09430W_A,325149,194752,244574,265514,279327,368289,376808,169812,248852,253874
C2_09460C_A,4290,4960,3938,4608,4080,7043,4981,2903,3920,5575
C2_09470C_A,1299,1154,921,1613,1044,1893,1677,1247,999,1491
C2_09480W_A,1405,1114,1117,1130,1702,1643,1219,2053,1109,957
C2_09490W_A,2130,1193,1660,1467,2221,1942,2678,2017,1640,1288
C2_09500W_A,4330,1536,3158,2634,1333,2606,6094,3235,1302,1560
C2_09510C_A,3655,2442,3047,2924,2527,4905,5748,4140,2472,3195
C2_09520C_A,24030,16228,18563,19513,19195,27869,27670,26920,17974,17747
C2_09530W_A,1176,1036,1002,1075,1183,1641,1319,1084,975,1166
C2_09540W_A,27,13,15,21,25,31,14,18,23,17
C2_09550C_A,189,103,101,122,54,135,132,77,56,86
C2_09560C_A,3774,3610,3239,3382,4957,5821,4184,3144,3837,3630
C2_09570C_A,1183,580,1073,591,861,837,1744,979,440,266
C2_09580W_A,4140,2969,3621,3242,3727,5022,4592,3275,2928,3082
C2_09590C_A,2995,4386,2158,3709,2895,7403,2531,6248,1728,5115
C2_09600C_A,3447,2264,2572,2855,2859,3657,3303,2150,2597,2715
C2_09610W_A,1970,1117,1898,1328,1461,1932,2331,1388,1028,794
C2_09620W_A,3052,3042,2548,3160,4277,5016,3225,5436,3242,3304
C2_09630C_A,775,636,638,682,522,1413,644,372,371,498
C2_09640W_A,15723,13908,12232,15951,12484,31532,23226,10562,11382,17808
C2_09650W_A,18542,16225,13395,19202,26923,35230,18992,16453,17826,17680
C2_09660W_A,8611,2842,6171,4610,3579,5009,11098,3849,3111,2628
C2_09670C_A,5285,4172,4250,4191,9633,8714,5436,8449,7677,6980
C2_09680W_A,1890,1525,1550,1956,2125,3062,2045,1623,1515,2357
C2_09690C_A,2173,1767,1801,1881,1827,2979,2860,1785,1507,1827
C2_09700W_A,592,530,572,525,378,702,698,474,291,415
C2_09710C_A,4496,8212,3798,7649,16144,18405,3560,5339,17070,15918
C2_09720W_A,39914,26734,30839,33186,32238,44620,44828,26020,28338,31595
C2_09730C_A,1119,1030,1013,984,2120,1614,1423,911,1598,1075
