Gene,Mac1.BCS.R1,Mac1.BCS.R2,Mac1.R1,Mac1.R2,WT.BCS.R1,WT.BCS.R2,WT.Copper.R1,WT.Copper.R2,WT.R1,WT.R2
C1_00010W_A,2,2,1,1,5,7,7,4,12,3
C1_00020C_A,4206,4059,3048,4618,5493,9224,4519,3478,4554,4438
C1_00030C_A,484,550,407,522,717,921,416,360,715,559
C1_00040W_A,6861,6938,4392,11129,5509,14507,6314,4669,6042,10156
C1_00050C_A,7,5,3,4,3,4,1,5,3,1
C1_00060W_A,36268,29842,25986,36160,29181,52060,39262,28523,24222,37463
C1_00070W_A,23011,16561,17103,21139,17914,30944,25317,14515,15831,22048
C1_00080C_A,4049,3287,2991,4663,4535,6711,4313,4516,4975,5558
C1_00090W_A,506,385,447,474,899,784,572,347,627,595
C1_00100C_A,2917,1677,2229,2101,2310,3101,4026,2370,2001,1975
C1_00110W_A,26429,16863,19962,21158,20220,30880,32637,27469,17851,20820
C1_00120C_A,5948,4216,4390,5072,5403,7220,6098,4650,4281,5020
C1_00130C_A,4629,3612,3550,4178,4312,6634,5729,5353,3913,4725
C1_00140W_A,10222,7329,7646,8592,9835,14164,13589,7858,7572,9681
C1_00150C_A,2471,2060,2111,2694,1576,3353,6807,8652,1553,2994
C1_00160C_A,67648,35709,54404,41688,50773,52858,81286,36122,47872,26981
C1_00170W_A,2469,1288,1957,1797,2128,3408,3108,4386,1746,4719
C1_00180W_A,244069,175901,187774,205066,211145,293954,288341,128846,186562,186084
C1_00190C_A,10,3,6,12,64,22,9,4,54,26
C1_00200C_A,225,150,169,207,350,256,225,172,330,156
C1_00210C_A,14403,16507,10449,17613,18800,32319,14628,11069,18084,23033
C1_00220W_A,28773,24952,24185,27573,20783,27826,53157,46616,19062,26950
C1_00230C_A,2152,1851,2063,2099,2014,2770,2423,1607,1455,1775
C1_00240C_A,1,0,5,0,3,3,5,10,1,0
C1_00270W_A,82,83,65,129,3368,4949,106,103,183,397
C1_00280C_A,0,0,0,0,0,0,0,0,2,0
C1_00290W_A,299,218,198,356,13059,17489,398,594,1142,1219
C1_00310W_A,1838,2599,1486,1919,1583,5380,2365,1034,1143,3007
C1_00320W_A,2157,2038,1583,2261,2121,3526,2420,2888,1956,2265
C1_00330C_A,3619,2508,2684,2996,3236,4571,3789,3396,2857,3207
C1_00340W_A,7664,3832,6012,5617,5393,7406,9291,5356,5119,4699
C1_00350C_A,17510,7749,10762,13691,6282,6615,10528,17890,4541,4363
C1_00360W_A,1085,765,880,977,695,1226,1385,1942,592,895
C1_00370W_A,1162,598,872,809,989,1103,1066,694,848,681
C1_00380C_A,6240,4509,5088,5122,4686,5996,6735,4763,4035,4112
C1_00390W_A,3180,3080,3073,3373,6669,4532,2606,1563,4256,2672
C1_00400W_A,11378,5927,8563,7055,9190,9861,14387,8084,6937,5742
C1_00410C_A,2642,2391,2266,2017,2429,4249,4762,3385,1853,1516
C1_00420W_A,4669,7235,3760,7196,9519,13616,4029,5694,8491,10462
C1_00430W_A,2621,2151,2035,2561,2692,3548,2883,2609,2317,2535
C1_00440W_A,19664,15567,14178,16789,18619,27136,22080,35284,16215,14812
C1_00450C_A,9031,5510,6775,5834,8970,10963,10954,5471,8329,4517
C1_00460W_A,8121,5919,6251,8506,8565,9459,7829,4876,8071,5574
C1_00470C_A,2765,1941,2256,2143,2839,4340,3662,2871,2610,2353
C1_00480C_A,14977,9601,11640,12713,13012,17820,19780,10738,12363,12359
C1_00490C_A,16152,12488,10557,12652,9517,16173,10621,28879,8994,8681
C1_00500C_A,14267,14412,10556,17456,16870,21630,13064,20798,14906,14781
C1_00510W_A,4143,2888,3191,3582,4639,5073,3780,2227,4330,3339
C1_00520W_A,2336,1693,1706,2096,2601,3372,2535,1929,2552,2609
C1_00530C_A,2829,2848,2646,3253,3448,5082,2830,2934,3383,3719
C1_00540C_A,3634,2109,2917,2827,1370,2716,4085,2890,1227,1565
C1_00550W_A,1738,1893,1390,1626,1358,1774,1845,2458,954,1073
C1_00560W_A,4299,1579,3291,2512,1230,2230,6122,3109,919,1534
C1_00570C_A,1812,1917,1807,1982,1990,2795,2676,2426,1324,1854
C1_00580W_A,977,1231,944,1042,1848,1848,734,907,1014,884
C1_00590W_A,49762,34773,39595,53435,46457,48470,45773,25193,40913,25554
C1_00600W_A,3386,2736,2441,3200,2489,4831,4518,3301,2389,3270
C1_00610W_A,13477,12491,10377,13555,14871,22995,14154,11784,13893,14484
C1_00620W_A,2275,1890,1948,1970,1940,3073,2562,1886,1275,1913
C1_00630W_A,510,612,407,668,1000,1021,617,974,607,677
C1_00640C_A,20491,9938,15541,14256,7672,10206,18362,8764,5526,5314
C1_00650C_A,7629,6680,5816,7310,7497,10773,7919,8538,6186,6704
C1_00660C_A,3736,2937,2945,3364,3607,5109,4397,4527,2866,3308
C1_00670C_A,1034,1091,932,993,1046,1901,1065,951,846,968
C1_00680W_A,821,768,637,931,1227,1739,976,569,1078,1233
C1_00690W_A,1952,2085,1857,2137,2696,3255,2487,1774,2557,2268
C1_00700W_A,4586,3297,4228,3584,6894,7043,7031,4005,6946,3567
C1_00710C_A,27968,21378,20885,23809,22935,37695,35632,21026,19032,23173
C1_00720W_A,32,19,32,25,24,22,13,30,8,4
C1_00730C_A,7037,5817,5721,6392,6794,9273,8024,6109,5632,5919
C1_00740C_A,23646,16168,19522,18552,15951,23517,26213,14513,13316,13064
C1_00750C_A,4841,4965,4129,4794,7194,8456,6191,10727,5872,5726
C1_00760W_A,2600,2487,2008,3051,2806,4473,2931,3215,2714,2881
C1_00770C_A,2270,1518,2030,1501,2389,2716,2778,1121,1817,1748
C1_00780C_A,19,9,19,12,58,40,51,48,27,7
C1_00790W_A,1103,1004,959,1123,982,1539,1363,1812,645,1165
C1_00800C_A,6963,4170,5841,4576,5117,4215,7473,2575,3756,3314
C1_00810W_A,684,788,580,866,1177,1095,936,565,833,1012
C1_00820W_A,958,823,887,895,1062,1337,1083,767,973,852
C1_00830W_A,884,824,779,803,2275,2037,1340,1991,1724,919
C1_00840C_A,3661,2350,3293,2659,1997,3508,5716,2449,1187,2408
C1_00850W_A,644,564,416,629,209,855,598,915,152,326
C1_00860W_A,789,811,794,733,941,1171,852,1428,670,704
C1_00870W_A,5785,5677,4474,5511,3713,7709,6976,4197,2647,5141
C1_00880W_A,105,304,99,139,236,357,315,86,230,261
C1_00890W_A,2681,2460,2259,2442,4212,4255,2969,2277,3573,3272
C1_00900W_A,9310,3424,7498,5151,5296,6040,10755,4534,4651,3105
C1_00910W_A,1056,928,1011,821,650,1249,1342,390,337,690
C1_00920W_A,2646,2534,2202,2604,4058,4548,3203,2065,2761,2794
C1_00930C_A,17377,14902,13412,16757,15243,22460,20671,13969,12751,15288
C1_00940W_A,5183,3501,4075,4305,3832,5594,5119,3892,3285,3425
C1_00950C_A,12255,8203,9858,8643,5270,11304,16852,8715,3891,7116
C1_00960C_A,4820,4298,3792,4645,3225,6495,6495,4393,2720,3965
C1_00970W_A,767,606,699,572,748,851,562,375,597,352
C1_00980W_A,3589,2214,2828,3025,2771,2899,2478,1234,2324,1310
C1_00990C_A,12063,5226,9277,7912,5592,8106,14707,8137,4595,4116
C1_01000C_A,1413,1141,1245,1463,1133,2344,2165,1411,1136,1621
C1_01010W_A,7345,4416,6333,5622,9619,11428,11228,6129,8807,5667
C1_01020W_A,4,0,1,4,0,2,2,52,0,0
C1_01030W_A,17251,9624,14022,12541,13392,14419,19892,12083,12205,8011
C1_01040W_A,913,970,614,980,1047,1784,1055,3053,858,1136
C1_01050C_A,10058,7804,7997,7912,7009,12296,11809,10710,5917,7562
C1_01060W_A,39529,28620,28685,33720,39212,47629,39221,44664,33839,34688
C1_01070C_A,2255,1631,1932,1877,1467,2621,2297,955,1056,1453
C1_01080W_A,1224,1018,955,1253,864,1812,1467,898,849,1177
C1_01090C_A,3759,2714,2988,3334,3645,3923,3105,1855,3459,1804
C1_01100W_A,5737,5149,4368,5512,6560,7291,5572,4890,5824,5072
C1_01110C_A,16773,8562,14376,11790,9768,12836,19828,12018,9296,7325
C1_01130W_A,7630,3529,4706,4895,4726,5169,5710,10660,3377,3892
C1_01140C_A,11106,10032,7153,12491,12495,18282,5844,9938,14756,17786
C1_01150C_A,5040,2368,3689,3206,1550,3726,6689,3394,1520,2272
C1_01160C_A,3968,1566,2817,2405,1627,2553,4365,2294,1286,1520
C1_01170C_A,3913,2613,3275,3111,1695,3370,4367,2018,1360,1604
C1_01180C_A,21,45,17,31,57,32,36,46,52,20
C1_01190C_A,2459,2444,2003,2913,3250,4852,2952,3493,3298,3752
C1_01200W_A,1819,1365,1765,1643,2703,2795,2247,1996,2189,1523
C1_01210W_A,2618,2450,1999,2742,3566,4056,2808,6969,2721,2105
C1_01220C_A,70,183,69,121,414,573,127,308,262,388
C1_01240W_A,534,444,350,430,1216,1376,895,570,726,720
C1_01250W_A,8943,8754,6708,9639,8133,11307,8162,6983,7189,5462
C1_01260C_A,1025,1091,1047,1210,1415,1792,886,724,1079,1096
C1_01270W_A,2432,2549,2133,2737,3266,4584,2633,1982,2802,3700
C1_01280C_A,845,604,705,712,553,898,715,489,544,521
C1_01290C_A,1137,1347,1092,1209,2248,2371,1197,1342,1408,1311
C1_01300W_A,8789,7772,6617,8082,8012,11936,8996,12241,7061,7801
C1_01310W_A,24,9,15,11,15,9,17,32,20,8
C1_01320W_A,22377,15168,17293,17321,20739,27210,27337,20854,16079,12889
C1_01330C_A,4323,3485,3329,4404,3662,7231,6515,2920,3668,4574
C1_01340C_A,961,805,820,799,1248,1422,905,1352,776,914
C1_01350C_A,104250,67101,81929,81267,82270,116348,123586,67170,73033,74668
C1_01360C_A,6576,13117,4799,11975,12375,28464,6821,4724,12103,22927
C1_01370C_A,126777,90501,98209,111426,113543,157538,136378,58295,107156,99669
C1_01380C_A,4032,1681,3496,2285,1453,3055,6590,3746,1389,1801
C1_01390C_A,2295,1676,1978,1989,924,1741,2801,2066,619,1306
C1_01400C_A,3128,2931,2688,2988,3561,4777,3446,3489,3086,2976
C1_01420C_A,2769,2195,2201,2582,1948,3501,3607,2432,2209,2177
C1_01440C_A,43,17,57,20,28,21,19,16,20,21
C1_01450W_A,10749,4300,8018,6580,7996,9391,11501,5891,5943,4567
C1_01460W_A,2744,3027,2892,3005,3291,4393,2827,1657,2718,3046
C1_01470W_A,12064,7820,9802,9656,9243,12843,14411,13457,8006,7497
C1_01480C_A,279749,201663,214399,238981,227738,328452,323406,125991,211237,207179
C1_01490W_A,13759,13855,10297,10282,15805,27862,26695,13298,13697,15011
C1_01500W_A,0,0,0,2,0,0,0,2,1,2
C1_01510W_A,486,206,366,178,239,144,213,303,93,52
C1_01520C_A,6810,5870,5868,5782,12074,14597,13169,15998,11141,7268
C1_01530C_A,40180,24762,30919,30171,30362,39637,43241,22038,26007,25075
C1_01540W_A,4473,4110,3420,4141,5333,6625,4289,6291,4753,4345
C1_01550W_A,3730,2960,2936,3595,3859,5434,4220,4345,3149,3599
C1_01560W_A,7655,5853,5452,6722,5407,9790,10882,7036,4848,6523
C1_01570C_A,4338,3124,3534,3190,4287,4567,4503,2122,3393,3106
C1_01580W_A,8600,5256,6651,7424,6944,7294,7289,3404,5704,3401
C1_01590C_A,32722,24980,25902,28697,26813,39989,39918,33366,22960,24911
C1_01600W_A,14441,8348,11416,11429,10259,10300,11209,5728,8525,5399
C1_01610C_A,241,323,198,214,369,411,238,834,193,256
C1_01620C_A,777,348,829,347,1508,981,1841,547,551,423
C1_01630W_A,6850,5573,5560,7345,6605,10768,7655,6293,3086,6515
C1_01640W_A,16543,10342,12134,12016,15556,24874,22202,5046,12944,10363
C1_01650W_A,6685,7835,4774,8965,10449,15262,5564,5892,9688,10148
C1_01660C_A,1,0,0,2,1,2,0,4,1,0
C1_01670C_A,3530,2827,2786,2968,3045,4366,4383,2556,2448,2668
C1_01680C_A,8074,4409,6369,6085,6211,6400,6882,3308,5367,3013
C1_01690C_A,42811,38785,30898,41882,49950,63182,45440,31167,41623,31570
C1_01700W_A,14958,12678,11109,14756,14278,20577,12230,7627,12854,12208
C1_01710W_A,3615,2512,3109,3823,8107,5136,3524,3531,6188,5171
C1_01720C_A,3865,3105,3111,3468,4296,4783,3603,1508,4084,2823
C1_01730W_A,2,2,0,1,1,3,3,5,0,0
C1_01740W_A,21,15,35,16,529,73,105,46,135,21
C1_01750W_A,1853,2666,1608,2951,2843,5327,2624,2466,3100,4246
C1_01760W_A,1655,1684,1427,2034,1273,2357,1644,1629,1183,1497
C1_01770W_A,1043,890,902,899,1981,1654,1310,1137,1446,1028
C1_01780C_A,2969,3052,2844,2775,3716,3655,2166,1250,2287,2395
C1_01790W_A,6281,4912,4602,5795,6512,8253,7604,4752,5680,5912
C1_01800W_A,3662,2681,2605,3202,2469,4663,3907,2621,2629,2807
C1_01810C_A,1350,1979,1043,1738,1978,3364,1812,7065,1362,2166
C1_01820C_A,2464,1549,1888,1887,1497,3154,2784,1985,1453,1954
C1_01830C_A,4057,4771,3286,4444,7556,9178,4034,6907,6211,5001
C1_01840C_A,421,1123,304,947,2965,3395,525,393,2867,1684
C1_01850C_A,2370,1379,1820,1516,2435,2244,2285,2167,1996,1426
C1_01860W_A,6533,3966,5170,5383,4210,6467,8124,6068,3546,4234
C1_01870C_A,40777,23493,30336,27702,24557,31441,42696,29886,22038,21511
C1_01880C_A,890,951,821,914,962,1382,1256,858,689,1057
C1_01890C_A,5132,4489,3761,5278,3488,5799,4159,4363,2796,4373
C1_01900C_A,2697,2151,2185,2160,2689,3855,3284,4127,2240,2720
C1_01910W_A,11463,6150,9362,7654,9825,12576,13449,7121,9480,6371
C1_01920W_A,4621,2634,3764,2669,1719,3436,4319,3183,1104,1755
C1_01930W_A,1385,2862,1176,2562,2288,5844,1336,2202,2582,4119
C1_01940C_A,3798,2526,3182,2951,3437,4409,4112,2459,3293,2962
C1_01950C_A,3057,2479,2510,2519,3697,4531,2611,1914,3474,3105
C1_01970W_A,0,0,0,1,1,0,0,3,0,0
C1_01980W_A,530,287,516,280,3910,1116,163,128,1016,135
C1_01990W_A,24,28,20,11,41,24,8,131,12,28
C1_02000W_A,3850,3418,3120,3163,4058,6083,4551,6046,2850,3300
C1_02010C_A,608,933,652,814,972,1949,727,653,1053,1286
C1_02020W_A,566,655,449,709,1114,1776,827,722,1144,1326
C1_02030C_A,525,300,494,364,580,655,758,816,531,425
C1_02040C_A,2991,5800,2498,3617,9141,6655,3281,5201,6524,3011
C1_02050C_A,8777,8654,6895,8534,10593,11572,8580,8042,9009,7393
C1_02060W_A,1952,2460,1648,1659,2483,4044,2090,1909,1804,2481
C1_02070W_A,147,131,115,137,430,491,221,275,258,243
C1_02080W_A,1914,650,1465,1100,448,849,2962,1588,365,581
C1_02090C_A,1854,1175,1578,1349,805,1758,2402,1382,788,1085
C1_02100W_A,763,810,632,760,701,1206,952,535,469,736
C1_02110C_A,288,221,394,192,21931,303,411,291,4306,96
C1_02120C_A,51697,30277,21265,45118,42307,65586,80794,47917,42409,46213
C1_02130C_A,2826,4193,2477,4234,14906,15370,7838,5973,13868,2676
C1_02140C_A,12,23,13,17,7,33,17,19,9,30
C1_02150W_A,1656,2884,1127,3744,13103,14817,5309,7201,13839,2290
C1_02160W_A,1219,1048,1146,1155,1260,1838,1563,1106,1182,951
C1_02170C_A,167,172,163,237,937,880,522,315,766,161
C1_02180W_A,5839,4696,4433,5846,17003,23843,20458,17036,17563,3544
C1_02190W_A,2827,1066,2212,1921,1682,1834,3526,1719,1589,988
C1_02200C_A,800,605,574,754,872,982,729,573,932,905
C1_02210W_A,5906,3806,4639,4371,5051,5807,7051,5991,4669,4344
C1_02220C_A,1693,1750,1448,1652,2058,2684,1744,1519,1457,1989
C1_02230W_A,9017,7498,7224,8805,7153,11932,11404,6584,6326,7661
C1_02240W_A,9690,6235,7357,7410,5306,8661,12058,10466,4714,5805
C1_02250W_A,4679,3457,3828,3144,2058,4969,5795,2162,2280,5878
C1_02260C_A,10160,7729,8403,8486,9350,12513,10976,6714,8061,8305
C1_02270C_A,59,169,69,93,1017,1122,324,141,392,343
C1_02280C_A,2028,1807,1779,1878,1728,2560,2682,1320,1472,1640
C1_02290C_A,5459,3573,4193,4504,4195,4814,5170,3694,3443,2824
C1_02300W_A,1901,1253,1398,1352,1518,2128,2337,1509,1388,1233
C1_02310C_A,1363,1013,988,1201,1078,1796,1476,869,972,1027
C1_02320C_A,6536,5454,5222,5573,8975,9075,7117,5309,6961,4192
C1_02330C_A,123697,83485,96757,99471,106375,137542,134316,55378,93435,86525
C1_02340C_A,58,34,53,36,45,39,47,841,30,27
C1_02350W_A,4784,3312,3788,3856,4095,4830,5042,3229,3226,2593
C1_02360C_A,89,42,59,55,108,125,188,73,76,96
C1_02370C_A,5484,4607,3618,4285,3646,6973,9358,4611,2754,4761
C1_02380C_A,594,601,495,522,688,775,510,445,558,583
C1_02390W_A,1882,1991,1620,1895,1882,2692,2357,2764,1560,1829
C1_02400C_A,2510,1346,2270,1596,1618,1656,3447,1447,1037,963
C1_02410C_A,4511,4041,4115,4113,5726,5854,4875,2535,4633,3973
C1_02420C_A,28463,21016,21625,21911,20480,25860,34232,25504,15929,17669
C1_02430C_A,14908,9159,12432,10967,10711,16139,21306,15398,9111,8739
C1_02440C_A,1542,990,1102,1206,1681,1796,2002,3092,1319,1274
C1_02450C_A,4926,1437,3626,2360,1812,2282,6837,2760,1464,1161
C1_02460W_A,208095,147281,161204,172852,186256,259178,241951,158981,167636,162257
C1_02470W_A,470,512,451,388,421,813,632,252,236,399
C1_02480W_A,22404,21143,18433,24786,19430,37587,24156,12675,17951,25221
C1_02490C_A,3264,2354,3271,2196,3990,4044,4142,2598,2914,1852
C1_02500W_A,1408,1042,1205,1019,1367,2017,1868,1214,1103,981
C1_02510W_A,1770,1206,1402,1535,1459,2315,2294,1387,1221,1368
C1_02520W_A,1,1,2,0,0,0,1,3,3,0
C1_02530C_A,10142,8619,10776,6415,18086,7120,12726,6730,9207,4470
C1_02540C_A,3,11,3,14,25,57,2,8,29,18
C1_02560W_A,0,0,1,0,2,1,0,1,2,3
C1_02570C_A,50,50,34,42,106,74,74,60,61,47
C1_02580W_A,31,39,46,56,197,40,22,48,66,43
C1_02590C_A,16383,13240,11870,17296,16646,11939,8844,15003,18495,17115
C1_02600W_A,2699,3084,2256,2393,2537,2719,2207,2006,3449,3749
C1_02610W_A,4061,3303,2790,3321,1821,4221,5873,3335,1848,3365
C1_02620C_A,23873,16440,18114,19809,19298,25824,22302,7921,17203,22284
C1_02630C_A,734,1166,637,940,1380,1300,1062,1362,944,850
C1_02640C_A,15426,10846,11976,12596,14344,14997,13517,9331,11869,8706
C1_02650W_A,10987,6183,9161,6703,15096,15068,15590,8146,13750,7772
C1_02660C_A,3646,2579,3230,2942,3332,3736,3526,2459,2653,1686
C1_02670C_A,8,20,5,8,15,40,12,13,11,16
C1_02680C_A,727,1005,750,1024,1580,1967,933,512,1454,1445
C1_02690C_A,8,8,6,2,7,14,6,1,4,2
C1_02700C_A,1304,2284,1004,1374,3215,3566,1396,1751,2544,2155
C1_02710W_A,33764,23703,26061,30163,28208,37285,37550,21202,24970,25650
C1_02720W_A,3310,2261,2808,2493,3313,3535,3236,2234,2218,2401
C1_02730W_A,232,135,156,118,311,525,581,371,202,284
C1_02740C_A,553,634,616,576,585,963,783,503,374,686
C1_02750C_A,10559,7744,8704,9205,7180,12919,12237,8857,5700,8667
C1_02760W_A,18441,14438,13476,16467,17067,24400,18244,24810,13871,15889
C1_02770W_A,3544,2750,2448,3693,2161,4031,3472,1682,2177,3361
C1_02780W_A,4394,5751,3267,6299,4681,8439,3489,4248,4327,6671
C1_02790W_A,25832,15890,19634,20314,20848,27164,30596,19085,18513,17696
C1_02800W_A,39,36,31,67,31,84,44,120,35,71
C1_02810W_A,2697,4937,2221,4840,3626,9562,3090,6911,4502,8810
C1_02820W_A,20901,11280,15305,15194,13240,15763,21658,8838,11113,11377
C1_02830W_A,2491,2071,2187,2206,1476,2715,2941,3026,1208,1927
C1_02840W_A,4897,3082,4522,4378,3242,3958,4071,4243,4116,3306
C1_02850W_A,4462,3064,4169,3537,2393,4251,5088,3063,1614,2713
C1_02860C_A,6051,4908,4659,5430,6337,8546,6298,3742,5058,4849
C1_02870W_A,2262,1647,1945,1719,2047,2629,2727,1540,1535,1737
C1_02880C_A,13224,9419,10301,11747,11745,12054,10750,10617,9345,4318
C1_02890C_A,2194,1341,1940,1451,1437,1336,1385,847,1241,406
C1_02900C_A,2938,1805,2437,2345,1586,2910,3781,1895,1290,1847
C1_02910C_A,702,799,634,705,1036,1238,931,1624,739,694
C1_02920W_A,7653,5964,5960,6860,7773,10138,7777,6529,6888,6856
C1_02930C_A,3410,2445,2644,3297,3466,3539,3086,2883,2810,1729
C1_02940C_A,1988,1705,1609,1904,2230,3358,2397,2984,2154,2222
C1_02950W_A,357,296,277,374,315,505,235,273,211,278
C1_02960C_A,4008,3298,3409,3192,2425,5287,4390,2352,1830,2914
C1_02970W_A,13336,9857,10289,11576,9657,14197,12322,9077,9126,13152
C1_02980W_A,4634,3108,2967,3121,3168,9043,3827,12341,2840,5939
C1_02990C_A,1379,1138,1023,931,320,2218,2303,570,312,963
C1_03000W_A,412,439,433,382,299,503,539,268,254,337
C1_03010W_A,124724,82991,97882,100672,96614,141812,139420,57457,91715,96659
C1_03020C_A,223811,143740,171133,183772,196314,265299,266197,112312,170503,177727
C1_03030W_A,164033,111970,126076,132046,142355,196529,193479,88077,129917,127417
C1_03040W_A,1372,850,1092,1046,587,1441,1685,1060,618,819
C1_03050W_A,2864,2603,2446,2884,1715,3610,3938,3392,1446,2470
C1_03060C_A,6441,2182,4931,3371,3042,3831,8320,3265,2922,2030
C1_03070C_A,5470,4257,4235,5223,3924,7702,7277,4675,3506,5392
C1_03080C_A,1581,963,1326,1150,931,1662,2014,855,668,994
C1_03090W_A,348016,247176,251914,289074,298951,423815,381823,164718,263525,260271
C1_03100W_A,17525,17291,13337,18321,13898,28224,21129,15864,10028,16709
C1_03110W_A,170877,110257,135926,134303,143942,198334,208955,93916,128780,125791
C1_03120W_A,4783,4621,3847,5594,7394,7776,3208,2854,6025,6468
C1_03130C_A,10328,10601,8516,10383,10787,16626,11763,11864,9555,11846
C1_03140W_A,860,656,675,750,1028,1164,755,1264,875,959
C1_03150C_A,1736,2714,1214,1454,1420,3377,2317,1626,1096,2170
C1_03160C_A,4216,3814,3529,4024,5003,5495,3226,2060,4041,3814
C1_03170C_A,362,508,455,376,633,738,505,343,348,423
C1_03180W_A,1241,833,1040,984,1098,1351,1350,943,904,967
C1_03190C_A,81600,61258,65056,63190,62969,108233,111331,62925,52173,72687
C1_03200C_A,2019,1613,1590,1603,878,2260,2750,2355,661,1434
C1_03210C_A,16361,14883,12461,18081,15128,26631,21056,15441,13548,16953
C1_03220C_A,67367,55856,51653,65336,59911,92115,72942,55495,53007,65540
C1_03230C_A,20744,9241,17458,12581,14416,15073,26252,12493,12886,6085
C1_03240W_A,3048,2436,2380,2667,2276,3908,3435,1935,2222,2587
C1_03250C_A,1662,1234,1393,1467,1305,2037,2126,2427,930,1398
C1_03260W_A,1015,994,820,1010,565,1519,1509,1457,488,1118
C1_03270W_A,647,744,473,712,1999,1783,438,1789,1520,1099
C1_03280W_A,11780,8155,9684,11123,8656,11178,10646,6281,7857,5286
C1_03290W_A,4953,3311,3680,4472,2623,5372,5850,4834,2186,3680
C1_03300C_A,8510,5887,6345,7256,7351,8495,7017,5486,6098,4403
C1_03310W_A,9004,6716,6940,7612,7707,10534,9503,6260,6279,6848
C1_03320C_A,407,676,405,488,1967,1518,617,548,1108,617
C1_03330C_A,1023,1050,879,1176,1249,1414,958,1685,857,952
C1_03340C_A,5836,5008,4480,5361,4723,7964,6697,5073,3397,4152
C1_03350C_A,25570,14741,21747,16211,17109,23741,40847,23976,12282,13605
C1_03360W_A,14300,9841,10152,12545,10934,17524,16774,8928,10134,12169
C1_03370W_A,138206,82256,107110,101881,89509,130836,149166,73005,85281,82229
C1_03380W_A,26159,40706,18658,49821,43586,71137,17328,25828,47782,63309
C1_03390W_A,15460,14477,11501,17092,8341,14674,11172,9961,8685,10992
C1_03400W_A,5725,5124,4259,4628,4819,10007,7021,3926,4962,8173
C1_03410W_A,1309,742,957,1029,552,1394,1563,633,428,881
C1_03420W_A,7,6,17,4,9,9,7,7,2,2
C1_03430W_A,1398,1390,1060,1283,1013,2316,1583,1161,1083,1729
C1_03440C_A,6903,5463,5281,6352,5847,9475,9074,7915,5406,6775
C1_03450C_A,7002,7895,5786,7990,7906,12004,6532,6897,6472,8708
C1_03460C_A,1703,1600,1195,1474,987,2591,3002,1234,789,1789
C1_03470C_A,15,22,22,27,33,24,27,49,21,7
C1_03480C_A,5812,5063,4505,6275,5715,8006,6074,4060,5090,6136
C1_03490W_A,4965,6983,4032,6637,7248,9764,4238,3312,7412,7558
C1_03500W_A,14537,11538,10913,13257,16517,20210,15032,13390,13596,11779
C1_03510C_A,16394,20979,12975,25007,17579,35376,13848,20258,21436,32913
C1_03520W_A,20287,17521,14685,18477,20918,29186,21539,34698,17321,18105
C1_03530W_A,4609,3309,3523,4145,2804,5568,5068,4884,2557,3653
C1_03540C_A,1611,1420,1569,1496,1799,2269,2030,1194,1392,1263
C1_03550C_A,7625,7300,6289,8234,9606,12870,7785,7384,7980,10613
C1_03560C_A,14985,9897,11968,12347,10805,14772,14505,13239,10004,9235
C1_03570C_A,4,0,0,0,1,0,2,33,1,0
C1_03580W_A,0,0,0,0,0,0,0,0,0,0
C1_03600W_A,6210,5104,4721,5237,6615,9032,6764,6871,4995,5409
C1_03610C_A,1321,855,991,1249,910,1812,1514,1107,1033,1178
C1_03620C_A,20303,13104,16911,15697,17226,21542,20780,9449,16079,12140
C1_03630W_A,2310,1761,1813,1917,1780,2554,3286,1816,1328,1875
C1_03640C_A,1987,1433,1599,1787,1349,2410,2376,1380,1353,1369
C1_03650C_A,8754,5180,7062,7559,6839,7718,7632,3669,6150,3955
C1_03660W_A,428,386,279,426,448,689,537,385,304,413
C1_03670C_A,2633,2831,2395,2607,3912,4987,4139,2092,3107,3106
C1_03680W_A,16898,9091,12814,10534,8223,12661,21022,6802,5056,10255
C1_03690W_A,5424,4565,4148,5579,6031,8233,6112,5340,5213,5848
C1_03700C_A,1,1,2,2,2,1,0,4,0,1
C1_03710C_A,4647,3242,3490,3463,2703,4787,6576,3582,1896,2805
C1_03720C_A,2381,3672,1853,4427,4466,6041,2985,1846,3534,3443
C1_03730C_A,6795,7247,5255,7203,7306,11784,6730,4992,5735,6994
C1_03740W_A,1853,1121,1619,1160,2138,2134,2640,4096,1297,823
C1_03750W_A,2127,4638,1745,4821,6527,10630,1559,2182,7413,9546
C1_03760C_A,6434,6323,5840,5314,6340,7829,6761,4500,4915,6094
C1_03770W_A,2711,5116,2724,2566,3078,3821,3931,2538,1823,2079
C1_03780C_A,22029,15471,17065,17178,16304,23358,27124,15704,12761,16783
C1_03790C_A,63008,33193,50054,38872,49356,53590,64958,28430,51430,21191
C1_03800W_A,1753,643,1436,912,668,933,2057,979,404,451
C1_03810C_A,715,567,810,518,218,592,753,566,176,335
C1_03820W_A,6308,6087,4245,6021,2617,8188,5535,8809,2432,4248
C1_03830C_A,3843,1694,3110,2294,2338,2588,4721,2707,1967,1724
C1_03840W_A,966,532,789,592,546,695,1151,574,417,393
C1_03860C_A,6299,5374,4960,5306,7534,8422,8401,5351,5976,5559
C1_03870C_A,1720,1527,2243,1898,4088,2312,3401,7728,4184,1106
C1_03880C_A,0,1,0,0,0,0,4,0,0,3
C1_03890W_A,1,3,2,1,3,4,7,2,2,1
C1_03900W_A,810,418,654,511,484,736,867,524,400,462
