gene_name,SC5314_count,JL01_count
RPB7,1153,767
ZCF9,261,165
CAALFM_C200510WA,289,214
DFG5,2890,3275
CAALFM_C200540WA,1471,1308
CAALFM_C200550WA,83,70
CAALFM_C200560WA,2,1
CAALFM_C200570WA,291,614
SMF3,5869,3736
CAALFM_C200590WA,213,493
CAALFM_C200600CA,747,774
CAALFM_C101580WA,807,792
ATP18,6290,4230
CAALFM_C200620CA,249,128
CAALFM_C200630CA,135,78
CAALFM_C200640WA,423,184
CAALFM_C200650WA,103,287
SOD4,89,31
SOD5,7089,32
CAALFM_C200690WA,651,70
CAALFM_C200700WA,753,1152
NPL6,264,729
CAALFM_C101590CA,740,1211
FGR15,56,282
CAALFM_C200730CA,345,373
CAALFM_C200740CA,392,646
CAALFM_C200750WA,76,61
CAALFM_C200760CA,4116,4317
CAALFM_C200770WA,863,452
POT1-2,225,163
CAALFM_C200790CA,1877,927
PGA27,41,71
CAALFM_C200810CA,238,166
MRP20,1166,2028
CAALFM_C200820WA,173,189
CAALFM_C200830CA,290,614
CAALFM_C200840WA,241,437
MSF1,646,822
CAALFM_C200860CA,12,22
CAALFM_C200870WA,357,601
CAALFM_C200880WA,217,405
CAALFM_C200890WA,26,53
CAALFM_C200900WA,0,0
PGA19,3,1
CAALFM_C101610CA,56,104
CAALFM_C200920WA,149,179
VPS24,62,224
CAALFM_C200940WA,1143,745
RFC5,372,556
MXR1,1893,2648
UBP13,558,878
HGT7,152505,131754
HGT8,3967,9711
HGT6,26284,11225
CAALFM_C201030WA,1234,1149
RPL16A,31430,27825
CAALFM_C101620CA,131,243
CAALFM_C201040WA,120,248
CAALFM_C201050WA,95,65
CAALFM_C201060CA,78,56
CAALFM_C201070WA,1769,1500
tL(CAA)2,0,0
ERG28,1403,1093
BCY1,2856,2475
KAR2,4504,3741
NOT3,719,676
CAALFM_C201140CA,0,1
CAALFM_C101630WA,814,1016
PEX12,67,184
CAALFM_C201160WA,578,650
CAALFM_C201170CA,738,568
COX17,1381,1559
CAALFM_C201190CA,48,115
REG1,373,847
HNM1,987,516
CAALFM_C201220WA,257,871
CAALFM_C201230WA,193,347
CAALFM_C201240CA,37,137
RPS42,2328,1853
CAALFM_C201250WA,353,330
CAALFM_C201260WA,376,269
CHA1,3647,2099
tL(UAA)1,0,0
MNN24,311,186
CAALFM_C201310WA,122,101
CAALFM_C201320WA,615,420
SIR2,95,159
CAALFM_C201340WA,430,476
SNX4,152,205
ISN1,718,390
DCW1,2545,2839
CAALFM_C201370CA,97,274
PLB4.5,146,883
CAALFM_C201390WA,302,306
ESC4,10,90
CLB2,492,1379
CAALFM_C201420CA,224,107
APT1,2811,2106
CAALFM_C201440CA,473,639
CAALFM_C201450CA,172,27
tS(UGA)1,0,0
CAALFM_C201460CA,0,1
SRB9,527,541
SPT5,3205,3177
CAALFM_C201490CA,586,259
CAALFM_C201500WA,2,6
CAALFM_C201510CA,51,46
PPE1,518,234
CAALFM_C201530CA,1087,1117
CAALFM_C201540WA,174,114
SMP2,807,559
ESP 1,129,160
BMT5,212,320
CAALFM_C201570WA,219,77
REX2,452,333
COX13,17473,12319
CDC55,744,1108
RPS26A,53817,37912
COX4,16905,11070
CAALFM_C201630WA,59,55
SLA1,1768,1273
CAALFM_C201650WA,15,16
CAALFM_C101680CA,806,1000
CAALFM_C201660CA,931,443
STT3,1304,1537
CAALFM_C201680CA,244,291
CAALFM_C201690WA,8937,7973
HAP42,120,150
HSK3,250,258
CAALFM_C201720CA,265,360
CAALFM_C201730WA,8,41
CAALFM_C201740CA,980,881
CAALFM_C201750CA,392,185
LSC1,24270,12000
CAALFM_C201760CA,17,34
tL(CAA)1,0,0
MSB2,1327,1009
CAALFM_C201800WA,134,63
CAALFM_C201820CA,83,315
PRP39,37,113
RAD7,137,301
RAD23,4492,2858
CAALFM_C201860CA,137,165
CAALFM_C201870CA,64,37
ARP 8.00,308,806
ZCF6,17,40
CTF1,83,141
CAALFM_C201900CA,55,165
CAALFM_C201910WA,43,124
CAALFM_C201920CA,161,281
CAALFM_C201930CA,220,402
AMN1,53,197
CAALFM_C201960CA,20,23
ROD1,300,595
SRD 1.00,657,467
CAALFM_C101710WA,219,285
FAB1,242,530
CAALFM_C202000WA,729,1205
CHT4,166,198
CAALFM_C202020WA,257,697
ARO3,3202,827
CAALFM_C202040WA,91,207
CAALFM_C202050CA,50,146
FMO1,6,1
SPR3,0,5
CAALFM_C202080WA,163,159
CAALFM_C100190CA,11,57
CAALFM_C101720CA,2637,1936
CAALFM_C202090WA,76,228
SNF2,319,617
CAALFM_C202110CA,75,31
CAALFM_C202120WA,665,700
CAALFM_C202130CA,3,1
CAALFM_C202140CA,1,1
CAALFM_C202150CA,124,253
SAM37,56,203
CAALFM_C202170WA,396,634
CAALFM_C202180WA,124,195
tA(AGC)3,0,0
CAALFM_C202190CA,69,19
CAALFM_C202200WA,381,241
TLG2,23,44
CAALFM_C202220CA,0,0
CAALFM_C202230CA,8,11
HEX3,431,409
OPI1,99,279
CAALFM_C202260WA,360,395
CAALFM_C202270CA,339,585
CAALFM_C202280WA,617,542
CTN1,0,3
CAALFM_C202290CA,28,28
CAALFM_C202300WA,19,14
CAALFM_C202310WA,992,1765
CPR3,1811,930
CAALFM_C202330WA,0,0
ENT3,1247,765
SAC3,115,118
CAALFM_C202360CA,192,10
HOM2,4401,2860
POB3,1512,886
CAALFM_C101750WA,250,457
CAALFM_C202390WA,465,144
ECM3,266,190
CAALFM_C202410WA,2364,1151
CAALFM_C202420CA,421,659
UTP21,552,603
CAALFM_C202440WA,126,256
UTP22,953,791
ERG7,770,696
ATO7,0,2
tV(AAC)1,0,0
FGR38,213,144
CAALFM_C202490CA,474,442
CAALFM_C202500WA,38,300
PRS1,1991,1734
CAALFM_C202520WA,42,167
CAALFM_C202530WA,3,9
CAALFM_C202540WA,302,1310
CAALFM_C202550CA,39,50
CAALFM_C202570WA,161,30
CAALFM_C202580WA,940,1042
ZRT2,9902,6967
MAK32,36,144
FGR22,71,54
HGT20,3325,752
CAALFM_C202620WA,1168,568
CAALFM_C202630WA,141,194
CAALFM_C202640CA,994,773
CAALFM_C202660WA,197,223
CAALFM_C202670CA,334,76
PDR17,980,701
SER2,1604,2110
CAALFM_C202700CA,737,666
HOL4,1401,326
CAALFM_C202710CA,370,795
CAALFM_C202720WA,809,741
CAALFM_C202730WA,254,772
HPT1,3163,2341
CAALFM_C202750CA,24,53
LHS1,243,843
CAALFM_C202770WA,1302,1024
BUB2,165,96
CAALFM_C202790CA,29,52
CAALFM_C202800WA,432,716
SWI4,96,384
NCB2,495,701
CAALFM_C202820CA,562,440
SGT2,5126,3488
CAALFM_C202840CA,133,150
UGA6,7,14
SUR 2.00,3195,3250
CAALFM_C202870WA,212,444
EBP7,361,755
SCT2,251,422
CAALFM_C202900WA,430,340
CAALFM_C101800WA,145,339
CAALFM_C202910WA,36,9
CAALFM_C202920WA,1688,1347
CAALFM_C202930CA,806,1392
MET1,4642,9550
CAALFM_C202950WA,1702,1383
CAALFM_C202960CA,274,199
ALD5,12658,9521
DLD1,511,612
HYU1,1310,1165
CAALFM_C203000CA,119,131
UGA2,1017,1046
RNR21,8786,6332
CAALFM_C203020CA,1864,650
LIG4,590,381
PLC2,640,147
SHE9,145,250
PR26,2431,2357
SMP3,365,94
IDH2,27440,11868
ADE8,2317,2113
EFT2,110961,66194
CAALFM_C100200CA,351,132
CAALFM_C101820CA,62,259
CAALFM_C203110WA,123,54
AMO1,714,345
CAALFM_C203130WA,1675,1199
CAALFM_C203140CA,371,640
CAALFM_C203150CA,189,91
RNR1,2560,1890
CAALFM_C203170WA,238,187
TOM1,1837,2045
PRP3,62,261
CAALFM_C203210WA,785,705
UBC8,2583,1856
STP4,158,590
FEN12,1480,931
ROM2,234,575
AVT7,1102,657
CAALFM_C203260WA,361,838
GPM1,63213,63722
NSP1,1540,1754
CAALFM_C203290WA,200,205
HEM2,3008,1704
VPS20,54,179
CAALFM_C101840CA,769,351
CHK1,270,124
HOG1,1638,1669
CAALFM_C203340WA,183,249
PGA17,6,5
CAALFM_C203360WA,585,818
THI20,154,190
PAN1,2832,2235
HSP78,239,397
DFG16,182,260
CAALFM_C203410WA,940,769
CAALFM_C101850CA,196,336
CAALFM_C203420CA,240,274
NBN1,267,286
PGA33,1949,1351
CAALFM_C203450WA,559,538
CAALFM_C203460CA,668,839
COX6,9293,6847
CAALFM_C203490CA,49,162
CAALFM_C203500WA,85,436
ADAEC,1125,2277
CAALFM_C203530WA,385,414
CAALFM_C101860WA,483,728
RAD32,543,251
CAALFM_C203550CA,97,222
CAALFM_C203560CA,1601,1095
CAALFM_C203570CA,109,46
CAALFM_C203580WA,27,7
CAP4,615,409
BMT8,237,111
FMO2,56,31
IFK2,292,176
CAALFM_C203630WA,20,73
CYS4,2849,2464
UGA11,207,95
tE(CUC)1,1,0
SAP99,16,30
SAP98,417,199
CAALFM_C203690CA,7,62
CAALFM_C203700WA,187,164
CAALFM_C203710WA,0,0
PGA16,0,0
tR(UCU)2,0,0
tF(GAA)2,6,0
PTR3,72,61
YIM1,4204,2440
CAALFM_C203760CA,369,529
STE11,364,690
CAALFM_C203780CA,338,250
ASR3,2236,3006
CAALFM_C203800CA,215,372
RPL21A,46820,28964
RPS9B,36530,24557
CAALFM_C203830WA,321,322
INO4,93,219
CAALFM_C101890CA,245,290
tR(UCU)3,0,0
tF(GAA)3,3,0
GNA1,546,583
CAALFM_C203880CA,359,224
CAALFM_C203890WA,17,21
CAALFM_C203900CA,188,698
CAALFM_C203910CA,89,227
GPI13,160,170
CAALFM_C203930CA,44,203
SCH9,304,235
CAALFM_C101900CA,131,298
CAALFM_C203950WA,1155,704
RPL39,18962,11542
CAALFM_C203970WA,177,130
MED1,208,297
GCD7,554,627
CAALFM_C204000CA,3,0
HSP21,737,913
SDS22,887,1152
ACP12,4429,2010
DCK2,175,245
CAALFM_C101910WA,1812,1027
DCK1,5636,1274
SSY1,183,152
CAALFM_C204070CA,0,0
CAALFM_C204080WA,523,620
CAALFM_C204090WA,0,10
CAALFM_C204100WA,42,134
CAALFM_C204110WA,61,46
CAALFM_C204120CA,136,585
CAALFM_C204130WA,323,503
CHS5,277,1061
CAALFM_C100210CA,1509,1654
ROA1,626,198
VMA7,727,795
CAALFM_C204160WA,483,397
CAALFM_C204170CA,12445,9252
CAALFM_C204180CA,424,95
UGA1,399,296
TBF1,102,157
STE4,18,27
TAF14,3144,2120
BAT21,551,626
HYM1,484,718
CAALFM_C101930WA,1183,656
VPS36,55,166
SSN3,59,189
CAK1,250,357
CAALFM_C204280WA,8,8
RIM11,0,0
CAALFM_C204300CA,292,174
ERG10,5003,2143
CAALFM_C204320WA,32,73
CAALFM_C204330CA,518,245
CAALFM_C204340CA,108,34
CAALFM_C101940CA,195,455
SUV3,393,310
CAALFM_C204360WA,184,186
CAALFM_C204370WA,934,1011
CAALFM_C204380CA,292,417
CAALFM_C204390WA,50,6
CAALFM_C204400WA,582,268
CAALFM_C204410WA,238,30
IFA4,45,38
CAALFM_C204430WA,3,0
CAALFM_C204440WA,7,3
CAALFM_C101950CA,491,188
CAALFM_C204450WA,47,7
LYS22,352,23
ADH3,9,9
CAALFM_C204480WA,150,57
CAALFM_C204490WA,396,597
CAALFM_C204500WA,585,772
RIM2,610,450
CAALFM_C204520CA,15,31
MED8,49,142
GDT1,185,153
CAALFM_C101970WA,1,0
NDH51,3538,2463
KTR2,131,182
CAALFM_C204570WA,194,632
ERG20,1667,2784
QCR8,14105,9306
RPL17B,17799,14341
CAALFM_C204610CA,18,12
CAALFM_C204620WA,328,609
SNU114,42,101
RPB4,93,326
HGT1,1946,218
YAK1,57,232
CAALFM_C204670WA,28,1
TIM17,715,902
TPO5,77,137
CAALFM_C204700CA,36,118
URE2,1703,1662
FGR51,253,215
CAALFM_C204730WA,70,224
CAALFM_C204740CA,12,25
CAALFM_C204750WA,71,80
HSP30,7,41
KIC1,725,575
CAALFM_C204770WA,9,81
CAALFM_C204780WA,65,399
CAALFM_C204790CA,413,611
MDM10,91,170
HIS3,441,333
CAALFM_C204820WA,287,401
CAALFM_C204830WA,70,109
CAALFM_C204850CA,1300,1394
PZF1,15,102
CAALFM_C102000WA,1352,888
CAALFM_C204870CA,187,651
ARH2,27,142
tD(GUC)5,0,0
tG(GCC)3,0,0
CRK1,235,332
ITR1,173,102
CYT1,13474,7290
CAALFM_C204960CA,375,409
ABP2,81,66
CKA2,204,435
ZCF24,112,102
CAALFM_C204990WA,44,56
MRPL10,1095,1026
tT(AGU)4,0,0
CAALFM_C205020WA,247,150
RHO3,2151,1075
CAALFM_C205040CA,942,679
CAALFM_C205050CA,241,280
CAALFM_C205060CA,124,116
FRE9,23,25
CAALFM_C205080CA,190,232
CAALFM_C102020WA,172,170
MAK5,193,485
ERF1,1085,1730
LEM3,870,792
CAALFM_C205130WA,122,84
CDC15,188,266
PEX2,266,265
CAALFM_C205160CA,701,348
CAALFM_C205170WA,1681,1315
WH11,137,790
CDC21,789,615
PHR2,9749,11188
CAALFM_C102030CA,416,146
SGO1,61,115
DAD2,89,60
CAALFM_C205220CA,271,529
RPF2,577,1352
tQ(UUG)3,0,1
AAT1,3555,3370
BUD14,183,236
CAALFM_C205270WA,548,538
GPI19,96,72
CAALFM_C205290CA,1224,1412
CAALFM_C102040CA,199,278
CAALFM_C205300CA,1335,1351
CAALFM_C205310CA,1,0
CDC7,122,132
CAALFM_C205330CA,19,36
RPC40,987,967
CAALFM_C205350CA,101,66
BIO32,56,37
RXT3,131,241
CAALFM_C205380WA,277,266
CAALFM_C205390CA,10,23
PHO91,1453,963
CAALFM_C205400WA,148,123
CAALFM_C205410WA,19576,21273
CAALFM_C205420CA,146,124
tI(AAU)3,1,0
PEX6,115,318
MDJ2,80,175
CDC19,186658,119596
COQ5,1814,1661
CAALFM_C205480CA,442,364
CAALFM_C205490WA,89,97
CAALFM_C102060WA,607,550
ATP4,9069,6492
CAALFM_C205510CA,164,290
CAALFM_C205520WA,713,390
CAALFM_C205530CA,348,633
CAALFM_C205540CA,115,200
CAALFM_C205550WA,1258,817
CAALFM_C205560WA,231,414
CAALFM_C205570CA,519,425
CAALFM_C205580WA,118,351
CAALFM_C205590CA,439,464
HSP31,67,257
CAALFM_C205600WA,16,2
RPS8A,69078,48173
KTI11,28,31
tS(AGA)4,2,0
CAALFM_C205640WA,1939,2195
VPS35,295,537
