,WT air-1,WT air-2,WT CO2-1,WT CO2-2,sfl2 air-1,sfl2 air-2,sfl2 CO2-1,sfl2 CO2-2
COX2,11.8306,0.000228677,9.41766,1.01E-08,0.00044385,3.10E-15,2.33E-14,4.92595
NAD6,4.66768,1.24E-19,3.98E-09,1.63775,8.06E-07,7.95634,6.40994,7.50054
NAD1,29.9243,28.7726,23.8621,12.2416,26.1254,20.2259,24.043,16.1788
COX3A,0,0,0,0,0,0,0,0
ATP9,23.5379,57.5621,19.794,36.0808,2.58454,0,1.79257,8.73966
ATP6,194.497,381.189,190.647,195.867,73.2287,101.901,82.4581,316.57
ATP8,12.3884,34.5372,23.9611,31.9573,6.89212,14.5573,8.06656,61.1776
COX1,151,185.974,106.015,166.629,86.2337,111.479,73.0321,335.116
CaalfMp08.1,3.32493,3.33455,2.74171,1.40299,4.746,6.07731,1.81E-18,22.4074
CaalfMp08.2,2.61538,13.3755,8.54101,2.03043,6.1243,10.3946,5.96518,27.7164
CaalfMp08.3,20.213,9.65618,8.7582,11.3727,14.8928,21.4534,16.0088,53.6853
CaalfMp08.4,4.53E-10,2.45E-05,0.000479852,1.41E-05,2.94E-07,3.18E-10,5.52E-05,3.31E-05
NAD2,21.0602,10.2333,20.8358,14.4323,3.44606,10.7265,4.48142,26.219
NAD3,2.47767,3.83747,1.04179,5.1544,0,0,0.896284,3.88429
COB,29.4704,22.6652,22.8219,18.5891,31.3962,30.5761,15.1138,174.665
CaalfMp11.1,1.36E-30,5.46862,2.48127,1.63394,5.67082,5.09747,6.62049,17.5242
NAD4L,0,0,2.08358,1.03088,0,0.766175,3.58514,1.94215
NAD5,12.3884,7.67494,13.5432,6.18529,6.89212,7.66175,5.37771,40.7851
NAD4,7.43301,11.5124,7.29252,6.18529,16.3688,10.7265,10.7554,45.6405
COX3B,0,0,0,0,0,0,0,0
ALK8,32.2097,35.8164,14.585,21.6485,47.3833,42.1396,39.4365,32.0454
orf19.100,47.0757,53.7246,65.6327,77.3161,66.3366,96.5381,109.347,114.587
orf19.1002,286.171,317.231,291.701,331.944,440.234,452.043,524.326,501.074
orf19.1005,24.7767,28.1414,18.7522,28.8647,71.5057,79.6822,68.1176,52.438
KCS1,349.352,387.585,487.557,513.379,472.971,547.815,457.105,463.202
orf19.1008,0.0291945,0,6.84E-40,3.83094,1.47E-14,0.103426,1.12E-53,1.67E-14
RIM9,200.691,235.365,226.068,186.589,209.348,206.867,186.427,225.289
MNT3,181.155,201.334,207.705,198.364,221.962,280.019,323.077,247.199
MNN21,1257.12,1268.92,1380.47,1294.92,1355.45,1403.92,1365.02,1508.11
orf19.1012,1009.95,1001.58,805.198,773.027,1242.02,1110.66,1126.65,1263.34
orf19.102,210.602,182.919,238.57,270.091,216.24,238.28,225.864,236.942
orf19.1026,943.993,940.18,985.532,906.144,781.394,948.525,773.493,776.859
orf19.1026.1,366.695,319.789,406.297,350.499,611.675,822.106,820.1,760.351
PDR16,486.862,424.68,503.184,479.36,609.952,578.462,667.732,620.516
ELA1,322.097,310.835,397.963,398.951,403.189,443.615,506.401,401.053
RPP1,231.662,253.273,316.704,241.226,310.145,439.785,352.24,354.442
KAR5,2.47767,1.27916,6.25073,3.09264,0.861514,2.29853,6.27399,5.82644
orf19.1030,5454.59,4748.23,5495.43,5282.23,8568.62,7464.08,6537.5,6037.16
HMG1,3157.79,2896.01,3579.58,3635.92,2612.11,2260.22,2409.21,2376.22
SKO1,1435.81,1311.14,1697.07,1832.91,725.395,801.419,733.16,580.702
STR2,1397.41,1428.82,1507.47,1551.48,1521.43,1517.03,1591.8,1538.18
orf19.1034,1013.37,1057.86,1014.7,947.38,1595.52,1591.35,1677.84,1810.08
WAR1,848.602,771.332,730.294,840.168,555.677,566.203,544.941,479.71
MNS1,2486.34,2408.65,2465.91,2565.86,2498.39,2395.83,2590.26,2587.91
orf19.1037,361.74,358.164,321.913,380.395,522.939,471.198,522.534,557.396
BET4,131.317,145.824,173.979,177.312,383.374,413.735,558.385,570.991
orf19.104,4.95534,2.55831,1.04179,2.06176,4.30757,5.36323,2.68885,2.91322
MAD2,59.4641,67.7953,82.3013,62.8837,182.641,163.195,206.145,201.012
orf19.1041,209.363,233.979,253.929,258.664,345.604,432.773,527.757,456.411
POR1,18291.4,19708.1,16906.4,16812.7,16870.9,16080.6,16063.4,16807.3
orf19.1043,137.511,198.269,129.182,121.644,297.222,435.187,506.401,559.338
orf19.1045,732.152,754.703,586.527,613.374,1748.01,1407.46,1505.76,1472.15
ERB1,2927.37,2805.19,2881.59,2838.02,2146.03,2398.13,2019.33,2021.78
IFD6,490.579,410.609,287.534,243.288,714.195,657.378,648.91,658.388
orf19.1049,85.4796,85.7035,104.179,85.5631,325.652,389.217,396.158,397.169
HAL22,515.356,530.85,475.055,539.151,306.699,277.355,221.382,219.463
orf19.1050,102.823,101.053,132.307,127.829,308.422,311.067,319.077,310.744
HTA2,5432.29,5419.79,5850.68,5617.27,5063.98,4438.45,4643.65,5043.76
orf19.1052,1849.58,2225.73,2546.13,2396.8,2006.47,2234.93,2274.77,2748.14
orf19.1053,691.27,727.84,680.288,703.061,881.375,997.56,1188.47,1107.02
orf19.1054,1169.27,1106,1307.52,1260.66,1972.84,1664.24,1607.14,1767.52
CDC3,2571.82,2397.14,3145.16,3225.63,3845.8,3273.87,3335.07,3736.69
orf19.1057,303.515,308.277,284.408,281.43,296.361,311.833,273.367,260.248
orf19.1058,1735.6,1670.22,1847.09,1913.31,1877.66,1998.18,2166.6,2143.48
HHF1,3562.89,4653.57,3720.23,3785.39,3072.16,2680.08,2574.13,3155.99
orf19.1060,6.84E-66,1.03E-43,1.27E-78,8.49E-114,2.66E-55,1.34E-42,9.37E-54,8.56E-30
HHT21,5829.96,5658.99,4984.96,4990.49,3582.18,3597.96,4236.74,3966.84
orf19.1062,19.8214,17.9082,16.6686,15.4632,15.5073,14.5573,12.548,15.5372
orf19.1063,381.561,433.634,391.712,375.241,543.616,608.343,641.739,682.665
ACS2,22875.1,22451.8,19064.7,19937.2,17789.4,15337.3,15858.9,15585.7
SSA2,19319.6,18969.9,30777.5,31248.1,11312.5,10370.9,14056.4,15308
GIG1,17.3437,28.1414,32.2954,41.2352,61.1675,59.7617,59.1548,63.1198
GPM2,1332.99,1217.76,1086.59,1060.78,1942.72,1897.82,1786.29,1944.09
RPN4,5117.63,4653.57,3140.99,3183.36,5061.4,5653.61,5098.06,4882.56
orf19.107,1235.12,1109.03,1352.24,1314.37,1127.72,1166.12,993.979,875.908
orf19.1070,616.891,581.49,622.796,516.786,908.632,1114.89,893.876,980.488
orf19.1075,118.928,130.474,152.101,153.601,178.333,215.295,227.656,197.128
orf19.1075.1,42.3793,34.5581,10.1543,21.4195,72.1117,54.788,51.0845,46.1058
ATM1,498.012,477.125,657.368,613.374,715.057,743.19,762.738,798.222
HBR2,999.74,887.735,701.123,684.505,1799.7,1461.86,1801.53,1722.68
orf19.1080,74.3301,39.6539,52.0894,44.3279,38.7682,46.7367,33.1625,35.9297
orf19.1082,211.841,221.294,340.665,344.314,292.053,384.62,332.521,344.731
orf19.1082.1,2564.39,2697.74,2616.97,2686.25,3259.97,4218.56,4446.47,3922.17
orf19.1083,553.759,579.458,477.139,463.088,715.919,744.722,723.301,688.491
CDC39,5252.66,5019.41,5816.3,5925.5,3627.84,3704.46,4081.68,3923.14
orf19.1085,2042.84,2027.46,2157.54,1972.08,2617.28,2886.18,2981.94,3241.44
orf19.1086,2606.51,2408.65,3427.48,3561.69,2445.84,2824.12,2590.26,2697.64
orf19.1087,467.041,505.267,435.467,452.557,561.707,616.005,677.591,580.702
PEX11,350.59,377.351,200.023,173.188,964.035,835.897,1041.48,1086.63
orf19.109,1003.46,967.043,931.359,1005.11,1038.99,1061.15,1131.11,1132.27
orf19.1090,63.1806,92.0993,82.3013,86.594,70.6442,55.9308,69.9102,69.9173
NOP8,1746.76,1733.26,1512.68,1579.31,1735.95,1975.97,1665.3,1466.32
orf19.1092,846.125,882.618,748.004,771.099,1162.18,1188.34,1322.02,1395.43
FLO8,2347.59,1821.52,1936.68,2253.51,1395.65,1549.97,1458.25,1314.83
GLE2,1366.44,1518.36,1549.14,1476.22,1422.36,1309.39,1428.68,1420.68
orf19.1096,438.548,405.493,460.47,448.433,479.002,532.492,546.733,527.293
ALS2,1673.16,892.469,290.066,455.807,722.634,608.634,743.298,516.627
orf19.11,101.585,90.8201,56.2566,57.7293,97.3511,91.941,89.6284,66.033
orf19.1105,2.47767,6.39578,7.29252,5.1544,28.43,24.5176,29.5774,24.2768
PGA56,30.2321,125.183,152.604,100.561,459.384,502.543,757.54,660.383
orf19.1105.3,2.47767,1.27916,1.04179,2.06176,1.72303,0,1.79257,0
orf19.1106,37.1651,25.5831,33.3372,39.1735,59.4445,57.4631,58.2585,50.4958
orf19.1107,305.992,327.464,246.904,276.276,362.698,383.088,457.105,404.938
HAM1,1548.54,1982.69,1875.22,1799.92,1889.3,1942.25,1907.29,2103.35
orf19.1109,1429.62,1627.09,2035.65,2008.16,1945.3,2682.38,2630.59,2479.15
CAN2,1536.16,1636.04,842.807,845.322,964.035,944.694,900.766,740.929
orf19.1110,261.394,272.46,207.316,225.763,312.73,332.52,292.189,312.686
orf19.1111,498.853,513.151,595.82,566.288,382.525,410.43,395.382,451.192
BUD7,1073.03,1225.21,1343.55,1380.72,1437.36,1451.32,1566.67,1528.8
orf19.1113,468.476,574.352,909.919,863.176,669.887,867.361,777.889,751.638
orf19.1114,1745.52,1723.02,1328.28,1171.08,2177.91,2877.75,2523.94,2318.92
GUK1,911.783,1084.72,1065.75,992.738,1057.08,1110.19,1062.1,1159.46
orf19.1116,199.453,194.432,333.372,343.283,367.867,363.933,354.032,383.574
orf19.1117,23.5379,19.1874,9.37609,15.4632,23.2609,11.4926,26.8885,13.595
MTR10,1967.27,2065.84,2208.59,2073.1,2408.79,2215.78,2621.63,2473.32
FAV2,162.287,185.478,127.098,128.86,126.643,117.225,120.998,124.297
orf19.1121,429.876,432.355,335.456,336.067,721.088,687.259,635.466,733.161
orf19.1122,2.47767,1.27916,7.29252,5.1544,9.47666,8.42793,10.7554,6.79751
orf19.1123,6.19418,7.67494,2.08358,4.12352,4.30757,3.0647,2.68885,5.82644
orf19.1124,194.497,180.361,181.271,169.064,293.776,214.529,200.768,276.756
orf19.1124.2,125.122,189.315,209.399,228.856,153.35,118.757,156.85,139.835
CIP1,320.858,326.185,237.528,204.114,878.745,813.678,973.365,962.334
MSB1,1121.15,1002.86,1621.02,1679.3,909.759,1050.43,1030.73,850.66
CAS1,744.54,721.444,692.789,712.339,1094.12,1010.58,1177.72,1197.33
orf19.1136,60.7029,78.0286,45.9092,49.4823,70.8071,70.6177,116.723,111.039
orf19.1137,287.41,337.697,315.591,298.955,340.135,382.192,448.833,424.022
orf19.1139,3463.78,3139.05,3765.02,4142.08,2710.32,3089.22,2705.88,2587.91
orf19.114,148.66,161.173,162.49,149.359,219.511,231.384,227.638,197.674
orf19.1140,854.796,1037.4,964.696,876.249,1430.4,1684.49,1868.37,1905.07
AVT4,386.517,392.701,320.871,335.036,367.005,394.58,355.825,391.343
orf19.1143,227.079,192.741,235.695,268.374,313.105,323.502,315.382,321.806
orf19.1144,2552,2358.14,2699.92,2777.52,1937.5,1664.98,1461.72,1627.12
orf19.1146,1301.65,1193.21,1454.49,1459.05,974.905,979.683,1259.51,974.977
orf19.1148,2.47767,3.83747,13.5432,6.18529,12.0612,17.622,14.3405,9.71074
MRF1,4889.68,5139.65,3932.75,4012.19,5301.76,5056.76,5092.69,5210.78
orf19.115,79.2858,97.2167,139.629,131.041,154.386,164.729,130.875,152.884
orf19.1150,454.653,401.655,408.381,431.939,398.881,432.889,458.001,391.343
orf19.1150.1,9.91766,25.6039,19.8014,27.8553,23.2718,28.3606,27.7921,21.3695
orf19.1152,3583.94,3187.64,2814.9,2688.52,3725.18,3637.02,3462.34,3584.23
GAD1,13106.9,12736.6,9240.66,9127.42,13248.4,13335.3,14036.7,13821.3
EGD1,24221.7,25047.2,20745.1,19922.8,26055.6,23708.5,22523.6,23802
DPP2,434.831,409.33,531.312,502.039,279.131,288.848,343.277,316.57
FUS1,35.9262,44.7705,53.1312,49.4823,87.8745,85.0454,65.4287,76.7148
orf19.1158,70.6136,83.1452,93.7609,79.3778,103.382,99.6028,128.169,124.297
orf19.1159,1311.93,1240.78,1166.8,1185.51,1095.85,928.597,967.987,950.681
orf19.1160,562.852,562.676,566.45,528.473,475.111,555.935,435.533,458.748
PLD1,6610.12,5739.7,5293.06,5372.66,3659.46,2898.05,3009.71,2891.49
orf19.1162,756.725,741.996,684.769,664.58,1200.93,1144.68,1119.78,1136.59
orf19.1162.1,305.611,314.618,300.501,322.336,393.922,447.075,412.054,426.778
orf19.1163,514.587,493.755,493.577,461.105,526.03,456.938,442.75,445.742
GAR1,3429.1,3288.71,2969.1,3143.16,1662.72,1631.19,1313.95,1476.03
CTA3,7736.53,7242.59,6100.71,6152.3,4989.89,4511.24,4331.74,4344.58
orf19.1167,65.6583,57.5621,67.7162,70.0999,73.2287,56.697,50.1919,43.6983
ZCF3,1026.99,1036.12,1150.13,1170.05,557.4,698.752,613.955,607.892
orf19.1169,432.354,415.726,341.707,303.079,525.524,575.398,563.763,513.698
orf19.117,1149.64,1144.85,930.317,889.65,1137.2,1123.98,1095.26,1034.19
ARO7,821.348,654.928,883.433,772.13,978.68,946.992,973.359,1058.47
BTA1,30.9709,38.3747,6.25073,5.1544,15.5073,19.9206,20.6145,12.624
orf19.1177,1188.04,1194.73,1239.73,1328.81,693.519,752.384,685.657,610.805
orf19.1178,83.002,81.866,87.5102,63.9146,52.5524,39.8411,35.8514,31.0744
orf19.1179,3453.87,3717.23,3372.27,3395.72,2618.14,3142.08,2406.52,2628.7
FAD2,3941.97,4552.52,3545.21,3581.28,4542.77,4738.79,4962.73,4843.71
orf19.1180,2113.45,2018.51,1586.64,1538.07,1231.1,1215.15,1038.79,1030.31
orf19.1181,1.83E-09,2.57411,3.14932,2.07827,2.61765,2.31998,0.916419,0.989681
orf19.1182,791.616,768.757,756.314,718.507,578.905,553.157,500.106,477.75
orf19.1183,1887.25,1802.48,1408.64,1458.09,1503.95,1405.97,1341.47,1422.12
orf19.1185,1444.71,1443.1,1456.54,1471.93,917.691,943.371,891.529,841.002
orf19.1186,669.475,772.252,879.004,767.921,757.351,735.278,797.853,825.861
CPH2,3939.5,3513.84,3272.26,3217.38,3036.84,3127.53,3136.99,2896.71
orf19.1189,3260.23,2917.61,2673.25,2788.98,2406.01,2507.12,2448.24,2208.61
orf19.119,92.9127,81.866,102.095,112.366,189.533,234.45,248.271,261.219
STV1,3550.5,3284.87,2426.32,2480.3,2369.16,1998.18,2099.99,2174.23
orf19.1191,2310.43,2175.85,2050.24,1974.14,1660.14,1694.78,1734.31,1719.77
DNA2,756.928,695.861,866.768,909.237,609.091,599.149,573.622,570.02
GNP1,13181.2,12708.4,8440.57,9161.44,8002.61,7396.65,6895.11,6648.94
orf19.1195,1788.88,1817.68,1582.48,1682.4,1408.58,1224.35,1298.72,1282.79
PKH3,1471.72,1298.34,1239.73,1323.6,1007.92,935.5,860.433,902.093
orf19.1198,484.768,481.639,553.496,512.957,934.381,1047.43,951.277,972.87
NOP5,9033.65,8677.71,8006.08,7967.45,6522.76,5674.68,4741.12,4868.92
orf19.120,9.91068,28.1414,31.2536,14.4323,26.7069,30.647,47.5031,51.4669
orf19.1200,502.536,563.522,583.161,580.057,530.014,591.04,498.239,453.711
orf19.1201,1170.7,1148.68,1051.16,1017.48,874.289,833.599,793.212,693.346
orf19.1202,354.396,360.829,501.927,355.655,404.301,384.239,428.062,398.414
SRO77,2414.4,2280.63,1920.23,2060.73,1392.1,1426.23,1516.87,1499.06
orf19.1203.1,666.186,814.943,889.434,827.188,721.264,783.629,786.938,1062.35
orf19.1204,728.435,781.565,680.288,677.289,751.276,772.49,858.64,735.103
orf19.1207,43.3592,30.6998,16.6686,27.8338,25.8454,19.9206,25.9922,29.1322
orf19.1208,84.2408,61.3995,65.6327,74.2234,51.6909,38.3088,74.3916,53.409
ARC18,213.08,203.386,213.567,181.435,642.69,799.887,1140.07,1069.15
orf19.1210,978.68,1071.93,741.753,780.377,1132.03,999.859,1094.36,1051.67
orf19.1212,3963.03,3892.47,4752.64,4918.33,2888.66,3470.01,3381.68,3349.23
orf19.1214,5499.19,5157.56,4584.91,4487.42,8108.57,7307.78,7250.94,6805.28
orf19.1215,22.299,20.4665,12.5015,15.4632,20.6763,19.9206,17.9257,20.3925
orf19.1217,794.094,872.385,907.398,852.538,789.147,828.235,884.633,843.863
orf19.1219,227.946,259.669,270.865,275.245,204.179,188.479,259.922,203.925
CDC20,675.165,579.458,966.779,1018.51,444.541,562.373,584.377,545.743
RVS167,5361.68,5181.86,4700.55,4856.48,4135.27,4518.9,3963.37,3808.55
ALG2,640.478,683.07,767.798,764.914,855.484,934.734,950.061,989.524
DBF2,400.144,408.051,566.733,530.904,553.954,658.911,693.724,698.202
FRP3,915.499,900.526,559.44,570.077,667.674,623.667,737.642,767.148
PEX22,423.682,386.305,319.829,312.357,534.139,620.602,603.199,639.937
ZCF4,39.6427,44.7705,54.173,40.2044,110.274,124.12,121.895,113.616
HAP2,1248.75,1417.31,1032.41,990.677,1125.14,1018.25,1126.63,1056.53
orf19.1229,768.078,853.198,1074.08,1047.37,1238,1380.65,1613.31,1748.9
RCN1,263.284,270.189,247.951,249.688,243.809,276.894,299.497,329.139
VRG4,324.722,347.467,567.448,384.92,1109.35,1240.97,1319.38,1121.57
ADE4,25.4543,25.6865,20.8853,82.8037,105.05,77.6084,70.6048,38.935
FGR6-10,190.781,207.223,212.525,225.763,136.119,144.041,129.065,172.851
HOM3,1339.18,1271.48,2151.29,2043.21,1265.56,1395.2,1528.16,1585.76
GVP36,1693.45,1693.57,1777.26,1717.42,2689.54,2757.44,2868.71,2588.09
ARO9,627.101,621.151,443.304,411.73,702.055,605.321,679.985,676.427
TUB4,263.622,297.283,359.915,384.11,252.504,265.82,281.728,238.325
orf19.1239,0,5.11663,9.37609,5.1544,2.58454,12.2588,8.06656,19.4215
CIC1,1099.44,1115.14,1425.16,1399.72,1112.43,1439.34,1140.83,950.736
orf19.1240,4352.03,4047.25,4159.86,4290.53,3434,3157.41,3628.16,3543.45
GYP2,1126.1,1204.97,1277.23,1260.77,1052.77,1036.63,1124.84,1079.83
orf19.1246,8263.44,7276.1,6055.14,6371.42,5030.04,4969.55,4618.12,4409.28
orf19.1247,384.869,406.512,386.24,378.783,400.949,420.495,439.609,387.827
orf19.1248,1859.49,1943.04,1643.94,1578.28,1343.1,1125.51,1201.02,1200.25
orf19.1249,717.286,799.473,756.338,713.389,613.398,642.821,584.377,546.714
EBP1,1710.83,1909.78,1864.8,1704.05,1538.45,1629.65,1532.65,1441.07
orf19.1250,1700.92,1441.61,1731.45,1726.71,1491.28,1594.41,1314.81,1251.71
BRN1,996.024,979.834,1172.01,1140.15,927.851,891.828,871.228,815.702
YME1,9454.79,9424.83,7699.86,8148.08,8525.55,7864.02,7751.07,7461.73
PHO4,1985.85,1865.01,2247.14,2333.91,1137.2,1166.88,1065.68,1018.66
SEC23,7885.19,7763.2,7378.99,7329.56,6102.11,5632.92,5840.19,5643.88
ZCF5,97.868,103.612,31.2536,32.9882,43.9372,51.3337,43.9179,18.4504
orf19.1257,2.47767,5.11663,1.04179,1.03088,3.44606,2.29853,5.37771,3.88429
orf19.1258,298.559,271.181,106.262,84.5322,49.9678,55.9308,48.3993,46.6115
orf19.1259,3129.47,3236.36,2732.8,2928.87,1989.01,2004.99,2189.03,1986.07
LEA1,281.048,216.086,385.272,396.751,448.214,473.591,484.589,395.003
CGT1,551.428,472.93,513.041,607.298,423.649,411.489,444.877,464.537
CFL1,651.144,600.21,447.689,443.409,456.556,482.495,501.811,468.099
CFL2,1332.99,1317.53,617.78,592.757,524.662,465.068,463.379,325.31
orf19.1265,806.482,757.261,942.818,984.491,574.63,567.736,623.814,612.747
orf19.1266,1029.9,1058.85,789.202,791.293,1448.8,1438.4,1380.14,1403.29
orf19.1267,4737.26,4295.36,3531.62,3710.1,4081.17,3952.79,4038.62,3848.33
orf19.1267.1,387.756,385.026,258.363,270.091,398.02,331.754,350.447,471.942
orf19.1268,19.8214,15.3499,13.5432,8.24705,18.9533,24.5176,24.1997,22.3347
FRE3,201.93,182.919,140.641,123.706,118.889,147.106,145.198,107.789
orf19.1272,977.441,1034.84,1017.83,997.893,892.529,853.519,855.951,817.644
orf19.1273,1248.75,1355.91,1588.73,1471.07,1464.57,1639.61,1599.87,1762.5
orf19.1274,12.3884,6.39578,8.33431,4.12352,10.3382,13.025,8.06656,7.76859
GAT1,426.147,410.414,269.67,339.158,261.872,222.904,265.891,270.572
orf19.1276,206.886,200.828,187.522,218.547,404.05,475.029,549.875,563.223
orf19.1277,940.276,874.943,780.299,748.42,777.948,901.022,955.883,947.768
CDS1,1896.66,1886.76,1683.53,1742.19,1761.8,1706.27,1902.81,1875.14
SUI1,3865.19,4327.02,4860.11,4628.84,6191.11,6887.45,7692.29,7625.72
orf19.1281,579.754,573.425,547.812,592.574,557.997,553.644,503.333,519.647
CKS1,475.142,421.154,648.317,624.968,792.04,792.144,904.041,991.1
MEC1,1534.25,1505.26,1619.66,1598.64,1409.99,1277.29,1408.37,1389
orf19.1285,1897.9,1655.23,1555.39,1631.88,1540.39,1536.95,1538.02,1443.02
orf19.1286,22.299,33.2581,35.4208,27.8338,67.1981,95.0057,75.2879,59.2355
orf19.1287,681.722,562.487,666.769,929.397,1509.59,2002.32,2234.93,1986.67
FOX2,1689.77,1455.58,1170.89,1263.81,2383.15,2036.43,2034.54,2051.64
SCT1,1097.61,1157.64,1113.67,1132.94,1105.32,1154.63,1173.24,1187.62
XKS1,1732.77,1662.53,1403.84,1494.91,1664.21,1584.66,1708.19,1826.17
ABZ1,1400.51,1413.04,1647.81,1622.35,1008.6,887.309,1009.23,1096.76
VAS1,4298.76,4185.4,6306.99,6232.71,5194.07,5216.89,5454.79,5425.39
orf19.1296,252.173,294.51,306,255.507,487.279,472.523,489.807,472.202
orf19.1297,427.131,478.405,377.923,375.881,585.449,571.206,697.771,680.743
NUP84,1529.96,1582.32,1566.29,1525.7,2263.43,2051.64,2280.24,2128.27
RPN6,651.627,882.618,739.1,722.647,1085.27,1176.99,1321.81,1564.07
VPS15,853.558,860.873,764.673,794.809,1043.29,964.614,1197.44,1125.47
orf19.1300,1003.46,1062.98,1036.58,1071.09,1193.2,1355.43,1347.12,1365.4
orf19.1301,390.233,385.026,407.339,390.704,1154.43,1155.33,1240.46,1252.61
orf19.1302,1.23884,6.39578,15.6268,12.3706,18.9533,17.622,15.2368,21.3636
orf19.1303,556.237,524.454,560.482,544.305,690.935,688.025,708.065,638.966
orf19.1304,964.808,1068.95,814.785,943.603,929.962,904.978,974.272,908.925
orf19.1305,567.675,647.897,864.78,798.752,832.87,1012.71,897.728,980.038
orf19.1306,977.993,1055.21,896.2,857.2,672.081,817.449,774.262,778.07
orf19.1307,105.301,117.682,84.3848,75.2543,114.581,148.638,121.895,139.835
orf19.1308,1329.27,1404.51,1117.84,1050.47,882.191,908.684,818.307,810.846
orf19.1309,107.779,133.032,141.683,109.273,141.288,137.912,116.517,153.43
orf19.131,87.9573,118.962,121.889,125.767,93.9051,127.185,120.998,94.1941
orf19.131.2,1212.82,1430.1,1446,1313.34,1276.76,1506.02,1413.44,1547.89
orf19.1310,292.365,223.852,305.244,292.77,221.409,266.042,286.811,256.363
SPO75,534.717,491.353,538.909,560.413,405.292,462.461,575.061,455.589
CDR3,292.357,263.328,274.235,269.278,253.742,252.58,252.658,233.149
orf19.1314,449.697,548.758,421.924,350.499,590.137,510.273,509.089,568.078
OSH3,2052.75,1971.18,1962.73,1968.98,1914.29,1739.98,1731.62,1777.06
orf19.1318,146.183,150.941,230.235,221.639,217.102,277.355,289.5,255.392
orf19.132,3482.37,3232.43,3070.15,3082.33,4027.58,4080.93,3962.47,3696.88
HWP1,29.7321,11.5124,66.6744,86.594,6.0306,11.4926,5.37771,10.6818
orf19.1323,1733.13,1767.79,1541.85,1494.78,1808.32,1499.4,1616.9,1498.37
RAD2,1124.86,1033.56,1009.49,1046.34,889.083,864.246,863.122,872.024
ECM38,239.095,253.273,214.608,231.948,208.486,207.633,240.204,230.144
orf19.1326,206.886,223.852,71.8834,73.1925,129.227,112.628,96.7987,89.3388
RBT1,177.153,156.057,285.45,342.252,174.026,165.494,154.161,173.822
orf19.133,175.915,125.357,118.764,132.984,309.284,268.161,235.723,239.855
orf19.1330,45.8369,46.0496,58.3401,32.9882,65.4751,65.8911,60.051,58.2644
HSM3,917.977,919.714,965.738,925.731,2500.98,2456.36,3002.55,2982.17
SNG4,602.074,624.229,745.92,755.636,678.873,713.309,765.427,780.743
SNG3,1010.89,1025.88,763.631,733.987,881.329,836.663,790.523,818.615
orf19.1334,313.425,319.789,441.718,414.414,265.346,323.326,329.833,361.239
orf19.1335,3030.19,3064.86,2979.51,2933.89,2469.96,2536.81,2570.54,2338.35
PUP3,2457.85,2495.63,2109.62,2014.34,3160.03,2716.86,2930.85,2906.42
orf19.1336.2,771.794,702.257,620.906,626.776,1223.35,1488.68,1468.11,1576.05
orf19.1338,1733.13,1676.97,1725.2,1781.36,2490.68,2505.39,2567.85,2501.56
CPY1,14178.5,13886.5,8761.44,8276.94,9984.91,10312,9396.64,9025.08
orf19.134,201.93,212.34,152.101,171.126,233.47,222.957,229.449,212.665
orf19.1340,297.427,280.162,480.869,427.083,398.344,401.032,414.782,497.709
PRR2,67.638,53.8722,33.4158,54.1605,17.7552,3.78129,22.2142,30.7305
SHM1,6694.01,6735.37,7030,7227.56,4576.74,4869.34,4918.15,5047.72
MED16,1050.53,1135.89,1164.72,1248.4,1260.4,1215.92,1371.31,1292.5
orf19.1344,789.138,1071.93,543.813,562.861,827.054,886.465,859.537,925.433
LIP8,0,0,0,0,0,0,0,0
orf19.1348,1.23884,1.27916,0,2.06176,1.72303,3.0647,4.48142,3.88429
orf19.1349,4.95534,8.9541,4.16715,11.3397,12.0612,16.0897,14.3405,10.6818
EXO84,1205.39,1253.57,1018.87,1021.6,1440.45,1513.2,1581.05,1534.3
orf19.1350,152.377,205.944,127.098,124.737,416.111,392.282,394.365,369.979
orf19.1351,125.122,165.011,262.531,290.708,83.5669,98.0704,70.8065,83.5123
TIM22,594.641,611.437,718.834,661.826,739.179,714.075,803.967,790.454
orf19.1353,530.222,969.601,665.703,625.745,4173.18,4808.51,4960.04,6251.77
UCF1,9737.25,9542.51,4583.87,4487.42,25836.8,22013,24138.7,25181.9
orf19.1355,1614.2,1791.85,1729.78,1631.88,2106.02,2385.99,2503.35,2685.61
orf19.1356,153.616,145.824,121.889,106.181,163.688,220.658,281.433,221.405
FCY21,2026.73,1908.5,1818.96,1764.87,2020.25,1959.88,1566.7,1669.28
GCN4,6337.88,6319.03,8032.19,8086.23,8242.97,6615.16,7247.35,8861.05
orf19.1359,895.678,871.106,1136.59,1133.97,907.175,982.236,954.543,977.871
QDR3,330.769,359.443,301.077,336.067,338.575,340.182,359.41,354.442
orf19.1360,84.2408,107.449,125.015,120.613,144.734,179.285,159.539,127.211
orf19.1360.1,734.629,931.226,1135.55,951.503,1287.96,2099.32,2195.9,1995.56
TIM23,1114.95,1096.24,1387.66,1467.97,1321.56,1361.49,1225.22,1377.95
SMM1,310.948,309.556,411.506,408.229,331.683,450.511,323.559,319.483
orf19.1363,322.097,372.235,142.725,134.015,350.636,423.695,238.412,153.43
orf19.1364,416.249,418.284,471.93,451.526,491.063,616.005,604.992,605.95
orf19.1365,118.928,124.078,126.056,105.15,211.933,185.414,179.257,187.417
