,WT air-1,WT air-2,WT CO2-1,WT CO2-2,sfl2 air-1,sfl2 air-2,sfl2 CO2-1,sfl2 CO2-2
orf19.3266,226.707,228.969,243.778,252.566,287.746,331.754,319.077,367.066
orf19.3267,260.155,271.181,280.241,238.133,366.144,352.441,378.232,386.487
TMA19,43901.9,51167.7,49092.4,47228.9,37705.3,33282.8,28593.5,29044.3
GSL2,1001.09,889.332,763.259,855.942,546.54,573.449,669.392,661.826
HTA3,3028.13,3204.17,2963.66,2698.27,2626.36,3066.82,3102.73,3039.77
orf19.3271,0,0,0,0,0,0,0,0
orf19.3272,309.709,308.277,416.715,386.58,329.099,445.148,420.357,363.181
orf19.3273,308.47,285.252,415.673,413.383,434.203,442.083,429.32,399.111
orf19.3275,382.8,351.768,452.136,451.526,521.216,525.596,491.164,454.462
PWP2,3198.67,3039.28,2807.62,2813.27,1705.8,1627.36,1450.19,1325.52
orf19.3277,0.238957,0.433388,2.08134,1.76613,8.29E-05,0.000360639,2.45441,0
GSY1,12985.5,12420.6,8547.87,8875.88,11927.7,10218.5,11038.6,10881.8
HYR4,609.507,527.013,615.697,673.165,454.018,443.615,487.579,423.388
NPR2,795.332,794.356,788.634,774.192,718.503,653.547,643.532,579.731
orf19.3280,85.4796,110.007,116.68,99.9954,62.029,65.8911,69.9102,65.0619
orf19.3281,384.039,417.005,378.169,372.148,371.313,335.585,293.981,357.355
BMT3,683.837,761.098,253.155,246.381,422.142,397.645,333.418,342.789
orf19.3283,60.7029,70.3536,96.8863,69.069,105.966,104.966,125.48,103.905
orf19.3284,44.598,43.4913,73.9669,60.8219,81.1817,87.3439,86.9395,90.3098
orf19.3285,95.3904,72.912,118.764,125.768,129.889,143.275,132.65,169.938
orf19.3286,571.103,543.642,602.154,562.861,600.476,524.83,609.473,591.384
BUD22,1520.05,1506.85,1553.31,1530.86,1127.72,1148.5,1031.62,940.97
NMA111,2828.26,2819.26,2685.73,2785.44,1638.6,1458.8,1208.19,1307.06
orf19.3289,481.907,424.68,492.766,518.533,314.453,317.196,309.218,326.281
orf19.329,1547.31,1712.79,1512.68,1552.51,961.45,1138.54,950.061,949.71
orf19.3290,1678.62,1605.34,1842.92,1928.78,1532.63,1649.58,1425.09,1587.71
HMT1,3787,3874.12,3445.96,3291.98,2312.11,2104.16,1748.98,1854.05
orf19.3292,1159.68,1170.89,1113.94,1105.77,962.508,1058.61,1009.7,940.701
orf19.3293,1889.22,1916.17,2127.33,1926.7,2377.77,2644.07,2656.67,2448.08
MBF1,16187.9,16920.7,14597.5,14291.1,20279.2,16724.1,16642.2,16014
orf19.3295,317.142,338.977,391.712,438.124,333.406,300.341,353.136,353.471
orf19.3296,258.917,203.386,319.829,335.036,212.794,190.011,235.758,233.058
orf19.3297,486.427,589.225,585.388,551.438,886.731,1165.18,1098.9,1171.51
CCH1,2293.08,2211.66,2024.19,2024.65,1984.93,1835.76,1943.14,1848.92
RUB1,462.086,688.186,613.613,663.887,443.68,556.243,429.32,708.884
ZPR1,3067.36,2962.53,2878.46,2782.35,2679.31,2527.61,2292.7,2088.78
orf19.3301,1414.75,1448.01,1199.1,1213.35,866.684,954.654,888.218,694.318
orf19.3302,2718.01,2371.56,2116.91,2003,4123.21,3928.95,4287.82,4051.32
orf19.3303,960.097,1045.07,1075.13,1138.09,1108.77,1159.93,1080.92,982.726
