,WTCA14,CA14 ^GDT1,CA14 ^PMR1,CA14 ^GDT1^PMR1
CAWG_00374,0,0,0,0
CAWG_00375,14,22,20,29
CAWG_00376,71,43,25,13
CAWG_00377,274,282,726,355
CAWG_00378,225,336,1498,238
CAWG_00379,98,65,56,73
CAWG_00391,527,624,804,774
CAWG_00393,2652,1745,1114,1832
CAWG_00394,1039,706,877,1362
CAWG_00395,574,725,292,374
CAWG_00397,8526,5295,6599,3196
CAWG_00398,661,493,716,678
CAWG_00400,128,149,190,140
CAWG_00405,2704,2367,2915,1159
CAWG_00406,469,573,519,284
CAWG_00407,19,24,9,15
CAWG_00408,26,12,13,18
CAWG_00409,68,61,97,66
CAWG_00410,547,894,546,517
CAWG_00411,262,286,107,176
CAWG_00412,150,191,135,162
CAWG_00413,299,196,108,210
CAWG_00415,1496,2135,1679,1671
CAWG_00419,842,1428,1543,1487
CAWG_00420,357,517,478,450
CAWG_00422,2157,1709,1840,2139
CAWG_00423,800,886,361,483
CAWG_00425,718,570,658,581
CAWG_00426,20,80,67,48
CAWG_00431,460,1046,1097,1239
CAWG_00432,276,340,176,311
CAWG_00434,620,620,825,860
CAWG_00435,175,198,212,157
CAWG_00437,250,376,273,285
CAWG_00441,171,209,165,150
CAWG_00443,87,114,65,63
CAWG_00445,278,420,265,210
CAWG_00446,1624,2213,666,900
CAWG_00447,520,406,309,366
CAWG_00450,69,63,57,71
CAWG_00451,541,520,748,931
CAWG_00452,169,199,159,203
CAWG_00453,518,903,555,626
CAWG_00455,2313,2082,1473,1372
CAWG_00459,397,201,145,167
CAWG_00463,105,129,93,100
CAWG_00468,37,43,21,16
CAWG_00470,189,280,271,229
CAWG_00471,0,0,1,0
CAWG_00472,40,66,44,20
CAWG_00477,1749,1559,1067,666
CAWG_00480,2587,942,681,1106
CAWG_00482,256,194,191,251
CAWG_00484,830,659,665,710
CAWG_00489,721,1110,772,925
CAWG_00493,1357,1310,1313,1291
CAWG_00495,875,1399,1226,850
CAWG_00497,496,136,270,382
CAWG_00498,1116,1078,970,764
CAWG_00499,53,48,115,57
CAWG_00500,2710,2430,2190,2393
CAWG_00503,395,450,416,396
CAWG_00505,6,19,16,7
CAWG_00506,99,93,84,101
CAWG_00508,775,889,1396,1424
CAWG_00510,13592,11838,13629,10472
CAWG_00576,313816,253976,239520,264927
CAWG_00515,126,155,116,150
CAWG_00520,182,224,450,482
CAWG_00521,398,368,1834,2444
CAWG_00523,202,235,207,206
CAWG_00525,110,60,89,41
CAWG_00526,691,450,442,406
CAWG_00530,461,484,416,509
CAWG_00531,5805,5792,4725,3964
CAWG_00533,992,747,439,616
CAWG_00535,63,55,44,58
CAWG_00537,18,27,17,21
CAWG_00539,244,117,99,106
CAWG_00540,312,335,365,351
CAWG_00541,51,85,135,94
CAWG_00543,18,25,11,14
CAWG_00544,26,37,33,33
CAWG_00545,531,468,278,280
CAWG_00552,4833,4341,6033,8867
CAWG_00557,244,263,271,250
CAWG_00559,79,95,72,78
CAWG_00560,83,130,135,135
CAWG_00564,17945,15054,13584,10893
CAWG_00567,3193,2848,2508,4110
CAWG_00568,645,772,1021,941
CAWG_00569,19,16,31,48
CAWG_00571,523,674,241,413
CAWG_00572,3221,3954,3021,3211
CAWG_00574,102,70,28,36
CAWG_00578,70,78,73,62
CAWG_00580,3903,2682,4096,4210
CAWG_00581,568,589,656,781
CAWG_00582,17,9,16,23
CAWG_00585,596,518,277,691
CAWG_00586,1378,994,232,517
CAWG_00587,660,577,661,598
CAWG_00590,25143,19109,30985,28792
CAWG_00591,22887,15445,18411,14765
CAWG_00592,763,963,2746,1446
CAWG_00596,526,221,241,206
CAWG_00597,845,843,919,856
CAWG_00598,228,166,188,147
CAWG_00599,190,159,123,150
CAWG_00600,3718,3096,2805,1949
CAWG_00602,1796,1418,1347,1376
CAWG_00604,170,140,114,104
CAWG_00605,3975,3127,3453,2618
CAWG_00606,441,541,823,960
CAWG_00608,11,21,14,27
CAWG_00610,136,202,235,236
CAWG_00614,2294,1331,1499,1139
CAWG_00615,372,290,284,232
CAWG_00623,1510,1239,1500,1019
CAWG_00624,54,134,82,108
CAWG_00625,514,811,387,455
CAWG_00627,25,24,8,9
CAWG_00628,69,74,101,160
CAWG_00629,267,181,150,185
CAWG_00631,2848,1857,1117,1448
CAWG_00632,5041,4608,2743,3136
CAWG_00635,24,30,27,48
CAWG_00637,73,83,73,70
CAWG_00639,70,131,48,49
CAWG_00641,40,17,0,13
CAWG_00646,782,625,469,614
CAWG_00647,667,648,866,1388
CAWG_00648,535,463,370,582
CAWG_00655,29,43,17,23
CAWG_00657,0,0,7,0
CAWG_00658,12,8,16,9
CAWG_00660,379,364,328,418
CAWG_00661,0,0,0,0
CAWG_00662,14,23,18,19
CAWG_00665,239,303,461,331
CAWG_00673,39,32,21,22
CAWG_00677,160,169,190,159
CAWG_00678,623,792,624,594
CAWG_00679,22,38,9,11
CAWG_00681,104,98,64,97
CAWG_00682,350,284,115,263
CAWG_00684,306,406,248,225
CAWG_00688,12,10,5,6
CAWG_00690,141,172,226,233
CAWG_00691,642,416,760,759
CAWG_00695,746,641,800,708
CAWG_00699,216,283,657,351
CAWG_00700,813,526,1043,642
CAWG_00702,45,19,16,17
CAWG_00706,89,105,99,105
CAWG_00707,471,477,232,339
CAWG_00709,423,529,497,612
CAWG_00710,0,17,0,0
CAWG_00711,0,0,0,0
CAWG_00712,3,0,0,15
CAWG_00713,0,0,0,2
CAWG_00714,161,115,184,428
CAWG_00715,379,541,413,378
CAWG_00718,377,433,644,633
CAWG_00719,726,881,1263,994
CAWG_00721,2953,3243,5066,3679
CAWG_00723,82,95,82,170
CAWG_00724,5006,3674,4024,5630
CAWG_00727,0,0,0,4
CAWG_00730,440,373,330,267
CAWG_00734,207,173,187,147
CAWG_00737,117,74,26,34
CAWG_00739,119,93,49,38
CAWG_00741,87,77,53,69
CAWG_00750,20,15,33,40
CAWG_00751,743,439,1603,766
CAWG_00753,3107,2242,2657,3742
CAWG_00758,105,44,60,35
CAWG_00759,695,611,225,279
CAWG_00760,829,1067,608,564
CAWG_00761,2114,1365,932,953
CAWG_00763,2239,1597,2032,3948
CAWG_00766,69,50,35,80
CAWG_00767,149,136,30,57
CAWG_00768,0,0,4,2
CAWG_00769,76,117,67,100
CAWG_00773,32,20,18,21
CAWG_00774,2,0,2,2
CAWG_00780,0,0,0,0
CAWG_00781,3,5,2,7
CAWG_00785,466,640,481,273
CAWG_00786,2,2,0,2
CAWG_00790,117,94,149,112
CAWG_00793,0,0,2,0
CAWG_00794,398,486,376,511
CAWG_00795,8,15,8,8
CAWG_00796,335,495,493,426
CAWG_00797,2370,1996,1374,1933
CAWG_00798,243,375,97,138
CAWG_00799,487,589,629,589
CAWG_00801,215,179,182,193
CAWG_00802,605,404,342,402
CAWG_00804,20,27,10,16
CAWG_00808,294,405,246,277
CAWG_00812,72,99,63,120
CAWG_00814,523,333,119,278
CAWG_00825,77,69,71,79
CAWG_00827,37,62,45,34
CAWG_00829,3381,3239,1833,1744
CAWG_00830,0,5,0,1
CAWG_00831,334,426,156,165
CAWG_00832,4,7,9,6
CAWG_00834,21,20,63,49
CAWG_00836,2,4,5,3
CAWG_00837,544,626,589,684
CAWG_00839,1373,1211,1448,1496
CAWG_00841,77,56,70,65
CAWG_00842,2650,1129,2108,1837
CAWG_00843,33,31,17,15
CAWG_00847,868,815,213,353
CAWG_00848,6,49,97,182
CAWG_00850,54,43,77,34
CAWG_00852,241,250,298,330
CAWG_00853,19,33,18,24
CAWG_00856,426,1132,1035,596
CAWG_00860,1234,820,962,823
CAWG_00861,63,75,62,52
CAWG_00862,194,235,200,231
CAWG_00863,230,288,304,234
CAWG_00864,610,596,448,413
CAWG_00865,349,304,314,254
CAWG_00867,1966,3418,3051,2571
CAWG_00869,154,119,154,163
CAWG_00870,1587,1605,1259,1393
CAWG_00873,182,132,101,117
CAWG_00874,529,480,476,568
CAWG_00875,1131,1218,1202,966
CAWG_00878,15,19,7,8
CAWG_00879,353,261,202,194
CAWG_00880,434,639,479,381
CAWG_00881,1119,1537,1033,896
CAWG_00882,4073,8249,6284,6003
CAWG_00883,0,1,0,0
CAWG_00887,2048,1436,1202,1881
CAWG_00891,135,144,159,184
CAWG_00893,339,181,101,137
CAWG_00894,9,22,13,15
CAWG_00895,190,156,99,112
CAWG_00896,502,327,424,454
