,WTCA14,CA14 ^GDT1,CA14 ^PMR1,CA14 ^GDT1^PMR1
CAWG_00319,195,261,297,196
CAWG_00320,371,543,527,563
CAWG_00321,38,24,41,31
CAWG_00324,121,117,100,122
CAWG_00326,1137,717,190,289
CAWG_00327,210,146,72,65
CAWG_00329,2,1,1,1
CAWG_00330,15,14,0,1
CAWG_00331,0,21,0,23
CAWG_00332,89,93,83,70
CAWG_00336,1,4,3,1
CAWG_00337,157,67,20,36
CAWG_00338,122,96,110,116
CAWG_00342,126,135,158,190
CAWG_00345,43,19,24,53
CAWG_00346,2484,1507,2334,3869
CAWG_00348,0,0,0,2
CAWG_00350,229,316,216,263
CAWG_00352,4,7,4,7
CAWG_00354,13196,12390,16696,12446
CAWG_00356,181,183,262,215
CAWG_00357,151,208,237,223
CAWG_00359,684,706,814,586
CAWG_00364,243,133,205,224
CAWG_00368,546,652,600,603
CAWG_00369,19,21,8,22
CAWG_00372,952,621,272,531
CAWG_00373,230,231,160,268
CAWG_00380,213,300,145,149
CAWG_00381,62,61,88,52
CAWG_00382,117,150,210,204
CAWG_00383,105,94,123,88
CAWG_00384,1366,1206,1466,1261
CAWG_00385,268,245,145,144
CAWG_00386,488,403,284,281
CAWG_00387,520,474,357,486
CAWG_00388,4278,1856,1865,3383
CAWG_00389,154,92,53,106
CAWG_00390,2,5,9,6
CAWG_00392,170,272,167,142
CAWG_00396,1,0,1,1
CAWG_00399,185,196,217,187
CAWG_00401,89,138,94,124
CAWG_00402,105,129,162,111
CAWG_00403,304,248,138,214
CAWG_00404,378,476,2057,234
CAWG_00414,105,183,59,82
CAWG_00416,953,156,287,38
CAWG_00417,3372,2573,2150,2950
CAWG_00418,0,2,2,2
CAWG_00421,63,58,43,59
CAWG_00424,30,45,10,23
CAWG_00427,4676,2882,3995,4995
CAWG_00429,179,55,56,83
CAWG_00430,189,127,272,192
CAWG_00433,654,704,786,1214
CAWG_00436,147,139,79,40
CAWG_00438,110,122,98,105
CAWG_00439,16,14,20,25
CAWG_00440,254,317,207,232
CAWG_00469,861,657,616,615
CAWG_00442,25,20,15,9
CAWG_00444,9,20,38,53
CAWG_00448,1053,1158,1216,1043
CAWG_00449,156,139,138,172
CAWG_00454,388,545,290,241
CAWG_00456,453,391,409,405
CAWG_00457,210,230,210,218
CAWG_00458,5988,4966,3493,4800
CAWG_00460,3,1,0,2
CAWG_00461,8107,7519,5400,3718
CAWG_00462,2243,1846,2606,4459
CAWG_00464,3190,3935,2888,3030
CAWG_00467,6730,5309,5573,6004
CAWG_00473,477,275,283,226
CAWG_00474,2,1,0,3
CAWG_00475,110,50,89,61
CAWG_00476,271,283,224,176
CAWG_00478,293,132,116,138
CAWG_00479,1,0,0,2
CAWG_00481,71,53,58,60
CAWG_00483,203,164,232,386
CAWG_00485,89,171,94,109
CAWG_00486,113,139,133,221
CAWG_00487,1,3,2,2
CAWG_00488,0,0,1,0
CAWG_00490,54,31,22,35
CAWG_00491,398,426,214,243
CAWG_00492,315,294,76,145
CAWG_00494,158,158,156,176
CAWG_00496,17,3,4,6
CAWG_00501,98,86,37,53
CAWG_00502,128,89,109,112
CAWG_00504,3470,3834,3925,4358
CAWG_00507,1038,1130,1917,1819
CAWG_00509,440,396,473,356
CAWG_00511,98,98,219,204
CAWG_00512,501,542,292,292
CAWG_00513,756,420,348,275
CAWG_00514,31415,22372,8713,6263
CAWG_00516,435,661,360,851
CAWG_00517,71,38,43,75
CAWG_00518,43,44,9,17
CAWG_00519,13,20,8,0
CAWG_00522,655,812,1114,1727
CAWG_00524,68,72,23,73
CAWG_00527,406,252,335,314
CAWG_00528,126,124,81,113
CAWG_00529,377,318,384,403
CAWG_00532,1605,1695,1097,1192
CAWG_00534,271,185,159,190
CAWG_00536,622,585,164,356
CAWG_00538,202,156,125,197
CAWG_00542,55,88,46,35
CAWG_00546,400,280,196,252
CAWG_00547,17052,2193,1634,3044
CAWG_00548,640,675,979,819
CAWG_00549,206,143,133,124
CAWG_00550,99,99,55,72
CAWG_00551,554,284,166,269
CAWG_00553,140,150,108,162
CAWG_00554,0,0,0,6
CAWG_00555,1037,1211,563,700
CAWG_00556,107,120,69,71
CAWG_00558,123,145,87,174
CAWG_00561,448,582,280,171
CAWG_00562,282,220,75,100
CAWG_00563,439,423,326,425
CAWG_00570,721,710,688,962
CAWG_00573,106,83,100,85
CAWG_00575,91,58,88,57
CAWG_00577,964,1017,802,984
CAWG_00579,226,239,184,176
CAWG_00583,1525,1608,1728,1710
CAWG_00584,965,936,476,645
CAWG_00588,20637,16081,21936,24368
CAWG_00589,6214,4464,5408,3460
CAWG_00675,1420,1423,850,702
CAWG_00593,25035,19462,19577,16184
CAWG_00594,662,1029,1390,1138
CAWG_00595,477,489,444,503
CAWG_00601,792,964,1020,868
CAWG_00603,36,63,47,35
CAWG_00607,211,227,179,209
CAWG_00609,101,116,123,142
CAWG_00611,192,264,274,245
CAWG_00612,1452,915,784,997
CAWG_00613,364,239,280,370
CAWG_00616,45096,40326,34143,22145
CAWG_00617,345,348,410,384
CAWG_00618,325,323,258,226
CAWG_00619,993,801,1075,898
CAWG_00621,594,521,789,1152
CAWG_00622,31,28,22,32
CAWG_00626,26,15,12,9
CAWG_00630,1700,2073,774,1137
CAWG_00634,9,10,27,17
CAWG_00636,935,982,994,972
CAWG_00638,214,203,179,161
CAWG_00640,45,24,29,44
CAWG_00642,205,237,105,154
CAWG_00644,0,0,0,0
CAWG_00645,153,203,300,305
CAWG_00649,45,77,15,40
CAWG_00650,0,14,0,0
CAWG_00651,42,52,9,16
CAWG_00652,22,16,0,0
CAWG_00653,81,87,93,111
CAWG_00656,192,160,162,161
CAWG_00659,388,477,238,351
CAWG_00663,85,146,57,67
CAWG_00664,293,260,282,199
CAWG_00667,802,740,694,827
CAWG_00670,0,8,0,0
CAWG_00671,61,55,44,85
CAWG_00672,59,57,23,32
CAWG_00674,786,514,714,488
CAWG_00676,1,4,8,4
CAWG_00680,516,780,432,383
CAWG_00683,328,541,652,850
CAWG_00685,912,860,699,801
CAWG_00686,387,352,241,75
CAWG_00687,3,2,2,0
CAWG_00689,569,664,649,821
CAWG_00692,153,218,169,149
CAWG_00693,2269,1676,2260,3060
CAWG_00694,1169,561,164,331
CAWG_00696,239,135,175,312
CAWG_00697,737,791,797,701
CAWG_00698,1788,1527,1272,878
CAWG_00703,3592,2162,1081,1694
CAWG_00704,388,541,247,313
CAWG_00705,143,194,75,119
CAWG_00708,190,182,153,75
CAWG_00716,156,251,158,171
CAWG_00717,389,267,227,163
CAWG_00720,282,253,188,337
CAWG_00722,2079,2058,4095,6075
CAWG_00728,8,20,33,18
CAWG_00729,2651,2679,1300,2053
CAWG_00731,89,140,100,98
CAWG_00732,6063,3444,8187,2626
CAWG_00733,91,73,27,45
CAWG_00735,1886,1548,2007,1859
CAWG_00736,237,263,296,304
CAWG_00738,40,43,42,28
CAWG_00740,425,465,445,479
CAWG_00742,120,146,123,107
CAWG_00743,286,459,378,401
CAWG_00744,76,124,108,127
CAWG_00745,274,313,246,239
CAWG_00746,217,204,112,133
CAWG_00747,2620,2838,2469,1540
CAWG_00748,269,353,323,270
CAWG_00749,156,135,190,120
CAWG_00752,1086,1286,1200,1178
CAWG_00754,1410,954,1218,1777
CAWG_00755,27,46,62,73
CAWG_00756,110,104,82,83
CAWG_00757,9237,6059,11563,9269
CAWG_00762,89,91,116,116
CAWG_00764,1323,825,1155,1928
CAWG_00770,91,125,31,63
CAWG_00772,129,214,110,123
CAWG_00775,52,57,29,30
CAWG_00776,184,214,82,131
CAWG_00777,0,2,0,3
CAWG_00778,0,0,0,0
CAWG_00779,18,31,8,25
CAWG_00782,77,127,100,157
CAWG_00783,0,0,0,2
CAWG_00784,53,74,55,78
CAWG_00787,17,24,6,20
CAWG_00788,282,303,400,395
CAWG_00789,0,0,0,0
CAWG_00791,0,2,3,2
CAWG_00792,0,0,0,0
CAWG_00800,91,87,34,44
CAWG_00803,92,113,26,59
CAWG_00805,337,378,198,327
CAWG_00806,379,522,617,738
CAWG_00807,12,46,39,51
CAWG_00809,169,195,125,124
CAWG_00810,2,0,2,2
CAWG_00811,52,48,133,225
CAWG_00815,12,5,17,31
CAWG_00816,905,1375,724,705
CAWG_00817,225,308,213,304
CAWG_00818,0,0,0,0
CAWG_00819,260,212,144,147
CAWG_00820,27,42,35,40
CAWG_00821,66,60,90,80
CAWG_00822,59,106,32,54
CAWG_00824,1,2,1,6
CAWG_00826,99,93,55,61
CAWG_00828,1354,1513,1096,1272
CAWG_00833,10,6,6,17
CAWG_00835,3277,4192,4116,2846
CAWG_00838,1398,1690,1545,1427
CAWG_00840,80,64,32,45
CAWG_00844,120,93,66,86
CAWG_00845,261,302,362,326
CAWG_00846,8,15,4,15
CAWG_00849,348,390,770,605
CAWG_00851,464,361,388,359
CAWG_00854,129,299,161,149
CAWG_00855,1157,1862,1917,1442
CAWG_00857,63,191,148,110
CAWG_00858,297,308,338,363
CAWG_00859,97,145,99,110
CAWG_00866,328,461,259,259
CAWG_00871,3199,2590,3098,3233
CAWG_00872,273,366,304,281
CAWG_00876,1160,1273,1201,953
CAWG_00877,45,64,48,41
CAWG_00884,4612,2222,2319,3039
CAWG_00885,0,1,0,0
CAWG_00886,374,562,544,464
CAWG_00888,25,36,30,43
CAWG_00889,130,146,48,66
CAWG_00890,53,63,47,29
CAWG_00892,128,45,34,36
CAWG_00897,1937,2691,1000,1754
CAWG_00900,747,585,96,151
CAWG_00906,587,543,883,1222
CAWG_00907,1598,1391,1411,1964
CAWG_00909,0,6,18,51
CAWG_00910,445,691,632,614
CAWG_00912,1583,1774,2147,2816
CAWG_00914,219,330,170,188
CAWG_00916,207,208,187,199
CAWG_00920,217,222,136,163
CAWG_00921,757,830,689,488
CAWG_00926,31220,28902,25923,19668
CAWG_00927,126,135,90,115
CAWG_00928,651,798,1046,1063
CAWG_00929,106,82,614,122
CAWG_00930,410,1095,818,1011
CAWG_00933,115,97,60,98
CAWG_00934,17956,13578,11239,14470
CAWG_00938,155,125,132,98
CAWG_00939,59,30,41,31
CAWG_00943,33,32,41,42
CAWG_00944,2469,2667,2003,1766
CAWG_00945,721,972,629,727
CAWG_00951,96,55,90,66
CAWG_00956,656,750,946,783
CAWG_00960,1665,1769,1503,1065
CAWG_00961,883,969,873,714
CAWG_00967,6267,9311,4473,7230
CAWG_00970,449,558,374,326
CAWG_00975,3312,5010,2357,3965
CAWG_00979,669,717,857,252
CAWG_00980,295,188,85,125
CAWG_00982,82,82,125,111
CAWG_00985,16,22,14,23
CAWG_00987,31,26,24,13
CAWG_00990,294,286,309,192
CAWG_00994,111,120,42,52
CAWG_00995,19,25,13,18
CAWG_00996,0,2,0,4
CAWG_00999,407,293,376,462
CAWG_01000,146,108,47,95
CAWG_01003,18,27,13,11
CAWG_01004,0,2,0,0
CAWG_01009,2047,937,710,739
CAWG_01011,61,37,10,17
CAWG_01014,166,171,116,147
CAWG_01016,592,620,630,797
CAWG_01017,301,402,261,200
CAWG_01021,1251,1235,1227,1270
CAWG_01022,2810,2405,1498,1720
CAWG_01026,226,239,236,202
CAWG_01028,542,643,650,849
CAWG_01032,248,207,107,125
CAWG_01033,1293,1643,1604,1262
CAWG_01035,3031,3276,3447,3326
CAWG_01036,257,294,782,689
CAWG_01042,276,231,212,170
CAWG_01043,19,22,9,4
CAWG_01044,1141,805,881,696
CAWG_01045,23231,18110,19045,14922
CAWG_01047,3696,2467,2499,2908
CAWG_01048,1115,1108,1264,1172
CAWG_01053,745,1096,874,860
CAWG_01055,331,338,203,198
CAWG_01056,541,451,215,237
CAWG_01057,172,285,360,197
CAWG_01058,188,164,141,99
CAWG_01060,475,315,317,291
CAWG_01066,36,19,26,37
CAWG_01070,63,85,31,52
CAWG_01072,1005,1157,981,870
CAWG_01073,12117,9618,13206,13668
CAWG_01075,2395,1853,2071,3337
CAWG_01079,635,576,689,689
CAWG_01080,57,32,68,78
CAWG_01081,3482,1760,2541,5178
CAWG_01083,2695,1233,1790,4526
CAWG_01084,9,16,45,43
CAWG_01086,4823,4405,2919,3945
CAWG_01089,20,36,44,38
CAWG_01092,337,364,385,390
CAWG_01097,74,113,154,137
CAWG_01099,655,691,536,457
CAWG_01100,1072,496,365,543
CAWG_01101,518,495,436,452
CAWG_01102,1692,1468,1297,1422
CAWG_01103,1610,785,997,676
CAWG_01104,34,22,14,13
CAWG_01105,1739,1321,1717,1652
CAWG_01110,68,59,49,84
CAWG_01111,96,127,29,54
CAWG_01112,1346,845,830,1093
CAWG_01118,828,563,562,613
CAWG_01122,3216,2578,1946,2517
CAWG_01125,83,105,152,86
CAWG_01127,0,1,2,2
CAWG_01129,7,3,0,3
CAWG_01130,24,18,9,18
CAWG_01131,37,53,31,46
CAWG_01133,535,756,836,1311
CAWG_01134,8,15,10,17
CAWG_01135,2112,1268,1653,2035
CAWG_01145,134,164,65,119
CAWG_01149,101,119,110,92
CAWG_01153,18,11,24,31
CAWG_01158,1721,788,1032,846
CAWG_01159,475,406,427,454
CAWG_01160,139,164,127,233
CAWG_01162,701,834,188,349
CAWG_01164,22,30,25,26
CAWG_01165,1928,1107,733,501
CAWG_01167,114,133,108,102
CAWG_01168,3723,2616,2818,1406
CAWG_01173,63,56,38,59
CAWG_01175,493,267,152,183
CAWG_01176,132,131,15,10
CAWG_01180,69,75,70,70
CAWG_01182,552,510,522,510
CAWG_01183,52,55,11,1
CAWG_01184,29,16,30,14
CAWG_01187,7357,7303,6577,5301
CAWG_01188,673,634,902,613
CAWG_01189,497,363,329,322
CAWG_01194,297,333,222,209
CAWG_01200,76,63,35,57
CAWG_01201,2,147,30,36
CAWG_01203,56,72,44,57
CAWG_01204,344,330,492,464
CAWG_01205,726,513,650,610
CAWG_01206,194,111,64,62
CAWG_01207,508,499,120,272
CAWG_01208,513,514,171,403
CAWG_01212,938,970,978,1033
CAWG_01213,0,0,0,0
CAWG_01214,326,632,718,421
CAWG_01217,65,58,25,55
CAWG_01219,135,105,46,91
CAWG_01221,630,854,664,688
CAWG_01222,247,277,136,178
CAWG_01223,655,982,602,546
CAWG_01226,56,19,7,32
CAWG_01227,24,4,0,9
CAWG_01228,0,0,0,0
CAWG_01229,4152,4047,3761,2804
CAWG_01231,531,521,377,406
CAWG_01232,659,943,916,909
CAWG_01233,1687,1846,1137,1368
CAWG_01244,1954,1523,664,800
CAWG_01245,0,0,2,2
CAWG_01246,1328,1312,1163,903
CAWG_01249,448,362,252,235
CAWG_01251,1199,1040,881,809
CAWG_01252,193,178,247,165
CAWG_01254,427,443,672,497
CAWG_01255,259,407,287,280
CAWG_01262,1104,736,288,525
CAWG_01264,595,1460,1389,1337
CAWG_01266,142,188,150,180
CAWG_01268,1508,1786,2357,1796
CAWG_01270,164,133,212,167
CAWG_01271,399,203,175,325
CAWG_01272,310,269,177,222
CAWG_01276,42,33,31,29
CAWG_01277,3,0,0,0
CAWG_01280,86,114,72,79
CAWG_01282,212,299,179,266
CAWG_01283,36,54,20,42
CAWG_01284,59,40,15,18
CAWG_01285,216,183,158,193
CAWG_01286,15,17,10,15
CAWG_01287,600,556,451,422
CAWG_01288,71,116,49,35
CAWG_01289,609,581,545,515
CAWG_01291,394,608,439,479
CAWG_01292,14,19,12,6
CAWG_01293,22,12,3,7
CAWG_01295,12,15,3,15
CAWG_01298,217,296,360,340
CAWG_01303,52,40,37,49
CAWG_01304,111,133,118,135
CAWG_01305,137,111,174,147
CAWG_01310,208,177,432,393
CAWG_01311,343,328,395,418
CAWG_01312,2122,2205,2628,2826
CAWG_01313,415,467,544,551
CAWG_01314,5123,2898,1634,1783
CAWG_01315,206,471,472,439
CAWG_01317,183,148,175,141
CAWG_01318,368,279,392,361
CAWG_01321,109,118,141,159
CAWG_01322,90,103,101,129
CAWG_01327,451,352,356,327
CAWG_01329,454,430,235,182
CAWG_01331,937,1301,1285,1322
CAWG_01333,717,767,1592,737
CAWG_01334,3133,681,802,698
CAWG_01336,66,78,101,119
CAWG_01338,204,182,175,150
CAWG_01340,230,242,276,244
CAWG_01341,5929,6106,6266,6072
CAWG_01343,11826,11590,19595,24095
CAWG_01347,3990,2733,3710,5944
CAWG_01348,1287,465,794,933
CAWG_01351,1275,1357,2058,1692
CAWG_01354,2120,1690,2290,2144
CAWG_01356,133,129,184,220
CAWG_01359,2859,2166,2505,3140
CAWG_01360,6821,6989,6889,7842
CAWG_01362,1027,815,682,901
CAWG_01363,0,0,0,0
CAWG_01364,0,0,0,0
CAWG_01366,55,74,60,48
CAWG_01368,331,336,503,487
CAWG_01369,1643,839,891,1563
CAWG_01372,636,469,658,552
CAWG_01375,101,171,152,220
CAWG_01378,411,412,416,366
CAWG_01380,298,388,429,388
CAWG_01381,3580,1643,5234,2247
CAWG_01382,237,219,427,260
CAWG_01383,129,249,244,179
CAWG_01384,84,67,104,99
CAWG_01386,1443,1066,1049,1189
CAWG_01387,2610,2992,3109,2563
CAWG_01390,258,396,998,700
CAWG_01391,5,10,30,15
CAWG_01395,1742,1936,1658,1805
CAWG_01397,65,80,37,49
CAWG_01398,158,166,131,129
CAWG_01399,23,46,79,125
CAWG_01400,69,66,76,133
CAWG_01402,62,72,52,75
CAWG_01403,75,108,114,180
CAWG_01407,2129,2427,2589,2639
CAWG_01408,99,103,69,69
CAWG_01409,644,509,405,426
CAWG_01412,0,0,0,0
CAWG_01414,0,4,0,0
CAWG_01415,479,323,342,615
CAWG_01416,282,254,116,154
CAWG_01417,373,472,178,242
CAWG_01418,159,200,251,237
CAWG_01420,85,140,158,282
CAWG_01422,117,208,98,136
CAWG_01423,1681,2099,2990,3635
CAWG_01424,0,0,0,0
CAWG_01425,20,41,55,51
CAWG_01427,96,53,28,27
CAWG_01429,32,32,30,34
CAWG_01431,8,7,6,8
CAWG_01435,31,63,44,30
CAWG_01439,39,23,38,25
CAWG_01441,52,65,20,31
CAWG_01446,125,201,176,202
CAWG_01447,26,21,10,23
CAWG_01448,11,26,7,19
CAWG_01449,6,9,0,5
CAWG_01452,102,111,236,253
CAWG_01454,20,39,27,31
CAWG_01456,137,158,70,116
CAWG_01459,299,294,922,552
CAWG_01460,30,36,28,26
CAWG_01461,496,554,580,750
CAWG_01462,398,521,421,389
CAWG_01464,700,870,686,745
CAWG_01466,581,752,863,655
CAWG_01469,0,0,5,0
CAWG_01470,1251,1472,1628,1237
CAWG_01471,181,260,110,152
CAWG_01473,76,118,129,74
CAWG_01475,0,6,0,0
CAWG_01479,269,266,344,448
CAWG_01483,0,0,0,0
CAWG_01485,1407,1193,1059,1256
CAWG_01486,19,42,34,26
CAWG_01488,64,81,61,61
CAWG_01490,381,302,337,267
CAWG_01491,1133,1201,812,649
CAWG_01492,9056,6430,5076,8776
CAWG_01494,12041,5530,8319,7929
CAWG_01497,5306,6079,1986,2001
CAWG_01498,120,113,31,0
CAWG_01500,210,247,94,215
CAWG_01502,468,426,242,365
CAWG_01504,85,128,54,77
CAWG_01506,18,21,13,8
CAWG_01507,28,15,13,23
CAWG_01515,191,142,120,130
CAWG_01517,68,97,33,54
CAWG_01521,29,9,7,7
CAWG_01522,409,529,310,334
CAWG_01523,1047,1344,1794,1767
CAWG_01529,138,70,77,94
CAWG_01533,511,461,181,270
CAWG_01535,0,0,0,0
CAWG_01537,0,0,0,0
CAWG_01538,2610,2086,1310,1881
CAWG_01539,113,139,117,223
CAWG_01540,664,630,545,592
CAWG_01541,762,1005,776,650
CAWG_01542,178,149,104,93
CAWG_01544,5480,4234,6045,6103
CAWG_01546,355,228,438,635
CAWG_01547,2768,1793,3014,3697
CAWG_01548,0,0,0,0
CAWG_01551,602,900,779,855
CAWG_01553,227,328,144,187
CAWG_01557,324,451,244,402
CAWG_01559,7351,7917,7259,5652
CAWG_01561,421,482,412,518
CAWG_01562,1347,1215,939,768
CAWG_01563,4447,2165,1331,2354
CAWG_01564,274,226,227,167
CAWG_01567,254,307,203,263
CAWG_01572,175,92,568,292
CAWG_01573,0,0,7,0
CAWG_01576,0,0,0,0
CAWG_01578,271,250,394,244
CAWG_01579,239,283,250,378
CAWG_01581,507,846,185,273
CAWG_01583,207,205,102,116
CAWG_01584,108,66,34,63
CAWG_01586,731,546,256,178
CAWG_01587,849,698,530,485
CAWG_01588,0,0,0,0
CAWG_01589,26,44,33,54
CAWG_01590,85,94,59,78
CAWG_01591,1275,1529,520,744
CAWG_01592,55,29,10,36
CAWG_01593,635,432,439,624
CAWG_01594,114,95,147,243
CAWG_01598,468,479,377,397
CAWG_01600,4,0,0,7
CAWG_01604,391,299,96,210
CAWG_01607,49,53,27,52
CAWG_01608,101,93,64,76
CAWG_01609,23,21,22,24
CAWG_01610,135,68,48,45
CAWG_01612,515,1041,689,884
CAWG_01616,81,51,28,33
CAWG_01619,1690,1615,1172,893
CAWG_01620,7110,8285,7255,7687
CAWG_01622,1540,1663,2203,2221
CAWG_01623,639,660,672,850
CAWG_01624,568,420,600,571
CAWG_01626,0,0,0,0
CAWG_01627,320,406,470,438
CAWG_01629,1095,1207,192,294
CAWG_01632,121,158,90,96
CAWG_01642,729,461,459,602
CAWG_01643,499,417,411,328
CAWG_01646,93,94,56,80
CAWG_01647,159,127,117,106
CAWG_01648,1862,1676,1308,739
CAWG_01649,83,94,81,88
CAWG_01651,229,303,126,160
CAWG_01652,42,40,26,31
CAWG_01653,2903,2331,2169,2232
CAWG_01654,220,250,118,153
CAWG_01658,166,180,61,79
CAWG_01661,297,594,426,339
CAWG_01662,3316,2237,3727,4440
CAWG_01663,2131,1172,852,745
CAWG_01668,86,79,33,45
CAWG_01671,45,47,11,16
CAWG_01673,107,77,64,72
CAWG_01675,317,208,182,218
CAWG_01676,158,205,229,187
CAWG_01678,74,53,51,79
CAWG_01679,10,25,15,27
CAWG_01680,525,703,871,492
CAWG_01682,1541,1060,579,607
CAWG_01683,5,28,34,29
CAWG_01684,214,296,338,278
CAWG_01685,1562,1767,637,1025
CAWG_01686,3,9,10,17
CAWG_01688,2623,2654,2555,2509
CAWG_01689,212,132,150,177
CAWG_01690,244,129,147,123
CAWG_01691,150,105,109,88
CAWG_01699,462,531,588,505
CAWG_01701,365,200,120,115
CAWG_01703,1,14,6,7
CAWG_01705,1405,1654,1585,1517
CAWG_01708,12499,10464,10262,9777
CAWG_01712,93,62,50,87
CAWG_01716,642,493,683,511
CAWG_01721,79,153,149,144
CAWG_01723,83,46,39,41
CAWG_01724,155,148,182,174
CAWG_01725,36,43,66,50
CAWG_01727,380,526,342,433
CAWG_01731,243,140,66,97
CAWG_01732,84,69,41,66
CAWG_01735,211,170,143,178
CAWG_01737,1421,1540,1546,1314
CAWG_01740,138,174,154,220
CAWG_01744,397,408,344,308
CAWG_01748,131,61,41,25
CAWG_01751,415,285,128,215
CAWG_01752,41,56,38,50
CAWG_01754,692,369,309,255
CAWG_01756,2522,2501,2852,2745
CAWG_01757,594,468,545,826
CAWG_01760,263,305,307,302
CAWG_01762,0,0,3,1
CAWG_01763,28,28,27,29
CAWG_01766,26,23,17,23
CAWG_01767,1168,929,611,730
CAWG_01769,2,7,3,3
CAWG_01770,1586,1377,686,835
CAWG_01773,64,58,54,37
CAWG_01776,24,34,7,7
CAWG_01778,3,1,0,1
CAWG_01782,62,47,78,102
CAWG_01786,65017,54449,72615,57986
CAWG_01787,0,0,0,0
CAWG_01788,3360,2336,2237,1744
CAWG_01790,947,1129,1322,914
CAWG_01793,143,106,83,124
CAWG_01795,523,282,195,185
CAWG_01799,40,26,25,23
CAWG_01800,25,29,28,56
CAWG_01804,16,10,6,5
CAWG_01806,398,354,405,430
CAWG_01808,19,9,5,7
CAWG_01811,73,79,58,77
CAWG_01812,43,38,18,14
CAWG_01813,29,39,4,14
CAWG_01814,1497,970,956,1944
CAWG_01815,308,241,190,154
CAWG_01822,441,465,275,258
CAWG_01823,28,60,23,49
CAWG_01825,58,48,56,79
CAWG_01826,238,263,205,244
CAWG_01827,182,372,117,153
CAWG_01828,2,3,7,4
CAWG_01829,197,265,193,217
CAWG_01835,116,102,85,106
CAWG_01836,61,87,107,96
CAWG_01837,358,541,141,209
CAWG_01838,46,63,68,53
CAWG_01839,1,1,1,1
CAWG_01840,11516,7197,7650,8155
CAWG_01841,803,831,770,738
CAWG_01843,58,88,24,53
CAWG_01844,398,352,228,238
CAWG_01846,42,24,56,73
CAWG_01847,38,29,23,22
CAWG_01851,0,0,0,0
CAWG_01853,166,142,50,69
CAWG_01856,3,1,2,1
CAWG_01858,75,115,100,143
CAWG_01860,206,308,380,526
CAWG_01865,8814,7726,6991,8778
CAWG_01866,3,3,5,2
CAWG_01867,15,21,23,20
CAWG_01868,378,367,436,359
CAWG_01870,165,265,158,160
CAWG_01871,794,751,921,873
CAWG_01872,57,71,109,90
CAWG_01874,128,172,264,306
CAWG_01875,290,153,87,142
CAWG_01879,415,469,394,387
CAWG_01884,243,153,150,140
CAWG_01886,428,370,335,345
CAWG_01887,369,193,111,101
CAWG_01890,104,189,199,207
CAWG_01893,5484,5386,5001,4104
CAWG_01896,3729,3934,4586,3574
CAWG_01898,98,218,61,87
CAWG_01899,3647,3517,3434,3560
CAWG_01903,49,68,35,25
CAWG_01904,474,432,1048,435
CAWG_01905,73,80,84,82
CAWG_01907,101,116,150,134
CAWG_01908,120,124,57,85
CAWG_01910,10,17,1,1
CAWG_01913,1037,1189,589,564
CAWG_01915,793,595,211,365
CAWG_01916,124,174,41,64
CAWG_01917,52,79,40,58
CAWG_01919,1491,1063,1408,901
CAWG_01920,0,0,0,0
CAWG_01921,170,261,122,122
CAWG_01922,1651,1683,1720,1610
CAWG_01923,3586,3551,3320,2484
CAWG_01924,364,388,401,300
CAWG_01927,179,112,55,116
CAWG_01929,1879,2057,1314,1897
CAWG_01932,478,432,681,683
CAWG_01933,1210,1278,1322,1493
CAWG_01934,303,349,405,402
CAWG_01936,406,525,603,564
CAWG_01937,87,61,78,46
CAWG_01940,16,26,24,14
CAWG_01946,300,494,233,275
CAWG_01947,9,13,5,16
CAWG_01949,94,95,55,51
CAWG_01950,27,26,32,32
CAWG_01951,601,782,711,851
CAWG_01955,124,149,76,58
CAWG_01957,67,87,86,64
CAWG_01958,362,308,317,672
CAWG_01961,38,16,1,1
CAWG_01962,400,513,307,378
CAWG_01965,937,554,180,440
CAWG_01966,1,1,0,4
CAWG_01971,527,325,370,357
CAWG_01972,204,310,353,260
CAWG_01973,61,72,87,75
CAWG_01977,215,344,171,165
CAWG_01980,2426,4472,2007,3300
CAWG_01981,318,193,239,227
CAWG_01983,191,153,86,80
CAWG_01988,343,454,166,275
CAWG_01989,2,9,4,5
CAWG_01990,34,73,21,28
CAWG_01991,81,111,52,61
CAWG_01993,165,210,134,145
CAWG_01995,45,58,60,56
CAWG_01996,2,2,0,1
CAWG_01998,4716,3285,1904,2495
CAWG_01999,446,499,415,419
CAWG_02001,86,137,42,51
CAWG_02006,1293,696,630,964
CAWG_02007,1933,2328,2485,2586
CAWG_02008,1506,1791,2500,2699
CAWG_02013,13630,12486,11891,10690
CAWG_02015,306,331,424,240
CAWG_02016,125,198,115,132
CAWG_02017,431,738,841,749
CAWG_02018,147,128,110,90
CAWG_02019,160,145,152,128
CAWG_02021,207,249,132,133
CAWG_02027,291,425,246,200
CAWG_02028,1,5,4,7
CAWG_02029,211,147,138,143
CAWG_02031,49,52,49,36
CAWG_02033,901,805,956,950
CAWG_02034,256,277,260,267
CAWG_02035,153,188,163,181
CAWG_02039,2263,1936,2128,2181
CAWG_02040,508,847,301,427
CAWG_02043,90,99,126,165
CAWG_02044,718,643,752,708
CAWG_02046,0,0,4,0
CAWG_02047,0,0,0,0
CAWG_02053,103,163,50,62
CAWG_02055,288,253,510,831
CAWG_02056,253,242,133,152
CAWG_02058,2894,2727,2292,2512
CAWG_02061,354,271,273,258
