Replicate,Medium
1,RPMI
2,RPMI
3,RPMI
1,Pooled Sera
2,Pooled Sera
3,Pooled Sera
4,Pooled Sera
5,Pooled Sera
6,Pooled Sera
1,RPMI
2,RPMI
3,RPMI
