Replicate,Treatment
1,Candida albicans Co-Culture
1,Candida albicans Medium
1,Mono-culture
2,Candida albicans Co-Culture
2,Candida albicans Medium
2,Mono-culture
3,Candida albicans Co-Culture
3,Candida albicans Medium
3,Mono-culture
