Replicate,Treatment
1,Control
2,Control
3,Control
1,Iron-
2,Iron-
3,Iron-
1,Manganese-
2,Manganese-
3,Manganese-
1,"Iron-,Manganese-"
2,"Iron-,Manganese-"
3,"Iron-,Manganese-"
